"Pin Information For The Stratix™ GX EP1SGX25D Device, ver 1.7   "								
								
								
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F672	F1020	DQS for x16	DQS for x32
B4	VREF0B4	IO	DQ0T7		C4	L9	DQ0T7	DQ0T7
B4	VREF0B4	IO				M11		
B4	VREF0B4	IO				P10		
B4	VREF0B4	IO	DQ1T0		E5	J10	DQ0T8	DQ0T8
B4	VREF0B4	VREF0B4			K9	N12		
B4	VREF0B4	IO	DQ1T1		C6	K10	DQ0T9	DQ0T9
B4	VREF0B4	IO	DQ1T2		B5	G10	DQ0T10	DQ0T10
B4	VREF0B4	IO				R10		
B4	VREF0B4	IO	DQS1T		C5	H10	DQS0T	
B4	VREF0B4	IO				N11		
B4	VREF0B4	IO	DQ1T3		D5	K11	DQ0T11	DQ0T11
B4	VREF0B4	IO	DQ1T4		A5	H11	DQ0T12	DQ0T12
B4	VREF0B4	IO				P11		
B4	VREF0B4	IO	DQ1T5		A4	J11	DQ0T13	DQ0T13
B4	VREF0B4	IO				R11		
B4	VREF0B4	IO	DQ1T6		E6	L11	DQ0T14	DQ0T14
B4	VREF0B4	IO	DQ1T7		D6	G11	DQ0T15	DQ0T15
B4	VREF0B4	IO			G9	M12		
B4	VREF0B4	IO				R12		
B4	VREF0B4	IO	DQ2T0		B6	J12	DQ1T0	DQ0T16
B4	VREF0B4	IO	DQ2T1		E8	K12	DQ1T1	DQ0T17
B4	VREF0B4	IO				P12		
B4	VREF0B4	IO	DQ2T2		F7	G12	DQ1T2	DQ0T18
B4	VREF1B4	IO	DQS2T		C7	H12		DQS0T
B4	VREF1B4	IO				T12		
B4	VREF1B4	IO	DQ2T3		A6	L12	DQ1T3	DQ0T19
B4	VREF1B4	IO	DQ2T4		B7	H13	DQ1T4	DQ0T20
B4	VREF1B4	IO	DQ2T5		D7	J13	DQ1T5	DQ0T21
B4	VREF1B4	IO	DQ2T6		E7	L13	DQ1T6	DQ0T22
B4	VREF1B4	IO	FCLK6		G10	M13		
B4	VREF1B4	IO	FCLK7		G7	T14		
B4	VREF1B4	IO	DQ2T7		A7	K13	DQ1T7	DQ0T23
B4	VREF1B4	IO				P13		
B4	VREF1B4	IO			H8	U12		
B4	VREF1B4	IO	DQ3T0		D8	G13	DQ1T8	DQ0T24
B4	VREF1B4	VREF1B4			K10	N13		
B4	VREF1B4	IO	DQ3T1		A8	D14	DQ1T9	DQ0T25
B4	VREF1B4	IO				L14		
B4	VREF1B4	IO	DQ3T2		C9	F14	DQ1T10	DQ0T26
B4	VREF1B4	IO				R13		
B4	VREF1B4	IO	DQS3T		B8	G14	DQS1T	
B4	VREF1B4	IO	DQ3T3		C8	E14	DQ1T11	DQ0T27
B4	VREF1B4	IO				N14		
B4	VREF1B4	IO	DQ3T4		A10	H14	DQ1T12	DQ0T28
B4	VREF1B4	IO	DQ3T5		A9	J14	DQ1T13	DQ0T29
B4	VREF1B4	IO	DEV_OE		J7	M14		
B4	VREF1B4	IO	DQ3T6		B9	G15	DQ1T14	DQ0T30
B4	VREF1B4	IO	DQ3T7		D9	H15	DQ1T15	DQ0T31
B4	VREF1B4	IO	RUP4		G11	H19		
B4	VREF1B4	IO	RDN4		G8	K14		
B4	VREF1B4	IO	DQ4T0		D10	C14		
B4	VREF1B4	IO		nWS	H11	G19		
B4	VREF1B4	IO	DQ4T1		E9	A15		
B4	VREF1B4	IO	DQ4T2		E10	A14		
B4	VREF2B4	IO				G17		
B4	VREF2B4	IO	DQS4T		B10	B14		
B4	VREF2B4	IO		DATA0	H10	H17		
B4	VREF2B4	IO	DQ4T3		E11	B15		
B4	VREF2B4	IO	DQ4T4		C10	C15		
B4	VREF2B4	IO				T13		
B4	VREF2B4	IO	DQ4T5		B11	F15		
B4	VREF2B4	IO		DATA1	F8	H18		
B4	VREF2B4	IO	DQ4T6		D11	D15		
B4	VREF2B4	IO	DQ4T7		C11	E15		
B4	VREF2B4	IO				P14		
B4	VREF2B4	IO		DATA2	K8	L19		
B4	VREF2B4	VREF2B4			K11	N15		
B4	VREF2B4	IO				G18		
B4	VREF2B4	IO				J18		
B4	VREF2B4	IO				L15		
B4	VREF2B4	IO				K19		
B4	VREF2B4	IO				M15		
B4	VREF2B4	IO				R14		
B4	VREF2B4	TMS		TMS	F9	G16		
B4	VREF2B4	TRST		TRST	H9	J15		
B4	VREF2B4	TCK		TCK	J8	K15		
B4	VREF2B4	IO		DATA3	J9	J19		
B4	VREF2B4	IO				N18		
B4	VREF2B4	IO				N17		
B4	VREF2B4	TDI		TDI	F10	H16		
B4	VREF2B4	TDO		TDO	F11	J16		
B4	VREF2B4	IO	CLK12n		D12	C16		
B4	VREF2B4	CLK12p			E12	D16		
B4	VREF2B4	IO	CLK13n		F12	E16		
B4	VREF2B4	CLK13p			G12	F16		
		TEMPDIODEp			J11	L21		
		TEMPDIODEn			J10	L20		
		VCCA_PLL5			H13	L18		
		GND						
		GNDA_PLL5			G13	L17		
		VCCG_PLL5			H12	K17		
		GNDG_PLL5			J12	M17		
B9		VCC_PLL5_OUTA			J13	K18		
B10		VCC_PLL5_OUTB			K12	M18		
B9	VREF0B3	IO	PLL5_OUT0p		D13	F18		
B9	VREF0B3	IO	PLL5_OUT0n		C13	E18		
B9	VREF0B3	IO	PLL5_OUT1p		C12	D17		
B9	VREF0B3	IO	PLL5_OUT1n		B12	C17		
B9	VREF0B3	IO	PLL5_FBp		F13	F17		
B9	VREF0B3	IO	PLL5_FBn		E13	E17		
B10	VREF0B3	IO	PLL5_OUT2p		F14	B17		
B10	VREF0B3	IO	PLL5_OUT2n		E14	A17		
B10	VREF0B3	IO	PLL5_OUT3p		B13	D18		
B10	VREF0B3	IO	PLL5_OUT3n		A13	C18		
B3	VREF0B3	nSTATUS		nSTATUS	K14	L22		
B3	VREF0B3	nCONFIG		nCONFIG	L14	K20		
B3	VREF0B3	DCLK		DCLK	K13	J20		
B3	VREF0B3	CONF_DONE		CONF_DONE	K15	K21		
B3	VREF0B3	CLK14p			B14	B18		
B3	VREF0B3	IO	CLK14n		A14	A18		
B3	VREF0B3	CLK15p			D14	C19		
B3	VREF0B3	IO	CLK15n		C14	B19		
B3	VREF0B3	VREF0B3			J16	M19		
B3	VREF0B3	IO				E24		
B3	VREF0B3	IO				F24		
B3	VREF0B3	IO		DATA4	L15	G20		
B3	VREF0B3	IO				D27		
B3	VREF0B3	IO				F25		
B3	VREF0B3	IO				H23		
B3	VREF0B3	IO				F23		
B3	VREF0B3	IO				G23		
B3	VREF0B3	IO	DQ5T0		G14	E19		
B3	VREF0B3	IO	DQ5T1		H14	F19		
B3	VREF0B3	IO		DATA5	M15	H20		
B3	VREF0B3	IO	DQ5T2		J14	E20		
B3	VREF0B3	IO	DQS5T		G15	F20		
B3	VREF0B3	IO				D28		
B3	VREF0B3	IO	DQ5T3		G16	D19		
B3	VREF0B3	IO		DATA6	K16	J21		
B3	VREF0B3	IO	DQ5T4		H16	B20		
B3	VREF0B3	IO	DQ5T5		J15	C20		
B3	VREF1B3	IO				E26		
B3	VREF1B3	IO	DQ5T6		F16	D20		
B3	VREF1B3	IO				G24		
B3	VREF1B3	IO	DQ5T7		H15	E21		
B3	VREF1B3	IO	RUP3		L16	H21		
B3	VREF1B3	IO	RDN3		M16	G21		
B3	VREF1B3	IO	DQ6T0		E16	C21	DQ2T0	DQ1T0
B3	VREF1B3	IO	DQ6T1		B15	D21	DQ2T1	DQ1T1
B3	VREF1B3	IO		DATA7	G17	F21		
B3	VREF1B3	IO	DQ6T2		E15	A21	DQ2T2	DQ1T2
B3	VREF1B3	IO	DQS6T		D15	B21	DQS2T	
B3	VREF1B3	IO				D29		
B3	VREF1B3	IO	DQ6T3		C16	A22	DQ2T3	DQ1T3
B3	VREF1B3	IO		CLKUSR	F17	F22		
B3	VREF1B3	IO	DQ6T4		D16	C22	DQ2T4	DQ1T4
B3	VREF1B3	IO				J22		
B3	VREF1B3	IO	DQ6T5		F15	D22	DQ2T5	DQ1T5
B3	VREF1B3	IO	DQ6T6		C15	B22	DQ2T6	DQ1T6
B3	VREF1B3	VREF1B3			J17	M20		
B3	VREF1B3	IO	FCLK0		F18	G22		
B3	VREF1B3	IO	FCLK1		G18	H22		
B3	VREF1B3	IO	DQ6T7		B16	E22	DQ2T7	DQ1T7
B3	VREF1B3	IO				E27		
B3	VREF1B3	IO				F26		
B3	VREF1B3	IO	DQ7T0		E17	A23	DQ2T8	DQ1T8
B3		GND			H17	K22		
B3	VREF1B3	IO	DQ7T1		B17	B23	DQ2T9	DQ1T9
B3	VREF1B3	IO	DQ7T2		A17	C23	DQ2T10	DQ1T10
B3	VREF1B3	IO				J23		
B3	VREF1B3	IO	DQS7T		C17	D23		DQS1T
B3	VREF1B3	IO	DQ7T3		D17	E23	DQ2T11	DQ1T11
B3	VREF1B3	IO				K23		
B3	VREF1B3	IO	DQ7T4		C18	A24	DQ2T12	DQ1T12
B3	VREF1B3	IO	DQ7T5		B18	B24	DQ2T13	DQ1T13
B3	VREF1B3	IO				B30		
B3	VREF1B3	IO	DQ7T6		D18	C24	DQ2T14	DQ1T14
B3	VREF1B3	IO	DQ7T7		E18	D24	DQ2T15	DQ1T15
B3	VREF1B3	IO				M23		
B3	VREF2B3	IO				C30		
B3	VREF2B3	IO	DQ8T0		C19	A25	DQ3T0	DQ1T16
B3	VREF2B3	IO	DQ8T1		D19	B25	DQ3T1	DQ1T17
B3	VREF2B3	IO				F27		
B3	VREF2B3	IO	DQ8T2		A18	C25	DQ3T2	DQ1T18
B3	VREF2B3	IO	DQS8T		B19	D25	DQS3T	
B3	VREF2B3	IO				E28		
B3	VREF2B3	IO	DQ8T3		B20	A26	DQ3T3	DQ1T19
B3	VREF2B3	IO	DQ8T4		A20	E25	DQ3T4	DQ1T20
B3	VREF2B3	IO				E29		
B3	VREF2B3	IO	DQ8T5		A19	B26	DQ3T5	DQ1T21
B3	VREF2B3	IO	DQ8T6		C20	C26	DQ3T6	DQ1T22
B3	VREF2B3	VREF2B3			J18	M21		
B3	VREF2B3	IO	DQ8T7		D20	D26	DQ3T7	DQ1T23
B3	VREF2B3	IO			H18	C31		
B3	VREF2B3	IO				D30		
B3	VREF2B3	IO	DQ9T0		A21	A27	DQ3T8	DQ1T24
B3	VREF2B3	IO				L23		
B3	VREF2B3	IO	DQ9T1		B21	B27	DQ3T9	DQ1T25
B3	VREF2B3	IO				B31		
B3	VREF2B3	IO	DQ9T2		C21	C27	DQ3T10	DQ1T26
B3	VREF2B3	IO	DQS9T		B22	A28		
B3	VREF2B3	IO				F28		
B3	VREF2B3	IO	DQ9T3		C22	B28	DQ3T11	DQ1T27
B3	VREF2B3	IO				F29		
B3	VREF2B3	IO	DQ9T4		A22	C28	DQ3T12	DQ1T28
B3	VREF2B3	IO	DQ9T5		B23	A29	DQ3T13	DQ1T29
B3	VREF2B3	IO	DQ9T6		A23	B29	DQ3T14	DQ1T30
B3	VREF2B3	IO				E30		
B3	VREF2B3	IO	DQ9T7		B24	C29	DQ3T15	DQ1T31
B3	VREF2B3	IO				F30		
		GXB_GND						
		GND						
		VCCIO2			C26	C32		
		VCCIO2			M26	N23		
		VCCIO2			N18	R32		
		VCCIO2				T24		
		VCCIO1			AD26	AK32		
		VCCIO1			P18	V32		
		VCCIO1			R26	U23		
		VCCIO1				Y23		
		VCCIO8			AF15	AM19		
		VCCIO8			AF24	Y19		
		VCCIO8			T14	AM30		
		VCCIO8				Y21		
		VCCIO7			AF3	AF7		
		VCCIO7			AF12	AM16		
		VCCIO7			T12	AM12		
		VCCIO7				U11		
		VCCIO4			A3	A13		
		VCCIO4			A12	A16		
		VCCIO4			L12	G7		
		VCCIO4				T11		
		VCCIO3			A15	A19		
		VCCIO3			A24	A30		
		VCCIO3			L13	N19		
		VCCIO3				N21		
		VCCP_B14				M9		
		VCCP_B14				N9		
		VCCP_B14			L8	P9		
		VCCP_B14			M8	R9		
		VCCP_B15			R8	W9		
		VCCP_B15			T8	Y9		
		VCCP_B15				AA9		
		VCCP_B15				AB9		
		VCCR_B14				M8		
		VCCR_B14				N8		
		VCCR_B14			L7	P8		
		VCCR_B14			M7	R8		
		VCCR_B15			R7	W8		
		VCCR_B15			T7	Y8		
		VCCR_B15				AA8		
		VCCR_B15				AB8		
		VCCT_B14				M7		
		VCCT_B14				N7		
		VCCT_B14			L6	P7		
		VCCT_B14			M6	R7		
		VCCT_B15			R6	W7		
		VCCT_B15			T6	Y7		
		VCCT_B15				AA7		
		VCCT_B15				AB7		
		VCCINT			AB6	R15		
		VCCINT			N9	P19		
		VCCINT			Y6	U15		
		VCCINT			F6	V15		
		VCCINT			N11	W22		
		VCCINT			H6	AG12		
		VCCINT			N13	P22		
		VCCINT			L11	T17		
		VCCINT			P12	V21		
		VCCINT			L9	P15		
		VCCINT			N16	R21		
		VCCINT			M10	U18		
		VCCINT			P16	W20		
		VCCINT			K6	F11		
		VCCINT			N15	R18		
		VCCINT			M9	T21		
		VCCINT			P14	W16		
		VCCINT			L10	AG10		
		VCCINT			P10	P21		
		VCCINT			M14	T15		
		VCCINT			V6	V19		
		VCCINT				F13		
		VCCINT				R20		
		VCCINT				U16		
		VCCINT				W18		
		VCCINT				W15		
		VCCINT				P20		
		VCCINT				T9		
		VCCINT				V17		
		VCCINT				U21		
		VCCINT				F9		
		VCCINT				R16		
		VCCINT				T19		
		VCCINT				V22		
		VCCINT				P17		
		VCCINT				R22		
		VCCINT				U20		
		VCCINT				W21		
		GXB_GND			AA3	A2		
		GXB_GND			D2	AB4		
		GXB_GND			H4	AE2		
		GXB_GND			M3	AH3		
		GXB_GND			T2	AJ6		
		GXB_GND			Y1	AK9		
		GXB_GND			AB2	AL10		
		GXB_GND			F1	C1		
		GXB_GND			J3	C12		
		GXB_GND			M5	E9		
		GXB_GND			T4	H4		
		GXB_GND			Y3	L2		
		GXB_GND			AB4	R1		
		GXB_GND			F3	V5		
		GXB_GND			K2	A11		
		GXB_GND			P1	AD3		
		GXB_GND			U3	AF5		
		GXB_GND			Y5	AH10		
		GXB_GND			AD1	AK5		
		GXB_GND			F5	AL3		
		GXB_GND			K4	B3		
		GXB_GND			P3	C6		
		GXB_GND			V2	D11		
		GXB_GND			D1	F6		
		GXB_GND			H1	J3		
		GXB_GND			L3	N1		
		GXB_GND			P5	T5		
		GXB_GND			V4	Y4		
		GXB_GND			H3	A7		
		GXB_GND			M2	AC2		
		GXB_GND			T1	AF3		
		GXB_GND			W3	AH6		
		GXB_GND			AB1	AK3		
		GXB_GND			E3	AL1		
		GXB_GND			H5	AM8		
		GXB_GND			M4	C4		
		GXB_GND			T3	D7		
		GXB_GND			Y2	F4		
		GXB_GND			AB3	J1		
		GXB_GND			F2	M4		
		GXB_GND			K1	T3		
		GXB_GND			N3	W3		
		GXB_GND			T5	AA3		
		GXB_GND			Y4	AE1		
		GXB_GND			AB5	AG3		
		GXB_GND			F4	AJ3		
		GXB_GND			K3	AK8		
		GXB_GND			P2	AL8		
		GXB_GND			V1	B9		
		GXB_GND			AD2	C9		
		GXB_GND			G3	E3		
		GXB_GND			K5	G3		
		GXB_GND			P4	K4		
		GXB_GND			V3	P3		
		GXB_GND			H2	U3		
		GXB_GND			M1	A5		
		GXB_GND			R3	AC1		
		GXB_GND			V5	AE6		
		GXB_GND				AH5		
		GXB_GND				AJ10		
		GXB_GND				AK11		
		GXB_GND				AM6		
		GXB_GND				C3		
		GXB_GND				D5		
		GXB_GND				F3		
		GXB_GND				H6		
		GXB_GND				M3		
		GXB_GND				R3		
		GXB_GND				W2		
		GXB_GND				AA2		
		GXB_GND				AD5		
		GXB_GND				AG2		
		GXB_GND				AJ2		
		GXB_GND				AK7		
		GXB_GND				AL6		
		GXB_GND				B7		
		GXB_GND				C8		
		GXB_GND				E2		
		GXB_GND				G2		
		GXB_GND				K3		
		GXB_GND				N3		
		GXB_GND				U2		
		GXB_GND				V4		
		GXB_GND				A3		
		GXB_GND				AB5		
		GXB_GND				AE3		
		GXB_GND				AH4		
		GXB_GND				AJ8		
		GXB_GND				AK10		
		GXB_GND				AM4		
		GXB_GND				C2		
		GXB_GND				D3		
		GXB_GND				E11		
		GXB_GND				H5		
		GXB_GND				L3		
		GXB_GND				R2		
		GXB_GND				W1		
		GXB_GND				AA1		
		GXB_GND				AD4		
		GXB_GND				AG1		
		GXB_GND				AJ1		
		GXB_GND				AK6		
		GXB_GND				AL4		
		GXB_GND				B5		
		GXB_GND				C7		
		GXB_GND				E1		
		GXB_GND				G1		
		GXB_GND				J6		
		GXB_GND				N2		
		GXB_GND				U1		
		GXB_GND				Y5		
		GXB_GND				A9		
		GXB_GND				AC3		
		GXB_GND				AF4		
		GXB_GND				AH8		
		GXB_GND				AK4		
		GXB_GND				AL2		
		GXB_GND				AM10		
		GXB_GND				C5		
		GXB_GND				D9		
		GXB_GND				F5		
		GXB_GND				J2		
		GXB_GND				M5		
		GXB_GND				T4		
		GXB_GND				Y3		
		GXB_GND				AB3		
		GXB_GND				B11		
		GXB_GND				C10		
		GXB_GND				E5		
		GXB_GND				G6		
		GXB_GND				K5		
		GXB_GND				P4		
		GXB_GND				V3		
		GXB_GND				C11		
		GXB_GND				E7		
		GXB_GND				H3		
		GXB_GND				L1		
		GXB_GND				P5		
		GND			A2	A20		
		GND			AF2	AL12		
		GND			L26	D13		
		GND			P13	P18		
		GND			AA6	T22		
		GND			B1	AG8		
		GND			N10	AG9		
		GND			R14	AM31		
		GND			A16	F10		
		GND			AF16	R19		
		GND			M12	U19		
		GND			P17	Y20		
		GND			AD3	AG6		
		GND			D3	AL32		
		GND			N14	F7		
		GND			U6	AF6		
		GND			A11	AE7		
		GND			AF11	W19		
		GND			M11	AH12		
		GND			P15	B16		
		GND			AC3	N20		
		GND			B26	T16		
		GND			N12	V16		
		GND			T26	Y24		
		GND			A25	A31		
		GND			AF25	AL16		
		GND			M13	E13		
		GND			R12	P32		
		GND			AE1	U10		
		GND			G6	W17		
		GND			N17	AG11		
		GND			W6	B13		
		GND			AE26	F12		
		GND			J6	T10		
		GND			P11	U22		
		GND				Y22		
		GND				AG7		
		GND				AM20		
		GND				F8		
		GND				R17		
		GND				U17		
		GND				W32		
		GND				AJ12		
		GND				B32		
		GND				N22		
		GND				T18		
		GND				V18		
		GND				P16		
		GND				AK12		
		GND				C13		
		GND				N24		
		GND				T20		
		GND				V20		
		NC				AA16		
		NC				AD27		
		NC				K26		
		NC				P1		
		NC				U5		
		NC				V9		
		NC				AB16		
		NC				AJ32		
		NC				L16		
		NC				R4		
		NC				U7		
		NC				W5		
		NC				AC26		
		NC				D32		
		NC				M2		
		NC				R23		
		NC				U9		
		NC				Y2		
		NC				AD17		
		NC				J26		
		NC				M22		
		NC				T2		
		NC				V1		
		NC				AA19		
		NC				AJ31		
		NC				K27		
		NC				P2		
		NC				U6		
		NC				W4		
		NC				AC16		
		NC				D31		
		NC				M1		
		NC				R5		
		NC				U8		
		NC				Y1		
		NC				AC27		
		NC				J17		
		NC				M16		
		NC				T1		
		NC				U24		
		NC				Y12		
		NC				AD26		
		NC				J27		
		NC				N4		
		NC				T6		
		NC				V2		
		NC				U4		
		NC				V8		
		NC				N16		
		NC				T23		
		NC				V7		
		NC				K16		
		NC				N5		
		NC				T7		
		NC				V6		






								
