"Pin Information For The Stratix™ GX EP1SGX25C Device, ver 1.7  "							
							
							
Bank Number	VREF Bank	Pin Name/Function	Optionn Function(s)	Configuration Function	F672	"DQS for 
x16"	DQS for x32
B3		GND			H17		
B3	VREF1B3	IO	DQ7T1		B17	DQ2T9	DQ1T9
B3	VREF1B3	IO	DQ7T2		A17	DQ2T10	DQ1T10
B3	VREF1B3	IO	DQS7T		C17		DQS1T
B3	VREF1B3	IO	DQ7T3		D17	DQ2T11	DQ1T11
B3	VREF1B3	IO	DQ7T4		C18	DQ2T12	DQ1T12
B3	VREF1B3	IO	DQ7T5		B18	DQ2T13	DQ1T13
B3	VREF1B3	IO	DQ7T6		D18	DQ2T14	DQ1T14
B3	VREF1B3	IO	DQ7T7		E18	DQ2T15	DQ1T15
B3	VREF2B3	IO	DQ8T0		C19	DQ3T0	DQ1T16
B3	VREF2B3	IO	DQ8T1		D19	DQ3T1	DQ1T17
B3	VREF2B3	IO	DQ8T2		A18	DQ3T2	DQ1T18
B3	VREF2B3	IO	DQS8T		B19	DQS3T	
B3	VREF2B3	IO	DQ8T3		B20	DQ3T3	DQ1T19
B3	VREF2B3	IO	DQ8T4		A20	DQ3T4	DQ1T20
B3	VREF2B3	IO	DQ8T5		A19	DQ3T5	DQ1T21
B3	VREF2B3	IO	DQ8T6		C20	DQ3T6	DQ1T22
B3	VREF2B3	VREF2B3			J18		
B3	VREF2B3	IO	DQ8T7		D20	DQ3T7	DQ1T23
B3	VREF2B3	IO			H18		
B3	VREF2B3	IO	DQ9T0		A21	DQ3T8	DQ1T24
B3	VREF2B3	IO	DQ9T1		B21	DQ3T9	DQ1T25
B3	VREF2B3	IO	DQ9T2		C21	DQ3T10	DQ1T26
B3	VREF2B3	IO	DQS9T		B22		
B3	VREF2B3	IO	DQ9T3		C22	DQ3T11	DQ1T27
B3	VREF2B3	IO	DQ9T4		A22	DQ3T12	DQ1T28
B3	VREF2B3	IO	DQ9T5		B23	DQ3T13	DQ1T29
B3	VREF2B3	IO	DQ9T6		A23	DQ3T14	DQ1T30
B3	VREF2B3	IO	DQ9T7		B24	DQ3T15	DQ1T31
		GXB_GND					
		GND					
		VCCIO2			C26		
		VCCIO2			M26		
		VCCIO2			N18		
		VCCIO1			AD26		
		VCCIO1			P18		
		VCCIO1			R26		
		VCCIO8			AF15		
		VCCIO8			AF24		
		VCCIO8			T14		
		VCCIO7			AF3		
		VCCIO7			AF12		
		VCCIO7			T12		
		VCCIO4			A3		
		VCCIO4			A12		
		VCCIO4			L12		
		VCCIO3			A15		
		VCCIO3			A24		
		VCCIO3			L13		
		VCCP_B15			L8		
		VCCP_B15			M8		
		VCCP_B15			R8		
		VCCP_B15			T8		
		VCCR_B15			L7		
		VCCR_B15			M7		
		VCCR_B15			R7		
		VCCR_B15			T7		
		VCCT_B15			L6		
		VCCT_B15			M6		
		VCCT_B15			R6		
		VCCT_B15			T6		
		VCCINT			AB6		
		VCCINT			N9		
		VCCINT			Y6		
		VCCINT			F6		
		VCCINT			N11		
		VCCINT			H6		
		VCCINT			N13		
		VCCINT			L11		
		VCCINT			P12		
		VCCINT			L9		
		VCCINT			N16		
		VCCINT			M10		
		VCCINT			P16		
		VCCINT			K6		
		VCCINT			N15		
		VCCINT			M9		
		VCCINT			P14		
		VCCINT			L10		
		VCCINT			P10		
		VCCINT			M14		
		VCCINT			V6		
		GXB_GND			AA3		
		GXB_GND			D2		
		GXB_GND			H4		
		GXB_GND			M3		
		GXB_GND			T2		
		GXB_GND			Y1		
		GXB_GND			AB2		
		GXB_GND			F1		
		GXB_GND			J3		
		GXB_GND			M5		
		GXB_GND			T4		
		GXB_GND			Y3		
		GXB_GND			AB4		
		GXB_GND			F3		
		GXB_GND			K2		
		GXB_GND			P1		
		GXB_GND			U3		
		GXB_GND			Y5		
		GXB_GND			AD1		
		GXB_GND			F5		
		GXB_GND			K4		
		GXB_GND			P3		
		GXB_GND			V2		
		GXB_GND			D1		
		GXB_GND			H1		
		GXB_GND			L3		
		GXB_GND			P5		
		GXB_GND			V4		
		GXB_GND			H3		
		GXB_GND			M2		
		GXB_GND			T1		
		GXB_GND			W3		
		GXB_GND			AB1		
		GXB_GND			E3		
		GXB_GND			H5		
		GXB_GND			M4		
		GXB_GND			T3		
		GXB_GND			Y2		
		GXB_GND			AB3		
		GXB_GND			F2		
		GXB_GND			K1		
		GXB_GND			N3		
		GXB_GND			T5		
		GXB_GND			Y4		
		GXB_GND			AB5		
		GXB_GND			F4		
		GXB_GND			K3		
		GXB_GND			P2		
		GXB_GND			V1		
		GXB_GND			AD2		
		GXB_GND			G3		
		GXB_GND			K5		
		GXB_GND			P4		
		GXB_GND			V3		
		GXB_GND			H2		
		GXB_GND			M1		
		GXB_GND			R3		
		GXB_GND			V5		
		GND			A2		
		GND			AF2		
		GND			L26		
		GND			P13		
		GND			AA6		
		GND			B1		
		GND			N10		
		GND			R14		
		GND			A16		
		GND			AF16		
		GND			M12		
		GND			P17		
		GND			AD3		
		GND			D3		
		GND			N14		
		GND			U6		
		GND			A11		
		GND			AF11		
		GND			M11		
		GND			P15		
		GND			AC3		
		GND			B26		
		GND			N12		
		GND			T26		
		GND			A25		
		GND			AF25		
		GND			M13		
		GND			R12		
		GND			AE1		
		GND			G6		
		GND			N17		
		GND			W6		
		GND			AE26		
		GND			J6		
		GND			P11		






























































































							
