"Pin Information For The Stratix™ GX EP1SGX25F Device, ver 1.7 "							
							
							
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F1020	DQS for x16	DQS for x32
B4	VREF1B4	IO	DQ3T4		H14	DQ1T12	DQ0T28
B4	VREF1B4	IO	DQ3T5		J14	DQ1T13	DQ0T29
B4	VREF1B4	IO	DEV_OE		M14		
B4	VREF1B4	IO	DQ3T6		G15	DQ1T14	DQ0T30
B4	VREF1B4	IO	DQ3T7		H15	DQ1T15	DQ0T31
B4	VREF1B4	IO	RUP4		H19		
B4	VREF1B4	IO	RDN4		K14		
B4	VREF1B4	IO	DQ4T0		C14		
B4	VREF1B4	IO		nWS	G19		
B4	VREF1B4	IO	DQ4T1		A15		
B4	VREF1B4	IO	DQ4T2		A14		
B4	VREF2B4	IO			G17		
B4	VREF2B4	IO	DQS4T		B14		
B4	VREF2B4	IO		DATA0	H17		
B4	VREF2B4	IO	DQ4T3		B15		
B4	VREF2B4	IO	DQ4T4		C15		
B4	VREF2B4	IO			T13		
B4	VREF2B4	IO	DQ4T5		F15		
B4	VREF2B4	IO		DATA1	H18		
B4	VREF2B4	IO	DQ4T6		D15		
B4	VREF2B4	IO	DQ4T7		E15		
B4	VREF2B4	IO			P14		
B4	VREF2B4	IO		DATA2	L19		
B4	VREF2B4	VREF2B4			N15		
B4	VREF2B4	IO			G18		
B4	VREF2B4	IO			J18		
B4	VREF2B4	IO			L15		
B4	VREF2B4	IO			K19		
B4	VREF2B4	IO			M15		
B4	VREF2B4	IO			R14		
B4	VREF2B4	TMS		TMS	G16		
B4	VREF2B4	TRST		TRST	J15		
B4	VREF2B4	TCK		TCK	K15		
B4	VREF2B4	IO		DATA3	J19		
B4	VREF2B4	IO			N18		
B4	VREF2B4	IO			N17		
B4	VREF2B4	TDI		TDI	H16		
B4	VREF2B4	TDO		TDO	J16		
B4	VREF2B4	IO	CLK12n		C16		
B4	VREF2B4	CLK12p			D16		
B4	VREF2B4	IO	CLK13n		E16		
B4	VREF2B4	CLK13p			F16		
		TEMPDIODEp			L21		
		TEMPDIODEn			L20		
		VCCA_PLL5			L18		
		GND					
		GNDA_PLL5			L17		
		VCCG_PLL5			K17		
		GNDG_PLL5			M17		
B9		VCC_PLL5_OUTA			K18		
B10		VCC_PLL5_OUTB			M18		
B9	VREF0B3	IO	PLL5_OUT0p		F18		
B9	VREF0B3	IO	PLL5_OUT0n		E18		
B9	VREF0B3	IO	PLL5_OUT1p		D17		
B9	VREF0B3	IO	PLL5_OUT1n		C17		
B9	VREF0B3	IO	PLL5_FBp		F17		
B9	VREF0B3	IO	PLL5_FBn		E17		
B10	VREF0B3	IO	PLL5_OUT2p		B17		
B10	VREF0B3	IO	PLL5_OUT2n		A17		
B10	VREF0B3	IO	PLL5_OUT3p		D18		
B10	VREF0B3	IO	PLL5_OUT3n		C18		
B3	VREF0B3	nSTATUS		nSTATUS	L22		
B3	VREF0B3	nCONFIG		nCONFIG	K20		
B3	VREF0B3	DCLK		DCLK	J20		
B3	VREF0B3	CONF_DONE		CONF_DONE	K21		
B3	VREF0B3	CLK14p			B18		
B3	VREF0B3	IO	CLK14n		A18		
B3	VREF0B3	CLK15p			C19		
B3	VREF0B3	IO	CLK15n		B19		
B3	VREF0B3	VREF0B3			M19		
B3	VREF0B3	IO			E24		
B3	VREF0B3	IO			F24		
B3	VREF0B3	IO		DATA4	G20		
B3	VREF0B3	IO			D27		
B3	VREF0B3	IO			F25		
B3	VREF0B3	IO			H23		
B3	VREF0B3	IO			F23		
B3	VREF0B3	IO			G23		
B3	VREF0B3	IO	DQ5T0		E19		
B3	VREF0B3	IO	DQ5T1		F19		
B3	VREF0B3	IO		DATA5	H20		
B3	VREF0B3	IO	DQ5T2		E20		
B3	VREF0B3	IO	DQS5T		F20		
B3	VREF0B3	IO			D28		
B3	VREF0B3	IO	DQ5T3		D19		
B3	VREF0B3	IO		DATA6	J21		
B3	VREF0B3	IO	DQ5T4		B20		
B3	VREF0B3	IO	DQ5T5		C20		
B3	VREF1B3	IO			E26		
B3	VREF1B3	IO	DQ5T6		D20		
B3	VREF1B3	IO			G24		
B3	VREF1B3	IO	DQ5T7		E21		
B3	VREF1B3	IO	RUP3		H21		
B3	VREF1B3	IO	RDN3		G21		
B3	VREF1B3	IO	DQ6T0		C21	DQ2T0	DQ1T0
B3	VREF1B3	IO	DQ6T1		D21	DQ2T1	DQ1T1
B3	VREF1B3	IO		DATA7	F21		
B3	VREF1B3	IO	DQ6T2		A21	DQ2T2	DQ1T2
B3	VREF1B3	IO	DQS6T		B21	DQS2T	
B3	VREF1B3	IO			D29		
B3	VREF1B3	IO	DQ6T3		A22	DQ2T3	DQ1T3
B3	VREF1B3	IO		CLKUSR	F22		
B3	VREF1B3	IO	DQ6T4		C22	DQ2T4	DQ1T4
B3	VREF1B3	IO			J22		
B3	VREF1B3	IO	DQ6T5		D22	DQ2T5	DQ1T5
B3	VREF1B3	IO	DQ6T6		B22	DQ2T6	DQ1T6
B3	VREF1B3	VREF1B3			M20		
B3	VREF1B3	IO	FCLK0		G22		
B3	VREF1B3	IO	FCLK1		H22		
B3	VREF1B3	IO	DQ6T7		E22	DQ2T7	DQ1T7
B3	VREF1B3	IO			E27		
B3	VREF1B3	IO			F26		
B3	VREF1B3	IO	DQ7T0		A23	DQ2T8	DQ1T8
B3		GND			K22		
B3	VREF1B3	IO	DQ7T1		B23	DQ2T9	DQ1T9
B3	VREF1B3	IO	DQ7T2		C23	DQ2T10	DQ1T10
B3	VREF1B3	IO			J23		
B3	VREF1B3	IO	DQS7T		D23		DQS1T
B3	VREF1B3	IO	DQ7T3		E23	DQ2T11	DQ1T11
B3	VREF1B3	IO			K23		
B3	VREF1B3	IO	DQ7T4		A24	DQ2T12	DQ1T12
B3	VREF1B3	IO	DQ7T5		B24	DQ2T13	DQ1T13
B3	VREF1B3	IO			B30		
B3	VREF1B3	IO	DQ7T6		C24	DQ2T14	DQ1T14
B3	VREF1B3	IO	DQ7T7		D24	DQ2T15	DQ1T15
B3	VREF1B3	IO			M23		
B3	VREF2B3	IO			C30		
B3	VREF2B3	IO	DQ8T0		A25	DQ3T0	DQ1T16
B3	VREF2B3	IO	DQ8T1		B25	DQ3T1	DQ1T17
B3	VREF2B3	IO			F27		
B3	VREF2B3	IO	DQ8T2		C25	DQ3T2	DQ1T18
B3	VREF2B3	IO	DQS8T		D25	DQS3T	
B3	VREF2B3	IO			E28		
B3	VREF2B3	IO	DQ8T3		A26	DQ3T3	DQ1T19
B3	VREF2B3	IO	DQ8T4		E25	DQ3T4	DQ1T20
B3	VREF2B3	IO			E29		
B3	VREF2B3	IO	DQ8T5		B26	DQ3T5	DQ1T21
B3	VREF2B3	IO	DQ8T6		C26	DQ3T6	DQ1T22
B3	VREF2B3	VREF2B3			M21		
B3	VREF2B3	IO	DQ8T7		D26	DQ3T7	DQ1T23
B3	VREF2B3	IO			C31		
B3	VREF2B3	IO			D30		
B3	VREF2B3	IO	DQ9T0		A27	DQ3T8	DQ1T24
B3	VREF2B3	IO			L23		
B3	VREF2B3	IO	DQ9T1		B27	DQ3T9	DQ1T25
B3	VREF2B3	IO			B31		
B3	VREF2B3	IO	DQ9T2		C27	DQ3T10	DQ1T26
B3	VREF2B3	IO	DQS9T		A28		
B3	VREF2B3	IO			F28		
B3	VREF2B3	IO	DQ9T3		B28	DQ3T11	DQ1T27
B3	VREF2B3	IO			F29		
B3	VREF2B3	IO	DQ9T4		C28	DQ3T12	DQ1T28
B3	VREF2B3	IO	DQ9T5		A29	DQ3T13	DQ1T29
B3	VREF2B3	IO	DQ9T6		B29	DQ3T14	DQ1T30
B3	VREF2B3	IO			E30		
B3	VREF2B3	IO	DQ9T7		C29	DQ3T15	DQ1T31
B3	VREF2B3	IO			F30		
		GXB_GND					
		GND					
		VCCIO2			C32		
		VCCIO2			N23		
		VCCIO2			R32		
		VCCIO2			T24		
		VCCIO1			AK32		
		VCCIO1			V32		
		VCCIO1			U23		
		VCCIO1			Y23		
		VCCIO8			AM19		
		VCCIO8			Y19		
		VCCIO8			AM30		
		VCCIO8			Y21		
		VCCIO7			AF7		
		VCCIO7			AM16		
		VCCIO7			AM12		
		VCCIO7			U11		
		VCCIO4			A13		
		VCCIO4			A16		
		VCCIO4			G7		
		VCCIO4			T11		
		VCCIO3			A19		
		VCCIO3			A30		
		VCCIO3			N19		
		VCCIO3			N21		
		VCCP_B13			M9		
		VCCP_B13			N9		
		VCCP_B14			P9		
		VCCP_B14			R9		
		VCCP_B15			W9		
		VCCP_B15			Y9		
		VCCP_B16			AA9		
		VCCP_B16			AB9		
		VCCR_B13			M8		
		VCCR_B13			N8		
		VCCR_B14			P8		
		VCCR_B14			R8		
		VCCR_B15			W8		
		VCCR_B15			Y8		
		VCCR_B16			AA8		
		VCCR_B16			AB8		
		VCCT_B13			M7		
		VCCT_B13			N7		
		VCCT_B14			P7		
		VCCT_B14			R7		
		VCCT_B15			W7		
		VCCT_B15			Y7		
		VCCT_B16			AA7		
		VCCT_B16			AB7		
		VCCINT			R15		
		VCCINT			P19		
		VCCINT			U15		
		VCCINT			V15		
		VCCINT			W22		
		VCCINT			AG12		
		VCCINT			P22		
		VCCINT			T17		
		VCCINT			V21		
		VCCINT			P15		
		VCCINT			R21		
		VCCINT			U18		
		VCCINT			W20		
		VCCINT			F11		
		VCCINT			R18		
		VCCINT			T21		
		VCCINT			W16		
		VCCINT			AG10		
		VCCINT			P21		
		VCCINT			T15		
		VCCINT			V19		
		VCCINT			F13		
		VCCINT			R20		
		VCCINT			U16		
		VCCINT			W18		
		VCCINT			W15		
		VCCINT			P20		
		VCCINT			T9		
		VCCINT			V17		
		VCCINT			U21		
		VCCINT			F9		
		VCCINT			R16		
		VCCINT			T19		
		VCCINT			V22		
		VCCINT			P17		
		VCCINT			R22		
		VCCINT			U20		
		VCCINT			W21		
		GXB_GND			A2		
		GXB_GND			AB4		
		GXB_GND			AE2		
		GXB_GND			AH3		
		GXB_GND			AJ6		
		GXB_GND			AK9		
		GXB_GND			AL10		
		GXB_GND			C1		
		GXB_GND			C12		
		GXB_GND			E9		
		GXB_GND			H4		
		GXB_GND			L2		
		GXB_GND			R1		
		GXB_GND			V5		
		GXB_GND			A11		
		GXB_GND			AD3		
		GXB_GND			AF5		
		GXB_GND			AH10		
		GXB_GND			AK5		
		GXB_GND			AL3		
		GXB_GND			B3		
		GXB_GND			C6		
		GXB_GND			D11		
		GXB_GND			F6		
		GXB_GND			J3		
		GXB_GND			N1		
		GXB_GND			T5		
		GXB_GND			Y4		
		GXB_GND			A7		
		GXB_GND			AC2		
		GXB_GND			AF3		
		GXB_GND			AH6		
		GXB_GND			AK3		
		GXB_GND			AL1		
		GXB_GND			AM8		
		GXB_GND			C4		
		GXB_GND			D7		
		GXB_GND			F4		
		GXB_GND			J1		
		GXB_GND			M4		
		GXB_GND			T3		
		GXB_GND			W3		
		GXB_GND			AA3		
		GXB_GND			AE1		
		GXB_GND			AG3		
		GXB_GND			AJ3		
		GXB_GND			AK8		
		GXB_GND			AL8		
		GXB_GND			B9		
		GXB_GND			C9		
		GXB_GND			E3		
		GXB_GND			G3		
		GXB_GND			K4		
		GXB_GND			P3		
		GXB_GND			U3		
		GXB_GND			A5		
		GXB_GND			AC1		
		GXB_GND			AE6		
		GXB_GND			AH5		
		GXB_GND			AJ10		
		GXB_GND			AK11		
		GXB_GND			AM6		
		GXB_GND			C3		
		GXB_GND			D5		
		GXB_GND			F3		
		GXB_GND			H6		
		GXB_GND			M3		
		GXB_GND			R3		
		GXB_GND			W2		
		GXB_GND			AA2		
		GXB_GND			AD5		
		GXB_GND			AG2		
		GXB_GND			AJ2		
		GXB_GND			AK7		
		GXB_GND			AL6		
		GXB_GND			B7		
		GXB_GND			C8		
		GXB_GND			E2		
		GXB_GND			G2		
		GXB_GND			K3		
		GXB_GND			N3		
		GXB_GND			U2		
		GXB_GND			V4		
		GXB_GND			A3		
		GXB_GND			AB5		
		GXB_GND			AE3		
		GXB_GND			AH4		
		GXB_GND			AJ8		
		GXB_GND			AK10		
		GXB_GND			AM4		
		GXB_GND			C2		
		GXB_GND			D3		
		GXB_GND			E11		
		GXB_GND			H5		
		GXB_GND			L3		
		GXB_GND			R2		
		GXB_GND			W1		
		GXB_GND			AA1		
		GXB_GND			AD4		
		GXB_GND			AG1		
		GXB_GND			AJ1		
		GXB_GND			AK6		
		GXB_GND			AL4		
		GXB_GND			B5		
		GXB_GND			C7		
		GXB_GND			E1		
		GXB_GND			G1		
		GXB_GND			J6		
		GXB_GND			N2		
		GXB_GND			U1		
		GXB_GND			Y5		
		GXB_GND			A9		
		GXB_GND			AC3		
		GXB_GND			AF4		
		GXB_GND			AH8		
		GXB_GND			AK4		
		GXB_GND			AL2		
		GXB_GND			AM10		
		GXB_GND			C5		
		GXB_GND			D9		
		GXB_GND			F5		
		GXB_GND			J2		
		GXB_GND			M5		
		GXB_GND			T4		
		GXB_GND			Y3		
		GXB_GND			AB3		
		GXB_GND			B11		
		GXB_GND			C10		
		GXB_GND			E5		
		GXB_GND			G6		
		GXB_GND			K5		
		GXB_GND			P4		
		GXB_GND			V3		
		GXB_GND			C11		
		GXB_GND			E7		
		GXB_GND			H3		
		GXB_GND			L1		
		GXB_GND			P5		
		GND			A20		
		GND			AL12		
		GND			D13		
		GND			P18		
		GND			T22		
		GND			AG8		
		GND			AG9		
		GND			AM31		
		GND			F10		
		GND			R19		
		GND			U19		
		GND			Y20		
		GND			AG6		
		GND			AL32		
		GND			F7		
		GND			AF6		
		GND			AE7		
		GND			W19		
		GND			AH12		
		GND			B16		
		GND			N20		
		GND			T16		
		GND			V16		
		GND			Y24		
		GND			A31		
		GND			AL16		
		GND			E13		
		GND			P32		
		GND			U10		
		GND			W17		
		GND			AG11		
		GND			B13		
		GND			F12		
		GND			T10		
		GND			U22		
		GND			Y22		
		GND			AG7		
		GND			AM20		
		GND			F8		
		GND			R17		
		GND			U17		
		GND			W32		
		GND			AJ12		
		GND			B32		
		GND			N22		
		GND			T18		
		GND			V18		
		GND			P16		
		GND			AK12		
		GND			C13		
		GND			N24		
		GND			T20		
		GND			V20		
		NC			AA16		
		NC			AD27		
		NC			K26		
		NC			P1		
		NC			U5		
		NC			V9		
		NC			AB16		
		NC			AJ32		
		NC			L16		
		NC			R4		
		NC			U7		
		NC			W5		
		NC			AC26		
		NC			D32		
		NC			M2		
		NC			R23		
		NC			U9		
		NC			Y2		
		NC			AD17		
		NC			J26		
		NC			M22		
		NC			T2		
		NC			V1		
		NC			AA19		
		NC			AJ31		
		NC			K27		
		NC			P2		
		NC			U6		
		NC			W4		
		NC			AC16		
		NC			D31		
		NC			M1		
		NC			R5		
		NC			U8		
		NC			Y1		
		NC			AC27		
		NC			J17		
		NC			M16		
		NC			T1		
		NC			U24		
		NC			Y12		
		NC			AD26		
		NC			J27		
		NC			N4		
		NC			T6		
		NC			V2		
		NC			U4		
		NC			V8		
		NC			N16		
		NC			T23		
		NC			V7		
		NC			K16		
		NC			N5		
		NC			T7		
		NC			V6		






							
