"Pin Information for the Stratix® IV GT EP4S40G5ES1 Device
 Version 1.3 
Notes (1), (2), (3), (4) 
QL0		GXB_RX_L1n					AR39	No			
QL0		GXB_TX_L0p					AT36	No			
QL0		GXB_TX_L0n					AT37	No			
QL0		GXB_RX_L0p					AU38	No			
QL0		GXB_RX_L0n					AU39	No			
QR0		GXB_RX_R0n					AU1	No			
QR0		GXB_RX_R0p					AU2	No			
QR0		GXB_TX_R0n					AT3	No			
QR0		GXB_TX_R0p					AT4	No			
QR0		GXB_RX_R1n					AR1	No			
QR0		GXB_RX_R1p					AR2	No			
QR0		GXB_TX_R1n					AP3	No			
QR0		GXB_TX_R1p					AP4	No			
QR0		"REFCLK_R0n,GXB_CMURX_R0n"					AN1	No			
QR0		"REFCLK_R0p,GXB_CMURX_R0p"					AN2	No			
QR0		GXB_CMUTX_R0n					AM3	No			
QR0		GXB_CMUTX_R0p					AM4	No			
QR0		"REFCLK_R1n,GXB_CMURX_R1n"					AL1	No			
QR0		"REFCLK_R1p,GXB_CMURX_R1p"					AL2	No			
QR0		GXB_CMUTX_R1n					AK3	No			
QR0		GXB_CMUTX_R1p					AK4	No			
QR0		GXB_RX_R2n					AJ1	No			
QR0		GXB_RX_R2p					AJ2	No			
QR0		GXB_TX_R2n					AH3	No			
QR0		GXB_TX_R2p					AH4	No			
QR0		GXB_RX_R3n					AG1	No			
QR0		GXB_RX_R3p					AG2	No			
QR0		GXB_TX_R3n					AF3	No			
QR0		GXB_TX_R3p					AF4	No			
QR1		GXB_RX_R4n					AE1	No			
QR1		GXB_RX_R4p					AE2	No			
QR1		GXB_TX_R4n					AD3	No			
QR1		GXB_TX_R4p					AD4	No			
QR1		GXB_RX_R5n					AC1	No			
QR1		GXB_RX_R5p					AC2	No			
QR1		GXB_TX_R5n					AB3	No			
QR1		GXB_TX_R5p					AB4	No			
QR1		"REFCLK_R2n,GXB_CMURX_R2n"					AA1	No			
QR1		"REFCLK_R2p,GXB_CMURX_R2p"					AA2	No			
QR1		GXB_CMUTX_R2n					Y3	No			
QR1		GXB_CMUTX_R2p					Y4	No			
QR1		"REFCLK_R3n,GXB_CMURX_R3n"					W1	No			
QR1		"REFCLK_R3p,GXB_CMURX_R3p"					W2	No			
QR1		GXB_CMUTX_R3n					V3	No			
QR1		GXB_CMUTX_R3p					V4	No			
QR1		GXB_RX_R6n					U1	No			
QR1		GXB_RX_R6p					U2	No			
QR1		GXB_TX_R6n					T3	No			
QR1		GXB_TX_R6p					T4	No			
QR1		GXB_RX_R7n					R1	No			
QR1		GXB_RX_R7p					R2	No			
QR1		GXB_TX_R7n					P3	No			
QR1		GXB_TX_R7p					P4	No			
QR2		GXB_RX_R8n					N1	No			
QR2		GXB_RX_R8p					N2	No			
QR2		GXB_TX_R8n					M3	No			
QR2		GXB_TX_R8p					M4	No			
QR2		GXB_RX_R9n					L1	No			
QR2		GXB_RX_R9p					L2	No			
QR2		GXB_TX_R9n					K3	No			
QR2		GXB_TX_R9p					K4	No			
QR2		"REFCLK_R4n,GXB_CMURX_R4n"					J1	No			
QR2		"REFCLK_R4p,GXB_CMURX_R4p"					J2	No			
QR2		GXB_CMUTX_R4n					H3	No			
QR2		GXB_CMUTX_R4p					H4	No			
QR2		"REFCLK_R5n,GXB_CMURX_R5n"					G1	No			
QR2		"REFCLK_R5p,GXB_CMURX_R5p"					G2	No			
QR2		GXB_CMUTX_R5n					F3	No			
QR2		GXB_CMUTX_R5p					F4	No			
QR2		GXB_RX_R10n					E1	No			
QR2		GXB_RX_R10p					E2	No			
QR2		GXB_TX_R10n					D3	No			
QR2		GXB_TX_R10p					D4	No			
QR2		GXB_RX_R11n					C1	No			
QR2		GXB_RX_R11p					C2	No			
QR2		GXB_TX_R11n					B3	No			
QR2		GXB_TX_R11p					B4	No			
		GND					AL11	No			
		GND					Y21	No			
		GND					AV6	No			
		GND					AV9	No			
		GND					AV12	No			
		GND					AV15	No			
		GND					AV18	No			
		GND					AV21	No			
		GND					AV24	No			
		GND					AV27	No			
		GND					AV30	No			
		GND					AV33	No			
		GND					AR6	No			
		GND					AR9	No			
		GND					AR12	No			
		GND					AR15	No			
		GND					AR18	No			
		GND					AR21	No			
		GND					AR24	No			
		GND					AR27	No			
		GND					AR30	No			
		GND					AR33	No			
		GND					AM7	No			
		GND					AM9	No			
		GND					AM12	No			
		GND					AM15	No			
		GND					AM18	No			
		GND					AM21	No			
		GND					AM24	No			
		GND					AM27	No			
		GND					AM30	No			
		GND					AM33	No			
		GND					AJ7	No			
		GND					AJ9	No			
		GND					AJ12	No			
		GND					AJ15	No			
		GND					AJ18	No			
		GND					AJ21	No			
		GND					AJ24	No			
		GND					AJ27	No			
		GND					AJ30	No			
		GND					AJ33	No			
		GND					AF9	No			
		GND					AF12	No			
		GND					AF15	No			
		GND					AF18	No			
		GND					AF21	No			
		GND					AF24	No			
		GND					AF27	No			
		GND					AF30	No			
		GND					AD23	No			
		GND					AC7	No			
		GND					AC9	No			
		GND					AC12	No			
		GND					AC14	No			
		GND					AC16	No			
		GND					AC18	No			
		GND					AC20	No			
		GND					AC22	No			
		GND					AC24	No			
		GND					AC27	No			
		GND					AC30	No			
		GND					AC33	No			
		GND					AB15	No			
		GND					AB17	No			
		GND					AB19	No			
		GND					AB21	No			
		GND					AB23	No			
		GND					AB25	No			
		GND					AA14	No			
		GND					AA16	No			
		GND					AA18	No			
		GND					AA22	No			
		GND					AA24	No			
		GND					Y12	No			
		GND					Y15	No			
		GND					Y17	No			
		GND					Y19	No			
		GND					Y23	No			
		GND					Y25	No			
		GND					Y27	No			
		GND					Y30	No			
		GND					W10	No			
		GND					W14	No			
		GND					W16	No			
		GND					W18	No			
		GND					W20	No			
		GND					W22	No			
		GND					W24	No			
		GND					V15	No			
		GND					V17	No			
		GND					V19	No			
		GND					V21	No			
		GND					V23	No			
		GND					V25	No			
		GND					U9	No			
		GND					U12	No			
		GND					U14	No			
		GND					U16	No			
		GND					U18	No			
		GND					U20	No			
		GND					U22	No			
		GND					U24	No			
		GND					U26	No			
		GND					U28	No			
		GND					U30	No			
		GND					T15	No			
		GND					T17	No			
		GND					T19	No			
		GND					T21	No			
		GND					T23	No			
		GND					T25	No			
		GND					P7	No			
		GND					P9	No			
		GND					P12	No			
		GND					P15	No			
		GND					P21	No			
		GND					P27	No			
		GND					P30	No			
		GND					P33	No			
		GND					N18	No			
		GND					N24	No			
		GND					L6	No			
		GND					L9	No			
		GND					L12	No			
		GND					L15	No			
		GND					L18	No			
		GND					L21	No			
		GND					L24	No			
		GND					L27	No			
		GND					L30	No			
		GND					L33	No			
		GND					H6	No			
		GND					H9	No			
		GND					H12	No			
		GND					H15	No			
		GND					H18	No			
		GND					H21	No			
		GND					H24	No			
		GND					H27	No			
		GND					H30	No			
		GND					H33	No			
		GND					E6	No			
		GND					E9	No			
		GND					E12	No			
		GND					E15	No			
		GND					E18	No			
		GND					E21	No			
		GND					E24	No			
		GND					E27	No			
		GND					E30	No			
		GND					E33	No			
		GND					B9	No			
		GND					B12	No			
		GND					B15	No			
		GND					B18	No			
		GND					B21	No			
		GND					B24	No			
		GND					B27	No			
		GND					B30	No			
		GND					A38	No			
		GND					A37	No			
		GND					A36	No			
		GND					A35	No			
		GND					A33	No			
		GND					B39	No			
		GND					B38	No			
		GND					B35	No			
		GND					B34	No			
		GND					B33	No			
		GND					C37	No			
		GND					C36	No			
		GND					D39	No			
		GND					D38	No			
		GND					E37	No			
		GND					E36	No			
		GND					F39	No			
		GND					F38	No			
		GND					G37	No			
		GND					G36	No			
		GND					H39	No			
		GND					H38	No			
		GND					J37	No			
		GND					J36	No			
		GND					K39	No			
		GND					K38	No			
		GND					L37	No			
		GND					L36	No			
		GND					M39	No			
		GND					M38	No			
		GND					N37	No			
		GND					N36	No			
		GND					P39	No			
		GND					P38	No			
		GND					R37	No			
		GND					R36	No			
		GND					T39	No			
		GND					T38	No			
		GND					T34	No			
		GND					T32	No			
		GND					U37	No			
		GND					AW37	No			
		GND					AV37	No			
		GND					AV38	No			
		GND					AV39	No			
		GND					AU36	No			
		GND					AU37	No			
		GND					AT38	No			
		GND					AT39	No			
		GND					AR36	No			
		GND					AR37	No			
		GND					AP38	No			
		GND					AP39	No			
		GND					AN36	No			
		GND					AN37	No			
		GND					AM38	No			
		GND					AM39	No			
		GND					AL36	No			
		GND					AL37	No			
		GND					AK38	No			
		GND					AK39	No			
		GND					AJ36	No			
		GND					AJ37	No			
		GND					AH38	No			
		GND					AH39	No			
		GND					AG36	No			
		GND					AG37	No			
		GND					AF33	No			
		GND					AF38	No			
		GND					AF39	No			
		GND					AE36	No			
		GND					AE37	No			
		GND					AD32	No			
		GND					AD34	No			
		GND					AD38	No			
		GND					AD39	No			
		GND					AC36	No			
		GND					AC37	No			
		GND					AB33	No			
		GND					AB38	No			
		GND					AB39	No			
		GND					AA36	No			
		GND					AA37	No			
		GND					Y32	No			
		GND					Y34	No			
		GND					Y38	No			
		GND					Y39	No			
		GND					W36	No			
		GND					W37	No			
		GND					V33	No			
		GND					V38	No			
		GND					V39	No			
		GND					U36	No			
		GND					A7	No			
		GND					A5	No			
		GND					A4	No			
		GND					A3	No			
		GND					A2	No			
		GND					B7	No			
		GND					B6	No			
		GND					B5	No			
		GND					B2	No			
		GND					B1	No			
		GND					C4	No			
		GND					C3	No			
		GND					D2	No			
		GND					D1	No			
		GND					E4	No			
		GND					E3	No			
		GND					F2	No			
		GND					F1	No			
		GND					G4	No			
		GND					G3	No			
		GND					H2	No			
		GND					H1	No			
		GND					J4	No			
		GND					J3	No			
		GND					K2	No			
		GND					K1	No			
		GND					L4	No			
		GND					L3	No			
		GND					M2	No			
		GND					M1	No			
		GND					N4	No			
		GND					N3	No			
		GND					P2	No			
		GND					P1	No			
		GND					R4	No			
		GND					R3	No			
		GND					T8	No			
		GND					T6	No			
		GND					T2	No			
		GND					T1	No			
		GND					U4	No			
		GND					U3	No			
		GND					V7	No			
		GND					V2	No			
		GND					V1	No			
		GND					W4	No			
		GND					W3	No			
		GND					Y8	No			
		GND					Y6	No			
		GND					Y2	No			
		GND					Y1	No			
		GND					AA4	No			
		GND					AA3	No			
		GND					AB7	No			
		GND					AB2	No			
		GND					AB1	No			
		GND					AC4	No			
		GND					AC3	No			
		GND					AD8	No			
		GND					AD6	No			
		GND					AD2	No			
		GND					AD1	No			
		GND					AE4	No			
		GND					AE3	No			
		GND					AF7	No			
		GND					AF2	No			
		GND					AF1	No			
		GND					AG4	No			
		GND					AG3	No			
		GND					AH2	No			
		GND					AH1	No			
		GND					AJ4	No			
		GND					AJ3	No			
		GND					AW3	No			
		GND					AV1	No			
		GND					AV2	No			
		GND					AV3	No			
		GND					AU3	No			
		GND					AU4	No			
		GND					AT1	No			
		GND					AT2	No			
		GND					AR3	No			
		GND					AR4	No			
		GND					AP1	No			
		GND					AP2	No			
		GND					AN3	No			
		GND					AN4	No			
		GND					AM1	No			
		GND					AM2	No			
		GND					AL3	No			
		GND					AL4	No			
		GND					AK1	No			
		GND					AK2	No			
		VCC					Y20	No			
		VCC					AC15	No			
		VCC					AC17	No			
		VCC					AC19	No			
		VCC					AC21	No			
		VCC					AC23	No			
		VCC					AC25	No			
		VCC					AB14	No			
		VCC					AB16	No			
		VCC					AB18	No			
		VCC					AB20	No			
		VCC					AB22	No			
		VCC					AB24	No			
		VCC					AA15	No			
		VCC					AA17	No			
		VCC					AA19	No			
		VCC					AA21	No			
		VCC					AA23	No			
		VCC					AA25	No			
		VCC					Y14	No			
		VCC					Y16	No			
		VCC					Y18	No			
		VCC					Y22	No			
		VCC					Y24	No			
		VCC					W15	No			
		VCC					W17	No			
		VCC					W19	No			
		VCC					W21	No			
		VCC					W23	No			
		VCC					W25	No			
		VCC					V14	No			
		VCC					V16	No			
		VCC					V18	No			
		VCC					V20	No			
		VCC					V22	No			
		VCC					V24	No			
		VCC					V26	No			
		VCC					U15	No			
		VCC					U17	No			
		VCC					U19	No			
		VCC					U21	No			
		VCC					U23	No			
		VCC					U25	No			
		VCC					T14	No			
		VCC					T16	No			
		VCC					T18	No			
		VCC					T20	No			
		VCC					T22	No			
		VCC					T24	No			
		VCC					T26	No			
		VCC					AF32	No			
		VCC					AE32	No			
		VCC					AB32	No			
		VCC					AA32	No			
		VCC					V32	No			
		VCC					U32	No			
		VCC					AF8	No			
		VCC					AE8	No			
		VCC					AB8	No			
		VCC					AA8	No			
		VCC					V8	No			
		VCC					U8	No			
		VCCPT					AA27	No			
		VCCPT					AA26	No			
		VCCPT					AM20	No			
		VCCPT					Y13	No			
		VCCPT					AA12	No			
		VCCPT					H20	No			
		DNU					AA20	No			
		VCCPGM					AK28	No			
		VCCPGM					AK12	No			
		TEMPDIODEn					E11	No			
		TEMPDIODEp					A9	No			
		VCC_CLKIN3C					AK21	No			
		VCC_CLKIN4C					AK18	No			
		VCC_CLKIN7C					K18	No			
		VCC_CLKIN8C					K21	No			
		VCCBAT					K11	No			
		VCCA_PLL_B1					AL20	No			
		VCCA_PLL_B2					AL19	No			
		VCCA_PLL_L2					Y29	No			
		VCCA_PLL_L3					AA29	No			
		VCCA_PLL_R2					Y10	No			
		VCCA_PLL_R3					AA10	No			
		VCCA_PLL_T1					J20	No			
		VCCA_PLL_T2					J19	No			
		VCCD_PLL_B1					AK20	No			
		VCCD_PLL_B2					AK19	No			
		VCCD_PLL_L2					Y28	No			
		VCCD_PLL_L3					AA28	No			
		VCCD_PLL_R2					Y11	No			
		VCCD_PLL_R3					AA11	No			
		VCCD_PLL_T1					K20	No			
		VCCD_PLL_T2					K19	No			
		VCCIO1A					J31	No			
		VCCIO1A					G32	No			
		VCCIO1A					G34	No			
		VCCIO1A					E35	No			
		VCCIO1A					D32	No			
		VCCIO1C					AA30	No			
		VCCIO1C					T29	No			
		VCCIO1C					N32	No			
		VCCIO1C					K33	No			
		VCCIO2A					AT35	No			
		VCCIO2A					AP31	No			
		VCCIO2A					AM32	No			
		VCCIO2A					AJ28	No			
		VCCIO2A					AG26	No			
		VCCIO2C					AL33	No			
		VCCIO2C					AH31	No			
		VCCIO2C					AG33	No			
		VCCIO2C					AF31	No			
		VCCIO3A					AU30	No			
		VCCIO3A					AR29	No			
		VCCIO3A					AL26	No			
		VCCIO3A					AH25	No			
		VCCIO3B					AR26	No			
		VCCIO3B					AG23	No			
		VCCIO3C					AW24	No			
		VCCIO3C					AK22	No			
		VCCIO3C					AH21	No			
		VCCIO4A					AU13	No			
		VCCIO4A					AP12	No			
		VCCIO4A					AK15	No			
		VCCIO4A					AH15	No			
		VCCIO4B					AW15	No			
		VCCIO4B					AJ17	No			
		VCCIO4C					AW17	No			
		VCCIO4C					AU21	No			
		VCCIO4C					AJ19	No			
		VCCIO5A					AW9	No			
		VCCIO5A					AR7	No			
		VCCIO5A					AR10	No			
		VCCIO5A					AN8	No			
		VCCIO5A					AK10	No			
		VCCIO5C					AL7	No			
		VCCIO5C					AJ8	No			
		VCCIO5C					AH7	No			
		VCCIO5C					AE9	No			
		VCCIO6A					M9	No			
		VCCIO6A					H8	No			
		VCCIO6A					E5	No			
		VCCIO6A					E8	No			
		VCCIO6A					B8	No			
		VCCIO6C					V13	No			
		VCCIO6C					T11	No			
		VCCIO6C					P10	No			
		VCCIO6C					H5	No			
		VCCIO7A					M15	No			
		VCCIO7A					J14	No			
		VCCIO7A					D12	No			
		VCCIO7A					A12	No			
		VCCIO7B					L17	No			
		VCCIO7B					A15	No			
		VCCIO7C					M18	No			
		VCCIO7C					E19	No			
		VCCIO7C					C21	No			
		VCCIO8A					M26	No			
		VCCIO8A					J28	No			
		VCCIO8A					D30	No			
		VCCIO8A					A30	No			
		VCCIO8B					K25	No			
		VCCIO8B					E26	No			
		VCCIO8C					L22	No			
		VCCIO8C					F22	No			
		VCCIO8C					C23	No			
		VCCPD1A					U27	No			
		VCCPD1C					W27	No			
		VCCPD2A					AB26	No			
		VCCPD2C					Y26	No			
		VCCPD3A					AD24	No			
		VCCPD3B					AD22	No			
		VCCPD3C					AD20	No			
		VCCPD4A					AD14	No			
		VCCPD4B					AD16	No			
		VCCPD4C					AD18	No			
		VCCPD5A					AC13	No			
		VCCPD5C					AA13	No			
		VCCPD6A					U13	No			
		VCCPD6C					W13	No			
		VCCPD7A					R15	No			
		VCCPD7B					R17	No			
		VCCPD7C					R19	No			
		VCCPD8A					R25	No			
		VCCPD8B					R23	No			
		VCCPD8C					R21	No			
1A	VREFB1AN0	VREFB1AN0	VREFB1AN0				P28	No			
1C	VREFB1CN0	VREFB1CN0	VREFB1CN0				U29	No			
2A	VREFB2AN0	VREFB2AN0	VREFB2AN0				AF28	No			
2C	VREFB2CN0	VREFB2CN0	VREFB2CN0				AB29	No			
3A	VREFB3AN0	VREFB3AN0	VREFB3AN0				AN28	No			
3B	VREFB3BN0	VREFB3BN0	VREFB3BN0				AL24	No			
3C	VREFB3CN0	VREFB3CN0	VREFB3CN0				AP22	No			
4A	VREFB4AN0	VREFB4AN0	VREFB4AN0				AN12	No			
4B	VREFB4BN0	VREFB4BN0	VREFB4BN0				AM16	No			
4C	VREFB4CN0	VREFB4CN0	VREFB4CN0				AL18	No			
5A	VREFB5AN0	VREFB5AN0	VREFB5AN0				AG11	No			
5C	VREFB5CN0	VREFB5CN0	VREFB5CN0				AD11	No			
6A	VREFB6AN0	VREFB6AN0	VREFB6AN0				P11	No			
6C	VREFB6CN0	VREFB6CN0	VREFB6CN0				U11	No			
7A	VREFB7AN0	VREFB7AN0	VREFB7AN0				G12	No			
7B	VREFB7BN0	VREFB7BN0	VREFB7BN0				H16	No			
7C	VREFB7CN0	VREFB7CN0	VREFB7CN0				E20	No			
8A	VREFB8AN0	VREFB8AN0	VREFB8AN0				F29	No			
8B	VREFB8BN0	VREFB8BN0	VREFB8BN0				H25	No			
8C	VREFB8CN0	VREFB8CN0	VREFB8CN0				J21	No			
		NC					L28	No			
		NC					AM28	No			
		NC					AK11	No			
		NC					F11	No			
		NC					AV36	No			
		NC					AU35	No			
		NC					AU5	No			
		NC					AV4	No			
		NC					AD17	No			
		NC					R16	No			
		NC					R26	No			
		NC					C35	No			
		NC					D35	No			
		NC					L35	No			
		NC					V31	No			
		NC					U31	No			
		NC					W33	No			
		NC					W32	No			
		NC					W35	No			
		NC					W34	No			
		NC					J34	No			
		NC					K34	No			
		NC					AJ34	No			
		NC					AH34	No			
		NC					AJ6	No			
		NC					AH6	No			
		NC					P6	No			
		NC					N6	No			
		NC					F35	No			
		NC					G35	No			
		NC					H35	No			
		NC					J35	No			
		NC					K35	No			
		NC					T31	No			
		NC					R33	No			
		NC					R32	No			
		NC					AF34	No			
		NC					AE35	No			
		NC					AG34	No			
		NC					AG35	No			
		NC					AC31	No			
		NC					AC32	No			
		NC					AB31	No			
		NC					AJ35	No			
		NC					AH35	No			
		NC					AK35	No			
		NC					AG31	No			
		NC					AG32	No			
		NC					AL35	No			
		NC					AN35	No			
		NC					AD31	No			
		NC					AM35	No			
		NC					AE31	No			
		NC					AP35	No			
		NC					AR35	No			
		NC					AT5	No			
		NC					AR5	No			
		NC					AP5	No			
		NC					AM5	No			
		NC					AN5	No			
		NC					AL5	No			
		NC					AG9	No			
		NC					AK5	No			
		NC					AD9	No			
		NC					AJ5	No			
		NC					AG7	No			
		NC					AG8	No			
		NC					AC8	No			
		NC					AB9	No			
		NC					AH5	No			
		NC					AG5	No			
		NC					AG6	No			
		NC					AE5	No			
		NC					AF6	No			
		NC					W6	No			
		NC					W5	No			
		NC					W8	No			
		NC					W7	No			
		NC					V6	No			
		NC					U5	No			
		NC					T9	No			
		NC					R6	No			
		NC					R5	No			
		NC					V9	No			
		NC					R7	No			
		NC					N5	No			
		NC					L5	No			
		NC					R9	No			
		NC					R8	No			
		NC					K5	No			
		NC					J5	No			
		NC					G5	No			
		NC					F5	No			
		NC					D5	No			
		NC					C5	No			
		VCCAUX					H29	No			
		VCCAUX					AL28	No			
		VCCAUX					AL12	No			
		VCCAUX					G11	No			
		VCCA_L					M35	No			
		VCCA_L					AF35	No			
		VCCA_R					M5	No			
		VCCA_R					AF5	No			
		VCCH_GXBL0					AE34	No			
		VCCH_GXBL1					AA34	No			
		VCCH_GXBL2					U34	No			
		VCCH_GXBR0					AE6	No			
		VCCH_GXBR1					AA6	No			
		VCCH_GXBR2					U6	No			
		VCCL_GXBL0					AD33	No			
		VCCL_GXBL0					AE33	No			
		VCCL_GXBL1					Y33	No			
		VCCL_GXBL1					AA33	No			
		VCCL_GXBL2					T33	No			
		VCCL_GXBL2					U33	No			
		VCCL_GXBR0					AD7	No			
		VCCL_GXBR0					AE7	No			
		VCCL_GXBR1					Y7	No			
		VCCL_GXBR1					AA7	No			
		VCCL_GXBR2					T7	No			
		VCCL_GXBR2					U7	No			
		VCCR_L					T35	No			
		VCCR_L					Y35	No			
		VCCR_L					AD35	No			
		VCCR_R					T5	No			
		VCCR_R					Y5	No			
		VCCR_R					AD5	No			
		VCCT_L					P35	No			
		VCCT_L					V35	No			
		VCCT_L					AB35	No			
		VCCT_R					P5	No			
		VCCT_R					V5	No			
		VCCT_R					AB5	No			
		VCCHIP_L					W31	No			
		VCCHIP_L					Y31	No			
		VCCHIP_L					AA31	No			
		VCCHIP_R					W9	No			
		VCCHIP_R					Y9	No			
		VCCHIP_R					AA9	No			
		RREF_L0					AW38	No			
		RREF_L1					A34	No			
		RREF_R0					AW2	No			
		RREF_R1					A6	No			
											
Notes:											
(1) Pins with this symbol (*) can be used as clock pins when the transceiver blocks operate below 6.5Gbps speed.  											
(2) Pins with this symbol (**) can only be used in configuration mode. These pins can not be used as user I/O pins after configuration.											
(3) Pins with this symbol (***) can only be used as single-ended I/O.											
(4) Pin optional functions with this symbol (****) are not available. 											
