Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	M484	DQS for X8	DQS for X16									
		GND					Y5											
		GND					L18											
		GND					N10											
		GND					U16											
		GND					A16											
		GND					A24											
		GND					AB13											
		GND					AF24											
		GND					H17											
		GND					AE20											
		GND					AA17											
		GND					W4											
		GND					T1											
		GND					D21											
		GND					AA4											
		GND					H3											
		GND					H9											
		GND					Y6											
		GND					U24											
		GND					K19											
		GND					AB3											
		GND					U12											
		GND					AD28											
		GND					M8											
		GND					M19											
		GND					T4											
		GND					W1											
		GND					U3											
		GND					C1											
		GND					E13											
		GND					N20											
		GND					V11											
		GND					AA9											
		GND					T9											
		VCC					U4											
		VCC					Y4											
		VCC					T3											
		VCC					N17											
		VCC					V18											
		VCC					L13											
		VCC					N11											
		VCC					M12											
		VCC					N13											
		VCC					M16											
		VCC					T18											
		VCC					T10											
		VCC					V12											
		VCC					U17											
		VCC					M18											
		VCC					U11											
		VCC					U13											
		VCC					L17											
		VCC					V16											
		VCC					T16											
		VCC					N19											
		VCC					L11											
		VCC					T12											
		DNU					F1											
		DNU					D1											
		DNU					AA5											
		DNU					W16											
		DNU					C25											
		DNU					H12											
		VCCPGM					AH5											
		VCCPGM					AD26											
		VCCPGM					D7											
		VCCBAT					C4											
		VCCIO3A					AF9											
		VCCIO3A					AE5											
		VCCIO3B					AE12											
		VCCIO3B					AC10											
		VCCIO3B					AH13											
		VCCIO3B					Y12											
		VCCIO4A					AH27											
		VCCIO4A					AE26											
		VCCIO4A					Y20											
		VCCIO4A					AF17											
		VCCIO4A					AH21											
		VCCIO4A					AD22											
		VCCIO5A					AB26											
		VCCIO5A					W28											
		VCCIO5B					M20											
		VCCIO5B					T21											
		VCCIO5B					N23											
		VCCIO5B					T26											
		VCCIO6A					J26											
		VCCIO6A					M25											
		VCCIO7A					D17											
		VCCIO7A					E19											
		VCCIO7A					C20											
		VCCIO7A					F22											
		VCCIO7A					J13											
		VCCIO7A					F16											
		VCCIO8A					C12											
		VCCIO8A					D9											
		VCCIO8A					G8											
		VCCIO8A					E7											
		VCCPD3A					AC7											
		VCCPD3B4A					AD20											
		VCCPD3B4A					AD17											
		VCCPD3B4A					AD12											
		VCCPD3B4A					AC13											
		VCCPD5A					Y22											
		VCCPD5B					N24											
		VCCPD5B					U23											
		VCCPD6A					J22											
		VCCPD7A8A					G13											
		VCCPD7A8A					E21											
		VCCPD7A8A					D19											
		VCCPD7A8A					F9											
3A	VREFB3AN0	VREFB3AN0					AF7											
3B	VREFB3BN0	VREFB3BN0					W13											
4A	VREFB4AN0	VREFB4AN0					AD19											
5A	VREFB5AN0	VREFB5AN0					AA25											
5B	VREFB5BN0	VREFB5BN0					M23											
6A	VREFB6AN0	VREFB6AN0					H26											
7A	VREFB7AN0	VREFB7AN0					A17											
8A	VREFB8AN0	VREFB8AN0					A7											
		NC					AA3											
		NC					AB4											
		NC					AG1											
		NC					AF1											
		NC					AD1											
		NC					AC1											
		NC					AA1											
		NC					Y1											
		NC					V1											
		NC					U1											
		NC					M1											
		NC					L1											
		NC					H1											
		NC					J1											
		NC					N4											
		NC					M5											
		NC					J5											
		NC					K4											
		NC					M6											
		NC					T5											
		NC					G6											
		NC					J4											
		NC					N5											
		NC					M7											
		NC					H4											
		NC					W21											
		NC					N3											
		NC					G5											
		NC					N6											
		NC					K3											
		RREF_TL					B1											
		VCCA_FPLL					AD4											
		VCCA_FPLL					E3											
		VCCA_FPLL					AD25											
		VCCA_FPLL					G25											
		VCCA_FPLL					W3											
		VCC_AUX					C24											
		VCC_AUX					AE22											
		VCC_AUX					D5											
		VCC_AUX					AF16											
		VCC_AUX					AF5											
		VCC_AUX					C16											
Note:																		
"(1) For more information about pin definition and pin connection guidelines, refer to the"												
Cyclone V Device Family Pin Connection Guidelines.																		
																		
"Pin Information for the Cyclone® V 5CEBA7 Device 
Version 1.3 
Note (1)"																		
