Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	M383	DQS for X8	HMC Pin Assignment for DDR3/DDR2 (2)	HMC Pin Assignment for LPDDR2	Board Connection Requirement for Pin Migration Only									
		VCCIO7A					A6													
		VCCIO7A					B3													
		VCCIO7A					C10													
		VCCIO7A					E9													
		VCCIO7A					F1													
		VCCIO8A					A16													
		VCCIO8A					A21													
		VCCIO8A					C15													
		VCCIO8A					C20													
		VCCPD1A2A					K22				DNU									
		VCCPD1A2A					R23				DNU									
		VCCPD3A					AB16													
		VCCPD3B4A					AB7													
		VCCPD3B4A					AC13													
		VCCPD5A					P4													
		VCCPD5B					L4													
		VCCPD7A8A					D13													
		VCCPD7A8A					D16													
		VCCPD7A8A					D6													
1A	VREFB1AN0	VREFB1AN0					L23				GND									
2A	VREFB2AN0	VREFB2AN0					AC24				GND									
3A	VREFB3AN0	VREFB3AN0					AD20													
3B	VREFB3BN0	VREFB3BN0					AC11													
4A	VREFB4AN0	VREFB4AN0					AE7													
5A	VREFB5AN0	VREFB5AN0					V3													
5B	VREFB5BN0	VREFB5BN0					K3													
7A	VREFB7AN0	VREFB7AN0					C9													
8A	VREFB8AN0	VREFB8AN0					C17													
		RREF_TL					D25													
		VCCA_FPLL					L24													
		VCCA_FPLL					U24													
		VCCA_FPLL					AB23													
		VCCA_FPLL					D23													
		VCCA_FPLL					U4													
		VCCA_FPLL					G4													
		VCC_AUX					AA13													
		VCC_AUX					AA18													
		VCC_AUX					AB6													
		VCC_AUX					D18													
		VCC_AUX					D5													
		VCC_AUX					E12													
Notes:																				
"(1) For more information about pin definition and pin connection guidelines, refer to the"												
Cyclone V Device Family Pin Connection Guidelines.																	
(2) RESET pin is only applicable for DDR3 device.																				

"Pin Information for the Cyclone® V 5CEFA2 Device 
Version 1.3 
Note (1)"																				
