Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	U484	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (2)	HMC Pin Assignment for LPDDR2							
8A	VREFB8AN0	IO			DIFFIO_RX_T47p	DIFFOUT_T47p	C10	DQ4T		T_BA_1								
8A	VREFB8AN0	IO			DIFFIO_TX_T48p	DIFFOUT_T48p	C6	DQ4T		T_BA_0								
8A	VREFB8AN0	IO			DIFFIO_RX_T47n	DIFFOUT_T47n	C9	DQ4T		T_BA_2								
8A	VREFB8AN0	IO			DIFFIO_TX_T48n	DIFFOUT_T48n	D7			GND	GND							
8A	VREFB8AN0	IO	"CLK8p,FPLL_TL_FBp"		DIFFIO_RX_T49p	DIFFOUT_T49p	K7											
8A	VREFB8AN0	IO			DIFFIO_TX_T50p	DIFFOUT_T50p	A10	DQ5T		T_CAS#								
8A	VREFB8AN0	IO	"CLK8n,FPLL_TL_FBn"		DIFFIO_RX_T49n	DIFFOUT_T49n	J7											
8A	VREFB8AN0	IO			DIFFIO_TX_T50n	DIFFOUT_T50n	A9	DQ5T		T_RAS#								
8A	VREFB8AN0	IO			DIFFIO_RX_T51p	DIFFOUT_T51p	D9	DQ5T		T_A_8	T_CA_8							
8A	VREFB8AN0	IO			DIFFIO_TX_T52p	DIFFOUT_T52p	B6	DQ5T		T_A_10								
8A	VREFB8AN0	IO			DIFFIO_RX_T51n	DIFFOUT_T51n	D8	DQ5T		T_A_9	T_CA_9							
8A	VREFB8AN0	IO			DIFFIO_TX_T52n	DIFFOUT_T52n	B5	DQ5T		T_A_11								
8A	VREFB8AN0	IO			DIFFIO_RX_T53p	DIFFOUT_T53p	H8	DQS5T		T_CS#_0	T_CS#_0							
8A	VREFB8AN0	IO			DIFFIO_TX_T54p	DIFFOUT_T54p	C8			T_A_12								
8A	VREFB8AN0	IO			DIFFIO_RX_T53n	DIFFOUT_T53n	G7	DQSn5T		T_CS#_1	T_CS#_1							
8A	VREFB8AN0	IO			DIFFIO_TX_T54n	DIFFOUT_T54n	B8	DQ5T		T_A_13								
8A	VREFB8AN0	IO			DIFFIO_RX_T55p	DIFFOUT_T55p	H6	DQ5T		T_A_14								
8A	VREFB8AN0	IO			DIFFIO_TX_T56p	DIFFOUT_T56p	E6	DQ5T		T_WE#								
8A	VREFB8AN0	IO			DIFFIO_RX_T55n	DIFFOUT_T55n	G6	DQ5T		T_A_15								
8A	VREFB8AN0	IO			DIFFIO_TX_T56n	DIFFOUT_T56n	F7			GND	GND							
9A		MSEL0		MSEL0			L6											
9A		CONF_DONE		CONF_DONE			J6											
9A		MSEL1		MSEL1			K6											
9A		nSTATUS		nSTATUS			G5											
9A		nCE		nCE			H5											
9A		MSEL2		MSEL2			A2											
9A		MSEL3		MSEL3			E5											
9A		nCONFIG		nCONFIG			A4											
9A		MSEL4		MSEL4			C5											
9A		GND					F3											
		GND					F21											
		GND					AB19											
		GND					AB2											
		GND					AB1											
		GND					AA16											
		GND					AA11											
		GND					AA4											
		GND					AA3											
		GND					Y13											
		GND					Y8											
		GND					Y5											
		GND					Y2											
		GND					Y1											
		GND					W20											
		GND					W4											
		GND					W3											
		GND					V22											
		GND					V17											
		GND					V2											
		GND					V1											
		GND					U19											
		GND					U14											
		GND					U9											
		GND					U5											
		GND					U3											
		GND					T11											
		GND					T2											
		GND					T1											
		GND					R13											
		GND					R3											
		GND					P10											
		GND					P4											
		GND					P2											
		GND					P1											
		GND					N22											
		GND					N15											
		GND					N13											
		GND					N11											
		GND					N7											
		GND					N5											
		GND					N3											
		GND					M19											
		GND					M14											
		GND					M12											
		GND					M9											
		GND					M4											
		GND					M2											
		GND					M1											
		GND					L16											
		GND					L13											
		GND					L11											
		GND					L5											
		GND					L3											
		GND					K14											
		GND					K12											
		GND					K10											
		GND					K8											
		GND					K4											
		GND					K2											
		GND					K1											
		GND					J20											
		GND					J15											
		GND					J13											
		GND					J11											
		GND					J5											
		GND					J3											
		GND					H14											
		GND					H4											
		GND					H3											
		GND					H2											
		GND					H1											
		GND					G9											
		GND					G3											
		GND					F16											
		GND					F11											
		GND					F6											
		GND					F2											
		GND					F1											
		GND					E13											
		GND					E4											
		GND					E3											
		GND					D20											
		GND					D10											
		GND					D5											
		GND					D2											
		GND					D1											
		GND					C22											
		GND					C17											
		GND					C7											
		GND					C4											
		GND					C3											
		GND					B14											
		GND					B2											
		GND					B1											
		GND					A21											
		GND					A11											
		GND					A5											
		VCC					J14											
		VCC					P15											
		VCC					P13											
		VCC					P11											
		VCC					N14											
		VCC					N12											
		VCC					M15											
		VCC					M13											
		VCC					M11											
		VCC					L14											
		VCC					L12											
		VCC					L10											
		VCC					K13											
		VCC					K11											
		VCC					K9											
		VCC					J12											
		VCC					J10											
		VCC					H15											
		VCC					H13											
		VCC					H11											
		DNU					B3											
		DNU					B4											
		DNU					D21											
		DNU					E10											
		VCCPGM					Y6											
		VCCPGM					U20											
		VCCPGM					B7											
		VCCBAT					A3											
		VCCIO3A					T6											
		VCCIO3A					AA6											
		VCCIO3B					V7											
		VCCIO3B					AB9											
		VCCIO3B					W10											
		VCCIO3B					R8											
		VCCIO4A					T16											
		VCCIO4A					AB14											
		VCCIO4A					AA21											
		VCCIO4A					Y18											
		VCCIO4A					W15											
		VCCIO4A					V12											
		VCCIO5A					T21											
		VCCIO5A					R18											
		VCCIO5B					H22											
		VCCIO5B					P20											
		VCCIO5B					N17											
		VCCIO5B					L21											
		VCCIO5B					K18											
		VCCIO5B					G19											
		VCCIO7A					B19											
		VCCIO7A					H17											
		VCCIO7A					E18											
		VCCIO7A					D15											
		VCCIO7A					C12											
		VCCIO7A					A16											
		VCCIO8A					E8											
		VCCIO8A					H7											
		VCCIO8A					B9											
		VCCIO8A					A6											
		VCCPD3A					V6											
		VCCPD3B4A					V16											
		VCCPD3B4A					W9											
		VCCPD3B4A					V14											
		VCCPD3B4A					V10											
		VCCPD5A					P17											
		VCCPD5B					N19											
		VCCPD5B					M18											
		VCCPD7A8A					F13											
		VCCPD7A8A					F9											
		VCCPD7A8A					E15											
		VCCPD7A8A					E9											
3A	VREFB3AN0	VREFB3AN0					W6											
3B	VREFB3BN0	VREFB3BN0					AB12											
4A	VREFB4AN0	VREFB4AN0					AA14											
5A	VREFB5AN0	VREFB5AN0					V21											
5B	VREFB5BN0	VREFB5BN0					K20											
7A	VREFB7AN0	VREFB7AN0					D16											
8A	VREFB8AN0	VREFB8AN0					B10											
		NC					AB3											
		NC					V11											
		NC					P22											
		NC					P21											
		NC					P18											
		NC					P16											
		NC					N21											
		NC					N20											
		NC					N18											
		NC					N16											
		NC					M22											
		NC					M21											
		NC					M20											
		NC					L22											
		NC					K22											
		NC					J22											
		NC					F22											
		NC					E22											
		VCCH_GXBL					T3											
		VCCH_GXBL					M3											
		VCCL_GXBL					P3											
		VCCL_GXBL					K3											
		RREF_TL					A1											
		VCCA_FPLL					T4											
		VCCA_FPLL					F4											
		VCCA_FPLL					U18											
		VCCA_FPLL					E19											
		VCC_AUX					D6											
		VCC_AUX					D12											
		VCC_AUX					D19											
		VCC_AUX					W19											
		VCC_AUX					AA12											
		VCC_AUX					AB5											
		VCCE_GXBL					L4											
		VCCE_GXBL					N4											
		VCCE_GXBL					K5											
		VCCE_GXBL					J4											
Notes:																		
"(1) For more information about pin definition and pin connection guidelines, refer to the"												
Cyclone V Device Family Pin Connection Guidelines.																	
(2) RESET pin is only applicable for DDR3 device.																		

"Pin Information for the Cyclone® V 5CGTFD5 Device 
Version 1.3
 Note (1)"																		
