Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	U672	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
6A	VREFB6AN0_HPS	HPS_DDR					A24			HPS_A_10								
6A	VREFB6AN0_HPS	HPS_DDR					F25			HPS_A_9	HPS_CA_9							
6A	VREFB6AN0_HPS	HPS_DDR					B24			HPS_A_11								
6A	VREFB6AN0_HPS	HPS_DDR					L21			HPS_CS#_0	HPS_CS#_0							
6A	VREFB6AN0_HPS	HPS_DDR					D24			HPS_A_12								
6A	VREFB6AN0_HPS	HPS_DDR					L20			HPS_CS#_1	HPS_CS#_1							
6A	VREFB6AN0_HPS	HPS_DDR					C24			HPS_A_13								
6A	VREFB6AN0_HPS	HPS_DDR					G23			HPS_A_14								
6A	VREFB6AN0_HPS	HPS_DDR					E25			HPS_WE#								
6A	VREFB6AN0_HPS	HPS_DDR					F24			HPS_A_15								
6A	VREFB6AN0_HPS	HPS_RZQ_0					D25											
7A		GND					F23											
7A		GND					E23											
7A		HPS_nRST					A23											
7A		HPS_nPOR					H19											
7A		HPS_TDO					B23											
		VCCRSTCLK_HPS					J19											
7A		HPS_TMS					C23											
7A		HPS_TCK					K19											
7A		HPS_TRST					C22											
7A		HPS_TDI					D22											
7A		GND					D21											
7A		HPS_PORSEL					E18											
7A		HPS_CLK1					E20											
7A		HPS_CLK2					D20											
7A	VREFB7A7B7C7DN0_HPS	TRACE_CLK					C21					TRACE_CLK			HPS_GPIO48			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D0					A22					TRACE_D0	SPIS0_CLK	UART0_RX	HPS_GPIO49			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D1					B21					TRACE_D1	SPIS0_MOSI	UART0_TX	HPS_GPIO50			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D2					A21					TRACE_D2	SPIS0_MISO	I2C1_SDA	HPS_GPIO51			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D3					K18					TRACE_D3	SPIS0_SS0	I2C1_SCL	HPS_GPIO52			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D4					A20					TRACE_D4	SPIS1_CLK	CAN1_RX	HPS_GPIO53			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D5					J18					TRACE_D5	SPIS1_MOSI	CAN1_TX	HPS_GPIO54			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D6					A19					TRACE_D6	SPIS1_SS0	I2C0_SDA	HPS_GPIO55			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D7					C18					TRACE_D7	SPIS1_MISO	I2C0_SCL	HPS_GPIO56			
7A	VREFB7A7B7C7DN0_HPS	SPIM0_CLK					A18					SPIM0_CLK	I2C1_SDA	UART0_CTS	HPS_GPIO57			
7A	VREFB7A7B7C7DN0_HPS	SPIM0_MOSI					C17					SPIM0_MOSI	I2C1_SCL	UART0_RTS	HPS_GPIO58			
7A	VREFB7A7B7C7DN0_HPS	SPIM0_MISO					B18					SPIM0_MISO	CAN1_RX	UART1_CTS	HPS_GPIO59			
7A	VREFB7A7B7C7DN0_HPS	"SPIM0_SS0,BOOTSEL0"					J17					SPIM0_SS0	CAN1_TX	UART1_RTS	HPS_GPIO60			
7A	VREFB7A7B7C7DN0_HPS	UART0_RX					A17					UART0_RX	CAN0_RX	SPIM0_SS1	HPS_GPIO61			
7A	VREFB7A7B7C7DN0_HPS	"UART0_TX,CLKSEL1"					H17					UART0_TX	CAN0_TX	SPIM1_SS1	HPS_GPIO62			
7A	VREFB7A7B7C7DN0_HPS	I2C0_SDA					C19					I2C0_SDA	UART1_RX	SPIM1_CLK	HPS_GPIO63			
7A	VREFB7A7B7C7DN0_HPS	I2C0_SCL					B16					I2C0_SCL	UART1_TX	SPIM1_MOSI	HPS_GPIO64			
7A	VREFB7A7B7C7DN0_HPS	CAN0_RX					B19					CAN0_RX	UART0_RX	SPIM1_MISO	HPS_GPIO65			
7A	VREFB7A7B7C7DN0_HPS	"CAN0_TX,CLKSEL0"					C16					CAN0_TX	UART0_TX	SPIM1_SS0	HPS_GPIO66			
7B	VREFB7A7B7C7DN0_HPS	NAND_ALE					J15					NAND_ALE	RGMII1_TX_CLK	QSPI_SS3	HPS_GPIO14			
7B	VREFB7A7B7C7DN0_HPS	NAND_CE					A16					NAND_CE	RGMII1_TXD0	USB1_D0	HPS_GPIO15			
7B	VREFB7A7B7C7DN0_HPS	NAND_CLE					J14					NAND_CLE	RGMII1_TXD1	USB1_D1	HPS_GPIO16			
7B	VREFB7A7B7C7DN0_HPS	NAND_RE					A15					NAND_RE	RGMII1_TXD2	USB1_D2	HPS_GPIO17			
7B	VREFB7A7B7C7DN0_HPS	NAND_RB					D17					NAND_RB	RGMII1_TXD3	USB1_D3	HPS_GPIO18			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ0					A14					NAND_DQ0	RGMII1_RXD0		HPS_GPIO19			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ1					E16					NAND_DQ1	RGMII1_MDIO	I2C3_SDA	HPS_GPIO20			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ2					A13					NAND_DQ2	RGMII1_MDC	I2C3_SCL	HPS_GPIO21			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ3					J13					NAND_DQ3	RGMII1_RX_CTL	USB1_D4	HPS_GPIO22			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ4					A12					NAND_DQ4	RGMII1_TX_CTL	USB1_D5	HPS_GPIO23			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ5					J12					NAND_DQ5	RGMII1_RX_CLK	USB1_D6	HPS_GPIO24			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ6					A11					NAND_DQ6	RGMII1_RXD1	USB1_D7	HPS_GPIO25			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ7					C15					NAND_DQ7	RGMII1_RXD2		HPS_GPIO26			
7B	VREFB7A7B7C7DN0_HPS	NAND_WP					A9					NAND_WP	RGMII1_RXD3	QSPI_SS2	HPS_GPIO27			
7B	VREFB7A7B7C7DN0_HPS	"NAND_WE,BOOTSEL2"					D15					NAND_WE	QSPI_SS1		HPS_GPIO28			
7B	VREFB7A7B7C7DN0_HPS	QSPI_IO0					A8					QSPI_IO0		USB1_CLK	HPS_GPIO29			
7B	VREFB7A7B7C7DN0_HPS	QSPI_IO1					H16					QSPI_IO1		USB1_STP	HPS_GPIO30			
7B	VREFB7A7B7C7DN0_HPS	QSPI_IO2					A7					QSPI_IO2		USB1_DIR	HPS_GPIO31			
7B	VREFB7A7B7C7DN0_HPS	QSPI_IO3					J16					QSPI_IO3		USB1_NXT	HPS_GPIO32			
7B	VREFB7A7B7C7DN0_HPS	"QSPI_SS0,BOOTSEL1"					A6					QSPI_SS0			HPS_GPIO33			
7B	VREFB7A7B7C7DN0_HPS	QSPI_CLK					C14					QSPI_CLK			HPS_GPIO34			
7B	VREFB7A7B7C7DN0_HPS	QSPI_SS1					B14					QSPI_SS1			HPS_GPIO35			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_CMD					D14					SDMMC_CMD	USB0_D0		HPS_GPIO36			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_PWREN					A5					SDMMC_PWREN	USB0_D1		HPS_GPIO37			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D0					C13					SDMMC_D0	USB0_D2		HPS_GPIO38			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D1					B6					SDMMC_D1	USB0_D3		HPS_GPIO39			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D4					H13					SDMMC_D4	USB0_D4		HPS_GPIO40			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D5					A4					SDMMC_D5	USB0_D5		HPS_GPIO41			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D6					H12					SDMMC_D6	USB0_D6		HPS_GPIO42			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D7					B4					SDMMC_D7	USB0_D7		HPS_GPIO43			
7C	VREFB7A7B7C7DN0_HPS	HPS_GPIO44					B12						USB0_CLK		HPS_GPIO44			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_CCLK_OUT					B8					SDMMC_CCLK_OUT	USB0_STP		HPS_GPIO45			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D2					B11					SDMMC_D2	USB0_DIR		HPS_GPIO46			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D3					B9					SDMMC_D3	USB0_NXT		HPS_GPIO47			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TX_CLK					E4					RGMII0_TX_CLK			HPS_GPIO0			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TXD0					C10					RGMII0_TXD0	USB1_D0		HPS_GPIO1			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TXD1					F5					RGMII0_TXD1	USB1_D1		HPS_GPIO2			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TXD2					C9					RGMII0_TXD2	USB1_D2		HPS_GPIO3			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TXD3					C4					RGMII0_TXD3	USB1_D3		HPS_GPIO4			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RXD0					C8					RGMII0_RXD0	USB1_D4		HPS_GPIO5			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_MDIO					D4					RGMII0_MDIO	USB1_D5	I2C2_SDA	HPS_GPIO6			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_MDC 					C7					RGMII0_MDC	USB1_D6	I2C2_SCL	HPS_GPIO7			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RX_CTL					F4					RGMII0_RX_CTL	USB1_D7		HPS_GPIO8			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TX_CTL					C6					RGMII0_TX_CTL			HPS_GPIO9			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RX_CLK					G4					RGMII0_RX_CLK	USB1_CLK		HPS_GPIO10			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RXD1					C5					RGMII0_RXD1	USB1_STP		HPS_GPIO11			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RXD2					E5					RGMII0_RXD2	USB1_DIR		HPS_GPIO12			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RXD3					D5					RGMII0_RXD3	USB1_NXT		HPS_GPIO13			
8A	VREFB8AN0	IO	CLK7p		DIFFIO_RX_T1p	DIFFOUT_T1p	D12											
8A	VREFB8AN0	IO	CLK7n		DIFFIO_RX_T1n	DIFFOUT_T1n	C12											
8A	VREFB8AN0	IO	"FPLL_TL_CLKOUT0,FPLL_TL_CLKOUTp,FPLL_TL_FB"		DIFFIO_TX_T4p	DIFFOUT_T4p	E8											
8A	VREFB8AN0	IO	"FPLL_TL_CLKOUT1,FPLL_TL_CLKOUTn"		DIFFIO_TX_T4n	DIFFOUT_T4n	D8											
8A	VREFB8AN0	IO	"CLK6p,FPLL_TL_FBp"		DIFFIO_RX_T9p	DIFFOUT_T9p	E11											
8A	VREFB8AN0	IO	"CLK6n,FPLL_TL_FBn"		DIFFIO_RX_T9n	DIFFOUT_T9n	D11											
8A	VREFB8AN0	IO			DIFFIO_RX_T21p	DIFFOUT_T21p	L10											
8A	VREFB8AN0	IO			DIFFIO_TX_T22p	DIFFOUT_T22p	H6											
8A	VREFB8AN0	IO			DIFFIO_RX_T21n	DIFFOUT_T21n	L9											
8A	VREFB8AN0	IO			DIFFIO_TX_T22n	DIFFOUT_T22n	H5											
8A	VREFB8AN0	IO			DIFFIO_RX_T23p	DIFFOUT_T23p	L8											
8A	VREFB8AN0	IO			DIFFIO_RX_T23n	DIFFOUT_T23n	K8											
8A	VREFB8AN0	IO			DIFFIO_TX_T24n	DIFFOUT_T24n	H4											
9A		MSEL0		MSEL0			J10											
9A		CONF_DONE		CONF_DONE			J8											
9A		MSEL1		MSEL1			H9											
9A		nSTATUS		nSTATUS			H8											
9A		nCE		nCE			E6											
9A		MSEL2		MSEL2			G6											
9A		MSEL3		MSEL3			K10											
9A		nCONFIG		nCONFIG			F7											
9A		MSEL4		MSEL4			K9											
		GND					F6											
		GND					A10											
		GND					A3											
		GND					AA1											
		GND					AA17											
		GND					AA2											
		GND					AA3											
		GND					AA9											
		GND					AB24											
		GND					AB27											
		GND					AB3											
		GND					AC1											
		GND					AC2											
		GND					AC3											
		GND					AD14											
		GND					AD22											
		GND					AD25											
		GND					AD3											
		GND					AD6											
		GND					AD8											
		GND					AE1											
		GND					AE16											
		GND					AE18											
		GND					AE2											
		GND					AE3											
		GND					AF24											
		GND					AF3											
		GND					AG1											
		GND					AG17											
		GND					AG2											
		GND					AG27											
		GND					AG3											
		GND					AG7											
		GND					AH10											
		GND					AH20											
		GND					B15											
		GND					B17											
		GND					B20											
		GND					B22											
		GND					B25											
		GND					B27											
		GND					B3											
		GND					B5											
		GND					B7											
		GND					C1											
		GND					C11											
		GND					C2											
		GND					C3											
		GND					D10											
		GND					D13											
		GND					D16											
		GND					D3											
		GND					E1											
		GND					E19											
		GND					E2											
		GND					E22											
		GND					E24											
		GND					E27											
		GND					E3											
		GND					E9											
		GND					F3											
		GND					G1											
		GND					G2											
		GND					G3											
		GND					H11											
		GND					H15											
		GND					H18											
		GND					H20											
		GND					H24											
		GND					H27											
		GND					H3											
		GND					Y3											
		GND					Y25											
		GND					Y20											
		GND					J1											
		GND					J2											
		GND					J3											
		GND					J5											
		GND					J9											
		GND					K11											
		GND					K12											
		GND					K14											
		GND					K16											
		GND					K20											
		GND					K3											
		GND					K4											
		GND					Y14											
		GND					L1											
		GND					Y12											
		GND					L13											
		GND					L15											
		GND					L17											
		GND					L19											
		GND					L2											
		GND					L24											
		GND					L27											
		GND					L3											
		GND					L5											
		GND					W4											
		GND					W3											
		GND					M10											
		GND					M11											
		GND					M14											
		GND					M16											
		GND					M20											
		GND					M3											
		GND					M8											
		GND					N1											
		GND					N13											
		GND					N15											
		GND					N17											
		GND					N19											
		GND					N2											
		GND					N3											
		GND					N4											
		GND					P10											
		GND					P12											
		GND					P16											
		GND					P18											
		GND					P20											
		GND					P25											
		GND					P3											
		GND					P5											
		GND					P9											
		GND					R1											
		GND					R11											
		GND					R13											
		GND					R15											
		GND					R2											
		GND					R3											
		GND					R8											
		GND					T10											
		GND					T14											
		GND					T3											
		GND					U1											
		GND					U12											
		GND					U17											
		GND					U2											
		GND					U20											
		GND					U24											
		GND					U27											
		GND					U3											
		GND					U5											
		GND					V14											
		GND					V3											
		GND					V8											
		GND					V9											
		GND					W1											
		GND					W16											
		GND					W18											
		GND					W2											
		GND					AB25											
		GND					W24											
		GND					Y24											
		GND					AA26											
		GND					W20											
		GND					AB26											
		GND					W21											
		GND					V26											
		GND					V21											
		VCC					J11											
		VCC					K13											
		VCC					K15											
		VCC					L11											
		VCC					L12											
		VCC					L14											
		VCC					M12											
		VCC					M13											
		VCC					M15											
		VCC					M9											
		VCC					N10											
		VCC					N11											
		VCC					N12											
		VCC					N14											
		VCC					N9											
		VCC					P11											
		VCC					P13											
		VCC					P14											
		VCC					P15											
		VCC					R10											
		VCC					R12											
		VCC					R14											
		VCC					R9											
		VCC					T15											
		VCC					T9											
		VCC					U26											
		DNU					A2											
		DNU					B2											
		DNU					D23											
		DNU					E12											
		DNU					U8											
		DNU					AE14											
		VCCPGM					Y10											
		VCCPGM					AD24											
		VCCPGM					H10											
		VCCBAT					D7											
		VCCIO3A					AA5											
		VCCIO3A					W9											
		VCCIO3B					AA12											
		VCCIO3B					AE10											
		VCCIO3B					AE13											
		VCCIO3B					AG4											
		VCCIO4A					AA16											
		VCCIO4A					AE21											
		VCCIO4A					AF14											
		VCCIO4A					AF19											
		VCCIO4A					AG12											
		VCCIO4A					AG22											
		VCCIO4A					AH15											
		VCCIO4A					AH25											
		VCCIO4A					W13											
		VCCIO5A					AC25											
		VCCIO5A					W17											
		VCCIO6A_HPS					C25											
		VCCIO6A_HPS					C27											
		VCCIO6A_HPS					F27											
		VCCIO6A_HPS					G24											
		VCCIO6A_HPS					H21											
		VCCIO6A_HPS					H26											
		VCCIO6A_HPS					L26											
		VCCIO6A_HPS					M21											
		VCCIO6B_HPS					AD27											
		VCCIO6B_HPS					P27											
		VCCIO6B_HPS					T21											
		VCCIO6B_HPS					T25											
		VCCIO6B_HPS					U18											
		VCCIO6B_HPS					W27											
		VCCIO7A_HPS					C20											
		VCCIO7A_HPS					D18											
		VCCIO7B_HPS					B13											
		VCCIO7B_HPS					H14											
		VCCIO7C_HPS					B10											
		VCCIO7D_HPS					D6											
		VCCIO7D_HPS					G5											
		VCCIO8A					E7											
		VCCPD3A					AA10											
		VCCPD3B4A					AA14											
		VCCPD3B4A					AD13											
		VCCPD3B4A					AD16											
		VCCPD3B4A					AD18											
		VCCPD3B4A					AD21											
		VCCPD3B4A					AD9											
		VCCPD5A					Y21											
		VCCPD6A6B_HPS					K21											
		VCCPD6A6B_HPS					K24											
		VCCPD6A6B_HPS					M24											
		VCCPD6A6B_HPS					P21											
		VCCPD6A6B_HPS					P24											
		VCCPD7A_HPS					E21											
		VCCPD7B_HPS					E17											
		VCCPD7C_HPS					E14											
		VCCPD7D_HPS					E13											
		VCCPD8A					E10											
3A	VREFB3AN0	VREFB3AN0					AE5											
3B	VREFB3BN0	VREFB3BN0					AF12											
4A	VREFB4AN0	VREFB4AN0					AF16											
5A	VREFB5AN0	VREFB5AN0					AC26											
	VREFB7A7B7C7DN0_HPS	VREFB7A7B7C7DN0_HPS					D19											
8A	VREFB8AN0	VREFB8AN0					D9											
		NC					W25											
		NC					AA25											
		NC					W19											
		VCCH_GXBL					M4											
		VCCH_GXBL					R4											
		VCCL_GXBL					L4											
		VCCL_GXBL					T4											
		VCCRSTCLK_HPS					F22											
		RREF_TL					B1											
		VCCA_FPLL					K5											
		VCCA_FPLL					P4											
		VCCA_FPLL					U4											
		VCCA_FPLL					W5											
		VCCA_FPLL					J4											
		VCCA_FPLL					AA21											
		VCC_AUX					AC21											
		VCC_AUX					AC8											
		VCC_AUX					AD15											
		VCC_AUX					E15											
		VCC_AUX					F8											
		VCC_AUX_SHARED					F21											
		VCCE_GXBL					M5											
		VCCE_GXBL					N5											
		VCCE_GXBL					R5											
		VCCE_GXBL					T5											
		VCCPLL_HPS					H23											
		VCC_HPS					U21											
		VCC_HPS					K17											
		VCC_HPS					L16											
		VCC_HPS					L18											
		VCC_HPS					M17											
		VCC_HPS					M18											
		VCC_HPS					M19											
		VCC_HPS					N16											
		VCC_HPS					N18											
		VCC_HPS					P17											
		VCC_HPS					P19											
Notes:																		
"(1) For more information about pin definitions and pin connection guidelines, refer to the "																		
Cyclone V Device Family Pin Connection Guidelines.																		
"(2) HPS_DDR pins are for memory interface only. For the dedicated pin function corresponding with the respective memory interfaces, refer to the HMC columns. "																		
(3) RESET pin is only applicable for DDR3 device.																		
