*******************************************************************								
* PT-EP1S30-3.6.txt
* PIN-OUT INFORMATION FOR EP1S30               								
* Ver. 3.6                                            								
*******************************************************************											
										
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F780	B956	F1020	DQS for x16	DQS for x32	DIFFIO Speed (1)
B7	VREF2B7	IO	DQ1B2		AH6	AH7	AL5	DQ0B10	DQ0B10
B7	VREF2B7	IO	DQ1B1		AG6	AJ7	AK6	DQ0B9	DQ0B9
B7	VREF2B7	VREF2B7			AD7	AB12	AH8		
B7	VREF2B7	IO	DQ1B0		AE6	AG6	AJ6	DQ0B8	DQ0B8
B7	VREF2B7	IO			Y9	AA11	AB11		
B7	VREF2B7	IO				AF8	AF10		
B7	VREF2B7	IO	DQ0B7		AF5	AL4	AL3	DQ0B7	DQ0B7
B7	VREF2B7	IO			AE4	AF9	AG10		
B7	VREF2B7	IO	DQ0B6		AH5	AL5	AL4	DQ0B6	DQ0B6
B7	VREF2B7	IO			AC6	AF6	AC9		
B7	VREF2B7	IO	DQ0B5		AF4	AJ4	AM4	DQ0B5	DQ0B5
B7	VREF2B7	IO	DQ0B4		AG4	AK3	AJ4	DQ0B4	DQ0B4
B7	VREF2B7	IO				AH4	AG9		
B7	VREF2B7	IO	DQ0B3		AG5	AK5	AJ5	DQ0B3	DQ0B3
B7	VREF2B7	IO	DQS0B		AH3	AK4	AK5		
B7	VREF2B7	IO			AC5	AG4	AD9		
B7	VREF2B7	IO	DQ0B2		AG3	AH5	AH5	DQ0B2	DQ0B2
B7	VREF2B7	IO	DQ0B1		AE5	AJ5	AK3	DQ0B1	DQ0B1
B7	VREF2B7	IO			AB7	AJ2	AE9			
B7	VREF2B7	IO	DQ0B0		AH4	AJ3	AK4	DQ0B0	DQ0B0	
B7	VREF2B7	IO				AE8	AF9			
		GNDG_PLL9				AC9	AH3			
		VCCG_PLL9				AD9	AJ3			
		GNDA_PLL9				AA9	AJ1			
		GND								
		VCCA_PLL9				AB9	AJ2			
B6	VREF0B6	IO					AB9			
B6	VREF0B6	IO					AC10			
B6	VREF0B6	FPLL9CLKp				AH1	AB5			
B6	VREF0B6	FPLL9CLKn				AG1	AB4			
B6	VREF0B6	IO	DIFFIO_TX81n			AC8	AF8			HIGH
B6	VREF0B6	IO	DIFFIO_TX81p			AD8	AF7			HIGH
B6	VREF0B6	IO	DIFFIO_RX81n			AF4	AG4			HIGH
B6	VREF0B6	IO	DIFFIO_RX81p			AE4	AG3			HIGH
B6	VREF0B6	IO	DIFFIO_TX80n			AF7	AF5			HIGH
B6	VREF0B6	IO	DIFFIO_TX80p			AE7	AF6			HIGH
B6	VREF0B6	IO	DIFFIO_RX80n			AD4	AG1			HIGH
B6	VREF0B6	IO	DIFFIO_RX80p			AC4	AG2			HIGH
B6	VREF0B6	VREF0B6			AE3	AA10	AG6			
B6	VREF0B6	IO	DIFFIO_TX79n			AB8	AE7			HIGH
B6	VREF0B6	IO	DIFFIO_TX79p			AA8	AE8			HIGH
B6	VREF0B6	IO	DIFFIO_RX79n			AG3	AF4			HIGH
B6	VREF0B6	IO	DIFFIO_RX79p			AH3	AF3			HIGH
B6	VREF0B6	IO	DIFFIO_TX78n		AB5	AC7	AD6			HIGH
B6	VREF0B6	IO	DIFFIO_TX78p		AB6	AD7	AD5			HIGH
B6	VREF0B6	IO	DIFFIO_RX78n			AF3	AF2			HIGH
B6	VREF0B6	IO	DIFFIO_RX78p			AE3	AF1			HIGH
B6	VREF0B6	IO	DIFFIO_TX77n		AA7	AB7	AE6			HIGH
B6	VREF0B6	IO	DIFFIO_TX77p		AA8	AA7	AE5			HIGH
B6	VREF0B6	IO	DIFFIO_RX77n		AF2	AD3	AE4			HIGH
B6	VREF0B6	IO	DIFFIO_RX77p		AF1	AC3	AE3			HIGH
B6	VREF0B6	IO	DIFFIO_TX76n		AA5	AE6	AD8			HIGH
B6	VREF0B6	IO	DIFFIO_TX76p		AA6	AD6	AD7			HIGH
B6	VREF0B6	IO	DIFFIO_RX76n		AE2	AH2	AE2			HIGH
B6	VREF0B6	IO	DIFFIO_RX76p		AE1	AG2	AE1			HIGH
B6	VREF1B6	IO	DIFFIO_TX75n		Y6	AC6	AC5			HIGH
B6	VREF1B6	IO	DIFFIO_TX75p		Y5	AB6	AC6			HIGH
B6	VREF1B6	IO	DIFFIO_RX75n		AD2	AE2	AC3			HIGH
B6	VREF1B6	IO	DIFFIO_RX75p		AD1	AF2	AC4			HIGH
B6	VREF1B6	IO	DIFFIO_TX74n		Y7	AF5	AC7			HIGH
B6	VREF1B6	IO	DIFFIO_TX74p		Y8	AG5	AC8			HIGH
B6	VREF1B6	IO	DIFFIO_RX74n		AC2	AD2	AD3			HIGH
B6	VREF1B6	IO	DIFFIO_RX74p		AC1	AC2	AD4			HIGH
B6	VREF1B6	IO	DIFFIO_TX73n		W7	AD5	AB7			HIGH
B6	VREF1B6	IO	DIFFIO_TX73p		W8	AE5	AB6			HIGH
B6	VREF1B6	IO	DIFFIO_RX73n		AB4	AF1	AD2			HIGH
B6	VREF1B6	IO	DIFFIO_RX73p		AB3	AE1	AD1			HIGH
B6	VREF1B6	IO	DIFFIO_TX72n		W5	AC5	AA6			HIGH
B6	VREF1B6	IO	DIFFIO_TX72p		W6	AB5	AA7			HIGH
B6	VREF1B6	IO	DIFFIO_RX72n		AB2	AD1	AC2			HIGH
B6	VREF1B6	IO	DIFFIO_RX72p		AB1	AC1	AB1			HIGH
B6	VREF1B6	VREF1B6			W9	Y10	AB8			
B6	VREF1B6	IO	DIFFIO_TX71n		V8	AA6	AA9			HIGH
B6	VREF1B6	IO	DIFFIO_TX71p		V7	Y6	AA8			HIGH
B6	VREF1B6	IO	DIFFIO_RX71n/RDN6		AA3	AB4	AA4			HIGH
B6	VREF1B6	IO	DIFFIO_RX71p/RUP6		AA4	AB3	AA5			HIGH
B6	VREF1B6	IO	DIFFIO_TX70n		V6	Y9	Y5			HIGH
B6	VREF1B6	IO	DIFFIO_TX70p		V5	W9	Y6			HIGH
B6	VREF1B6	IO	DIFFIO_RX70n		AA2	Y4	AB3			HIGH
B6	VREF1B6	IO	DIFFIO_RX70p		AA1	AA4	AB2			HIGH
B6	VREF1B6	IO	DIFFIO_TX69n		V9	Y8	Y7			HIGH
B6	VREF1B6	IO	DIFFIO_TX69p		V10	W8	Y8			HIGH
B6	VREF1B6	IO	DIFFIO_RX69n		Y4	W4	AA3			HIGH
B6	VREF1B6	IO	DIFFIO_RX69p		Y3	V4	AA2			HIGH
B6	VREF1B6	IO	DIFFIO_TX68n		U7	AA5	W5			HIGH
B6	VREF1B6	IO	DIFFIO_TX68p		U8	Y5	W6			HIGH
B6	VREF1B6	IO	DIFFIO_RX68n		Y2	AA3	Y4			HIGH
B6	VREF1B6	IO	DIFFIO_RX68p		Y1	Y3	Y3			HIGH
B6	VREF2B6	IO	DIFFIO_TX67n		U6	Y7	Y10			HIGH
B6	VREF2B6	IO	DIFFIO_TX67p		U5	W7	Y9			HIGH
B6	VREF2B6	IO	DIFFIO_RX67n		W4	W3	Y2			HIGH
B6	VREF2B6	IO	DIFFIO_RX67p		W3	V3	Y1			HIGH
B6	VREF2B6	IO	DIFFIO_TX66n		U9	U7	W10			HIGH
B6	VREF2B6	IO	DIFFIO_TX66p		U10	V7	W9			HIGH
B6	VREF2B6	IO	DIFFIO_RX66n		W2	AB2	W4			HIGH
B6	VREF2B6	IO	DIFFIO_RX66p		W1	AA2	W3			HIGH
B6	VREF2B6	IO	DIFFIO_TX65n		T6	W6	V9			HIGH
B6	VREF2B6	IO	DIFFIO_TX65p		T5	V6	V10			HIGH
B6	VREF2B6	IO	DIFFIO_RX65n		V4	Y2	W2			HIGH
B6	VREF2B6	IO	DIFFIO_RX65p		V3	W2	W1			HIGH
B6	VREF2B6	IO	DIFFIO_TX64n		T10	U6	V5			HIGH
B6	VREF2B6	IO	DIFFIO_TX64p		T9	T6	V6			HIGH
B6	VREF2B6	IO	DIFFIO_RX64n		V1	AA1	V4			HIGH
B6	VREF2B6	IO	DIFFIO_RX64p		V2	AB1	V3			HIGH
B6	VREF2B6	VREF2B6			R10	W10	AA10			
B6	VREF2B6	IO	DIFFIO_TX63n		T7	W5	V8			HIGH
B6	VREF2B6	IO	DIFFIO_TX63p		T8	V5	V7			HIGH
B6	VREF2B6	IO	DIFFIO_RX63n		U4	V2	V2			HIGH
B6	VREF2B6	IO	DIFFIO_RX63p		U3	U2	V1			HIGH
B6	VREF2B6	IO	DIFFIO_TX62n		T4	T5	W8			HIGH
B6	VREF2B6	IO	DIFFIO_TX62p		T3	U5	W7			HIGH
B6	VREF2B6	IO	DIFFIO_RX62n		U2	V1	U5			HIGH
B6	VREF2B6	IO	DIFFIO_RX62p		T1	U1	U6			HIGH
B6	VREF2B6	IO	CLK8n		R3	U4	U3			
B6	VREF2B6	CLK8p			R4	U3	U4			
B6	VREF2B6	CLK9n			T2	T3	U1			
B6	VREF2B6	CLK9p			R2	T4	U2			
		GNDG_PLL3			R7	V9	U11			
		VCCG_PLL3			R8	U9	V11			
		GNDA_PLL3			R5	V8	U7			
		GND								
		VCCA_PLL3			R6	U8	U8			
		GNDG_PLL4			P7	R9	U9			
		VCCG_PLL4			P8	R10	T9			
		GNDA_PLL4			P5	R8	T7			
		GND								
		VCCA_PLL4			P6	T8	T8			
B5	VREF0B5	CLK10p			P4	T1	T6			
B5	VREF0B5	IO	CLK10n		P3	T2	T5			
B5	VREF0B5	CLK11p			P2	R3	T4			
B5	VREF0B5	CLK11n			N2	R4	T3			
B5	VREF0B5	IO	DIFFIO_TX61n				T11			LOW
B5	VREF0B5	IO	DIFFIO_TX61p				R11			LOW
B5	VREF0B5	IO	DIFFIO_RX61n		M2	R1	T2			HIGH
B5	VREF0B5	IO	DIFFIO_RX61p		N1	P1	T1			HIGH
B5	VREF0B5	IO	DIFFIO_TX60n		N10	R7	R7			HIGH
B5	VREF0B5	IO	DIFFIO_TX60p		N9	T7	R8			HIGH
B5	VREF0B5	IO	DIFFIO_RX60n		M3	P2	R1			HIGH
B5	VREF0B5	IO	DIFFIO_RX60p		M4	R2	R2			HIGH
B5	VREF0B5	VREF0B5			P10	P10	R12			
B5	VREF0B5	IO	DIFFIO_TX59n		N5	P8	P7			HIGH
B5	VREF0B5	IO	DIFFIO_TX59p		N6	N8	P8			HIGH
B5	VREF0B5	IO	DIFFIO_RX59n		L1	K1	R3			HIGH
B5	VREF0B5	IO	DIFFIO_RX59p		L2	L1	R4			HIGH
B5	VREF0B5	IO	DIFFIO_TX58n		N7	R6	R5			HIGH
B5	VREF0B5	IO	DIFFIO_TX58p		N8	P6	R6			HIGH
B5	VREF0B5	IO	DIFFIO_RX58n		L3	N2	P1			HIGH
B5	VREF0B5	IO	DIFFIO_RX58p		L4	M2	P2			HIGH
B5	VREF0B5	IO	DIFFIO_TX57n		N4	P9	R10			HIGH
B5	VREF0B5	IO	DIFFIO_TX57p		N3	N9	R9			HIGH
B5	VREF0B5	IO	DIFFIO_RX57n		K1	L2	P3			HIGH
B5	VREF0B5	IO	DIFFIO_RX57p		K2	K2	P4			HIGH
B5	VREF0B5	IO	DIFFIO_TX56n		M10	P7	P6			HIGH
B5	VREF0B5	IO	DIFFIO_TX56p		M9	N7	P5			HIGH
B5	VREF0B5	IO	DIFFIO_RX56n		K4	P3	N1			HIGH
B5	VREF0B5	IO	DIFFIO_RX56p		K3	N3	N2			HIGH
B5	VREF1B5	IO	DIFFIO_TX55n		M6	N6	N7			HIGH
B5	VREF1B5	IO	DIFFIO_TX55p		M5	M6	N8			HIGH
B5	VREF1B5	IO	DIFFIO_RX55n		J1	L3	N3			HIGH
B5	VREF1B5	IO	DIFFIO_RX55p		J2	M3	N4			HIGH
B5	VREF1B5	IO	DIFFIO_TX54n		M8	R5	P9			HIGH
B5	VREF1B5	IO	DIFFIO_TX54p		M7	P5	P10			HIGH
B5	VREF1B5	IO	DIFFIO_RX54n		J3	P4	M2			HIGH
B5	VREF1B5	IO	DIFFIO_RX54p		J4	N4	M3			HIGH
B5	VREF1B5	IO	DIFFIO_TX53n		L10	M5	N5			HIGH
B5	VREF1B5	IO	DIFFIO_TX53p		L9	N5	N6			HIGH
B5	VREF1B5	IO	DIFFIO_RX53n		H1	M4	L2			HIGH
B5	VREF1B5	IO	DIFFIO_RX53p		H2	L4	L3			HIGH
B5	VREF1B5	IO	DIFFIO_TX52n		L5	M8	N10			HIGH
B5	VREF1B5	IO	DIFFIO_TX52p		L6	L8	N9			HIGH
B5	VREF1B5	IO	DIFFIO_RX52n/RDN5		H3	K3	M4			HIGH
B5	VREF1B5	IO	DIFFIO_RX52p/RUP5		H4	K4	M5			HIGH
B5	VREF1B5	VREF1B5			K9	N10	L8			
B5	VREF1B5	IO	DIFFIO_TX51n		L8	M7	M8			HIGH
B5	VREF1B5	IO	DIFFIO_TX51p		L7	L7	M9			HIGH
B5	VREF1B5	IO	DIFFIO_RX51n		G1	J1	L1			HIGH
B5	VREF1B5	IO	DIFFIO_RX51p		G2	H1	K2			HIGH
B5	VREF1B5	IO	DIFFIO_TX50n		K7	L5	M6			HIGH
B5	VREF1B5	IO	DIFFIO_TX50p		K8	K5	M7			HIGH
B5	VREF1B5	IO	DIFFIO_RX50n		G4	G1	J2			HIGH
B5	VREF1B5	IO	DIFFIO_RX50p		G3	F1	J1			HIGH
B5	VREF1B5	IO	DIFFIO_TX49n		J7	H5	L6			HIGH
B5	VREF1B5	IO	DIFFIO_TX49p		J8	J5	L7			HIGH
B5	VREF1B5	IO	DIFFIO_RX49n		F1	H2	K4			HIGH
B5	VREF1B5	IO	DIFFIO_RX49p		F2	J2	K3			HIGH
B5	VREF1B5	IO	DIFFIO_TX48n		K5	F5	K5			HIGH
B5	VREF1B5	IO	DIFFIO_TX48p		K6	G5	K6			HIGH
B5	VREF1B5	IO	DIFFIO_RX48n		F3	G2	J3			HIGH
B5	VREF1B5	IO	DIFFIO_RX48p		F4	F2	J4			HIGH
B5	VREF2B5	IO	DIFFIO_TX47n		J6	L6	K8			HIGH
B5	VREF2B5	IO	DIFFIO_TX47p		J5	K6	K7			HIGH
B5	VREF2B5	IO	DIFFIO_RX47n		E1	J3	H1			HIGH
B5	VREF2B5	IO	DIFFIO_RX47p		E2	H3	H2			HIGH
B5	VREF2B5	IO	DIFFIO_TX46n		H8	J6	J5			HIGH
B5	VREF2B5	IO	DIFFIO_TX46p		H7	H6	J6			HIGH
B5	VREF2B5	IO	DIFFIO_RX46n		D1	G3	G1			HIGH
B5	VREF2B5	IO	DIFFIO_RX46p		D2	F3	G2			HIGH
B5	VREF2B5	IO	DIFFIO_TX45n		H6	G6	J7			HIGH
B5	VREF2B5	IO	DIFFIO_TX45p		H5	F6	J8			HIGH
B5	VREF2B5	IO	DIFFIO_RX45n		C1	J4	H3			HIGH
B5	VREF2B5	IO	DIFFIO_RX45p		C2	H4	H4			HIGH
B5	VREF2B5	IO	DIFFIO_TX44n		G5	K8	H5			HIGH
B5	VREF2B5	IO	DIFFIO_TX44p		G6	J8	H6			HIGH
B5	VREF2B5	IO	DIFFIO_RX44n			G4	F1			HIGH
B5	VREF2B5	IO	DIFFIO_RX44p			F4	F2			HIGH
B5	VREF2B5	VREF2B5			E5	M10	F6			
B5	VREF2B5	IO	DIFFIO_TX43n		F6	K7	H8			HIGH
B5	VREF2B5	IO	DIFFIO_TX43p		F5	J7	H7			HIGH
B5	VREF2B5	IO	DIFFIO_RX43n			E2	G3			HIGH
B5	VREF2B5	IO	DIFFIO_RX43p			D2	G4			HIGH
B5	VREF2B5	IO	DIFFIO_TX42n			H7	G6			HIGH
B5	VREF2B5	IO	DIFFIO_TX42p			G7	G5			HIGH
B5	VREF2B5	IO	DIFFIO_RX42n			E3	F3			HIGH
B5	VREF2B5	IO	DIFFIO_RX42p			D3	F4			HIGH
B5	VREF2B5	IO	DIFFIO_TX41n			G8	G7			HIGH
B5	VREF2B5	IO	DIFFIO_TX41p			H8	G8			HIGH
B5	VREF2B5	IO	DIFFIO_RX41n				E2			LOW
B5	VREF2B5	IO	DIFFIO_RX41p				E1			LOW
B5	VREF2B5	FPLL10CLKn				D1	L5			
B5	VREF2B5	FPLL10CLKp				E1	L4			
		GNDG_PLL10				K9	E3			
		VCCG_PLL10				J9	D3			
		GNDA_PLL10				M9	D1			
		GND								
		VCCA_PLL10				L9	D2			
B4	VREF0B4	IO				F7	F7			
B4	VREF0B4	IO	DQ0T0		A4	C4	D5	DQ0T0	DQ0T0
B4	VREF0B4	IO			G7	E4	K9		
B4	VREF0B4	IO	DQ0T1		A3	C5	C3	DQ0T1	DQ0T1
B4	VREF0B4	IO	DQ0T2		B3	D5	E5	DQ0T2	DQ0T2
B4	VREF0B4	IO	DQS0T		D5	B4	C5		
B4	VREF0B4	IO			F7	H9	H9		
B4	VREF0B4	IO	DQ0T3		B5	B5	C4	DQ0T3	DQ0T3
B4	VREF0B4	IO				E5	J9		
B4	VREF0B4	IO	DQ0T4		B4	B3	D4	DQ0T4	DQ0T4
B4	VREF0B4	IO	DQ0T5		C4	C3	A4	DQ0T5	DQ0T5
B4	VREF0B4	IO			G8	C2	L9		
B4	VREF0B4	IO	DQ0T6		A5	A5	B4	DQ0T6	DQ0T6
B4	VREF0B4	IO			F8	F8	G9		
B4	VREF0B4	IO	DQ0T7		C5	A4	B3	DQ0T7	DQ0T7
B4	VREF0B4	IO				E7	F8		
B4	VREF0B4	IO			J9	L11	M10		
B4	VREF0B4	IO	DQ1T0		E6	E6	D6	DQ0T8	DQ0T8
B4	VREF0B4	VREF0B4			E7	K10	E6		
B4	VREF0B4	IO	DQ1T1		A6	C7	C6	DQ0T9	DQ0T9
B4	VREF0B4	IO	DQ1T2		B7	D7	B5	DQ0T10	DQ0T10
B4	VREF0B4	IO				J10	J11		
B4	VREF0B4	IO	DQS1T		B6	C6	E7	DQS0T	
B4	VREF0B4	IO			H9	D4	K11		
B4	VREF0B4	IO	DQ1T3		D6	A6	C7	DQ0T11	DQ0T11
B4	VREF0B4	IO	DQ1T4		A7	B6	A5	DQ0T12	DQ0T12
B4	VREF0B4	IO				J11	G10		
B4	VREF0B4	IO	DQ1T5		D7	D6	D7	DQ0T13	DQ0T13
B4	VREF0B4	IO			G9	G9	F9		
B4	VREF0B4	IO	DQ1T6		C6	A7	A6	DQ0T14	DQ0T14
B4	VREF0B4	IO	DQ1T7		C7	B7	B6	DQ0T15	DQ0T15
B4	VREF0B4	IO			F9	G10	F10		
B4	VREF0B4	IO				F9	H11		
B4	VREF0B4	IO	DQ2T0		D8	B8	B7	DQ1T0	DQ0T16
B4	VREF0B4	IO	DQ2T1		C8	D9	D8	DQ1T1	DQ0T17
B4	VREF0B4	IO			H10	H10	L11		
B4	VREF0B4	IO	DQ2T2		E8	E8	B8	DQ1T2	DQ0T18
B4	VREF1B4	IO	DQS2T		C9	C8	A7		DQS0T
B4	VREF1B4	IO				H11	F12		
B4	VREF1B4	IO	DQ2T3		D9	C9	E9	DQ1T3	DQ0T19
B4	VREF1B4	IO	DQ2T4		B9	D8	A8	DQ1T4	DQ0T20
B4	VREF1B4	IO	DQ2T5		B8	A9	C9	DQ1T5	DQ0T21
B4	VREF1B4	IO	DQ2T6		A8	B9	C8	DQ1T6	DQ0T22
B4	VREF1B4	IO	FCLK6		G10	F10	G12		
B4	VREF1B4	IO	FCLK7		F10	F11	A14		
B4	VREF1B4	IO	DQ2T7		A9	A8	D9	DQ1T7	DQ0T23
B4	VREF1B4	IO				J12	J12		
B4	VREF1B4	IO			J10	L12	K12		
B4	VREF1B4	IO	DQ3T0		E10	B10	E11	DQ1T8	DQ0T24
B4	VREF1B4	VREF1B4			E9	K11	E8		
B4	VREF1B4	IO	DQ3T1		A10	D10	B9	DQ1T9	DQ0T25
B4	VREF1B4	IO			F11	H12	H13		
B4	VREF1B4	IO	DQ3T2		C10	E10	D10	DQ1T10	DQ0T26
B4	VREF1B4	IO			K10	E9	H12		
B4	VREF1B4	IO	DQS3T		D10	C10	D11	DQS1T	
B4	VREF1B4	IO	DQ3T3		B10	D11	C10	DQ1T11	DQ0T27
B4	VREF1B4	IO				G11	F13		
B4	VREF1B4	IO	DQ3T4		A11	E11	A9	DQ1T12	DQ0T28
B4	VREF1B4	IO	DQ3T5		C11	B11	B11	DQ1T13	DQ0T29
B4	VREF1B4	IO	DEV_OE		J11	F12	L13		
B4	VREF1B4	IO	DQ3T6		D11	C11	C11	DQ1T14	DQ0T30
B4	VREF1B4	IO	DQ3T7		B11	A10	B10	DQ1T15	DQ0T31
B4	VREF1B4	IO	RUP4		H11	F13	G13		
B4	VREF1B4	IO	RDN4		G11	E14	J13		
B4	VREF1B4	IO	DQ4T0		B12	D12	A11		
B4	VREF1B4	IO		nWS	K11	F14	D14
B4	VREF1B4	IO	DQ4T1		C12	E12	B12
B4	VREF1B4	IO	DQ4T2		D12	A12	C12
B4	VREF2B4	IO			G12	G12	H14
B4	VREF2B4	IO	DQS4T		A13	C12	D12
B4	VREF2B4	IO		DATA0	H12	E15	E14
B4	VREF2B4	IO	DQ4T3		B13	B12	C13
B4	VREF2B4	IO	DQ4T4		E12	C13	D13
B4	VREF2B4	IO			L11	J13	K13
B4	VREF2B4	IO	DQ4T5		C13	D13	E13
B4	VREF2B4	IO		DATA1	F12	C16	F14
B4	VREF2B4	IO	DQ4T6		D13	E13	A13
B4	VREF2B4	IO	DQ4T7		E13	B13	B13
B4	VREF2B4	IO			M11	L14	L12
B4	VREF2B4	IO		DATA2	J12	F15	F15
B4	VREF2B4	VREF2B4			E11	K12	E10
B4	VREF2B4	IO				G13	C14
B4	VREF2B4	IO					B14
B4	VREF2B4	IO					K14
B4	VREF2B4	IO					J14
B4	VREF2B4	IO					L14
B4	VREF2B4	IO				H13	K15
B4	VREF2B4	TMS		TMS	F13	D16	E15
B4	VREF2B4	TRST		TRST	L12	G15	G15
B4	VREF2B4	TCK		TCK	K12	F16	G14
B4	VREF2B4	IO		DATA3	M12	G17	C16
B4	VREF2B4	IO				G14	J15
B4	VREF2B4	IO				L16	L15
B4	VREF2B4	TDI		TDI	G13	E16	D16
B4	VREF2B4	TDO		TDO	H13	G16	F16
B4	VREF2B4	IO	CLK12n		J13	B14	A15
B4	VREF2B4	CLK12p			K13	A14	B15
B4	VREF2B4	IO	CLK13n		L13	D14	C15
B4	VREF2B4	CLK13p			M13	C14	D15
		TEMPDIODEp			B14	E17	E18
		TEMPDIODEn			C14	F17	F18
		VCCA_PLL5			F14	J17	G17
		GND					
		GNDA_PLL5			G14	H16	F17
		VCCG_PLL5			D14	K15	J16
		GNDG_PLL5			E14	K17	L16
B9		VCC_PLL5_OUTA			F15	L18	H17
B10		VCC_PLL5_OUTB			G16	J18	L17
B9	VREF0B3	IO	PLL5_OUT0p		E15	B16	B16
B9	VREF0B3	IO	PLL5_OUT0n		D15	A16	A16
B9	VREF0B3	IO	PLL5_OUT1p		K14	B15	B17
B9	VREF0B3	IO	PLL5_OUT1n		K15	A15	A17
B9	VREF0B3	IO	PLL5_FBp		H14	D15	D17
B9	VREF0B3	IO	PLL5_FBn		H15	C15	C17
B10	VREF0B3	IO	PLL5_OUT2p		C15	D17	B18
B10	VREF0B3	IO	PLL5_OUT2n		B15	C17	A18
B10	VREF0B3	IO	PLL5_OUT3p		K16	B17	D18
B10	VREF0B3	IO	PLL5_OUT3n		J16	A17	C18
B3	VREF0B3	nSTATUS		nSTATUS	M16	E18	G16
B3	VREF0B3	nCONFIG		nCONFIG	L16	F19	J18
B3	VREF0B3	DCLK		DCLK	F16	F18	E19
B3	VREF0B3	CONF_DONE		CONF_DONE	G17	G18	G18
B3	VREF0B3	CLK14p			K17	A18	A19
B3	VREF0B3	IO	CLK14n		J17	B18	B19
B3	VREF0B3	CLK15p			M17	C18	C19
B3	VREF0B3	IO	CLK15n		L17	D18	D19
B3	VREF0B3	VREF0B3			E18	K18	E21
B3	VREF0B3	IO					K18
B3	VREF0B3	IO					F19
B3	VREF0B3	IO		DATA4	H17	G19	G19		
B3	VREF0B3	IO			L18	H20	L18		
B3	VREF0B3	IO			M18	J19	L21		
B3	VREF0B3	IO					L20		
B3	VREF0B3	IO					F20		
B3	VREF0B3	IO			F17	H19	H19		
B3	VREF0B3	IO	DQ5T0		D16	B19	A20		
B3	VREF0B3	IO	DQ5T1		C16	C19	B20		
B3	VREF0B3	IO		DATA5	K18	F20	J19		
B3	VREF0B3	IO	DQ5T2		E16	D19	C20		
B3	VREF0B3	IO	DQS5T		A16	C20	D20		
B3	VREF0B3	IO				G22	H20		
B3	VREF0B3	IO	DQ5T3		B16	E19	E20		
B3	VREF0B3	IO		DATA6	H18	F21	K19		
B3	VREF0B3	IO	DQ5T4		E17	A20	B21		
B3	VREF0B3	IO	DQ5T5		D17	B20	C21		
B3	VREF1B3	IO			F18	G21	G20		
B3	VREF1B3	IO	DQ5T6		B17	D20	D21		
B3	VREF1B3	IO					G21		
B3	VREF1B3	IO	DQ5T7		C17	E20	A22		
B3	VREF1B3	IO	RUP3		J18	F22	F21		
B3	VREF1B3	IO	RDN3		K19	F24	L19		
B3	VREF1B3	IO	DQ6T0		A18	B21	B22	DQ2T0	DQ1T0
B3	VREF1B3	IO	DQ6T1		C18	C21	C22	DQ2T1	DQ1T1
B3	VREF1B3	IO		DATA7	G18	G20	J20		
B3	VREF1B3	IO	DQ6T2		D18	A22	B23	DQ2T2	DQ1T2
B3	VREF1B3	IO	DQS6T		B18	C22	D22	DQS2T	
B3	VREF1B3	IO				L19	L22		
B3	VREF1B3	IO	DQ6T3		A19	D21	C23	DQ2T3	DQ1T3
B3	VREF1B3	IO		CLKUSR	J19	F23	H21		
B3	VREF1B3	IO	DQ6T4		B19	E21	A24	DQ2T4	DQ1T4
B3	VREF1B3	IO				J20	K20		
B3	VREF1B3	IO	DQ6T5		C19	B22	E22	DQ2T5	DQ1T5
B3	VREF1B3	IO	DQ6T6		E19	D22	B24	DQ2T6	DQ1T6
B3	VREF1B3	VREF1B3			E20	K19	E23		
B3	VREF1B3	IO	FCLK0		F19	E23	F22		
B3	VREF1B3	IO	FCLK1		G19	E25	G22		
B3	VREF1B3	IO	DQ6T7		D19	E22	D23	DQ2T7	DQ1T7
B3	VREF1B3	IO			H19	H21	J21		
B3	VREF1B3	IO					K21		
B3	VREF1B3	IO	DQ7T0		B20	A23	D24	DQ2T8	DQ1T8
B3	VREF1B3	IO	DQ7T1		A20	B23	A25	DQ2T9	DQ1T9
B3	VREF1B3	IO	DQ7T2		C20	A24	C24	DQ2T10	DQ1T10
B3	VREF1B3	IO					F23		
B3	VREF1B3	IO	DQS7T		D20	C24	B26		DQS1T
B3	VREF1B3	IO	DQ7T3		A21	C23	B25	DQ2T11	DQ1T11
B3	VREF1B3	IO			J20	H22	L23		
B3	VREF1B3	IO	DQ7T4		B21	D24	C25	DQ2T12	DQ1T12
B3	VREF1B3	IO	DQ7T5		C21	B24	D25	DQ2T13	DQ1T13
B3	VREF1B3	IO				J21	H22		
B3	VREF1B3	IO	DQ7T6		D21	D23	A26	DQ2T14	DQ1T14
B3	VREF1B3	IO	DQ7T7		E21	E24	E24	DQ2T15	DQ1T15
B3	VREF1B3	IO			H20	G23	K22		
		GND			G20	D28	H24		
B3	VREF2B3	IO					G23		
B3	VREF2B3	IO	DQ8T0		B22	A25	C26	DQ3T0	DQ1T16
B3	VREF2B3	IO	DQ8T1		A22	C25	A28	DQ3T1	DQ1T17
B3	VREF2B3	IO				F25	J22		
B3	VREF2B3	IO	DQ8T2		C22	B25	A27	DQ3T2	DQ1T18
B3	VREF2B3	IO	DQS8T		D23	C26	B27	DQS3T	
B3	VREF2B3	IO					F24		
B3	VREF2B3	IO	DQ8T3		D22	D25	D26	DQ3T3	DQ1T19
