*******************************************************************								
* PT-EP1S10-3.7.txt
* PIN-OUT INFORMATION FOR EP1S10               								
* Ver. 3.7                                            								
*******************************************************************											
										
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F484	B672	F672	F780	DQS for x32	DIFFIO Speed (1)
B4	VREF0B4	VREF0B4			H6	F22	F22	E7		
B4	VREF0B4	IO	DQ1T0		C5	C20	C20	E6	DQ0T8	
B4	VREF0B4	IO	DQ1T1		D5	D21	D21	A6	DQ0T9	
B4	VREF0B4	IO	DQ1T2		B5	D20	D20	B7	DQ0T10	
B4	VREF0B4	IO	DQS1T		A5	A21	A21	B6		
B4	VREF0B4	IO	DQ1T3		C6	C21	C21	D6	DQ0T11	
B4	VREF0B4	IO	DQ1T4		E5	B20	B20	A7	DQ0T12	
B4	VREF0B4	IO	DQ1T5		D6	E21	E21	D7	DQ0T13	
B4	VREF0B4	IO	DQ2T0		B7			D8	DQ0T16	
B4	VREF0B4	IO	DQ1T6		A6	A20	A20	C6	DQ0T14	
B4	VREF0B4	IO	DQ2T1		E6			C8	DQ0T17	
B4	VREF0B4	IO	DQ1T7		B6	F21	F21	C7	DQ0T15	
B4	VREF0B4	IO	DQ2T2		F7			E8	DQ0T18	
B4	VREF0B4	IO	DQS2T		A7	A19	A19	C9	DQS0T	
B4	VREF0B4	IO	DQ2T3		A8	C18	C18	D9	DQ0T19	
B4	VREF0B4	IO	DQ2T4		D7	B18	B18	B9	DQ0T20	
B4	VREF0B4	IO	DQ2T5		C7	D18	D18	B8	DQ0T21	
B4	VREF0B4	IO	DQ2T6		F6			A8	DQ0T22	
B4	VREF0B4	IO	DQ2T7		E7	G20	G20	A9	DQ0T23	
B4	VREF1B4	IO	FCLK6		G8	G19	G19	G10		
B4	VREF1B4	IO	FCLK7		H8	E18	E18	F10		
B4	VREF1B4	IO	DQ3T0		E8	F19	F19	E10	DQ0T24	
B4	VREF1B4	IO	DQ3T1		C8	C17	C17	A10	DQ0T25	
B4	VREF1B4	IO	DQ3T2		F8	G18	G18	C10	DQ0T26	
B4	VREF1B4	IO	DQS3T		D8	B17	B17	D10		
B4	VREF1B4	IO	DQ3T3		B8	E17	E17	B10	DQ0T27	
B4	VREF1B4	IO	DQ3T4		C9	F17	F17	A11	DQ0T28	
B4	VREF1B4	IO	DQ3T5		D9	D17	D17	C11	DQ0T29	
B4	VREF1B4	IO	DEV_OE		L7	G17	G17	J11		
B4	VREF1B4	IO	DQ3T6		E9	A17	A17	D11	DQ0T30	
B4	VREF1B4	IO	DQ3T7		F9	H18	H18	B11	DQ0T31	
B4	VREF1B4	VREF1B4			H7	F18	F18	E9		
B4	VREF1B4	IO	RUP4		J8	D16	D16	H11		
B4	VREF1B4	IO	RDN4		K8	C16	C16	G11		
B4	VREF1B4	IO		nWS	F10	E16	E16	K11		
B4	VREF1B4	IO		DATA0	L8	F16	F16	H12		
B4	VREF1B4	IO		DATA1	J9	C15	C15	F12		
B4	VREF1B4	IO		DATA2	H10	H16	H16	J12		
B4	VREF1B4	TMS		TMS	G10	E15	E15	F13		
B4	VREF1B4	TRST		TRST	J10	D15	D15	L12		
B4	VREF1B4	TCK		TCK	K9	G15	G15	K12		
B4	VREF1B4	IO		DATA3	K10	F15	F15	M12		
B4	VREF1B4	IO			G9			F8		
B4	VREF1B4	IO						J9		
B4	VREF1B4	TDI		TDI	J11	H15	H15	G13		
B4	VREF1B4	TDO		TDO	H11	G14	G14	H13		
B4	VREF1B4	IO	CLK12n					J13		
B4	VREF1B4	CLK12p			A11	B15	B15	K13		
B4	VREF1B4	IO	CLK13n					L13		
B4	VREF1B4	CLK13p			B11	A15	A15	M13		
		TEMPDIODEp			G12	H14	H14	B14		
		TEMPDIODEn			H12	G13	G13	C14		
		VCCA_PLL5			G13	D14	D14	F14		
		GND								
		GNDA_PLL5			F12	B14	B14	G14		
		VCCG_PLL5			F11	C14	C14	D14		
		GNDG_PLL5			G11	B13	B13	E14		
B9		VCC_PLL5_OUTA			F13	D13	D13	F15		
B10		VCC_PLL5_OUTB						G16		
B9	VREF0B3	IO	PLL5_OUT0p		C13	F13	F13	E15		
B9	VREF0B3	IO	PLL5_OUT0n		B13	E13	E13	D15		
B9	VREF0B3	IO	PLL5_OUT1p		B12	F14	F14	K14		
B9	VREF0B3	IO	PLL5_OUT1n		A12	E14	E14	K15		
B9	VREF0B3	IO	PLL5_FBp		D12	F12	F12	H14		
B9	VREF0B3	IO	PLL5_FBn		C12	E12	E12	H15		
B10	VREF0B3	IO	PLL5_OUT2p					C15		
B10	VREF0B3	IO	PLL5_OUT2n					B15		
B10	VREF0B3	IO	PLL5_OUT3p					K16		
B10	VREF0B3	IO	PLL5_OUT3n					J16		
B3	VREF0B3	nSTATUS		nSTATUS	J12	H13	H13	M16		
B3	VREF0B3	nCONFIG		nCONFIG	H13	H12	H12	L16		
B3	VREF0B3	DCLK		DCLK	J13	G12	G12	F16		
B3	VREF0B3	CONF_DONE		CONF_DONE	K13	H11	H11	G17		
B3	VREF0B3	CLK14p			B14	B12	B12	K17		
B3	VREF0B3	IO	CLK14n		C14	A12	A12	J17		
B3	VREF0B3	CLK15p			E13	D12	D12	M17		
B3	VREF0B3	IO	CLK15n		D13	C12	C12	L17		
B3	VREF0B3	VREF0B3			H14	F11	F11	E18		
B3	VREF0B3	IO		DATA4	K14	E11	E11	H17		
B3	VREF0B3	IO		DATA5	G14	G11	G11	K18		
B3	VREF0B3	IO		DATA6	K15	H10	H10	H18		
B3	VREF0B3	IO	RUP3		M15	C11	C11	J18		
B3	VREF0B3	IO	RDN3		L15	D11	D11	K19		
B3	VREF0B3	IO	DQ6T0		A15	A10	A10	A18	DQ1T0	
B3	VREF0B3	IO	DQ6T1		C15	E10	E10	C18	DQ1T1	
B3	VREF0B3	IO		DATA7	J15	G10	G10	G18		
B3	VREF0B3	IO	DQ6T2		D14	F10	F10	D18	DQ1T2	
B3	VREF0B3	IO	DQS6T		F14	G9	G9	B18		
B3	VREF0B3	IO	DQ6T3		E14	F9	F9	A19	DQ1T3	
B3	VREF0B3	IO		CLKUSR	L16	D10	D10	J19		
		GND			G15	F8	F8	G20		
B3	VREF0B3	IO	FCLK0		K16	E9	E9	F19		
B3	VREF0B3	IO	FCLK1		J16	B9	B9	G19		
B3	VREF0B3	IO	DQ6T4		D15	C10	C10	B19	DQ1T4	
B3	VREF0B3	IO	DQ6T5		E15	B10	B10	C19	DQ1T5	
B3	VREF0B3	IO	DQ6T6		F15	A9	A9	E19	DQ1T6	
B3	VREF0B3	IO	DQ6T7		B15	C9	C9	D19	DQ1T7	
B3	VREF1B3	IO	DQ7T0		A16	A8	A8	B20	DQ1T8	
B3	VREF1B3	IO	DQ7T1		E16	A7	A7	A20	DQ1T9	
B3	VREF1B3	IO	DQ7T2		G16	B8	B8	C20	DQ1T10	
B3	VREF1B3	IO	DQS7T		B16			D20	DQS1T	
B3	VREF1B3	IO	DQ7T3		C16			A21	DQ1T11	
B3	VREF1B3	IO	DQ7T4		D16			B21	DQ1T12	
B3	VREF1B3	IO	DQ7T5		F16			C21	DQ1T13	
B3	VREF1B3	IO	DQ8T0		A17	B6	B6	B22	DQ1T16	
B3	VREF1B3	IO	DQ7T6		E17			D21	DQ1T14	
B3	VREF1B3	IO	DQ8T1		B17	A6	A6	A22	DQ1T17	
B3	VREF1B3	IO	DQ7T7		F17			E21	DQ1T15	
B3	VREF1B3	IO	DQ8T2		C17	F6	F6	C22	DQ1T18	
B3	VREF1B3	IO	DQS8T		C18	F5	F5	D23		
B3	VREF1B3	IO	DQ8T3		D17	D6	D6	D22	DQ1T19	
B3	VREF1B3	IO	DQ8T4		E18	E6	E6	A23	DQ1T20	
B3	VREF1B3	IO	DQ8T5		A18	A5	A5	C23	DQ1T21	
B3	VREF1B3	IO	DQ8T6		B18	E5	E5	E23	DQ1T22	
B3	VREF1B3	IO	DQ8T7		D18	C7	C7	B23	DQ1T23	
B3	VREF1B3	VREF1B3			H15	D9	D9	E20		
B3	VREF1B3	IO			J14			L18		
B3	VREF1B3	IO						M18		
B3	VREF1B3	IO	DQ9T0		A19	C3	C3	A24	DQ1T24	
B3	VREF1B3	IO	DQ9T1		B19	A3	A3	C25	DQ1T25	
B3	VREF1B3	IO	DQ9T2		C19	D5	D5	A25	DQ1T26	
B3	VREF1B3	IO	DQS9T		C21	B4	B4	C24		
B3	VREF1B3	IO	DQ9T3		D19	C2	C2	D24	DQ1T27	
B3	VREF1B3	IO	DQ9T4		B20	B3	B3	B24	DQ1T28	
B3	VREF1B3	IO	DQ9T5		B21	D4	D4	B25	DQ1T29	
B3	VREF1B3	IO	DQ9T6		C20	C4	C4	A26	DQ1T30	
B3	VREF1B3	IO	DQ9T7		D20	D3	D3	B26	DQ1T31	
B3	VREF1B3	IO			M16			F17		
		VCCIO2			C22	D1	D1	B28		
		VCCIO2			K22	L1	L1	M28		
		VCCIO2				L9	L9	P20		
		VCCIO1			N22	T1	T1	R20		
		VCCIO1			Y22	AC1	AC1	U28		
		VCCIO1				T9	T9	AG28		
		VCCIO8			AB20	AF4	AF4	Y15		
		VCCIO8			AB13	AF11	AF11	AH17		
		VCCIO8				V11	V11	AH27		
		VCCIO8				V12	V12			
		VCCIO7			AB10	V15	V15	Y14		
		VCCIO7			AB3	V16	V16	AH2		
		VCCIO7				AF16	AF16	AH12		
		VCCIO7				AF23	AF23			
		VCCIO6			Y1	T18	T18	R9		
		VCCIO6			N1	AC26	AC26	U1		
		VCCIO6				T26	T26	AG1		
		VCCIO5				L26	L26	B1		
		VCCIO5			K1	L18	L18	M1		
		VCCIO5			C1	D26	D26	P9		
		VCCIO4				A23	A23	A2		
		VCCIO4			A3	A16	A16	A12		
		VCCIO4			A10	J15	J15	J14		
		VCCIO4				J16	J16			
		VCCIO3			A13	A4	A4	A17		
		VCCIO3			A20	A11	A11	A27		
		VCCIO3				J11	J11	J15		
		VCCIO3				J12	J12			
		VCCINT			A1	K11	K11	M14		
		VCCINT			A22	K13	K13	N11		
		VCCINT			AB1	K15	K15	N13		
		VCCINT			AB22	K17	K17	N15		
		VCCINT			K12	L10	L10	N17		
		VCCINT			L11	L12	L12	P12		
		VCCINT			L13	L14	L14	P14		
		VCCINT			L9	L16	L16	P16		
		VCCINT			M10	M11	M11	R13		
		VCCINT			M12	M13	M13	R15		
		VCCINT			M14	M15	M15	R17		
		VCCINT			N11	M17	M17	T12		
		VCCINT				N10	N10	T14		
		VCCINT				N12	N12	T16		
		VCCINT				N14	N14	T18		
		VCCINT				N16	N16	U11		
		VCCINT				P11	P11	U13		
		VCCINT				P13	P13	U15		
		VCCINT				P15	P15	U17		
		VCCINT				P17	P17	V12		
		VCCINT				R10	R10	V16		
		VCCINT				R12	R12			
		VCCINT				R14	R14			
		VCCINT				R16	R16			
		VCCINT				T11	T11			
		VCCINT				T13	T13			
		VCCINT				T15	T15			
		VCCINT				T17	T17			
		VCCINT				U10	U10			
		VCCINT				U12	U12			
		VCCINT				U14	U14			
		VCCINT				U16	U16			
		GND			A14	A13	A13	A14		
		GND			A2	A14	A14	A15		
		GND			A21	A2	A2	AA16		
		GND			A9	A25	A25	AC15		
		GND			AA1	AC13	AC13	AF26		
		GND			AA22	AE1	AE1	AF3		
		GND			AB14	AE26	AE26	AG2		
		GND			AB2	AF13	AF13	AG27		
		GND			AB21	AF14	AF14	AH14		
		GND			AB9	AF2	AF2	AH15		
		GND			B1	AF25	AF25	B2		
		GND			B22	B1	B1	B27		
		GND			G17	B2	B2	C26		
		GND			G6	B26	B26	C3		
		GND			J1	C13	C13	G15		
		GND			J22	G8	G8	H16		
		GND			K11	H17	H17	L14		
		GND			L10	H9	H9	L15		
		GND			L12	J10	J10	M15		
		GND			L14	J13	J13	N12		
		GND			M11	J14	J14	N14		
		GND			M13	J17	J17	N16		
		GND			M9	J9	J9	N18		
		GND			N12	K10	K10	P1		
		GND			P1	K12	K12	P11		
		GND			P22	K14	K14	P13		
		GND			T17	K16	K16	P15		
		GND			T6	K18	K18	P17		
		GND				L11	L11	P18		
		GND				L13	L13	P28		
		GND				L15	L15	R1		
		GND				L17	L17	R11		
		GND				M10	M10	R12		
		GND				M12	M12	R14		
		GND				M14	M14	R16		
		GND				M16	M16	R18		
		GND				N1	N1	R28		
		GND				N11	N11	T11		
		GND				N13	N13	T13		
		GND				N15	N15	T15		
		GND				N17	N17	T17		
		GND				N18	N18	U12		
		GND				N26	N26	U14		
		GND				N9	N9	U16		
		GND				P1	P1	U18		
		GND				P10	P10	V13		
		GND				P12	P12	V14		
		GND				P14	P14	V15		
		GND				P16	P16	V17		
		GND				P18	P18			
		GND				P26	P26			
		GND				P9	P9			
		GND				R11	R11			
		GND				R13	R13			
		GND				R15	R15			
		GND				R17	R17			
		GND				T10	T10			
		GND				T12	T12			
		GND				T14	T14			
		GND				T16	T16			
		GND				U11	U11			
		GND				U13	U13			
		GND				U15	U15			
		GND				U17	U17			
		GND				V10	V10			
		GND				V13	V13			
		GND				V14	V14			
		GND				V17	V17			
		GND				V18	V18			
		GND				V9	V9			
		NC			AA10	A18	A18	A13		
		NC			AA9	AA16	AA16	A16		
		NC			B10	AB1	AB1	AA10		
		NC			B9	AB2	AB2	AA21		
		NC			C10	AB25	AB25	AA22		
		NC			C11	AB26	AB26	AA23		
		NC			D10	AB6	AB6	AA24		
		NC			D11	AB8	AB8	AA5		
		NC			E10	AC18	AC18	AA6		
		NC			E11	AC19	AC19	AA7		
		NC			E12	AC5	AC5	AA8		
		NC			E3	AC6	AC6	AA9		
		NC			E4	AC8	AC8	AB12		
		NC			F19	AD11	AD11	AB20		
		NC			F20	AD18	AD18	AB21		
		NC			H16	AD19	AD19	AB22		
		NC			H9	AD21	AD21	AB23		
		NC			R14	AD22	AD22	AB24		
		NC			R5	AD23	AD23	AB25		
		NC			U3	AD24	AD24	AB26		
		NC			U4	AD8	AD8	AB3		
		NC			V10	AE18	AE18	AB4		
		NC			V11	AE19	AE19	AB5		
		NC			V12	AE8	AE8	AB6		
		NC			V19	AF20	AF20	AB8		
		NC			V20	AF5	AF5	AB9		
		NC			W10	B11	B11	AC1		
		NC			W11	B16	B16	AC2		
		NC			Y10	B19	B19	AC20		
		NC			Y11	B21	B21	AC22		
		NC				B23	B23	AC23		
		NC				B25	B25	AC24		
		NC				B5	B5	AC25		
		NC				B7	B7	AC26		
		NC				C19	C19	AC27		
		NC				C5	C5	AC28		
		NC				C6	C6	AC3		
		NC				C8	C8	AC4		
		NC				D19	D19	AC5		
		NC				D7	D7	AC6		
		NC				D8	D8	AC7		
		NC				E1	E1	AD1		
		NC				E19	E19	AD12		
		NC				E2	E2	AD13		
		NC				E20	E20	AD16		
		NC				E25	E25	AD17		
		NC				E26	E26	AD2		
		NC				E7	E7	AD24		
		NC				E8	E8	AD25		
		NC				F20	F20	AD26		
		NC				F7	F7	AD27		
		NC				G16	G16	AD28		
		NC				G7	G7	AD3		
		NC				H1	H1	AD4		
		NC				H19	H19	AD5		
		NC				H2	H2	AD7		
		NC				H20	H20	AE1		
		NC				H21	H21	AE12		
		NC				H22	H22	AE13		
		NC				H23	H23	AE16		
		NC				H24	H24	AE17		
		NC				H25	H25	AE2		
		NC				H26	H26	AE25		
		NC				H5	H5	AE26		
		NC				H6	H6	AE27		
		NC				H7	H7	AE28		
		NC				J1	J1	AF1		
		NC				J19	J19	AF12		
		NC				J2	J2	AF13		
		NC				J20	J20	AF16		
		NC				J23	J23	AF17		
		NC				J24	J24	AF2		
		NC				J25	J25	AF27		
		NC				J26	J26	AF28		
		NC				J3	J3	AG12		
		NC				J4	J4	AG13		
		NC				J5	J5	AG16		
		NC				J6	J6	AG17		
		NC				J7	J7	AH13		
		NC				J8	J8	AH16		
		NC				K1	K1	AH18		
		NC				K2	K2	B12		
		NC				K21	K21	B13		
		NC				K22	K22	B16		
		NC				K25	K25	B17		
		NC				K26	K26	C1		
		NC				K7	K7	C12		
		NC				K8	K8	C13		
		NC				K9	K9	C16		
		NC				R18	R18	C17		
		NC				U18	U18	C2		
		NC				U19	U19	C27		
		NC				U20	U20	C28		
		NC				U25	U25	D1		
		NC				U26	U26	D12		
		NC				U3	U3	D13		
		NC				U4	U4	D16		
		NC				U7	U7	D17		
		NC				U8	U8	D2		
		NC				U9	U9	D25		
		NC				V1	V1	D26		
		NC				V19	V19	D27		
		NC				V2	V2	D28		
		NC				V21	V21	D3		
		NC				V22	V22	D4		
		NC				V23	V23	E1		
		NC				V24	V24	E11		
		NC				V25	V25	E12		
		NC				V26	V26	E13		
		NC				V3	V3	E16		
		NC				V4	V4	E17		
		NC				V8	V8	E2		
		NC				W1	W1	E22		
		NC				W11	W11	E25		
		NC				W19	W19	E26		
		NC				W2	W2	E27		
		NC				W20	W20	E28		
		NC				W21	W21	E3		
		NC				W22	W22	E4		
		NC				W23	W23	E5		
		NC				W24	W24	F1		
		NC				W25	W25	F11		
		NC				W26	W26	F18		
		NC				W3	W3	F2		
		NC				W4	W4	F20		
		NC				W5	W5	F21		
		NC				W6	W6	F22		
		NC				W7	W7	F23		
		NC				W8	W8	F24		
		NC				Y19	Y19	F25		
		NC				Y3	Y3	F26		
		NC				Y4	Y4	F27		
		NC				Y7	Y7	F28		
		NC				Y9	Y9	F3		
		NC						F4		
		NC						F5		
		NC						F6		
		NC						F7		
		NC						F9		
		NC						G12		
		NC						G21		
		NC						G22		
		NC						G23		
		NC						G24		
		NC						G25		
		NC						G26		
		NC						G3		
		NC						G4		
		NC						G5		
		NC						G6		
		NC						G8		
		NC						G9		
		NC						H10		
		NC						H19		
		NC						H20		
		NC						H21		
		NC						H22		
		NC						H23		
		NC						H24		
		NC						H5		
		NC						H6		
		NC						H7		
		NC						H8		
		NC						H9		
		NC						J10		
		NC						J20		
		NC						J21		
		NC						J22		
		NC						J23		
		NC						J24		
		NC						J5		
		NC						J6		
		NC						J7		
		NC						J8		
		NC						K10		
		NC						K23		
		NC						K24		
		NC						K5		
		NC						K6		
		NC						P19		
		NC						R10		
		NC						W21		
		NC						W22		
		NC						W7		
		NC						W8		
		NC						Y10		
		NC						Y20		
		NC						Y21		
		NC						Y22		
		NC						Y23		
		NC						Y24		
		NC						Y5		
		NC						Y6		
		NC						Y7		
		NC						Y8		

Note to Pin-List:										
1) The wire bond and flip-chip packages will have different data rates for the high speed differential I/O channels. The following table shows the data rates as supported for each package.										
2) Optional Functions (LVDS, DDR, Differential I/O, etc) are not available for some pins in certain packages. E.g. for EP1S10, DIFFIO_TX20 pair is available for package B672, F672 and F780 but not for F484.										
										
Package	Package Type	High Speed Differential I/O Channel Performance (DIFFIO Speed)		Units
		High 	Low	
F484	flip chip	840	N/A	Mbps
B672	wire bond	462	N/A	Mbps
F672	wire bond	462	N/A	Mbps
F780	flip chip	840	N/A	Mbps
