*******************************************************************								
* PT-EP1S25-3.6.txt
* PIN-OUT INFORMATION FOR EP1S25               								
* Ver. 3.6                                            								
*******************************************************************											
											
											
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	B672	F672	F780	F1020	DQS for x16	DQS for x32	DIFFIO Speed (1)
B7	VREF2B7	IO	DQ1B0		AC21	AC21	AE6	AJ6	DQ0B8	DQ0B8
B7	VREF2B7	IO					Y9	AF10		
B7	VREF2B7	IO						AG10		
B7	VREF2B7	IO	DQ0B7		AE25	AE25	AF5	AL3	DQ0B7	DQ0B7
B7	VREF2B7	IO					AE4	AG11		
B7	VREF2B7	IO	DQ0B6		AF22	AF22	AH5	AL4	DQ0B6	DQ0B6
B7	VREF2B7	IO					AC6	AD9		
B7	VREF2B7	IO	DQ0B5		AF24	AF24	AF4	AM4	DQ0B5	DQ0B5	
B7	VREF2B7	IO	DQ0B4		AE22	AE22	AG4	AJ4	DQ0B4	DQ0B4	
B7	VREF2B7	IO			AD23	AD23		AG9			
B7	VREF2B7	IO	DQ0B3		AB22	AB22	AG5	AJ5	DQ0B3	DQ0B3	
B7	VREF2B7	IO	DQS0B		AE23	AE23	AH3	AK5			
B7	VREF2B7	IO			AD24	AD24	AC5	AC9			
B7	VREF2B7	IO	DQ0B2		AC23	AC23	AG3	AH5	DQ0B2	DQ0B2	
B7	VREF2B7	IO	DQ0B1		AC22	AC22	AE5	AK3	DQ0B1	DQ0B1	
B7	VREF2B7	IO			AD22	AD22	AB7	AE9			
B7	VREF2B7	IO	DQ0B0		AE24	AE24	AH4	AK4	DQ0B0	DQ0B0	
B7	VREF2B7	IO						AF9			
B6	VREF0B6	IO	DIFFIO_TX77n		AD25	AD25		AF8			HIGH
B6	VREF0B6	IO	DIFFIO_TX77p		AC24	AC24		AF7			HIGH
B6	VREF0B6	IO	DIFFIO_RX77n		AD26	AD26		AG4			HIGH
B6	VREF0B6	IO	DIFFIO_RX77p		AC25	AC25		AG3			HIGH
B6	VREF0B6	IO	DIFFIO_TX76n		AB24	AB24		AF5			HIGH
B6	VREF0B6	IO	DIFFIO_TX76p		AB23	AB23		AF6			HIGH
B6	VREF0B6	IO	DIFFIO_RX76n		AB26	AB26		AG1			HIGH
B6	VREF0B6	IO	DIFFIO_RX76p		AB25	AB25		AG2			HIGH
B6	VREF0B6	IO	DIFFIO_TX75n		AA24	AA24		AE7			HIGH
B6	VREF0B6	IO	DIFFIO_TX75p		AA23	AA23		AE8			HIGH
B6	VREF0B6	IO	DIFFIO_RX75n		AA26	AA26		AF4			HIGH
B6	VREF0B6	IO	DIFFIO_RX75p		AA25	AA25		AF3			HIGH
B6	VREF0B6	VREF0B6			Y21	Y21	AE3	AG6			
B6	VREF0B6	IO	DIFFIO_TX74n		AA22	AA22	AB5	AD6			HIGH
B6	VREF0B6	IO	DIFFIO_TX74p		Y22	Y22	AB6	AD5			HIGH
B6	VREF0B6	IO	DIFFIO_RX74n		Y26	Y26		AF2			HIGH
B6	VREF0B6	IO	DIFFIO_RX74p		Y25	Y25		AF1			HIGH
B6	VREF0B6	IO	DIFFIO_TX73n		Y24	Y24	AA7	AE6			HIGH
B6	VREF0B6	IO	DIFFIO_TX73p		Y23	Y23	AA8	AE5			HIGH
B6	VREF0B6	IO	DIFFIO_RX73n		W23	W23	AF2	AE4			HIGH
B6	VREF0B6	IO	DIFFIO_RX73p		W24	W24	AF1	AE3			HIGH
B6	VREF0B6	IO	DIFFIO_TX72n		W21	W21	AA5	AD8			HIGH
B6	VREF0B6	IO	DIFFIO_TX72p		W22	W22	AA6	AD7			HIGH
B6	VREF0B6	IO	DIFFIO_RX72n				AE2	AE2			HIGH
B6	VREF0B6	IO	DIFFIO_RX72p				AE1	AE1			HIGH
B6	VREF0B6	IO	DIFFIO_TX71n				Y6	AC5			HIGH
B6	VREF0B6	IO	DIFFIO_TX71p				Y5	AC6			HIGH
B6	VREF0B6	IO	DIFFIO_RX71n		W25	W25	AD2	AC3			HIGH
B6	VREF0B6	IO	DIFFIO_RX71p		W26	W26	AD1	AC4			HIGH
B6	VREF1B6	IO	DIFFIO_TX70n		W19	W19	Y7	AC7			HIGH
B6	VREF1B6	IO	DIFFIO_TX70p		W20	W20	Y8	AC8			HIGH
B6	VREF1B6	IO	DIFFIO_RX70n		V23	V23	AC2	AD3			HIGH
B6	VREF1B6	IO	DIFFIO_RX70p		V24	V24	AC1	AD4			HIGH
B6	VREF1B6	IO	DIFFIO_TX69n		V21	V21	W7	AB7			HIGH
B6	VREF1B6	IO	DIFFIO_TX69p		V22	V22	W8	AB6			HIGH
B6	VREF1B6	IO	DIFFIO_RX69n		V25	V25	AB4	AD2			HIGH
B6	VREF1B6	IO	DIFFIO_RX69p		V26	V26	AB3	AD1			HIGH
B6	VREF1B6	IO	DIFFIO_TX68n				W5	AA6			HIGH
B6	VREF1B6	IO	DIFFIO_TX68p				W6	AA7			HIGH
B6	VREF1B6	IO	DIFFIO_RX68n				AB2	AC2			HIGH
B6	VREF1B6	IO	DIFFIO_RX68p				AB1	AB1			HIGH
B6	VREF1B6	VREF1B6			V20	V20	W9	AB8			
B6	VREF1B6	IO	DIFFIO_TX67n				V8	AA9			HIGH
B6	VREF1B6	IO	DIFFIO_TX67p				V7	AA8			HIGH
B6	VREF1B6	IO	DIFFIO_RX67n/RDN6		U24	U24	AA3	AA4			HIGH
B6	VREF1B6	IO	DIFFIO_RX67p/RUP6		U23	U23	AA4	AA5			HIGH
B6	VREF1B6	IO	DIFFIO_TX66n				V6	Y5			HIGH
B6	VREF1B6	IO	DIFFIO_TX66p				V5	Y6			HIGH
B6	VREF1B6	IO	DIFFIO_RX66n				AA2	AB3			HIGH
B6	VREF1B6	IO	DIFFIO_RX66p				AA1	AB2			HIGH
B6	VREF1B6	IO	DIFFIO_TX65n		V19	V19	V9	Y7			HIGH
B6	VREF1B6	IO	DIFFIO_TX65p		U20	U20	V10	Y8			HIGH
B6	VREF1B6	IO	DIFFIO_RX65n		U26	U26	Y4	AA3			HIGH
B6	VREF1B6	IO	DIFFIO_RX65p		U25	U25	Y3	AA2			HIGH
B6	VREF1B6	IO	DIFFIO_TX64n		U19	U19	U7	W5			HIGH
B6	VREF1B6	IO	DIFFIO_TX64p		U18	U18	U8	W6			HIGH
B6	VREF1B6	IO	DIFFIO_RX64n		U22	U22	Y2	Y4			HIGH
B6	VREF1B6	IO	DIFFIO_RX64p		U21	U21	Y1	Y3			HIGH
B6	VREF2B6	IO	DIFFIO_TX63n		T21	T21	U6	Y10			HIGH
B6	VREF2B6	IO	DIFFIO_TX63p		T20	T20	U5	Y9			HIGH
B6	VREF2B6	IO	DIFFIO_RX63n		T25	T25	W4	Y2			HIGH
B6	VREF2B6	IO	DIFFIO_RX63p		T24	T24	W3	Y1			HIGH
B6	VREF2B6	IO	DIFFIO_TX62n		T19	T19	U9	W10			HIGH
B6	VREF2B6	IO	DIFFIO_TX62p		R19	R19	U10	W9			HIGH
B6	VREF2B6	IO	DIFFIO_RX62n				W2	W4			HIGH
B6	VREF2B6	IO	DIFFIO_RX62p				W1	W3			HIGH
B6	VREF2B6	IO	DIFFIO_TX61n				T6	V9			HIGH
B6	VREF2B6	IO	DIFFIO_TX61p				T5	V10			HIGH
B6	VREF2B6	IO	DIFFIO_RX61n		T23	T23	V4	W2			HIGH
B6	VREF2B6	IO	DIFFIO_RX61p		T22	T22	V3	W1			HIGH
B6	VREF2B6	VREF2B6			R18	R18	R10	AA10			
B6	VREF2B6	IO	DIFFIO_TX60n				T10	V5			HIGH
B6	VREF2B6	IO	DIFFIO_TX60p				T9	V6			HIGH
B6	VREF2B6	IO	DIFFIO_RX60n		R22	R22	V1	V4			HIGH
B6	VREF2B6	IO	DIFFIO_RX60p		R23	R23	V2	V3			HIGH
B6	VREF2B6	IO	DIFFIO_TX59n		P20	P20	T7	V8			HIGH
B6	VREF2B6	IO	DIFFIO_TX59p		P21	P21	T8	V7			HIGH
B6	VREF2B6	IO	DIFFIO_RX59n		R20	R20	U4	V2			HIGH
B6	VREF2B6	IO	DIFFIO_RX59p		R21	R21	U3	V1			HIGH
B6	VREF2B6	IO	DIFFIO_TX58n		P19	P19	T4	W8			HIGH
B6	VREF2B6	IO	DIFFIO_TX58p		N19	N19	T3	W7			HIGH
B6	VREF2B6	IO	DIFFIO_RX58n				U2	U5			HIGH
B6	VREF2B6	IO	DIFFIO_RX58p				T1	U6			HIGH
B6	VREF2B6	IO	CLK8n				R3	U3			
B6	VREF2B6	CLK8p			P24	P24	R4	U4			
B6	VREF2B6	CLK9n			P25	P25	T2	U1			
B6	VREF2B6	CLK9p			R26	R26	R2	U2			
		GNDG_PLL3			R25	R25	R7	U11			
		VCCG_PLL3			P23	P23	R8	V11			
		GNDA_PLL3			R24	R24	R5	U7			
		GND									
		VCCA_PLL3			P22	P22	R6	U8			
		GNDG_PLL4			N22	N22	P7	U9			
		VCCG_PLL4			N24	N24	P8	T9			
		GNDA_PLL4			N23	N23	P5	T7			
		GND									
		VCCA_PLL4			N25	N25	P6	T8			
B5	VREF0B5	CLK10p			M26	M26	P4	T6			
B5	VREF0B5	IO	CLK10n				P3	T5			
B5	VREF0B5	CLK11p			M24	M24	P2	T4			
B5	VREF0B5	CLK11n			M25	M25	N2	T3			
B5	VREF0B5	IO	DIFFIO_TX57n		N20	N20	N10	R7			HIGH
B5	VREF0B5	IO	DIFFIO_TX57p		N21	N21	N9	R8			HIGH
B5	VREF0B5	IO	DIFFIO_RX57n				M2	T2			HIGH
B5	VREF0B5	IO	DIFFIO_RX57p				N1	T1			HIGH
B5	VREF0B5	IO	DIFFIO_TX56n		M18	M18	N5	P7			HIGH
B5	VREF0B5	IO	DIFFIO_TX56p		M19	M19	N6	P8			HIGH
B5	VREF0B5	IO	DIFFIO_RX56n		M20	M20	M3	R1			HIGH
B5	VREF0B5	IO	DIFFIO_RX56p		M21	M21	M4	R2			HIGH
B5	VREF0B5	IO	DIFFIO_TX55n				N7	R5			HIGH
B5	VREF0B5	IO	DIFFIO_TX55p				N8	R6			HIGH
B5	VREF0B5	IO	DIFFIO_RX55n		M22	M22	L1	R3			HIGH
B5	VREF0B5	IO	DIFFIO_RX55p		M23	M23	L2	R4			HIGH
B5	VREF0B5	IO	DIFFIO_TX54n				N4	R10			HIGH
B5	VREF0B5	IO	DIFFIO_TX54p				N3	R9			HIGH
B5	VREF0B5	IO	DIFFIO_RX54n		L22	L22	L3	P1			HIGH
B5	VREF0B5	IO	DIFFIO_RX54p		L23	L23	L4	P2			HIGH
B5	VREF0B5	VREF0B5			L19	L19	P10	R12			
B5	VREF0B5	IO	DIFFIO_TX53n		L21	L21	M10	P6			HIGH
B5	VREF0B5	IO	DIFFIO_TX53p		L20	L20	M9	P5			HIGH
B5	VREF0B5	IO	DIFFIO_RX53n				K1	P3			HIGH
B5	VREF0B5	IO	DIFFIO_RX53p				K2	P4			HIGH
B5	VREF0B5	IO	DIFFIO_TX52n		K20	K20	M6	N7			HIGH
B5	VREF0B5	IO	DIFFIO_TX52p		K19	K19	M5	N8			HIGH
B5	VREF0B5	IO	DIFFIO_RX52n		L25	L25	K4	N1			HIGH
B5	VREF0B5	IO	DIFFIO_RX52p		L24	L24	K3	N2			HIGH
B5	VREF0B5	IO	DIFFIO_TX51n		K22	K22	M8	P9			HIGH
B5	VREF0B5	IO	DIFFIO_TX51p		K21	K21	M7	P10			HIGH
B5	VREF0B5	IO	DIFFIO_RX51n		K24	K24	J1	N3			HIGH
B5	VREF0B5	IO	DIFFIO_RX51p		K23	K23	J2	N4			HIGH
B5	VREF0B5	IO	DIFFIO_TX50n		J20	J20	L10	N5			HIGH
B5	VREF0B5	IO	DIFFIO_TX50p		J19	J19	L9	N6			HIGH
B5	VREF0B5	IO	DIFFIO_RX50n		K26	K26	J3	M2			HIGH
B5	VREF0B5	IO	DIFFIO_RX50p		K25	K25	J4	M3			HIGH
B5	VREF0B5	IO	DIFFIO_TX49n				L5	N10			HIGH
B5	VREF0B5	IO	DIFFIO_TX49p				L6	N9			HIGH
B5	VREF0B5	IO	DIFFIO_RX49n				H1	L2			HIGH
B5	VREF0B5	IO	DIFFIO_RX49p				H2	L3			HIGH
B5	VREF1B5	IO	DIFFIO_TX48n				L8	M8			HIGH
B5	VREF1B5	IO	DIFFIO_TX48p				L7	M9			HIGH
B5	VREF1B5	IO	DIFFIO_RX48n/RDN5		J22	J22	H3	M4			HIGH
B5	VREF1B5	IO	DIFFIO_RX48p/RUP5		J21	J21	H4	M5			HIGH
B5	VREF1B5	IO	DIFFIO_TX47n		H20	H20	K7	M6			HIGH
B5	VREF1B5	IO	DIFFIO_TX47p		H19	H19	K8	M7			HIGH
B5	VREF1B5	IO	DIFFIO_RX47n		J26	J26	G1	L1			HIGH
B5	VREF1B5	IO	DIFFIO_RX47p		J25	J25	G2	K2			HIGH
B5	VREF1B5	IO	DIFFIO_TX46n				J7	L6			HIGH
B5	VREF1B5	IO	DIFFIO_TX46p				J8	L7			HIGH
B5	VREF1B5	IO	DIFFIO_RX46n		J24	J24	G4	J2			HIGH
B5	VREF1B5	IO	DIFFIO_RX46p		J23	J23	G3	J1			HIGH
B5	VREF1B5	IO	DIFFIO_TX45n		H22	H22	K5	K5			HIGH
B5	VREF1B5	IO	DIFFIO_TX45p		H21	H21	K6	K6			HIGH
B5	VREF1B5	IO	DIFFIO_RX45n				F1	K4			HIGH
B5	VREF1B5	IO	DIFFIO_RX45p				F2	K3			HIGH
B5	VREF1B5	IO	DIFFIO_TX44n		H24	H24	J6	K8			HIGH
B5	VREF1B5	IO	DIFFIO_TX44p		H23	H23	J5	K7			HIGH
B5	VREF1B5	IO	DIFFIO_RX44n				F3	J3			HIGH
B5	VREF1B5	IO	DIFFIO_RX44p				F4	J4			HIGH
B5	VREF1B5	VREF1B5			J18	J18	K9	L8			
B5	VREF1B5	IO	DIFFIO_TX43n		G21	G21	H8	J5			HIGH
B5	VREF1B5	IO	DIFFIO_TX43p		G22	G22	H7	J6			HIGH
B5	VREF1B5	IO	DIFFIO_RX43n		H25	H25	E1	H1			HIGH
B5	VREF1B5	IO	DIFFIO_RX43p		H26	H26	E2	H2			HIGH
B5	VREF1B5	IO	DIFFIO_TX42n		G23	G23	H6	J7			HIGH
B5	VREF1B5	IO	DIFFIO_TX42p		G24	G24	H5	J8			HIGH
B5	VREF1B5	IO	DIFFIO_RX42n		G25	G25	D1	G1			HIGH
B5	VREF1B5	IO	DIFFIO_RX42p		G26	G26	D2	G2			HIGH
B5	VREF1B5	IO	DIFFIO_TX41n		F23	F23	G5	H5			HIGH
B5	VREF1B5	IO	DIFFIO_TX41p		F24	F24	G6	H6			HIGH
B5	VREF1B5	IO	DIFFIO_RX41n		F25	F25	C1	H3			HIGH
B5	VREF1B5	IO	DIFFIO_RX41p		F26	F26	C2	H4			HIGH
B5	VREF1B5	IO	DIFFIO_TX40n		E23	E23	F6	H8			HIGH
B5	VREF1B5	IO	DIFFIO_TX40p		E24	E24	F5	H7			HIGH
B5	VREF1B5	IO	DIFFIO_RX40n		E25	E25		F1			HIGH
B5	VREF1B5	IO	DIFFIO_RX40p		E26	E26		F2			HIGH
B5	VREF1B5	IO	DIFFIO_TX39n		D24	D24		G6			HIGH
B5	VREF1B5	IO	DIFFIO_TX39p		C25	C25		G5			HIGH
B5	VREF1B5	IO	DIFFIO_RX39n		D25	D25		G3			HIGH
B5	VREF1B5	IO	DIFFIO_RX39p		C26	C26		G4			HIGH
B4	VREF0B4	IO						F7			
B4	VREF0B4	IO	DQ0T0		B24	B24	A4	D5	DQ0T0	DQ0T0	
B4	VREF0B4	IO			B25	B25	G7	K9			
B4	VREF0B4	IO	DQ0T1		D23	D23	A3	C3	DQ0T1	DQ0T1	
B4	VREF0B4	IO	DQ0T2		D22	D22	B3	E5	DQ0T2	DQ0T2	
B4	VREF0B4	IO	DQS0T		C24	C24	D5	C5			
B4	VREF0B4	IO			B23	B23	F7	F8			
B4	VREF0B4	IO	DQ0T3		E22	E22	B5	C4	DQ0T3	DQ0T3	
B4	VREF0B4	IO			C23	C23		J9			
B4	VREF0B4	IO	DQ0T4		B22	B22	B4	D4	DQ0T4	DQ0T4	
B4	VREF0B4	IO	DQ0T5		A24	A24	C4	A4	DQ0T5	DQ0T5	
B4	VREF0B4	IO					G8	M10			
B4	VREF0B4	IO	DQ0T6		A22	A22	A5	B4	DQ0T6	DQ0T6	
B4	VREF0B4	IO					F8	G9			
B4	VREF0B4	IO	DQ0T7		C22	C22	C5	B3	DQ0T7	DQ0T7	
B4	VREF0B4	IO						H9			
B4	VREF0B4	IO					J9	L9			
B4	VREF0B4	IO	DQ1T0		C20	C20	E6	D6	DQ0T8	DQ0T8	
B4	VREF0B4	VREF0B4			F22	F22	E7	E6		
B4	VREF0B4	IO	DQ1T1		D21	D21	A6	C6	DQ0T9	DQ0T9
B4	VREF0B4	IO	DQ1T2		D20	D20	B7	B5	DQ0T10	DQ0T10
B4	VREF0B4	IO			B21	B21		K11		
B4	VREF0B4	IO	DQS1T		A21	A21	B6	E7	DQS0T	
B4	VREF0B4	IO					H9	L11		
B4	VREF0B4	IO	DQ1T3		C21	C21	D6	C7	DQ0T11	DQ0T11
B4	VREF0B4	IO	DQ1T4		B20	B20	A7	A5	DQ0T12	DQ0T12
B4	VREF0B4	IO						J11		
B4	VREF0B4	IO	DQ1T5		E21	E21	D7	D7	DQ0T13	DQ0T13
B4	VREF0B4	IO					G9	F9		
B4	VREF0B4	IO	DQ1T6		A20	A20	C6	A6	DQ0T14	DQ0T14
B4	VREF0B4	IO	DQ1T7		F21	F21	C7	B6	DQ0T15	DQ0T15
B4	VREF0B4	IO			C19	C19	F9	G10		
B4	VREF0B4	IO						F10		
B4	VREF0B4	IO	DQ2T0		D19	D19	D8	B7	DQ1T0	DQ0T16
B4	VREF0B4	IO	DQ2T1		E20	E20	C8	D8	DQ1T1	DQ0T17
B4	VREF0B4	IO			B19	B19	H10	L12		
B4	VREF0B4	IO	DQ2T2		E19	E19	E8	B8	DQ1T2	DQ0T18
B4	VREF1B4	IO	DQS2T		A19	A19	C9	A7		DQS0T
B4	VREF1B4	IO						H11		
B4	VREF1B4	IO	DQ2T3		C18	C18	D9	E9	DQ1T3	DQ0T19
B4	VREF1B4	IO	DQ2T4		B18	B18	B9	A8	DQ1T4	DQ0T20
B4	VREF1B4	IO	DQ2T5		D18	D18	B8	C9	DQ1T5	DQ0T21
B4	VREF1B4	IO	DQ2T6		F20	F20	A8	C8	DQ1T6	DQ0T22
B4	VREF1B4	IO	FCLK6		G19	G19	G10	G12		
B4	VREF1B4	IO	FCLK7		E18	E18	F10	A14		
B4	VREF1B4	IO	DQ2T7		G20	G20	A9	D9	DQ1T7	DQ0T23
B4	VREF1B4	IO						J12		
B4	VREF1B4	IO			A18	A18	J10	K12		
B4	VREF1B4	IO	DQ3T0		F19	F19	E10	E11	DQ1T8	DQ0T24
B4	VREF1B4	VREF1B4			F18	F18	E9	E8		
B4	VREF1B4	IO	DQ3T1		C17	C17	A10	B9	DQ1T9	DQ0T25
B4	VREF1B4	IO					F11	H12		
B4	VREF1B4	IO	DQ3T2		G18	G18	C10	D10	DQ1T10	DQ0T26
B4	VREF1B4	IO					K10	K13		
B4	VREF1B4	IO	DQS3T		B17	B17	D10	D11	DQS1T	
B4	VREF1B4	IO	DQ3T3		E17	E17	B10	C10	DQ1T11	DQ0T27
B4	VREF1B4	IO						F12		
B4	VREF1B4	IO	DQ3T4		F17	F17	A11	A9	DQ1T12	DQ0T28
B4	VREF1B4	IO	DQ3T5		D17	D17	C11	B11	DQ1T13	DQ0T29
B4	VREF1B4	IO	DEV_OE		G17	G17	J11	L13		
B4	VREF1B4	IO	DQ3T6		A17	A17	D11	C11	DQ1T14	DQ0T30
B4	VREF1B4	IO	DQ3T7		H18	H18	B11	B10	DQ1T15	DQ0T31
B4	VREF1B4	IO	RUP4		D16	D16	H11	G13		
B4	VREF1B4	IO	RDN4		C16	C16	G11	J13		
B4	VREF1B4	IO	DQ4T0				B12	A11		
B4	VREF1B4	IO		nWS	E16	E16	K11	D14		
B4	VREF1B4	IO	DQ4T1				C12	B12		
B4	VREF1B4	IO	DQ4T2				D12	C12		
B4	VREF2B4	IO			B16	B16	G12	F13		
B4	VREF2B4	IO	DQS4T				A13	D12		
B4	VREF2B4	IO		DATA0	F16	F16	H12	E14		
B4	VREF2B4	IO	DQ4T3				B13	C13		
B4	VREF2B4	IO	DQ4T4				E12	D13		
B4	VREF2B4	IO					L11	L14		
B4	VREF2B4	IO	DQ4T5				C13	E13		
B4	VREF2B4	IO		DATA1	C15	C15	F12	F14		
B4	VREF2B4	IO	DQ4T6				D13	A13		
B4	VREF2B4	IO	DQ4T7				E13	B13		
B4	VREF2B4	IO					M11	H13		
B4	VREF2B4	IO		DATA2	H16	H16	J12	F15		
B4	VREF2B4	VREF2B4			G16	G16	E11	E10		
B4	VREF2B4	IO						C14		
B4	VREF2B4	IO						B14
B4	VREF2B4	IO						H14
B4	VREF2B4	IO						J15
B4	VREF2B4	IO						J14
B4	VREF2B4	IO						K14
B4	VREF2B4	TMS		TMS	E15	E15	F13	E15
B4	VREF2B4	TRST		TRST	D15	D15	L12	G15
B4	VREF2B4	TCK		TCK	G15	G15	K12	G14
B4	VREF2B4	IO		DATA3	F15	F15	M12	C16
B4	VREF2B4	IO						K15
B4	VREF2B4	IO						L15
B4	VREF2B4	TDI		TDI	H15	H15	G13	D16
B4	VREF2B4	TDO		TDO	G14	G14	H13	F16
B4	VREF2B4	IO	CLK12n				J13	A15
B4	VREF2B4	CLK12p			B15	B15	K13	B15
B4	VREF2B4	IO	CLK13n				L13	C15
B4	VREF2B4	CLK13p			A15	A15	M13	D15
		TEMPDIODEp			H14	H14	B14	E18
		TEMPDIODEn			G13	G13	C14	F18
		VCCA_PLL5			D14	D14	F14	G17
		GND						
		GNDA_PLL5			B14	B14	G14	F17
		VCCG_PLL5			C14	C14	D14	J16
		GNDG_PLL5			B13	B13	E14	L16
B9		VCC_PLL5_OUTA			D13	D13	F15	H17
B10		VCC_PLL5_OUTB					G16	L17
B9	VREF0B3	IO	PLL5_OUT0p		F13	F13	E15	B16
B9	VREF0B3	IO	PLL5_OUT0n		E13	E13	D15	A16
B9	VREF0B3	IO	PLL5_OUT1p		F14	F14	K14	B17
B9	VREF0B3	IO	PLL5_OUT1n		E14	E14	K15	A17
B9	VREF0B3	IO	PLL5_FBp		F12	F12	H14	D17
B9	VREF0B3	IO	PLL5_FBn		E12	E12	H15	C17
B10	VREF0B3	IO	PLL5_OUT2p				C15	B18
B10	VREF0B3	IO	PLL5_OUT2n				B15	A18
B10	VREF0B3	IO	PLL5_OUT3p				K16	D18
B10	VREF0B3	IO	PLL5_OUT3n				J16	C18
B3	VREF0B3	nSTATUS		nSTATUS	H13	H13	M16	G16
B3	VREF0B3	nCONFIG		nCONFIG	H12	H12	L16	J18
B3	VREF0B3	DCLK		DCLK	G12	G12	F16	E19
B3	VREF0B3	CONF_DONE		CONF_DONE	H11	H11	G17	G18
B3	VREF0B3	CLK14p			B12	B12	K17	A19
B3	VREF0B3	IO	CLK14n		A12	A12	J17	B19
B3	VREF0B3	CLK15p			D12	D12	M17	C19
B3	VREF0B3	IO	CLK15n		C12	C12	L17	D19
B3	VREF0B3	VREF0B3			F11	F11	E18	E21
B3	VREF0B3	IO						K18
B3	VREF0B3	IO						F19
B3	VREF0B3	IO		DATA4	E11	E11	H17	G19
B3	VREF0B3	IO					L18	F20
B3	VREF0B3	IO					M18	L18
B3	VREF0B3	IO						K20
B3	VREF0B3	IO						H19
B3	VREF0B3	IO			B11	B11	F17	G20
B3	VREF0B3	IO	DQ5T0				D16	A20
B3	VREF0B3	IO	DQ5T1				C16	B20
B3	VREF0B3	IO		DATA5	G11	G11	K18	J19
B3	VREF0B3	IO	DQ5T2				E16	C20
B3	VREF0B3	IO	DQS5T				A16	D20
B3	VREF0B3	IO						H20
B3	VREF0B3	IO	DQ5T3				B16	E20
B3	VREF0B3	IO		DATA6	H10	H10	H18	K19
B3	VREF0B3	IO	DQ5T4				E17	B21
B3	VREF0B3	IO	DQ5T5				D17	C21
B3	VREF1B3	IO					F18	G21
B3	VREF1B3	IO	DQ5T6				B17	D21		
B3	VREF1B3	IO						F23		
B3	VREF1B3	IO	DQ5T7				C17	A22		
B3	VREF1B3	IO	RUP3		C11	C11	J18	F21		
B3	VREF1B3	IO	RDN3		D11	D11	K19	L19		
B3	VREF1B3	IO	DQ6T0		A10	A10	A18	B22	DQ2T0	DQ1T0
B3	VREF1B3	IO	DQ6T1		E10	E10	C18	C22	DQ2T1	DQ1T1
B3	VREF1B3	IO		DATA7	G10	G10	G18	J20		
B3	VREF1B3	IO	DQ6T2		F10	F10	D18	B23	DQ2T2	DQ1T2
B3	VREF1B3	IO	DQS6T		G9	G9	B18	D22	DQS2T	
B3	VREF1B3	IO						L20		
B3	VREF1B3	IO	DQ6T3		F9	F9	A19	C23	DQ2T3	DQ1T3
B3	VREF1B3	IO		CLKUSR	D10	D10	J19	H21		
B3	VREF1B3	IO	DQ6T4		C10	C10	B19	A24	DQ2T4	DQ1T4
B3	VREF1B3	IO						J21		
B3	VREF1B3	IO	DQ6T5		B10	B10	C19	E22	DQ2T5	DQ1T5
B3	VREF1B3	IO	DQ6T6		A9	A9	E19	B24	DQ2T6	DQ1T6
B3	VREF1B3	VREF1B3			D9	D9	E20	E23		
B3	VREF1B3	IO	FCLK0		E9	E9	F19	F22		
B3	VREF1B3	IO	FCLK1		B9	B9	G19	G22		
B3	VREF1B3	IO	DQ6T7		C9	C9	D19	D23	DQ2T7	DQ1T7
B3	VREF1B3	IO			G7	G7	H19	K21		
B3	VREF1B3	IO						L21		
B3	VREF1B3	IO	DQ7T0		A8	A8	B20	D24	DQ2T8	DQ1T8
		GND			F8	F8	G20	H24		
B3	VREF1B3	IO	DQ7T1		A7	A7	A20	A25	DQ2T9	DQ1T9
B3	VREF1B3	IO	DQ7T2		B8	B8	C20	C24	DQ2T10	DQ1T10
B3	VREF1B3	IO						H22		
B3	VREF1B3	IO	DQS7T		E8	E8	D20	B26		DQS1T
B3	VREF1B3	IO	DQ7T3		F7	F7	A21	B25	DQ2T11	DQ1T11
B3	VREF1B3	IO					J20	K22		
B3	VREF1B3	IO	DQ7T4		B7	B7	B21	C25	DQ2T12	DQ1T12
B3	VREF1B3	IO	DQ7T5		C8	C8	C21	D25	DQ2T13	DQ1T13
B3	VREF1B3	IO						J22		
B3	VREF1B3	IO	DQ7T6		D8	D8	D21	A26	DQ2T14	DQ1T14
B3	VREF1B3	IO	DQ7T7		E7	E7	E21	E24	DQ2T15	DQ1T15
B3	VREF1B3	IO					H20	L22		
B3	VREF2B3	IO						G23		
B3	VREF2B3	IO	DQ8T0		B6	B6	B22	C26	DQ3T0	DQ1T16
B3	VREF2B3	IO	DQ8T1		A6	A6	A22	A28	DQ3T1	DQ1T17
B3	VREF2B3	IO						H23		
B3	VREF2B3	IO	DQ8T2		F6	F6	C22	A27	DQ3T2	DQ1T18
B3	VREF2B3	IO	DQS8T		F5	F5	D23	B27	DQS3T	
B3	VREF2B3	IO						F24		
B3	VREF2B3	IO	DQ8T3		D6	D6	D22	D26	DQ3T3	DQ1T19
B3	VREF2B3	IO	DQ8T4		E6	E6	A23	C27	DQ3T4	DQ1T20
B3	VREF2B3	IO						J24		
B3	VREF2B3	IO	DQ8T5		A5	A5	C23	B28	DQ3T5	DQ1T21
B3	VREF2B3	IO	DQ8T6		E5	E5	E23	D27	DQ3T6	DQ1T22
B3	VREF2B3	VREF2B3			D7	D7	E22	E25		
B3	VREF2B3	IO	DQ8T7		C7	C7	B23	E26	DQ3T7	DQ1T23
