"Pin Information for the Arria® GX EP1AGX90E Device Version 1.3   "								
								
								
Bank Number	VREF Group	Pin Name/Function	Optional Function(s)	Configuration Function	EP1AGX90EF1152  	"x8/x9
Mode"	"x16/x18
Mode"	"x32/x36
Mode"
B4	VREFB4N0	MSEL2		MSEL2	J10			
B4	VREFB4N0	MSEL1		MSEL1	J9			
B4	VREFB4N0	MSEL0		MSEL0	K10			
B4	VREFB4N0	IO			M13			
B4	VREFB4N0	IO			L13			
B4	VREFB4N0	IO			J11			
B4	VREFB4N0	IO			K11			
B4	VREFB4N0	IO			H13			
B4	VREFB4N0	IO			H14			
B4	VREFB4N0	IO	DQS0T		D7	DQS0T		
B4	VREFB4N0	IO	DQ0T		F7	DQ0T		
B4	VREFB4N0	IO	DQ0T		G7	DQ0T		
B4	VREFB4N0	IO	DQ0T		H8	DQ0T		
B4	VREFB4N0	IO			C7			
B4	VREFB4N0	IO	DQ0T		A7	DQ0T		
B4	VREFB4N0	IO			M15			
B4	VREFB4N0	VREFB4N0	VREFB4N0		E10			
B4	VREFB4N0	IO	DQS1T		D8			
B4	VREFB4N0	IO	DQ1T		B8	DQ0T		
B4	VREFB4N0	IO	DQ1T		E8	DQ0T		
B4	VREFB4N0	IO	DQ1T		F8	DQ0T		
B4	VREFB4N0	IO			C8	DQ0T		
B4	VREFB4N0	IO	DQ1T		A8	DQ0T		
B4	VREFB4N0	IO			L14			
B4	VREFB4N0	IO	DQS2T		D9	DQS1T		
B4	VREFB4N0	IO	DQ2T		F9	DQ1T	DQ0T	DQ0T
B4	VREFB4N0	IO	DQ2T		G8	DQ1T	DQ0T	DQ0T
B4	VREFB4N0	IO	DQ2T		G9	DQ1T	DQ0T	DQ0T
B4	VREFB4N0	IO			C9		DQ0T	DQ0T
B4	VREFB4N0	IO	DQ2T		A9	DQ1T	DQ0T	DQ0T
B4	VREFB4N0	IO			J13			
B4	VREFB4N1	IO	DQS3T		D10		DQS0T	
B4	VREFB4N1	IO	DQ3T		B10	DQ1T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ3T		F10	DQ1T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ3T		G10	DQ1T	DQ0T	DQ0T
B4	VREFB4N1	IO			C10	DQ1T		DQ0T
B4	VREFB4N1	IO	DQ3T		A10	DQ1T	DQ0T	DQ0T
B4	VREFB4N1	IO			N17			
B4	VREFB4N1	IO			M16			
B4	VREFB4N1	IO	DQS4T		D11	DQS2T		
B4	VREFB4N1	IO	DQ4T		B11	DQ2T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ4T		E11	DQ2T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ4T		F11	DQ2T	DQ0T	DQ0T
B4	VREFB4N1	IO			C11		DQ0T	DQ0T
B4	VREFB4N1	IO	DQ4T		A11	DQ2T	DQ0T	DQ0T
B4	VREFB4N1	IO			J14			
B4	VREFB4N1	IO	DQS5T		D12			DQS0T
B4	VREFB4N1	IO	DQ5T		F12	DQ2T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ5T		G12	DQ2T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ5T		G11	DQ2T	DQ0T	DQ0T
B4	VREFB4N1	VREFB4N1	VREFB4N1		E13			
B4	VREFB4N1	IO			C12	DQ2T	DQ0T	
B4	VREFB4N1	IO	DQ5T		A12	DQ2T		
B4	VREFB4N1	IO			N18			
B4	VREFB4N1	IO	DQS6T		D13	DQS3T		
B4	VREFB4N1	IO	DQ6T		B13	DQ3T	DQ1T	DQ0T
B4	VREFB4N1	IO	DQ6T		F13	DQ3T	DQ1T	DQ0T
B4	VREFB4N1	IO	DQ6T		G13	DQ3T	DQ1T	DQ0T
B4	VREFB4N1	IO			C13		DQ1T	DQ0T
B4	VREFB4N1	IO	DQ6T		A13	DQ3T	DQ1T	DQ0T
B4	VREFB4N1	IO			M17			
B4	VREFB4N1	IO			N19			
B4	VREFB4N1	IO	DQS7T		D14		DQS1T	
B4	VREFB4N1	IO	DQ7T		B14	DQ3T	DQ1T	DQ0T
B4	VREFB4N1	IO	DQ7T		F14	DQ3T	DQ1T	DQ0T
B4	VREFB4N1	IO	DQ7T		E14	DQ3T	DQ1T	DQ0T
B4	VREFB4N2	IO			C14	DQ3T		DQ0T
B4	VREFB4N2	IO	DQ7T		A14	DQ3T	DQ1T	DQ0T
B4	VREFB4N2	IO			M19			
B4	VREFB4N2	IO	DQS8T		D15	DQS4T		
B4	VREFB4N2	IO	DQ8T		A15	DQ4T	DQ1T	DQ0T
B4	VREFB4N2	IO	DQ8T		F15	DQ4T	DQ1T	DQ0T
B4	VREFB4N2	IO	DQ8T		G15	DQ4T	DQ1T	DQ0T
B4	VREFB4N2	IO			C15		DQ1T	DQ0T
B4	VREFB4N2	IO	DQ8T		G14	DQ4T	DQ1T	DQ0T
B4	VREFB4N2	IO			F19			
B4	VREFB4N2	IO	DQS9T		C16			
B4	VREFB4N2	IO	DQ9T		A16	DQ4T	DQ1T	DQ0T
B4	VREFB4N2	IO	DQ9T		B16	DQ4T	DQ1T	DQ0T
B4	VREFB4N2	IO	DQ9T		F16	DQ4T	DQ1T	
B4	VREFB4N2	VREFB4N2	VREFB4N2		E16			
B4	VREFB4N2	IO			D16	DQ4T	DQ1T	DQ0T
B4	VREFB4N2	IO	DQ9T		G16	DQ4T		
B4	VREFB4N2	IO			G18			
B4	VREFB4N2	IO			F18			
B9	VREFB4N2	IO	PLL5_FBn/OUT2n		F17			
B9	VREFB4N2	IO	PLL5_FBp/OUT2p		E17			
B9	VREFB4N2	IO	PLL5_OUT0n		B17			
B9	VREFB4N2	IO	PLL5_OUT0p		A17			
B9	VREFB4N2	IO	PLL5_OUT1n		D17			
B9	VREFB4N2	IO	PLL5_OUT1p		C17			
B4	VREFB4N2	IO	CLK12n		A19			
B4	VREFB4N2	IO	CLK12p		A18			
B4	VREFB4N2	IO	CLK13n		D18			
B4	VREFB4N2	IO	CLK13p		C18			
B9		VCC_PLL5_OUT			H16			
		VCCD_PLL5			H17			
		VCCA_PLL5			K16			
		GNDA_PLL5			J16			
		GNDA_PLL5			J17			
		GNDA_PLL11			J18			
		GNDA_PLL11			K18			
		VCCA_PLL11			K17			
		VCCD_PLL11			J19			
B11		VCC_PLL11_OUT			K20			
B3	VREFB3N0	IO	CLK14p		B19			
B3	VREFB3N0	IO	CLK14n		C19			
B3	VREFB3N0	IO	CLK15p		D19			
B3	VREFB3N0	IO	CLK15n		E19			
B11	VREFB3N0	IO	PLL11_OUT0p		A20			
B11	VREFB3N0	IO	PLL11_OUT0n		B20			
B11	VREFB3N0	IO	PLL11_OUT1p		C20			
B11	VREFB3N0	IO	PLL11_OUT1n		D20			
B11	VREFB3N0	IO	PLL11_FBp/OUT2p		E20			
B11	VREFB3N0	IO	PLL11_FBn/OUT2n		F20			
B3	VREFB3N0	IO		PGM2	G20			
B3	VREFB3N0	IO		PGM1	H20			
B3	VREFB3N0	IO		PGM0	H22			
B3	VREFB3N0	IO		ASDO	N21			
B3	VREFB3N0	IO		nCSO	G21			
B3	VREFB3N0	IO		CRC_ERROR	G22			
B3	VREFB3N0	IO		DATA0	J20			
B3	VREFB3N0	IO		DATA1	J22			
B3	VREFB3N0	VREFB3N0	VREFB3N0		E22			
B3	VREFB3N0	IO	DQS10T		D22	DQS5T		
B3	VREFB3N0	IO	DQ10T		C21	DQ5T	DQ2T	DQ1T
B3	VREFB3N0	IO	DQ10T		A21	DQ5T	DQ2T	DQ1T
B3	VREFB3N0	IO	DQ10T		F21	DQ5T	DQ2T	DQ1T
B3	VREFB3N0	IO			D21		DQ2T	DQ1T
B3	VREFB3N0	IO	DQ10T		F22	DQ5T	DQ2T	DQ1T
B3	VREFB3N0	IO			M21			
B3	VREFB3N0	IO			G23			
B3	VREFB3N0	IO			M22			
B3	VREFB3N0	IO	DQS11T		C22		DQS2T	
B3	VREFB3N0	IO	DQ11T		A22	DQ5T	DQ2T	DQ1T
B3	VREFB3N0	IO	DQ11T		B22	DQ5T	DQ2T	DQ1T
B3	VREFB3N0	IO	DQ11T		F23	DQ5T	DQ2T	DQ1T
B3	VREFB3N0	IO			D23	DQ5T		DQ1T
B3	VREFB3N0	IO	DQ11T		E23	DQ5T	DQ2T	DQ1T
B3	VREFB3N0	IO			L22			
B3	VREFB3N1	IO			G24			
B3	VREFB3N1	IO			K22			
B3	VREFB3N1	IO	DQS12T		C23	DQS6T		
B3	VREFB3N1	IO	DQ12T		B23	DQ6T	DQ2T	DQ1T
B3	VREFB3N1	IO	DQ12T		A23	DQ6T	DQ2T	DQ1T
B3	VREFB3N1	IO	DQ12T		D24	DQ6T	DQ2T	DQ1T
B3	VREFB3N1	IO			C24		DQ2T	DQ1T
B3	VREFB3N1	IO	DQ12T		F24	DQ6T	DQ2T	DQ1T
B3	VREFB3N1	IO			M23			
B3	VREFB3N1	IO			L23			
B3	VREFB3N1	IO	DQS13T		B25			DQS1T
B3	VREFB3N1	IO	DQ13T		A24	DQ6T	DQ2T	DQ1T
B3	VREFB3N1	IO	DQ13T		A25	DQ6T	DQ2T	DQ1T
B3	VREFB3N1	IO	DQ13T		F25	DQ6T	DQ2T	DQ1T
B3	VREFB3N1	IO			C25	DQ6T	DQ2T	
B3	VREFB3N1	IO	DQ13T		D25	DQ6T		
B3	VREFB3N1	VREFB3N1	VREFB3N1		E25			
B3	VREFB3N1	IO			H23			
B3	VREFB3N1	IO			K23			
B3	VREFB3N1	IO	DQS14T		C26	DQS7T		
B3	VREFB3N1	IO	DQ14T		B26	DQ7T	DQ3T	DQ1T
B3	VREFB3N1	IO	DQ14T		E26	DQ7T	DQ3T	DQ1T
B3	VREFB3N1	IO	DQ14T		F26	DQ7T	DQ3T	DQ1T
B3	VREFB3N1	IO			D26		DQ3T	DQ1T
B3	VREFB3N1	IO	DQ14T		A26	DQ7T	DQ3T	DQ1T
B3	VREFB3N1	IO	DQS15T		B28		DQS3T	
B3	VREFB3N1	IO	DQ15T		A27	DQ7T	DQ3T	DQ1T
B3	VREFB3N1	IO	DQ15T		A28	DQ7T	DQ3T	DQ1T
B3	VREFB3N1	IO	DQ15T		C27	DQ7T	DQ3T	DQ1T
B3	VREFB3N2	IO			C28	DQ7T		DQ1T
B3	VREFB3N2	IO	DQ15T		D27	DQ7T	DQ3T	DQ1T
B3	VREFB3N2	IO			F29			
B3	VREFB3N2	IO	DQS16T		C29	DQS8T		
B3	VREFB3N2	IO	DQ16T		A29	DQ8T	DQ3T	DQ1T
B3	VREFB3N2	IO	DQ16T		D28	DQ8T	DQ3T	DQ1T
B3	VREFB3N2	IO	DQ16T		E29	DQ8T	DQ3T	DQ1T
B3	VREFB3N2	IO			D29		DQ3T	DQ1T
B3	VREFB3N2	IO	DQ16T		B29	DQ8T	DQ3T	DQ1T
B3	VREFB3N2	IO			K24			
B3	VREFB3N2	IO	DQS17T		A31			
B3	VREFB3N2	IO	DQ17T		A30	DQ8T	DQ3T	DQ1T
B3	VREFB3N2	IO	DQ17T		A32	DQ8T	DQ3T	DQ1T
B3	VREFB3N2	IO	DQ17T		B32	DQ8T	DQ3T	
B3	VREFB3N2	IO			B31	DQ8T	DQ3T	DQ1T
B3	VREFB3N2	IO	DQ17T		C30	DQ8T		
B3	VREFB3N2	IO			J27			
B3	VREFB3N2	VREFB3N2	VREFB3N2		E28			
B3	VREFB3N2	IO			G29			
B3	VREFB3N2	IO			H28			
B3	VREFB3N2	IO		DATA2	G25			
B3	VREFB3N2	IO		DATA3	F27			
B3	VREFB3N2	IO		DATA4	H25			
B3	VREFB3N2	IO		DATA5	G27			
B3	VREFB3N2	IO		DATA6	G26			
B3	VREFB3N2	IO		DATA7	H26			
B3	VREFB3N2	IO		RDYnBSY	F28			
B3	VREFB3N2	IO		INIT_DONE	G28			
B3	VREFB3N2	nSTATUS		nSTATUS	D31			
B3	VREFB3N2	nCE		nCE	D30			
B3	VREFB3N2	DCLK		DCLK	C32			
B3	VREFB3N2	CONF_DONE		CONF_DONE	C31			
		VCCIO2			P25			
		VCCIO2			P26			
		VCCIO2			U25			
		VCCIO2			U26			
		VCCIO1			AC25			
		VCCIO1			AC26			
		VCCIO1			Y25			
		VCCIO1			Y26			
		VCCIO8			AE19			
		VCCIO8			AE21			
		VCCIO8			AF21			
		VCCIO8			AG19			
		VCCIO7			AE12			
		VCCIO7			AE15			
		VCCIO7			AF12			
		VCCIO7			AF15			
		VCCT_B15			AA10			
		VCCT_B15			Y10			
		VCCH_B15			AA11			
		VCCH_B15			Y11			
		VCCR			AA9			
		VCCR			Y9			
		VCCA			Y8			
		VCCL_B15			AB8			
		VCCT_B13			M10			
		VCCT_B13			N10			
		VCCH_B13			M11			
		VCCH_B13			N11			
		VCCR			M9			
		VCCR			N9			
		VCCA			M8			
		VCCL_B13			P8			
		VCCT_B14			T10			
		VCCT_B14			U10			
		VCCH_B14			T11			
		VCCH_B14			U11			
		VCCR			T9			
		VCCR			U9			
		VCCA			T8			
		VCCL_B14			V8			
		VCCP			AA12			
		VCCP			Y12			
		VCCP			M12			
		VCCP			N12			
		VCCP			T12			
		VCCP			U12			
		VCCIO4			J12			
		VCCIO4			J15			
		VCCIO4			K12			
		VCCIO4			K15			
		VCCIO3			H19			
		VCCIO3			J21			
		VCCIO3			K19			
		VCCIO3			K21			
		VCCINT			AA14			
		VCCINT			AA16			
		VCCINT			AA18			
		VCCINT			AA20			
		VCCINT			AA22			
		VCCINT			P15			
		VCCINT			P17			
		VCCINT			P19			
		VCCINT			P21			
		VCCINT			R14			
		VCCINT			R16			
		VCCINT			R18			
		VCCINT			R20			
		VCCINT			R22			
		VCCINT			T13			
		VCCINT			T15			
		VCCINT			T17			
		VCCINT			T19			
		VCCINT			T21			
		VCCINT			U14			
		VCCINT			U16			
		VCCINT			U18			
		VCCINT			U20			
		VCCINT			U22			
		VCCINT			V13			
		VCCINT			V15			
		VCCINT			V17			
		VCCINT			V19			
		VCCINT			V21			
		VCCINT			W14			
		VCCINT			W16			
		VCCINT			W18			
		VCCINT			W20			
		VCCINT			W22			
		VCCINT			Y15			
		VCCINT			Y17			
		VCCINT			Y19			
		VCCINT			Y21			
		GND			A33			
		GND			T24			
		GND			T27			
		GND			T30			
		GND			T33			
		GND			V24			
		GND			AA24			
		GND			AA27			
		GND			AA30			
		GND			AA33			
		GND			V27			
		GND			V30			
		GND			V33			
		GND			AB19			
		GND			AC12			
		GND			AD7			
		GND			AD8			
		GND			AD9			
		GND			AD10			
		GND			AD11			
		GND			AD12			
		GND			AD15			
		GND			AD18			
		GND			AD21			
		GND			AD24			
		GND			AD27			
		GND			AD30			
		GND			AD33			
		GND			AG7			
		GND			AG9			
		GND			AG12			
		GND			AG15			
		GND			AG17			
		GND			AG18			
		GND			AG21			
		GND			AG24			
		GND			AG27			
		GND			AG30			
		GND			P33			
		GND			AG33			
		GND			AK7			
		GND			AK9			
		GND			AK12			
		GND			AK15			
		GND			AK18			
		GND			AK21			
		GND			AK24			
		GND			AK27			
		GND			AK30			
		GND			AK33			
		GND			AN7			
		GND			AN9			
		GND			AN12			
		GND			AN15			
		GND			AN18			
		GND			AN21			
		GND			AN24			
		GND			AN27			
		GND			AN30			
		GND			AN33			
		GND			AN34			
		GND			AP33			
		GND			B7			
		GND			B9			
		GND			B12			
		GND			B15			
		GND			B18			
		GND			B21			
		GND			B24			
		GND			B27			
		GND			B30			
		GND			B33			
		GND			B34			
		GND			E7			
		GND			E9			
		GND			E12			
		GND			E15			
		GND			A2			
		GND			A3			
		GND			A6			
		GND			AA1			
		GND			AA2			
		GND			AA3			
		GND			AA4			
		GND			AA5			
		GND			AA6			
		GND			AA7			
		GND			AB3			
		GND			AB6			
		GND			AB7			
		GND			AB9			
		GND			AB10			
		GND			AB11			
		GND			AB12			
		GND			AC1			
		GND			AC2			
		GND			AC3			
		GND			AC4			
		GND			AC5			
		GND			AC6			
		GND			AC7			
		GND			AC8			
		GND			AD3			
		GND			AD6			
		GND			AE1			
		GND			AE2			
		GND			AE3			
		GND			AE4			
		GND			AE5			
		GND			AE6			
		GND			AF3			
		GND			AF6			
		GND			AG1			
		GND			AG2			
		GND			AG3			
		GND			AG4			
		GND			AG5			
		GND			AG6			
		GND			AH3			
		GND			AH5			
		GND			AH6			
		GND			AJ1			
		GND			AJ2			
		GND			AJ3			
		GND			AJ4			
		GND			AJ5			
		GND			AJ6			
		GND			AK3			
		GND			AK6			
		GND			AL1			
		GND			AL2			
		GND			AL3			
		GND			AL4			
		GND			AL5			
		GND			AL6			
		GND			AM3			
		GND			AM6			
		GND			AN1			
		GND			AN2			
		GND			AN3			
		GND			AN4			
		GND			AN5			
		GND			AN6			
		GND			AP2			
		GND			AP3			
		GND			AP6			
		GND			B1			
		GND			B2			
		GND			B3			
		GND			B4			
		GND			B5			
		GND			B6			
		GND			C3			
		GND			C6			
		GND			D1			
		GND			D2			
		GND			D3			
		GND			D4			
		GND			D5			
		GND			D6			
		GND			E3			
		GND			E6			
		GND			F1			
		GND			F2			
		GND			F3			
		GND			F4			
		GND			F5			
		GND			F6			
		GND			G3			
		GND			G5			
		GND			G6			
		GND			H1			
		GND			H2			
		GND			H3			
		GND			H4			
		GND			H5			
		GND			H6			
		GND			J3			
		GND			J6			
		GND			K1			
		GND			K2			
		GND			K3			
		GND			K4			
		GND			K5			
		GND			K6			
		GND			L3			
		GND			L6			
		GND			M1			
		GND			M2			
		GND			M3			
		GND			M4			
		GND			M5			
		GND			M6			
		GND			M7			
		GND			N3			
		GND			N6			
		GND			N7			
		GND			P1			
		GND			P2			
		GND			P3			
		GND			P4			
		GND			P5			
		GND			P6			
		GND			P7			
		GND			P9			
		GND			P10			
		GND			P11			
		GND			P12			
		GND			R3			
		GND			R6			
		GND			R7			
		GND			R8			
		GND			T1			
		GND			T2			
		GND			T3			
		GND			T4			
		GND			T5			
		GND			T6			
		GND			T7			
		GND			U1			
		GND			U2			
		GND			U3			
		GND			U4			
		GND			U5			
		GND			V3			
		GND			V5			
		GND			V6			
		GND			V7			
		GND			V9			
		GND			V10			
		GND			V11			
		GND			V12			
		GND			W1			
		GND			W2			
		GND			W3			
		GND			W4			
		GND			W5			
		GND			W6			
		GND			Y3			
		GND			Y6			
		GND			Y7			
		GND			AC10			
		GND			W10			
		GND			R10			
		GND			E18			
		GND			E21			
		GND			E24			
		GND			E27			
		GND			E30			
		GND			E33			
		GND			G17			
		GND			H7			
		GND			H9			
		GND			H12			
		GND			H15			
		GND			H18			
		GND			H21			
		GND			H24			
		GND			H27			
		GND			H30			
		GND			H33			
		GND			K7			
		GND			K8			
		GND			K9			
		GND			L10			
		GND			L11			
		GND			L12			
		GND			L15			
		GND			L18			
		GND			L21			
		GND			L24			
		GND			L27			
		GND			L30			
		GND			L33			
		GND			N13			
		GND			N14			
		GND			N15			
		GND			N16			
		GND			N20			
		GND			P24			
		GND			P27			
		GND			P30			
		GND			AA13			
		GND			AA15			
		GND			AA17			
		GND			AA19			
		GND			AA21			
		GND			P14			
		GND			P16			
		GND			P18			
		GND			P20			
		GND			R13			
		GND			R15			
		GND			R17			
		GND			R19			
		GND			R21			
		GND			T14			
		GND			T16			
		GND			T18			
		GND			T20			
		GND			T22			
		GND			U13			
		GND			U15			
		GND			U17			
		GND			U19			
		GND			U21			
		GND			V14			
		GND			V16			
		GND			V18			
		GND			V20			
		GND			W13			
		GND			W15			
		GND			W17			
		GND			W19			
		GND			W21			
		GND			Y14			
		GND			Y16			
		GND			Y18			
		GND			Y20			
		GND			Y22			
		GND			AB13			
		GND			AB14			
		GND			AB15			
		GND			P13			
		GND			P22			
		GND			R12			
		GND			V22			
		GND			Y13			
		VCCPD2			R24			
		VCCPD2			R25			
		VCCPD1			W24			
		VCCPD1			W25			
		VCCPD8			AD19			
		VCCPD8			AD20			
		VCCPD7			AD16			
		VCCPD7			AD17			
		VCCPD4			L16			
		VCCPD4			L17			
		VCCPD3			L19			
		VCCPD3			L20			
		NC			L7			
		NC			L8			
		NC			L9			
		NC			AK29			
		NC			AF23			
		NC			AG22			
		NC			AH24			
		NC			AB18			
		NC			AH17			
		NC			AG14			
		NC			AF14			
		NC			AF13			
		NC			AE11			
		NC			M14			
		NC			K13			
		NC			K14			
		NC			M18			
		NC			G19			
		NC			M20			
		NC			N22			
		NC			M24			
		NC			J23			
		NC			J24			
