"Pin Information for the Arria® GX EP1AGX50C/D Device Version 1.4"												
												
												
Bank Number	VREF Group	Pin Name/Function	Optional Function(s)	Configuration Function	EP1AGX50DF1152	EP1AGX50DF780	EP1AGX50CF484	x8/x9 Mode		x16/x18 Mode		x36 Mode
B7	VREFB7N2	IO			AE9	AB8	Y3					
B7	VREFB7N2	IO	DQ0B		AP7	AB9		DQ0B				
B7	VREFB7N2	IO			AM7	AC9						
B7	VREFB7N2	IO	DQ0B		AG8			DQ0B				
B7	VREFB7N2	IO	DQ0B		AH7	W10		DQ0B				
B7	VREFB7N2	IO	DQ0B		AJ7	W9		DQ0B				
B7	VREFB7N2	IO	DQS0B		AL7			DQS0B				
B7	VREFB7N2	PORSEL		PORSEL	AE8	Y8	AB2					
B7	VREFB7N2	nIO_PULLUP		nIO_PULLUP	AE7	Y7	AB1					
B7	VREFB7N2	PLL_ENA		PLL_ENA	AF8	AA8	AA2					
		GND			AF7	AC7	Y2					
B7	VREFB7N2	nCEO		nCEO	AF9	AB7	Y1					
B15		GND*			AM2							
B15		GND*			AM1							
B15		GND*			AP5							
B15		GND*			AP4							
B15		GND*			AK2							
B15		GND*			AK1							
B15		GND*			AM5							
B15		GND*			AM4							
B15		GND*			AH4							
B15		GND*			AK5							
B15		GND*			AK4							
B15		GND*			AH2							
B15		GND*			AH1							
		VCCA			AC11							
		VCCA			AA8							
		VCCA			AC9							
B15		GND*			AF2							
B15		GND*			AF1							
B15		GND*			AF5							
B15		GND*			AF4							
B15		GND*			AD2							
B15		GND*			AD1							
B15		GND*			AD5							
B15		GND*			AD4							
B14		GXB_RX7n			AB2	AD2	V2					
B14		GXB_RX7p			AB1	AD1	V1					
B14		GXB_TX7n			AB5	AF5	V5					
B14		GXB_TX7p			AB4	AF4	V4					
B14		GXB_RX6n			Y2	AB2	T2					
B14		GXB_RX6p			Y1	AB1	T1					
B14		GXB_TX6n			Y5	AD5	T5					
B14		GXB_TX6p			Y4	AD4	T4					
B14		RREFB14			V4	Y4	J3					
B14		REFCLK0_B14n			V2	Y2	N1					
B14		REFCLK0_B14p			V1	Y1	P1					
B14		REFCLK1_B14n			U7	AB5	J1					
B14		REFCLK1_B14p			U6	AB4	K1					
		VCCA			W11	V9	P6					
		VCCA			U8	T6	M3					
		VCCA			W9	V7	P4					
B14		GXB_RX4n			R2	V2	G2					
B14		GXB_RX4p			R1	V1	G1					
B14		GXB_TX4n			R5	V5	G5					
B14		GXB_TX4p			R4	V4	G4					
B14		GXB_RX5n			N2	T2	E2					
B14		GXB_RX5p			N1	T1	E1					
B14		GXB_TX5n			N5	T5	E5					
B14		GXB_TX5p			N4	T4	E4					
B13		GXB_RX3n			L2	N2						
B13		GXB_RX3p			L1	N1						
B13		GXB_TX3n			L5	N5						
B13		GXB_TX3p			L4	N4						
B13		GXB_RX2n			J2	L2						
B13		GXB_RX2p			J1	L1						
B13		GXB_TX2n			J5	L5						
B13		GXB_TX2p			J4	L4						
B13		RREFB13			G4	J4						
B13		REFCLK0_B13n			G2	J2						
B13		REFCLK0_B13p			G1	J1						
B13		REFCLK1_B13n			E5	G5						
B13		REFCLK1_B13p			E4	G4						
		VCCA			R11	P9						
		VCCA			N8	M6						
		VCCA			R9	P7						
B13		GXB_RX0n			E2	G2						
B13		GXB_RX0p			E1	G1						
B13		GXB_TX0n			C5	E5						
B13		GXB_TX0p			C4	E4						
B13		GXB_RX1n			C2	E2						
B13		GXB_RX1p			C1	E1						
B13		GXB_TX1n			A5	C5						
B13		GXB_TX1p			A4	C4						
NC		NC			L7	K7	J5					
NC		NC			L8	K8	J6					
		VCCA			L9	K9						
		GND			J8	F7	C3					
		GND			J7	G7	C2					
B4	VREFB4N0	TDO		TDO	H10	F8	C1					
B4	VREFB4N0	MSEL3		MSEL3	H11	G8	A1					
B4	VREFB4N0	MSEL2		MSEL2	J10	H8	A2					
B4	VREFB4N0	MSEL1		MSEL1	J9	E8	C4					
B4	VREFB4N0	MSEL0		MSEL0	K10	J8	C5					
B4	VREFB4N0	IO	DQS0T		D7			DQS0T				
B4	VREFB4N0	IO	DQ0T		F7			DQ0T				
B4	VREFB4N0	IO	DQ0T		G7			DQ0T				
B4	VREFB4N0	IO	DQ0T		H8	K10		DQ0T				
B4	VREFB4N0	IO			C7							
B4	VREFB4N0	IO	DQ0T		A7	G9		DQ0T				
B4	VREFB4N0	IO			J11	C7	H8					
B4	VREFB4N0	IO			K11	D7	G8					
B4	VREFB4N0	IO	DQS1T		D8	C8						
B4	VREFB4N0	IO	DQ1T		B8	D9		DQ0T				
B4	VREFB4N0	IO	DQ1T		E8	A7		DQ0T				
B4	VREFB4N0	IO	DQ1T		F8	D8		DQ0T				
B4	VREFB4N0	VREFB4N0	VREFB4N0		E10	F9	E7					
B4	VREFB4N0	IO			C8	B8	B2	DQ0T				
B4	VREFB4N0	IO	DQ1T		A8	A8		DQ0T				
B4	VREFB4N0	IO			J13							
B4	VREFB4N0	IO	DQS2T		D9	E10		DQS1T				
B4	VREFB4N0	IO	DQ2T		F9			DQ1T		DQ0T		DQ0T
B4	VREFB4N0	IO	DQ2T		G8	J10		DQ1T		DQ0T		DQ0T
B4	VREFB4N0	IO	DQ2T		G9	H10		DQ1T		DQ0T		DQ0T
B4	VREFB4N0	IO			C9					DQ0T		DQ0T
B4	VREFB4N0	IO	DQ2T		A9	G10	F8	DQ1T		DQ0T		DQ0T
B4	VREFB4N0	IO			K13							
B4	VREFB4N0	IO			L13							
B4	VREFB4N0	IO	DQS3T		D10	D10			DQS0T	DQS0T		
B4	VREFB4N0	IO	DQ3T		B10	B10		DQ1T	DQ0T	DQ0T	DQ0T	DQ0T
B4	VREFB4N0	IO	DQ3T		F10	A9		DQ1T	DQ0T	DQ0T	DQ0T	DQ0T
B4	VREFB4N0	IO	DQ3T		G10	C9	F7	DQ1T	DQ0T	DQ0T	DQ0T	DQ0T
B4	VREFB4N1	IO			C10	C10		DQ1T			DQ0T	DQ0T
B4	VREFB4N1	IO	DQ3T		A10	E11		DQ1T	DQ0T	DQ0T	DQ0T	DQ0T
B4	VREFB4N1	IO			H14	K11						
B4	VREFB4N1	IO	DQS4T		D11			DQS2T				
B4	VREFB4N1	IO	DQ4T		B11	G11		DQ2T		DQ0T		DQ0T
B4	VREFB4N1	IO	DQ4T		E11	J11		DQ2T		DQ0T		DQ0T
B4	VREFB4N1	IO	DQ4T		F11			DQ2T		DQ0T		DQ0T
B4	VREFB4N1	IO			C11	F11				DQ0T		DQ0T
B4	VREFB4N1	IO	DQ4T		A11	H11		DQ2T		DQ0T		DQ0T
B4	VREFB4N1	IO			K14							
B4	VREFB4N1	IO			L14							
B4	VREFB4N1	IO	DQS5T		D12	C11					DQS0T	DQS0T
B4	VREFB4N1	IO	DQ5T		F12	C12		DQ2T	DQ0T	DQ0T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ5T		G12	D11		DQ2T	DQ0T	DQ0T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ5T		G11	A10		DQ2T	DQ0T	DQ0T	DQ0T	DQ0T
B4	VREFB4N1	VREFB4N1	VREFB4N1		E13	F10	E8					
B4	VREFB4N1	IO			C12	B11		DQ2T	DQ0T	DQ0T		
B4	VREFB4N1	IO	DQ5T		A12	D12		DQ2T	DQ0T		DQ0T	
B4	VREFB4N1	IO			M15							
B4	VREFB4N1	IO	DQS6T		D13			DQS3T				
B4	VREFB4N1	IO	DQ6T		B13	K12		DQ3T		DQ1T		DQ0T
B4	VREFB4N1	IO	DQ6T		F13	L12		DQ3T		DQ1T		DQ0T
B4	VREFB4N1	IO	DQ6T		G13			DQ3T		DQ1T		DQ0T
B4	VREFB4N1	IO			C13	G12				DQ1T		DQ0T
B4	VREFB4N1	IO	DQ6T		A13	L13	G9	DQ3T		DQ1T		DQ0T
B4	VREFB4N1	IO			N17							
B4	VREFB4N1	IO			F18							
B4	VREFB4N1	IO	DQS7T		D14	D13	B4		DQS1T	DQS1T		
B4	VREFB4N1	IO	DQ7T		B14	A11	A3	DQ3T	DQ1T	DQ1T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ7T		F14	F13	D7	DQ3T	DQ1T	DQ1T	DQ0T	DQ0T
B4	VREFB4N1	IO	DQ7T		E14	A12	C6	DQ3T	DQ1T	DQ1T	DQ0T	DQ0T
B4	VREFB4N2	IO			C14	C13	B5	DQ3T			DQ0T	DQ0T
B4	VREFB4N2	IO	DQ7T		A14	E13	A4	DQ3T	DQ1T	DQ1T	DQ0T	DQ0T
B4	VREFB4N2	IO			M16							
B4	VREFB4N2	IO	DQS8T		D15	L14		DQS4T				
B4	VREFB4N2	IO	DQ8T		A15	H13		DQ4T		DQ1T		DQ0T
B4	VREFB4N2	IO	DQ8T		F15			DQ4T		DQ1T		DQ0T
B4	VREFB4N2	IO	DQ8T		G15	K13		DQ4T		DQ1T		DQ0T
B4	VREFB4N2	IO			C15	G13				DQ1T		DQ0T
B4	VREFB4N2	IO	DQ8T		G14			DQ4T		DQ1T		DQ0T
B4	VREFB4N2	IO			N18							
B4	VREFB4N2	IO			M17							
B4	VREFB4N2	IO	DQS9T		C16	B14	H9					
B4	VREFB4N2	IO	DQ9T		A16	E14	F11	DQ4T	DQ1T	DQ1T	DQ0T	DQ0T
B4	VREFB4N2	IO	DQ9T		B16	A13	G10	DQ4T	DQ1T	DQ1T	DQ0T	DQ0T
B4	VREFB4N2	IO	DQ9T		F16	B13		DQ4T	DQ1T	DQ1T	DQ0T	
B4	VREFB4N2	VREFB4N2	VREFB4N2		E16	F12	E11					
B4	VREFB4N2	IO			D16	C14	H10	DQ4T	DQ1T	DQ1T	DQ0T	DQ0T
B4	VREFB4N2	IO	DQ9T		G16	D14	F10	DQ4T	DQ1T			
B4	VREFB4N2	IO			F19							
B4	VREFB4N2	IO			M18							
B4	VREFB4N2	IO			M19							
B9	VREFB4N2	IO	PLL5_FBn/OUT2n		F17	G14	C7					
B9	VREFB4N2	IO	PLL5_FBp/OUT2p		E17	F14	B7					
B9	VREFB4N2	IO	PLL5_OUT0n		B17	A14	D9					
B9	VREFB4N2	IO	PLL5_OUT0p		A17	A15	C9					
B9	VREFB4N2	IO	PLL5_OUT1n		D17	D15	D8					
B9	VREFB4N2	IO	PLL5_OUT1p		C17	C15	C8					
B4	VREFB4N2	IO	CLK12n		A19	B16	B8					
B4	VREFB4N2	IO	CLK12p		A18	A16	A7					
B4	VREFB4N2	IO	CLK13n		D18	G15	A6					
B4	VREFB4N2	IO	CLK13p		C18	F15	A5					
B9		VCC_PLL5_OUT			H16	J14	E10					
		VCCD_PLL5			H17	K16	H11					
		VCCA_PLL5			K16	J15	G12					
		GNDA_PLL5			J16	J16	H12					
		GNDA_PLL5			J17	K15	G11					
		GNDA_PLL11			J18							
		GNDA_PLL11			K18							
		VCCA_PLL11			K17							
		VCCD_PLL11			J19							
B11		VCC_PLL11_OUT			K20							
B3	VREFB3N0	IO	CLK14p		B19	A17	A8					
B3	VREFB3N0	IO	CLK14n		C19	B17	A9					
B3	VREFB3N0	IO	CLK15p		D19	C16	C10					
B3	VREFB3N0	IO	CLK15n		E19	D16	D10					
B11	VREFB3N0	IO	PLL11_OUT0p		A20							
B11	VREFB3N0	IO	PLL11_OUT0n		B20	C17						
B11	VREFB3N0	IO	PLL11_OUT1p		C20							
B11	VREFB3N0	IO	PLL11_OUT1n		D20							
B3	VREFB3N0	IO			G23							
B11	VREFB3N0	IO	PLL11_FBp/OUT2p		E20							
B11	VREFB3N0	IO	PLL11_FBn/OUT2n		F20							
B3	VREFB3N0	IO		PGM2	G20	E16	C11					
B3	VREFB3N0	IO		PGM1	H20	F16	D13					
B3	VREFB3N0	IO		PGM0	H22	G16	D12					
B3	VREFB3N0	IO		ASDO	N21	L16	F12					
B3	VREFB3N0	IO		nCSO	G21	D17	B10					
B3	VREFB3N0	IO		CRC_ERROR	G22	E17	A10					
B3	VREFB3N0	IO		DATA0	J20	F17	D11					
B3	VREFB3N0	IO		DATA1	J22	K17	F13					
B3	VREFB3N0	VREFB3N0	VREFB3N0		E22	E19	E14					
B3	VREFB3N0	IO	DQS10T		D22	D18		DQS5T				
B3	VREFB3N0	IO	DQ10T		C21			DQ5T		DQ2T		DQ1T
B3	VREFB3N0	IO	DQ10T		A21	L17	F14	DQ5T		DQ2T		DQ1T
B3	VREFB3N0	IO	DQ10T		F21			DQ5T		DQ2T		DQ1T
B3	VREFB3N0	IO			D21	F18				DQ2T		DQ1T
B3	VREFB3N0	IO	DQ10T		F22	G18	G13	DQ5T		DQ2T		DQ1T
B3	VREFB3N0	IO			H23							
B3	VREFB3N0	IO			M21							
B3	VREFB3N0	IO	DQS11T		C22	A19	D14		DQS2T	DQS2T		
B3	VREFB3N0	IO	DQ11T		A22	A18	C12	DQ5T	DQ2T	DQ2T	DQ1T	DQ1T
B3	VREFB3N0	IO	DQ11T		B22	C18	C13	DQ5T	DQ2T	DQ2T	DQ1T	DQ1T
B3	VREFB3N0	IO	DQ11T		F23	C19	B13	DQ5T	DQ2T	DQ2T	DQ1T	DQ1T
B3	VREFB3N1	IO			D23	B19	C14	DQ5T			DQ1T	DQ1T
B3	VREFB3N1	IO	DQ11T		E23	A20	B14	DQ5T	DQ2T	DQ2T	DQ1T	DQ1T
B3	VREFB3N1	IO			G24							
B3	VREFB3N1	IO	DQS12T		C23			DQS6T				
B3	VREFB3N1	IO	DQ12T		B23	F19		DQ6T		DQ2T		DQ1T
B3	VREFB3N1	IO	DQ12T		A23			DQ6T		DQ2T		DQ1T
B3	VREFB3N1	IO	DQ12T		D24	K18		DQ6T		DQ2T		DQ1T
B3	VREFB3N1	IO			C24					DQ2T		DQ1T
B3	VREFB3N1	IO	DQ12T		F24	H19		DQ6T		DQ2T		DQ1T
B3	VREFB3N1	IO			J23							
B3	VREFB3N1	IO	DQS13T		B25	B20	H13				DQS1T	DQS1T
B3	VREFB3N1	IO	DQ13T		A24	A21	H14	DQ6T	DQ2T	DQ2T	DQ1T	DQ1T
B3	VREFB3N1	IO	DQ13T		A25	C21		DQ6T	DQ2T	DQ2T	DQ1T	DQ1T
B3	VREFB3N1	IO	DQ13T		F25	A22	J14	DQ6T	DQ2T	DQ2T	DQ1T	DQ1T
B3	VREFB3N1	VREFB3N1	VREFB3N1		E25	E20	E16					
B3	VREFB3N1	IO			C25	C20	G14	DQ6T	DQ2T	DQ2T		
B3	VREFB3N1	IO	DQ13T		D25	B22	G15	DQ6T	DQ2T		DQ1T	
B3	VREFB3N1	IO			M23							
B3	VREFB3N1	IO			K23							
B3	VREFB3N1	IO	DQS14T		C26	D19		DQS7T				
B3	VREFB3N1	IO	DQ14T		B26			DQ7T		DQ3T		DQ1T
B3	VREFB3N1	IO	DQ14T		E26	G19		DQ7T		DQ3T		DQ1T
B3	VREFB3N1	IO	DQ14T		F26			DQ7T		DQ3T		DQ1T
B3	VREFB3N1	IO			D26	F20				DQ3T		DQ1T
B3	VREFB3N1	IO	DQ14T		A26			DQ7T		DQ3T		DQ1T
B3	VREFB3N1	IO			J24							
B3	VREFB3N1	IO	DQS15T		B28	B23			DQS3T	DQS3T		
B3	VREFB3N1	IO	DQ15T		A27	A23		DQ7T	DQ3T	DQ3T	DQ1T	DQ1T
B3	VREFB3N1	IO	DQ15T		A28	C22	F16	DQ7T	DQ3T	DQ3T	DQ1T	DQ1T
B3	VREFB3N1	IO	DQ15T		C27	A24		DQ7T	DQ3T	DQ3T	DQ1T	DQ1T
B3	VREFB3N2	IO			C28	C23		DQ7T			DQ1T	DQ1T
B3	VREFB3N2	IO	DQ15T		D27	C24		DQ7T	DQ3T	DQ3T	DQ1T	DQ1T
B3	VREFB3N2	IO			K24							
B3	VREFB3N2	IO	DQS16T		C29			DQS8T				
B3	VREFB3N2	IO	DQ16T		A29	G20		DQ8T		DQ3T		DQ1T
B3	VREFB3N2	IO	DQ16T		D28			DQ8T		DQ3T		DQ1T
B3	VREFB3N2	IO	DQ16T		E29	K20		DQ8T		DQ3T		DQ1T
B3	VREFB3N2	IO			D29					DQ3T		DQ1T
B3	VREFB3N2	IO	DQ16T		B29	D20		DQ8T		DQ3T		DQ1T
B3	VREFB3N2	IO			F29							
B3	VREFB3N2	IO			G29							
B3	VREFB3N2	IO	DQS17T		A31	B25						
B3	VREFB3N2	IO	DQ17T		A30	A26		DQ8T	DQ3T	DQ3T	DQ1T	DQ1T
B3	VREFB3N2	IO	DQ17T		A32	A25	C15	DQ8T	DQ3T	DQ3T	DQ1T	DQ1T
B3	VREFB3N2	IO	DQ17T		B32	C26		DQ8T	DQ3T	DQ3T	DQ1T	
B3	VREFB3N2	VREFB3N2	VREFB3N2		E28	E22	E17					
B3	VREFB3N2	IO			B31	C25	D16	DQ8T	DQ3T	DQ3T	DQ1T	DQ1T
B3	VREFB3N2	IO	DQ17T		C30	B26		DQ8T	DQ3T			
B3	VREFB3N2	IO			H28							
B3	VREFB3N2	IO			J27	L20	D15					
B3	VREFB3N2	IO		DATA2	G25	F21	A12					
B3	VREFB3N2	IO		DATA3	F27	D21	A13					
B3	VREFB3N2	IO		DATA4	H25	G21	B11					
B3	VREFB3N2	IO		DATA5	G27	D23	D17					
B3	VREFB3N2	IO		DATA6	G26	F22	A14					
B3	VREFB3N2	IO		DATA7	H26	D22	C16					
B3	VREFB3N2	IO		RDYnBSY	F28	J21	A11					
B3	VREFB3N2	IO		INIT_DONE	G28	G22	C17					
B3	VREFB3N2	nSTATUS		nSTATUS	D31	D26	A16					
B3	VREFB3N2	nCE		nCE	D30	D24	A15					
B3	VREFB3N2	DCLK		DCLK	C32	D25	B16					
B3	VREFB3N2	CONF_DONE		CONF_DONE	C31	E23	C18					
		VCCIO2			P25	J22	J15					
		VCCIO2			P26	L22	H17					
		VCCIO2			U25	N21						
		VCCIO2			U26							
		VCCIO1			AC25	U22	R14					
		VCCIO1			AC26	V21	T18					
		VCCIO1			Y25	Y22						
		VCCIO1			Y26							
		VCCIO8			AE19	AA16	U15					
		VCCIO8			AE21	Y18	V13					
		VCCIO8			AF21	Y19						
		VCCIO8			AG19							
		VCCIO7			AE12	AA10	U7					
		VCCIO7			AE15	AA13	U9					
		VCCIO7			AF12	Y9						
		VCCIO7			AF15							
		VCCT_B14			AA10							
		VCCT_B14			Y10							
		VCCH_B14			AA11							
		VCCH_B14			Y11							
		VCCR			AA9							
		VCCR			Y9							
		VCCA			Y8							
		VCCL_B14			AB8							
		VCCT_B14			T10	R8	L5					
		VCCT_B14			U10	T8	M5					
		VCCH_B14			T11	R9	L6					
		VCCH_B14			U11	T9	M6					
		VCCR			T9	R7	L4					
		VCCR			U9	T7	M4					
		VCCA			T8	R6	L3					
		VCCL_B14			V8	U6	N3					
		VCCT_B13			M10	L8						
		VCCT_B13			N10	M8						
		VCCH_B13			M11	L9						
		VCCH_B13			N11	M9						
		VCCR			M9	L7						
		VCCR			N9	M7						
		VCCA			M8	L6						
		VCCL_B13			P8	N6						
		VCCP			AA12							
		VCCP			Y12							
		VCCP			T12	R10	L7					
		VCCP			U12	T10	M7					
		VCCP			M12	L10						
		VCCP			N12	M10						
		VCCIO4			J12	H14	G7					
		VCCIO4			J15	J9	F9					
		VCCIO4			K12	J12						
		VCCIO4			K15							
		VCCIO3			H19	H17	F15					
		VCCIO3			J21	H20	E13					
		VCCIO3			K19	J19						
		VCCIO3			K21							
		VCCA					J7					
		VCCINT			AA14	M12	K13					
		VCCINT			AA16	M14	K11					
		VCCINT			AA18	M16	J10					
		VCCINT			AA20	M18	K9					
		VCCINT			AA22	N11	L8					
		VCCINT			P15	N13	M9					
		VCCINT			P17	N15	N8					
		VCCINT			P19	N17	P9					
		VCCINT			P21	P12	R10					
		VCCINT			R14	P14	P11					
		VCCINT			R16	P16	N10					
		VCCINT			R18	P18	L10					
		VCCINT			R20	R11	M11					
		VCCINT			R22	R13	L12					
		VCCINT			T13	R15	M13					
		VCCINT			T15	R17	N12					
		VCCINT			T17	T12	P13					
		VCCINT			T19	T14						
		VCCINT			T21	T16						
		VCCINT			U14	T18						
		VCCINT			U16	U11						
		VCCINT			U18	U13						
		VCCINT			U20	U15						
		VCCINT			U22	U17						
		VCCINT			V13							
		VCCINT			V15							
		VCCINT			V17							
		VCCINT			V19							
		VCCINT			V21							
		VCCINT			W14							
		VCCINT			W16							
		VCCINT			W18							
		VCCINT			W20							
		VCCINT			W22							
		VCCINT			Y15							
		VCCINT			Y17							
		VCCINT			Y19							
		VCCINT			Y21							
		GND			A33	AA21	AA21					
		GND			T24	AA24	AA18					
		GND			T27	AA27	V18					
		GND			T30	AD24	V21					
		GND			T33	AD27	R21					
		GND			V24	AG27	R18					
		GND			AA24	AG28	R15					
		GND			AA27	B28	H18					
		GND			AA30	E27	H15					
		GND			AA33	H21	H21					
		GND			V27	H24	E21					
		GND			V30	H27	E18					
		GND			V33	L21	B18					
		GND			AB19	L24	B21					
		GND			AC12	L27						
		GND			AD7	M19						
		GND			AD8	N24						
		GND			AD9	N27						
		GND			AD10	P21						
		GND			AD11	R24						
		GND			AD12	R27						
		GND			AD15	U21						
		GND			AD18	V24						
		GND			AD21	V27						
		GND			AD24	W20						
		GND			AD27	W22						
		GND			AD30	Y20						
		GND			AD33							
		GND			AG7							
		GND			AG9							
		GND			AG12							
		GND			AG15							
		GND			AG17							
		GND			AG18							
		GND			AG21							
		GND			AG24							
		GND			AG27							
		GND			AG30							
		GND			P33							
		GND			AG33	W8	AA1					
		GND			AK7	W7	AA3					
		GND			AK9	V18	AA6					
		GND			AK12	V15	T7					
		GND			AK15	V12	V9					
		GND			AK18	V10	AA9					
		GND			AK21	AH27	AA12					
		GND			AK24	AG9	V12					
		GND			AK27	AG7	V15					
		GND			AK30	AG24	AA15					
		GND			AK33	AG21						
		GND			AN7	AG18						
		GND			AN9	AG15						
		GND			AN12	AG12						
		GND			AN15	AD9						
		GND			AN18	AD7						
		GND			AN21	AD21						
		GND			AN24	AD18						
		GND			AN27	AD15						
		GND			AN30	AD12						
		GND			AN33	AA9						
		GND			AN34	AA7						
		GND			AP33	AA20						
		GND			B7	AA18						
		GND			B9	AA15						
		GND			B12	AA12						
		GND			B15							
		GND			B18							
		GND			B21							
		GND			B24							
		GND			B27							
		GND			B30							
		GND			B33							
		GND			B34							
		GND			E7							
		GND			E9							
		GND			E12							
		GND			E15							
		GND			A2	A2	D1					
		GND			A3	A3	D2					
		GND			A6	A4	D3					
		GND			AA1	A5	D4					
		GND			AA2	A6	D5					
		GND			AA3	AA1	D6					
		GND			AA4	AA2	E3					
		GND			AA5	AA3	E6					
		GND			AA6	AA4	F1					
		GND			AA7	AA5	F2					
		GND			AB3	AA6	F3					
		GND			AB6	AB3	F4					
		GND			AB7	AB6	F5					
		GND			AB9	AC1	F6					
		GND			AB10	AC2	G3					
		GND			AB11	AC3	G6					
		GND			AB12	AC4	H1					
		GND			AC1	AC5	H2					
		GND			AC2	AC6	H3					
		GND			AC3	AD3	H4					
		GND			AC4	AD6	H5					
		GND			AC5	AE1	J2					
		GND			AC6	AE2	J4					
		GND			AC7	AE3	H6					
		GND			AC8	AE4	K2					
		GND			AD3	AE5	K3					
		GND			AD6	AE6	K4					
		GND			AE1	AF1	K5					
		GND			AE2	AF2	K6					
		GND			AE3	AF3	K7					
		GND			AE4	AF6	L1					
		GND			AE5	AG1	L2					
		GND			AE6	AG2	M1					
		GND			AF3	AG3	M2					
		GND			AF6	AG4	N2					
		GND			AG1	AG5	N4					
		GND			AG2	AG6	N5					
		GND			AG3	AH2	N6					
		GND			AG4	AH3	N7					
		GND			AG5	AH4	P2					
		GND			AG6	AH5	P3					
		GND			AH3	AH6	P5					
		GND			AH5	B1	P7					
		GND			AH6	B2	R1					
		GND			AJ1	B3	R2					
		GND			AJ2	B4	R3					
		GND			AJ3	B5	R4					
		GND			AJ4	B6	R5					
		GND			AJ5	C1	R6					
		GND			AJ6	C2	R7					
		GND			AK3	C3	T3					
		GND			AK6	C6	T6					
		GND			AL1	D1	U1					
		GND			AL2	D2	U2					
		GND			AL3	D3	U3					
		GND			AL4	D4	U4					
		GND			AL5	D5	U5					
		GND			AL6	D6	U6					
		GND			AM3	E3	V3					
		GND			AM6	E6	V6					
		GND			AN1	F1	W1					
		GND			AN2	F2	W2					
		GND			AN3	F3	W3					
		GND			AN4	F4	W4					
		GND			AN5	F5	W5					
		GND			AN6	F6	W6					
		GND			AP2	G3						
		GND			AP3	G6						
		GND			AP6	H1						
		GND			B1	H2						
		GND			B2	H3						
		GND			B3	H4						
		GND			B4	H5						
		GND			B5	H6						
		GND			B6	J3						
		GND			C3	J5						
		GND			C6	J6						
		GND			D1	K1						
		GND			D2	K2						
		GND			D3	K3						
		GND			D4	K4						
		GND			D5	K5						
		GND			D6	K6						
		GND			E3	L3						
		GND			E6	M1						
		GND			F1	M2						
		GND			F2	M3						
		GND			F3	M4						
		GND			F4	M5						
		GND			F5	N3						
		GND			F6	N7						
		GND			G3	N8						
		GND			G5	N9						
		GND			G6	N10						
		GND			H1	P1						
		GND			H2	P2						
		GND			H3	P3						
		GND			H4	P4						
		GND			H5	P5						
		GND			H6	P6						
		GND			J3	R1						
		GND			J6	R2						
		GND			K1	R3						
		GND			K2	R4						
		GND			K3	R5						
		GND			K4	T3						
		GND			K5	U1						
		GND			K6	U2						
		GND			L3	U3						
		GND			L6	U4						
		GND			M1	U5						
		GND			M2	U7						
		GND			M3	U8						
		GND			M4	U9						
		GND			M5	U10						
		GND			M6	V3						
		GND			M7	V6						
		GND			N3	W1						
		GND			N6	W2						
		GND			N7	W3						
		GND			P1	W4						
		GND			P2	W5						
		GND			P3	W6						
		GND			P4	Y3						
		GND			P5	Y5						
		GND			P6	Y6						
		GND			P7							
		GND			P9							
		GND			P10							
		GND			P11							
		GND			P12							
		GND			R3							
		GND			R6							
		GND			R7							
		GND			R8							
		GND			T1							
		GND			T2							
		GND			T3							
		GND			T4							
		GND			T5							
		GND			T6							
		GND			T7							
		GND			U1							
		GND			U2							
		GND			U3							
		GND			U4							
		GND			U5							
		GND			V3							
		GND			V5							
		GND			V6							
		GND			V7							
		GND			V9							
		GND			V10							
		GND			V11							
		GND			V12							
		GND			W1							
		GND			W2							
		GND			W3							
		GND			W4							
		GND			W5							
		GND			W6							
		GND			Y3							
		GND			Y6							
		GND			Y7							
		GND			AC10							
		GND			W10	V8						
		GND			R10	P8						
		GND			E18	A27	B1					
		GND			E21	B12	B3					
		GND			E24	B15	B6					
		GND			E27	B18	B9					
		GND			E30	B21	E9					
		GND			E33	B24	H7					
		GND			G17	B27	E12					
		GND			H7	B7	B12					
		GND			H9	B9	B15					
		GND			H12	E12	E15					
		GND			H15	E15						
		GND			H18	E18						
		GND			H21	E21						
		GND			H24	E24						
		GND			H27	E7						
		GND			H30	E9						
		GND			H33	H12						
		GND			K7	H15						
		GND			K8	H16						
		GND			K9	H18						
		GND			L10	H7						
		GND			L11	H9						
		GND			L12	J7						
		GND			L15	L11						
		GND			L18	L15						
		GND			L21	L18						
		GND			L24							
		GND			L27							
		GND			L30							
		GND			L33							
		GND			N13							
		GND			N14							
		GND			N15							
		GND			N16							
		GND			N20							
		GND			P24							
		GND			P27							
		GND			P30							
		GND			AA13	M11	J12					
		GND			AA15	M13	K12					
		GND			AA17	M15	J11					
		GND			AA19	M17	J9					
		GND			AA21	N12	K10					
		GND			P14	N14	K8					
		GND			P16	N16	L9					
		GND			P18	N18	M8					
		GND			P20	P11	N9					
		GND			R13	P13	P8					
		GND			R15	P15	R9					
		GND			R17	P17	P10					
		GND			R19	R12	R11					
		GND			R21	R14	R12					
		GND			T14	R16	P12					
		GND			T16	R18	N13					
		GND			T18	T11	M12					
		GND			T20	T13	L13					
		GND			T22	T15	L11					
		GND			U13	T17	N11					
		GND			U15	U12	M10					
