Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F29	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
3D	28	VREFB3DN0	IO	"PLL_3D_CLKOUT1p,PLL_3D_CLKOUT1,PLL_3D_FB1"			LVDS3D_10p	Yes	H8	DQS67	DQS33/CQ33	DQ16	DQ8
3D	27	VREFB3DN0	IO				LVDS3D_11n	No	F7	DQ67	DQ33	DQ16	DQ8
3D	26	VREFB3DN0	IO	RZQ_3D			LVDS3D_11p	No	F6	DQ67	DQ33	DQ16	DQ8
3D	25	VREFB3DN0	IO	CLK_3D_1n			LVDS3D_12n	Yes	F8	DQ67	DQ33	DQ16	DQ8
3D	24	VREFB3DN0	IO	CLK_3D_1p			LVDS3D_12p	Yes	G8	DQ67	DQ33	DQ16	DQ8
3D	23	VREFB3DN0	IO	CLK_3D_0n			LVDS3D_13n	No	D7	DQ68	DQ34	DQ17	DQ8
3D	22	VREFB3DN0	IO	CLK_3D_0p			LVDS3D_13p	No	C7	DQ68	DQ34	DQ17	DQ8
3D	21	VREFB3DN0	IO				LVDS3D_14n	Yes	A7	DQSn68	DQ34	DQ17	DQSn8/CQn8
3D	20	VREFB3DN0	IO				LVDS3D_14p	Yes	A6	DQS68	DQ34	DQ17	DQS8/CQ8
3D	19	VREFB3DN0	IO	PLL_3D_CLKOUT0n			LVDS3D_15n	No	E7	DQ68	DQ34	DQ17	DQ8
3D	18	VREFB3DN0	IO	"PLL_3D_CLKOUT0p,PLL_3D_CLKOUT0,PLL_3D_FB0"			LVDS3D_15p	No	E6	DQ68	DQ34	DQ17	DQ8
3D	17	VREFB3DN0	IO				LVDS3D_16n	Yes	C6	DQSn69	DQSn34/CQn34	DQ17	DQ8
3D	16	VREFB3DN0	IO				LVDS3D_16p	Yes	C5	DQS69	DQS34/CQ34	DQ17	DQ8
3D	15	VREFB3DN0	IO				LVDS3D_17n	No	B6	DQ69	DQ34	DQ17	DQ8
3D	14	VREFB3DN0	IO				LVDS3D_17p	No	B5	DQ69	DQ34	DQ17	DQ8
3D	13	VREFB3DN0	IO				LVDS3D_18n	Yes	E5	DQ69	DQ34	DQSn17/CQn17	DQ8
3D	12	VREFB3DN0	IO				LVDS3D_18p	Yes	D5	DQ69	DQ34	DQS17/CQ17	DQ8
3C	47	VREFB3CN0	IO				LVDS3C_1n	No	H7	DQ72	DQ36	DQ18	DQ9
3C	46	VREFB3CN0	IO				LVDS3C_1p	No	H6	DQ72	DQ36	DQ18	DQ9
3C	45	VREFB3CN0	IO				LVDS3C_2n	Yes	N8	DQSn72	DQ36	DQ18	DQ9
3C	44	VREFB3CN0	IO				LVDS3C_2p	Yes	N7	DQS72	DQ36	DQ18	DQ9
3C	43	VREFB3CN0	IO				LVDS3C_3n	No	K6	DQ72	DQ36	DQ18	DQ9
3C	42	VREFB3CN0	IO				LVDS3C_3p	No	L6	DQ72	DQ36	DQ18	DQ9
3C	41	VREFB3CN0	IO				LVDS3C_4n	Yes	H5	DQSn73	DQSn36/CQn36	DQ18	DQ9
3C	40	VREFB3CN0	IO				LVDS3C_4p	Yes	G4	DQS73	DQS36/CQ36	DQ18	DQ9
3C	39	VREFB3CN0	IO				LVDS3C_5n	No	J7	DQ73	DQ36	DQ18	DQ9
3C	38	VREFB3CN0	IO				LVDS3C_5p	No	K7	DQ73	DQ36	DQ18	DQ9
3C	37	VREFB3CN0	IO				LVDS3C_6n	Yes	M8	DQ73	DQ36	DQSn18/CQn18	DQ9
3C	36	VREFB3CN0	IO				LVDS3C_6p	Yes	L7	DQ73	DQ36	DQS18/CQ18	DQ9
3C	35	VREFB3CN0	IO				LVDS3C_7n	No	P8	DQ74	DQ37	DQ18	DQ9
3C	34	VREFB3CN0	IO				LVDS3C_7p	No	P9	DQ74	DQ37	DQ18	DQ9
3C	33	VREFB3CN0	IO				LVDS3C_8n	Yes	P7	DQSn74	DQ37	DQ18	DQ9
3C	32	VREFB3CN0	IO				LVDS3C_8p	Yes	N6	DQS74	DQ37	DQ18	DQ9
3C	31	VREFB3CN0	IO				LVDS3C_9n	No	R7	DQ74	DQ37	DQ18	DQ9
3C	30	VREFB3CN0	IO				LVDS3C_9p	No	R6	DQ74	DQ37	DQ18	DQ9
3C	29	VREFB3CN0	IO	PLL_3C_CLKOUT1n			LVDS3C_10n	Yes	J5	DQSn75	DQSn37/CQn37	DQ18	DQ9
3C	28	VREFB3CN0	IO	"PLL_3C_CLKOUT1p,PLL_3C_CLKOUT1,PLL_3C_FB1"			LVDS3C_10p	Yes	K5	DQS75	DQS37/CQ37	DQ18	DQ9
3C	27	VREFB3CN0	IO				LVDS3C_11n	No	M6	DQ75	DQ37	DQ18	DQ9
3C	26	VREFB3CN0	IO	RZQ_3C			LVDS3C_11p	No	M5	DQ75	DQ37	DQ18	DQ9
3C	25	VREFB3CN0	IO	CLK_3C_1n			LVDS3C_12n	Yes	P5	DQ75	DQ37	DQ18	DQ9
3C	24	VREFB3CN0	IO	CLK_3C_1p			LVDS3C_12p	Yes	N5	DQ75	DQ37	DQ18	DQ9
3C	23	VREFB3CN0	IO	CLK_3C_0n			LVDS3C_13n	No	G6	DQ76	DQ38	DQ19	DQ9
3C	22	VREFB3CN0	IO	CLK_3C_0p			LVDS3C_13p	No	G5	DQ76	DQ38	DQ19	DQ9
3C	21	VREFB3CN0	IO				LVDS3C_14n	Yes	C3	DQSn76	DQ38	DQ19	DQSn9/CQn9
3C	20	VREFB3CN0	IO				LVDS3C_14p	Yes	B3	DQS76	DQ38	DQ19	DQS9/CQ9
3C	19	VREFB3CN0	IO	PLL_3C_CLKOUT0n			LVDS3C_15n	No	B4	DQ76	DQ38	DQ19	DQ9
3C	18	VREFB3CN0	IO	"PLL_3C_CLKOUT0p,PLL_3C_CLKOUT0,PLL_3C_FB0"			LVDS3C_15p	No	A4	DQ76	DQ38	DQ19	DQ9
3C	17	VREFB3CN0	IO				LVDS3C_16n	Yes	E4	DQSn77	DQSn38/CQn38	DQ19	DQ9
3C	16	VREFB3CN0	IO				LVDS3C_16p	Yes	F4	DQS77	DQS38/CQ38	DQ19	DQ9
3C	15	VREFB3CN0	IO				LVDS3C_17n	No	A3	DQ77	DQ38	DQ19	DQ9
3C	14	VREFB3CN0	IO				LVDS3C_17p	No	A2	DQ77	DQ38	DQ19	DQ9
3C	13	VREFB3CN0	IO				LVDS3C_18n	Yes	D4	DQ77	DQ38	DQSn19/CQn19	DQ9
3C	12	VREFB3CN0	IO				LVDS3C_18p	Yes	D3	DQ77	DQ38	DQS19/CQ19	DQ9
3C	11	VREFB3CN0	IO				LVDS3C_19n	No	C2	DQ78	DQ39	DQ19	DQ9
3C	10	VREFB3CN0	IO				LVDS3C_19p	No	D2	DQ78	DQ39	DQ19	DQ9
3C	9	VREFB3CN0	IO				LVDS3C_20n	Yes	E2	DQSn78	DQ39	DQ19	DQ9
3C	8	VREFB3CN0	IO				LVDS3C_20p	Yes	F2	DQS78	DQ39	DQ19	DQ9
3C	7	VREFB3CN0	IO				LVDS3C_21n	No	F3	DQ78	DQ39	DQ19	DQ9
3C	6	VREFB3CN0	IO				LVDS3C_21p	No	G3	DQ78	DQ39	DQ19	DQ9
3C	5	VREFB3CN0	IO				LVDS3C_22n	Yes	J4	DQSn79	DQSn39/CQn39	DQ19	DQ9
3C	4	VREFB3CN0	IO				LVDS3C_22p	Yes	H3	DQS79	DQS39/CQ39	DQ19	DQ9
3C	3	VREFB3CN0	IO				LVDS3C_23n	No	B1	DQ79	DQ39	DQ19	DQ9
3C	2	VREFB3CN0	IO				LVDS3C_23p	No	C1	DQ79	DQ39	DQ19	DQ9
3C	1	VREFB3CN0	IO				LVDS3C_24n	Yes	E1	DQ79	DQ39	DQ19	DQ9
3C	0	VREFB3CN0	IO				LVDS3C_24p	Yes	F1	DQ79	DQ39	DQ19	DQ9
3B	47	VREFB3BN0	IO				LVDS3B_1n	No	P4	DQ80	DQ40	DQ20	DQ10
3B	46	VREFB3BN0	IO				LVDS3B_1p	No	P3	DQ80	DQ40	DQ20	DQ10
3B	45	VREFB3BN0	IO				LVDS3B_2n	Yes	T9	DQSn80	DQ40	DQ20	DQ10
3B	44	VREFB3BN0	IO				LVDS3B_2p	Yes	T8	DQS80	DQ40	DQ20	DQ10
3B	43	VREFB3BN0	IO				LVDS3B_3n	No	T7	DQ80	DQ40	DQ20	DQ10
3B	42	VREFB3BN0	IO				LVDS3B_3p	No	T6	DQ80	DQ40	DQ20	DQ10
3B	41	VREFB3BN0	IO				LVDS3B_4n	Yes	R5	DQSn81	DQSn40/CQn40	DQ20	DQ10
3B	40	VREFB3BN0	IO				LVDS3B_4p	Yes	R4	DQS81	DQS40/CQ40	DQ20	DQ10
3B	39	VREFB3BN0	IO				LVDS3B_5n	No	U5	DQ81	DQ40	DQ20	DQ10
3B	38	VREFB3BN0	IO				LVDS3B_5p	No	T4	DQ81	DQ40	DQ20	DQ10
3B	37	VREFB3BN0	IO				LVDS3B_6n	Yes	V8	DQ81	DQ40	DQSn20/CQn20	DQ10
3B	36	VREFB3BN0	IO				LVDS3B_6p	Yes	U8	DQ81	DQ40	DQS20/CQ20	DQ10
3B	35	VREFB3BN0	IO				LVDS3B_7n	No	M4	DQ82	DQ41	DQ20	DQ10
3B	34	VREFB3BN0	IO				LVDS3B_7p	No	M3	DQ82	DQ41	DQ20	DQ10
3B	33	VREFB3BN0	IO				LVDS3B_8n	Yes	L4	DQSn82	DQ41	DQ20	DQ10
3B	32	VREFB3BN0	IO				LVDS3B_8p	Yes	K4	DQS82	DQ41	DQ20	DQ10
3B	31	VREFB3BN0	IO				LVDS3B_9n	No	N3	DQ82	DQ41	DQ20	DQ10
3B	30	VREFB3BN0	IO				LVDS3B_9p	No	N2	DQ82	DQ41	DQ20	DQ10
3B	29	VREFB3BN0	IO	PLL_3B_CLKOUT1n			LVDS3B_10n	Yes	J3	DQSn83	DQSn41/CQn41	DQ20	DQ10
3B	28	VREFB3BN0	IO	"PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1"			LVDS3B_10p	Yes	H2	DQS83	DQS41/CQ41	DQ20	DQ10
3B	27	VREFB3BN0	IO				LVDS3B_11n	No	J2	DQ83	DQ41	DQ20	DQ10
3B	26	VREFB3BN0	IO	RZQ_3B			LVDS3B_11p	No	K2	DQ83	DQ41	DQ20	DQ10
3B	25	VREFB3BN0	IO	CLK_3B_1n			LVDS3B_12n	Yes	L3	DQ83	DQ41	DQ20	DQ10
3B	24	VREFB3BN0	IO	CLK_3B_1p			LVDS3B_12p	Yes	L2	DQ83	DQ41	DQ20	DQ10
3B	23	VREFB3BN0	IO	CLK_3B_0n			LVDS3B_13n	No	M1	DQ84	DQ42	DQ21	DQ10
3B	22	VREFB3BN0	IO	CLK_3B_0p			LVDS3B_13p	No	N1	DQ84	DQ42	DQ21	DQ10
3B	21	VREFB3BN0	IO				LVDS3B_14n	Yes	G1	DQSn84	DQ42	DQ21	DQSn10/CQn10
3B	20	VREFB3BN0	IO				LVDS3B_14p	Yes	H1	DQS84	DQ42	DQ21	DQS10/CQ10
3B	19	VREFB3BN0	IO	PLL_3B_CLKOUT0n			LVDS3B_15n	No	P2	DQ84	DQ42	DQ21	DQ10
3B	18	VREFB3BN0	IO	"PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0"			LVDS3B_15p	No	R2	DQ84	DQ42	DQ21	DQ10
3B	17	VREFB3BN0	IO				LVDS3B_16n	Yes	T3	DQSn85	DQSn42/CQn42	DQ21	DQ10
3B	16	VREFB3BN0	IO				LVDS3B_16p	Yes	T2	DQS85	DQS42/CQ42	DQ21	DQ10
3B	15	VREFB3BN0	IO				LVDS3B_17n	No	K1	DQ85	DQ42	DQ21	DQ10
3B	14	VREFB3BN0	IO				LVDS3B_17p	No	L1	DQ85	DQ42	DQ21	DQ10
3B	13	VREFB3BN0	IO				LVDS3B_18n	Yes	R1	DQ85	DQ42	DQSn21/CQn21	DQ10
3B	12	VREFB3BN0	IO				LVDS3B_18p	Yes	T1	DQ85	DQ42	DQS21/CQ21	DQ10
3B	11	VREFB3BN0	IO				LVDS3B_19n	No	U4	DQ86	DQ43	DQ21	DQ10
3B	10	VREFB3BN0	IO				LVDS3B_19p	No	U3	DQ86	DQ43	DQ21	DQ10
3B	9	VREFB3BN0	IO				LVDS3B_20n	Yes	U1	DQSn86	DQ43	DQ21	DQ10
3B	8	VREFB3BN0	IO				LVDS3B_20p	Yes	V1	DQS86	DQ43	DQ21	DQ10
3B	7	VREFB3BN0	IO				LVDS3B_21n	No	V7	DQ86	DQ43	DQ21	DQ10
3B	6	VREFB3BN0	IO				LVDS3B_21p	No	U6	DQ86	DQ43	DQ21	DQ10
3B	5	VREFB3BN0	IO				LVDS3B_22n	Yes	V6	DQSn87	DQSn43/CQn43	DQ21	DQ10
3B	4	VREFB3BN0	IO				LVDS3B_22p	Yes	V5	DQS87	DQS43/CQ43	DQ21	DQ10
3B	3	VREFB3BN0	IO				LVDS3B_23n	No	V2	DQ87	DQ43	DQ21	DQ10
3B	2	VREFB3BN0	IO				LVDS3B_23p	No	W2	DQ87	DQ43	DQ21	DQ10
3B	1	VREFB3BN0	IO				LVDS3B_24n	Yes	V3	DQ87	DQ43	DQ21	DQ10
3B	0	VREFB3BN0	IO				LVDS3B_24p	Yes	W3	DQ87	DQ43	DQ21	DQ10
3A	47	VREFB3AN0	IO				LVDS3A_1n	No	Y4	DQ88	DQ44	DQ22	DQ11
3A	46	VREFB3AN0	IO				LVDS3A_1p	No	W4	DQ88	DQ44	DQ22	DQ11
3A	45	VREFB3AN0	IO				LVDS3A_2n	Yes	W7	DQSn88	DQ44	DQ22	DQ11
3A	44	VREFB3AN0	IO				LVDS3A_2p	Yes	W8	DQS88	DQ44	DQ22	DQ11
3A	43	VREFB3AN0	IO				LVDS3A_3n	No	Y6	DQ88	DQ44	DQ22	DQ11
3A	42	VREFB3AN0	IO				LVDS3A_3p	No	Y7	DQ88	DQ44	DQ22	DQ11
3A	41	VREFB3AN0	IO				LVDS3A_4n	Yes	Y5	DQSn89	DQSn44/CQn44	DQ22	DQ11
3A	40	VREFB3AN0	IO				LVDS3A_4p	Yes	W5	DQS89	DQS44/CQ44	DQ22	DQ11
3A	39	VREFB3AN0	IO				LVDS3A_5n	No	Y2	DQ89	DQ44	DQ22	DQ11
3A	38	VREFB3AN0	IO				LVDS3A_5p	No	Y1	DQ89	DQ44	DQ22	DQ11
3A	37	VREFB3AN0	IO				LVDS3A_6n	Yes	AA8	DQ89	DQ44	DQSn22/CQn22	DQ11
3A	36	VREFB3AN0	IO				LVDS3A_6p	Yes	AA9	DQ89	DQ44	DQS22/CQ22	DQ11
3A	35	VREFB3AN0	IO				LVDS3A_7n	No	AB4	DQ90	DQ45	DQ22	DQ11
3A	34	VREFB3AN0	IO				LVDS3A_7p	No	AC5	DQ90	DQ45	DQ22	DQ11
3A	33	VREFB3AN0	IO				LVDS3A_8n	Yes	AA1	DQSn90	DQ45	DQ22	DQ11
3A	32	VREFB3AN0	IO				LVDS3A_8p	Yes	AB1	DQS90	DQ45	DQ22	DQ11
3A	31	VREFB3AN0	IO				LVDS3A_9n	No	AB5	DQ90	DQ45	DQ22	DQ11
3A	30	VREFB3AN0	IO				LVDS3A_9p	No	AB6	DQ90	DQ45	DQ22	DQ11
3A	29	VREFB3AN0	IO	PLL_3A_CLKOUT1n			LVDS3A_10n	Yes	AB3	DQSn91	DQSn45/CQn45	DQ22	DQ11
3A	28	VREFB3AN0	IO	"PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1"			LVDS3A_10p	Yes	AA2	DQS91	DQS45/CQ45	DQ22	DQ11
3A	27	VREFB3AN0	IO				LVDS3A_11n	No	AA4	DQ91	DQ45	DQ22	DQ11
3A	26	VREFB3AN0	IO	RZQ_3A			LVDS3A_11p	No	AA3	DQ91	DQ45	DQ22	DQ11
3A	25	VREFB3AN0	IO	CLK_3A_1n			LVDS3A_12n	Yes	AA7	DQ91	DQ45	DQ22	DQ11
3A	24	VREFB3AN0	IO	CLK_3A_1p			LVDS3A_12p	Yes	AA6	DQ91	DQ45	DQ22	DQ11
3A	23	VREFB3AN0	IO	CLK_3A_0n			LVDS3A_13n	No	AC3	DQ92	DQ46	DQ23	DQ11
3A	22	VREFB3AN0	IO	CLK_3A_0p			LVDS3A_13p	No	AD3	DQ92	DQ46	DQ23	DQ11
3A	21	VREFB3AN0	IO				LVDS3A_14n	Yes	AF2	DQSn92	DQ46	DQ23	DQSn11/CQn11
3A	20	VREFB3AN0	IO				LVDS3A_14p	Yes	AE1	DQS92	DQ46	DQ23	DQS11/CQ11
3A	19	VREFB3AN0	IO	PLL_3A_CLKOUT0n			LVDS3A_15n	No	AC2	DQ92	DQ46	DQ23	DQ11
3A	18	VREFB3AN0	IO	"PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0"			LVDS3A_15p	No	AC1	DQ92	DQ46	DQ23	DQ11
3A	17	VREFB3AN0	IO				LVDS3A_16n	Yes	AD2	DQSn93	DQSn46/CQn46	DQ23	DQ11
3A	16	VREFB3AN0	IO				LVDS3A_16p	Yes	AE2	DQS93	DQS46/CQ46	DQ23	DQ11
3A	15	VREFB3AN0	IO				LVDS3A_17n	No	AF1	DQ93	DQ46	DQ23	DQ11
3A	14	VREFB3AN0	IO				LVDS3A_17p	No	AG1	DQ93	DQ46	DQ23	DQ11
3A	13	VREFB3AN0	IO				LVDS3A_18n	Yes	AF3	DQ93	DQ46	DQSn23/CQn23	DQ11
3A	12	VREFB3AN0	IO				LVDS3A_18p	Yes	AG3	DQ93	DQ46	DQS23/CQ23	DQ11
3A	11	VREFB3AN0	IO				LVDS3A_19n	No	AH3	DQ94	DQ47	DQ23	DQ11
3A	10	VREFB3AN0	IO				LVDS3A_19p	No	AH2	DQ94	DQ47	DQ23	DQ11
3A	9	VREFB3AN0	IO				LVDS3A_20n	Yes	AD4	DQSn94	DQ47	DQ23	DQ11
3A	8	VREFB3AN0	IO				LVDS3A_20p	Yes	AE4	DQS94	DQ47	DQ23	DQ11
3A	7	VREFB3AN0	IO				LVDS3A_21n	No	AC7	DQ94	DQ47	DQ23	DQ11
3A	6	VREFB3AN0	IO				LVDS3A_21p	No	AC6	DQ94	DQ47	DQ23	DQ11
3A	5	VREFB3AN0	IO				LVDS3A_22n	Yes	AE6	DQSn95	DQSn47/CQn47	DQ23	DQ11
3A	4	VREFB3AN0	IO				LVDS3A_22p	Yes	AF6	DQS95	DQS47/CQ47	DQ23	DQ11
3A	3	VREFB3AN0	IO				LVDS3A_23n	No	AF4	DQ95	DQ47	DQ23	DQ11
3A	2	VREFB3AN0	IO				LVDS3A_23p	No	AG4	DQ95	DQ47	DQ23	DQ11
3A	1	VREFB3AN0	IO				LVDS3A_24n	Yes	AD5	DQ95	DQ47	DQ23	DQ11
3A	0	VREFB3AN0	IO				LVDS3A_24p	Yes	AE5	DQ95	DQ47	DQ23	DQ11
			GND						AB10				
CSS			TDO		TDO				W10				
CSS			TMS		TMS				AH6				
CSS			TRST		TRST				AF8				
CSS			TCK		TCK				Y9				
CSS			TDI		TDI				AC10				
CSS			MSEL0		MSEL0				AE7				
CSS			MSEL1		MSEL1				AD7				
CSS			MSEL2		MSEL2				AB8				
CSS			nIO_PULLUP		nIO_PULLUP				AD8				
CSS			nSTATUS		nSTATUS				AF7				
CSS			CONF_DONE		CONF_DONE				AG8				
			GND						AD10				
CSS			nCONFIG		nCONFIG				AC8				
CSS			nCE		nCE				AB9				
CSS			nCSO0		nCSO0				AH8				
CSS			nCSO1		nCSO1				AH7				
CSS			nCSO2		nCSO2				AF9				
CSS			"AS_DATA0,ASDO"		"AS_DATA0,ASDO"				AE9				
CSS			AS_DATA1		AS_DATA1				AG6				
CSS			AS_DATA2		AS_DATA2				AG5				
CSS			AS_DATA3		AS_DATA3				AH5				
CSS			DCLK		DCLK				AD9				
			ADCGND						G10				
			GND						J13				
			GND						H13				
			GND						K14				
			GND						L13				
			GND						L14				
			GND						M13				
			GND						J14				
			GND						A10				
			GND						A15				
			GND						A20				
			GND						A25				
			GND						A5				
			GND						AA10				
			GND						AA24				
			GND						AA25				
			GND						AA26				
			GND						AB17				
			GND						AB2				
			GND						AB22				
			GND						AB24				
			GND						AB27				
			GND						AB28				
			GND						AB7				
			GND						AC24				
			GND						AC25				
			GND						AC26				
			GND						AC4				
			GND						AC9				
			GND						AD1				
			GND						AD11				
			GND						AD16				
			GND						AD21				
			GND						AD24				
			GND						AD27				
			GND						AD28				
			GND						AD6				
			GND						AE13				
			GND						AE18				
			GND						AE24				
			GND						AE25				
			GND						AE26				
			GND						AE3				
			GND						AE8				
			GND						AF10				
			GND						AF15				
			GND						AF20				
			GND						AF24				
			GND						AF27				
			GND						AF28				
			GND						AF5				
			GND						AG12				
			GND						AG17				
			GND						AG2				
			GND						AG22				
			GND						AG24				
			GND						AG25				
			GND						AG26				
			GND						AG7				
			GND						AH14				
			GND						AH19				
			GND						AH26				
			GND						AH27				
			GND						AH4				
			GND						AH9				
			GND						B17				
			GND						B2				
			GND						B22				
			GND						B27				
			GND						B28				
			GND						B7				
			GND						C19				
			GND						C24				
			GND						C25				
			GND						C26				
			GND						C27				
			GND						C4				
			GND						C9				
			GND						D1				
			GND						D11				
			GND						D16				
			GND						D21				
			GND						D24				
			GND						D27				
			GND						D28				
			GND						D6				
			GND						E13				
			GND						E24				
			GND						E25				
			GND						E26				
			GND						E3				
			GND						E8				
			GND						F10				
			GND						F20				
			GND						F24				
			GND						F27				
			GND						F28				
			GND						F5				
			GND						G12				
			GND						G17				
			GND						G2				
			GND						G22				
			GND						G24				
			GND						G25				
			GND						G26				
			GND						H14				
			GND						H24				
			GND						H27				
			GND						H28				
			GND						H4				
			GND						J1				
			GND						J11				
			GND						J16				
			GND						J21				
			GND						J24				
			GND						J25				
			GND						J26				
			GND						J6				
			GND						K13				
			GND						K24				
			GND						K27				
			GND						K28				
			GND						K3				
			GND						L10				
			GND						L15				
			GND						L20				
			GND						L21				
			GND						L22				
			GND						L23				
			GND						L24				
			GND						L25				
			GND						L26				
			GND						M12				
			GND						M17				
			GND						M2				
			GND						M21				
			GND						M27				
			GND						M28				
			GND						N14				
			GND						N19				
			GND						N21				
			GND						N22				
			GND						N25				
			GND						N26				
			GND						N4				
			GND						N9				
			GND						P1				
			GND						P11				
			GND						P16				
			GND						P21				
			GND						P22				
			GND						P27				
			GND						P28				
			GND						R13				
			GND						R18				
			GND						R21				
			GND						R22				
			GND						R25				
			GND						R26				
			GND						R3				
			GND						R8				
			GND						T10				
			GND						T15				
			GND						T20				
			GND						T21				
			GND						T27				
			GND						T28				
			GND						U12				
			GND						U17				
			GND						U2				
			GND						U21				
			GND						U22				
			GND						U25				
			GND						U26				
			GND						V14				
			GND						V19				
			GND						V21				
			GND						V22				
			GND						V27				
			GND						V28				
			GND						V9				
			GND						W1				
			GND						W11				
			GND						W16				
			GND						W22				
			GND						W25				
			GND						W26				
			GND						Y13				
			GND						Y22				
			GND						Y23				
			GND						Y24				
			GND						Y27				
			GND						Y28				
			GND						Y3				
			GNDSENSE						T12				
			VCC						L11				
			VCC						L12				
			VCC						L16				
			VCC						L17				
			VCC						L18				
			VCC						L19				
			VCC						M10				
			VCC						M11				
			VCC						M15				
			VCC						M16				
			VCC						M19				
			VCC						M20				
			VCC						N10				
			VCC						N12				
			VCC						N13				
			VCC						N15				
			VCC						N16				
			VCC						N18				
			VCC						N20				
			VCC						P10				
			VCC						P12				
			VCC						P14				
			VCC						P17				
			VCC						P18				
			VCC						P19				
			VCC						P20				
			VCC						R10				
			VCC						R11				
			VCC						R14				
			VCC						R15				
			VCC						R16				
			VCC						R19				
			VCC						R20				
			VCC						T11				
			VCC						T14				
			VCC						T16				
			VCC						T17				
			VCC						T18				
			VCC						T19				
			VCC						U10				
			VCC						U14				
			VCC						U15				
			VCC						U18				
			VCC						U19				
			VCC						U20				
			VCC						V10				
			VCC						V11				
			VCC						V13				
			VCC						V15				
			VCC						V16				
			VCC						V17				
			VCC						V20				
			VCC						W12				
			VCC						W18				
			VCC						W19				
			VCCPT						M14				
			VCCPT						M18				
			VCCPT						V12				
			VCCPT						V18				
			DNU						AH23				
			DNU						AH24				
			DNU						Y11				
			DNU						Y12				
			DNU						Y10				
			VCCPGM						W14				
			VCCPGM						Y14				
			TEMPDIODEn						H10				
			TEMPDIODEp						H11				
			VCCBAT						W13				
			VCCA_PLL						P13				
			VCCA_PLL						P15				
			VCCIO2A						AA15				
			VCCIO2A						AB12				
			VCCIO2A						AC14				
			VCCIO2J						AA20				
			VCCIO2J						AC19				
			VCCIO2J						Y18				
			VCCIO2K						B12				
			VCCIO2K						C14				
			VCCIO2K						F15				
			VCCIO2L						E18				
			VCCIO2L						H19				
			VCCIO2L						K18				
			VCCIO3A						AA5				
			VCCIO3A						W6				
			VCCIO3A						Y8				
			VCCIO3B						T5				
			VCCIO3B						U7				
			VCCIO3B						V4				
			VCCIO3C						L5				
			VCCIO3C						M7				
			VCCIO3C						P6				
			VCCIO3D						G7				
			VCCIO3D						H9				
			VCCIO3D						K8				
2A		VREFB2AN0	VREFB2AN0						W15				
2J		VREFB2JN0	VREFB2JN0						W17				
2K		VREFB2KN0	VREFB2KN0						E9				
2L		VREFB2LN0	VREFB2LN0						K16				
3A		VREFB3AN0	VREFB3AN0						W9				
3B		VREFB3BN0	VREFB3BN0						U9				
3C		VREFB3CN0	VREFB3CN0						R9				
3D		VREFB3DN0	VREFB3DN0						M9				
			VREFN_ADC						J10				
			VREFP_ADC						K10				
			NC						G14				
			NC						K11				
			NC						K12				
			NC						F12				
			NC						G16				
			NC						D12				
			NC						J12				
			NC						H12				
			NC						F14				
			NC						G13				
			NC						J15				
			NC						H15				
			NC						F16				
			NC						E12				
			NC						G15				
			NC						K15				
			NC						F13				
			VCCH_GXBL						M22				
			VCCH_GXBL						T22				
			VCCR_GXBL1C						V23				
			VCCR_GXBL1C						V24				
			VCCR_GXBL1D						P23				
			VCCR_GXBL1D						P24				
			VCCT_GXBL1C						T23				
			VCCT_GXBL1C						T24				
			VCCT_GXBL1D						M23				
			VCCT_GXBL1D						M24				
			RREF_BL						AH25				
			RREF_TL						C28				
			VCCERAM						R12				
			VCCERAM						R17				
			VCCLSENSE						T13				
			VCCP						N11				
			VCCP						N17				
			VCCP						U11				
			VCCP						U13				
			VCCP						U16				
			VSIGN_0						E11				
			VSIGN_1						G11				
			VSIGP_0						E10				
			VSIGP_1						F11				
Notes:													
"(1) For more information about pin definition and pin connection guidelines, refer to the"													
"Arria 10 GT, GX, and SX Device Family Pin Connection Guidelines."													
"(2) For more information about the external memory interface schemes of the pins with indices, refer to the"													
Arria10EMIF.xls													


"Pin Information for the Arria®10 10AX048 Device
 Version 1.1 
Note (1)"													
										
