Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	GT Support	SF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36								
2J	0	VREFB2JN0	IO			LVDS2J_24p	Yes		AH34	DQ23	DQ11	DQ5	DQ2								
2I	47	VREFB2IN0	IO			LVDS2I_1n	No		AL34	DQ24	DQ12	DQ6	DQ3								
2I	46	VREFB2IN0	IO			LVDS2I_1p	No		AK34	DQ24	DQ12	DQ6	DQ3								
2I	45	VREFB2IN0	IO			LVDS2I_2n	Yes		AN30	DQSn24	DQ12	DQ6	DQ3								
2I	44	VREFB2IN0	IO			LVDS2I_2p	Yes		AM30	DQS24	DQ12	DQ6	DQ3								
2I	43	VREFB2IN0	IO			LVDS2I_3n	No		AL33	DQ24	DQ12	DQ6	DQ3								
2I	42	VREFB2IN0	IO			LVDS2I_3p	No		AL32	DQ24	DQ12	DQ6	DQ3								
2I	41	VREFB2IN0	IO			LVDS2I_4n	Yes		AM35	DQSn25	DQSn12/CQn12	DQ6	DQ3								
2I	40	VREFB2IN0	IO			LVDS2I_4p	Yes		AN34	DQS25	DQS12/CQ12	DQ6	DQ3								
2I	39	VREFB2IN0	IO			LVDS2I_5n	No		AK31	DQ25	DQ12	DQ6	DQ3								
2I	38	VREFB2IN0	IO			LVDS2I_5p	No		AK32	DQ25	DQ12	DQ6	DQ3								
2I	37	VREFB2IN0	IO			LVDS2I_6n	Yes		AM32	DQ25	DQ12	DQSn6/CQn6	DQ3								
2I	36	VREFB2IN0	IO			LVDS2I_6p	Yes		AM31	DQ25	DQ12	DQS6/CQ6	DQ3								
2I	35	VREFB2IN0	IO			LVDS2I_7n	No		AP32	DQ26	DQ13	DQ6	DQ3								
2I	34	VREFB2IN0	IO			LVDS2I_7p	No		AR32	DQ26	DQ13	DQ6	DQ3								
2I	33	VREFB2IN0	IO			LVDS2I_8n	Yes		AU37	DQSn26	DQ13	DQ6	DQ3								
2I	32	VREFB2IN0	IO			LVDS2I_8p	Yes		AT37	DQS26	DQ13	DQ6	DQ3								
2I	31	VREFB2IN0	IO			LVDS2I_9n	No		AP33	DQ26	DQ13	DQ6	DQ3								
2I	30	VREFB2IN0	IO			LVDS2I_9p	No		AP34	DQ26	DQ13	DQ6	DQ3								
2I	29	VREFB2IN0	IO	PLL_2I_CLKOUT1n		LVDS2I_10n	Yes		AM33	DQSn27	DQSn13/CQn13	DQ6	DQ3								
2I	28	VREFB2IN0	IO	"PLL_2I_CLKOUT1p,PLL_2I_CLKOUT1,PLL_2I_FB1"		LVDS2I_10p	Yes		AN33	DQS27	DQS13/CQ13	DQ6	DQ3								
2I	27	VREFB2IN0	IO			LVDS2I_11n	No		AR35	DQ27	DQ13	DQ6	DQ3								
2I	26	VREFB2IN0	IO	RZQ_2I		LVDS2I_11p	No		AR34	DQ27	DQ13	DQ6	DQ3								
2I	25	VREFB2IN0	IO	CLK_2I_1n		LVDS2I_12n	Yes		AR37	DQ27	DQ13	DQ6	DQ3								
2I	24	VREFB2IN0	IO	CLK_2I_1p		LVDS2I_12p	Yes		AR36	DQ27	DQ13	DQ6	DQ3								
2I	23	VREFB2IN0	IO	CLK_2I_0n		LVDS2I_13n	No		AT33	DQ28	DQ14	DQ7	DQ3								
2I	22	VREFB2IN0	IO	CLK_2I_0p		LVDS2I_13p	No		AU33	DQ28	DQ14	DQ7	DQ3								
2I	21	VREFB2IN0	IO			LVDS2I_14n	Yes		AR31	DQSn28	DQ14	DQ7	DQSn3/CQn3								
2I	20	VREFB2IN0	IO			LVDS2I_14p	Yes		AT30	DQS28	DQ14	DQ7	DQS3/CQ3								
2I	19	VREFB2IN0	IO	PLL_2I_CLKOUT0n		LVDS2I_15n	No		AU32	DQ28	DQ14	DQ7	DQ3								
2I	18	VREFB2IN0	IO	"PLL_2I_CLKOUT0p,PLL_2I_CLKOUT0,PLL_2I_FB0"		LVDS2I_15p	No		AT32	DQ28	DQ14	DQ7	DQ3								
2I	17	VREFB2IN0	IO			LVDS2I_16n	Yes		AT35	DQSn29	DQSn14/CQn14	DQ7	DQ3								
2I	16	VREFB2IN0	IO			LVDS2I_16p	Yes		AT34	DQS29	DQS14/CQ14	DQ7	DQ3								
2I	15	VREFB2IN0	IO			LVDS2I_17n	No		AP31	DQ29	DQ14	DQ7	DQ3								
2I	14	VREFB2IN0	IO			LVDS2I_17p	No		AN31	DQ29	DQ14	DQ7	DQ3								
2I	13	VREFB2IN0	IO			LVDS2I_18n	Yes		AU30	DQ29	DQ14	DQSn7/CQn7	DQ3								
2I	12	VREFB2IN0	IO			LVDS2I_18p	Yes		AU31	DQ29	DQ14	DQS7/CQ7	DQ3								
2I	11	VREFB2IN0	IO			LVDS2I_19n	No		AU35	DQ30	DQ15	DQ7	DQ3								
2I	10	VREFB2IN0	IO			LVDS2I_19p	No		AU36	DQ30	DQ15	DQ7	DQ3								
2I	9	VREFB2IN0	IO			LVDS2I_20n	Yes		AV35	DQSn30	DQ15	DQ7	DQ3								
2I	8	VREFB2IN0	IO			LVDS2I_20p	Yes		AV34	DQS30	DQ15	DQ7	DQ3								
2I	7	VREFB2IN0	IO			LVDS2I_21n	No		AW34	DQ30	DQ15	DQ7	DQ3								
2I	6	VREFB2IN0	IO			LVDS2I_21p	No		AY35	DQ30	DQ15	DQ7	DQ3								
2I	5	VREFB2IN0	IO			LVDS2I_22n	Yes		AY32	DQSn31	DQSn15/CQn15	DQ7	DQ3								
2I	4	VREFB2IN0	IO			LVDS2I_22p	Yes		AW32	DQS31	DQS15/CQ15	DQ7	DQ3								
2I	3	VREFB2IN0	IO			LVDS2I_23n	No		AV33	DQ31	DQ15	DQ7	DQ3								
2I	2	VREFB2IN0	IO			LVDS2I_23p	No		AW33	DQ31	DQ15	DQ7	DQ3								
2I	1	VREFB2IN0	IO			LVDS2I_24n	Yes		BA35	DQ31	DQ15	DQ7	DQ3								
2I	0	VREFB2IN0	IO			LVDS2I_24p	Yes		AY34	DQ31	DQ15	DQ7	DQ3								
2A	47	VREFB2AN0	IO		DATA0	LVDS2A_1n	No		AU27	DQ56	DQ28	DQ14	DQ7								
2A	46	VREFB2AN0	IO		DATA1	LVDS2A_1p	No		AU28	DQ56	DQ28	DQ14	DQ7								
2A	45	VREFB2AN0	IO		DATA2	LVDS2A_2n	Yes		AP28	DQSn56	DQ28	DQ14	DQ7								
2A	44	VREFB2AN0	IO		DATA3	LVDS2A_2p	Yes		AR29	DQS56	DQ28	DQ14	DQ7								
2A	43	VREFB2AN0	IO		DATA4	LVDS2A_3n	No		AT28	DQ56	DQ28	DQ14	DQ7								
2A	42	VREFB2AN0	IO		DATA5	LVDS2A_3p	No		AT29	DQ56	DQ28	DQ14	DQ7								
2A	41	VREFB2AN0	IO		DATA6	LVDS2A_4n	Yes		AW27	DQSn57	DQSn28/CQn28	DQ14	DQ7								
2A	40	VREFB2AN0	IO		DATA7	LVDS2A_4p	Yes		AY27	DQS57	DQS28/CQ28	DQ14	DQ7								
2A	39	VREFB2AN0	IO		DATA8	LVDS2A_5n	No		AY26	DQ57	DQ28	DQ14	DQ7								
2A	38	VREFB2AN0	IO		DATA9	LVDS2A_5p	No		AW26	DQ57	DQ28	DQ14	DQ7								
2A	37	VREFB2AN0	IO		DATA10	LVDS2A_6n	Yes		AV26	DQ57	DQ28	DQSn14/CQn14	DQ7								
2A	36	VREFB2AN0	IO		DATA11	LVDS2A_6p	Yes		AU26	DQ57	DQ28	DQS14/CQ14	DQ7								
2A	35	VREFB2AN0	IO		DATA12	LVDS2A_7n	No		AV29	DQ58	DQ29	DQ14	DQ7								
2A	34	VREFB2AN0	IO		DATA13	LVDS2A_7p	No		AV30	DQ58	DQ29	DQ14	DQ7								
2A	33	VREFB2AN0	IO		DATA14	LVDS2A_8n	Yes		AV31	DQSn58	DQ29	DQ14	DQ7								
2A	32	VREFB2AN0	IO		DATA15	LVDS2A_8p	Yes		AW31	DQS58	DQ29	DQ14	DQ7								
2A	31	VREFB2AN0	IO		DATA16	LVDS2A_9n	No		AW28	DQ58	DQ29	DQ14	DQ7								
2A	30	VREFB2AN0	IO		DATA17	LVDS2A_9p	No		AV28	DQ58	DQ29	DQ14	DQ7								
2A	29	VREFB2AN0	IO	PLL_2A_CLKOUT1n	DATA18	LVDS2A_10n	Yes		AY31	DQSn59	DQSn29/CQn29	DQ14	DQ7								
2A	28	VREFB2AN0	IO	"PLL_2A_CLKOUT1p,PLL_2A_CLKOUT1,PLL_2A_FB1"	DATA19	LVDS2A_10p	Yes		AY30	DQS59	DQS29/CQ29	DQ14	DQ7								
2A	27	VREFB2AN0	IO		nCEO	LVDS2A_11n	No		AY29	DQ59	DQ29	DQ14	DQ7								
2A	26	VREFB2AN0	IO	RZQ_2A		LVDS2A_11p	No		AW29	DQ59	DQ29	DQ14	DQ7								
2A	25	VREFB2AN0	IO	CLK_2A_1n	DATA20	LVDS2A_12n	Yes		BA29	DQ59	DQ29	DQ14	DQ7								
2A	24	VREFB2AN0	IO	CLK_2A_1p	DATA21	LVDS2A_12p	Yes		BA30	DQ59	DQ29	DQ14	DQ7								
2A	23	VREFB2AN0	IO	CLK_2A_0n	DATA22	LVDS2A_13n	No		BA32	DQ60	DQ30	DQ15	DQ7								
2A	22	VREFB2AN0	IO	CLK_2A_0p	DATA23	LVDS2A_13p	No		BB32	DQ60	DQ30	DQ15	DQ7								
2A	21	VREFB2AN0	IO		DATA24	LVDS2A_14n	Yes		BA33	DQSn60	DQ30	DQ15	DQSn7/CQn7								
2A	20	VREFB2AN0	IO		DATA25	LVDS2A_14p	Yes		BB33	DQS60	DQ30	DQ15	DQS7/CQ7								
2A	19	VREFB2AN0	IO	PLL_2A_CLKOUT0n	DATA26	LVDS2A_15n	No		BB31	DQ60	DQ30	DQ15	DQ7								
2A	18	VREFB2AN0	IO	"PLL_2A_CLKOUT0p,PLL_2A_CLKOUT0,PLL_2A_FB0"	DATA27	LVDS2A_15p	No		BC31	DQ60	DQ30	DQ15	DQ7								
2A	17	VREFB2AN0	IO		DATA28	LVDS2A_16n	Yes		BC33	DQSn61	DQSn30/CQn30	DQ15	DQ7								
2A	16	VREFB2AN0	IO		DATA29	LVDS2A_16p	Yes		BD33	DQS61	DQS30/CQ30	DQ15	DQ7								
2A	15	VREFB2AN0	IO		DATA30	LVDS2A_17n	No		BA34	DQ61	DQ30	DQ15	DQ7								
2A	14	VREFB2AN0	IO		DATA31	LVDS2A_17p	No		BB35	DQ61	DQ30	DQ15	DQ7								
2A	13	VREFB2AN0	IO		CLKUSR	LVDS2A_18n	Yes		BD32	DQ61	DQ30	DQSn15/CQn15	DQ7								
2A	12	VREFB2AN0	IO		PR_REQUEST	LVDS2A_18p	Yes		BD31	DQ61	DQ30	DQS15/CQ15	DQ7								
2A	11	VREFB2AN0	IO		PR_READY	LVDS2A_19n	No		BB30	DQ62	DQ31	DQ15	DQ7								
2A	10	VREFB2AN0	IO		nPERSTL0	LVDS2A_19p	No		BC30	DQ62	DQ31	DQ15	DQ7								
2A	9	VREFB2AN0	IO		PR_DONE	LVDS2A_20n	Yes		BB28	DQSn62	DQ31	DQ15	DQ7								
2A	8	VREFB2AN0	IO		nPERSTL1	LVDS2A_20p	Yes		BC28	DQS62	DQ31	DQ15	DQ7								
2A	7	VREFB2AN0	IO		PR_ERROR	LVDS2A_21n	No		BA28	DQ62	DQ31	DQ15	DQ7								
2A	6	VREFB2AN0	IO		nPERSTR1	LVDS2A_21p	No		BA27	DQ62	DQ31	DQ15	DQ7								
2A	5	VREFB2AN0	IO		CvP_CONFDONE	LVDS2A_22n	Yes		BB26	DQSn63	DQSn31/CQn31	DQ15	DQ7								
2A	4	VREFB2AN0	IO		nPERSTR0	LVDS2A_22p	Yes		BB27	DQS63	DQS31/CQ31	DQ15	DQ7								
2A	3	VREFB2AN0	IO		INIT_DONE	LVDS2A_23n	No		BC29	DQ63	DQ31	DQ15	DQ7								
2A	2	VREFB2AN0	IO		DEV_OE	LVDS2A_23p	No		BD29	DQ63	DQ31	DQ15	DQ7								
2A	1	VREFB2AN0	IO		CRC_ERROR	LVDS2A_24n	Yes		BD28	DQ63	DQ31	DQ15	DQ7								
2A	0	VREFB2AN0	IO		DEV_CLRn	LVDS2A_24p	Yes		BD27	DQ63	DQ31	DQ15	DQ7								
3H	47	VREFB3HN0	IO			LVDS3H_1n	No		C20	DQ64	DQ32	DQ16	DQ8								
3H	46	VREFB3HN0	IO			LVDS3H_1p	No		B20	DQ64	DQ32	DQ16	DQ8								
3H	45	VREFB3HN0	IO			LVDS3H_2n	Yes		C18	DQSn64	DQ32	DQ16	DQ8								
3H	44	VREFB3HN0	IO			LVDS3H_2p	Yes		D18	DQS64	DQ32	DQ16	DQ8								
3H	43	VREFB3HN0	IO			LVDS3H_3n	No		C19	DQ64	DQ32	DQ16	DQ8								
3H	42	VREFB3HN0	IO			LVDS3H_3p	No		D19	DQ64	DQ32	DQ16	DQ8								
3H	41	VREFB3HN0	IO			LVDS3H_4n	Yes		A19	DQSn65	DQSn32/CQn32	DQ16	DQ8								
3H	40	VREFB3HN0	IO			LVDS3H_4p	Yes		A20	DQS65	DQS32/CQ32	DQ16	DQ8								
3H	39	VREFB3HN0	IO			LVDS3H_5n	No		B22	DQ65	DQ32	DQ16	DQ8								
3H	38	VREFB3HN0	IO			LVDS3H_5p	No		A22	DQ65	DQ32	DQ16	DQ8								
3H	37	VREFB3HN0	IO			LVDS3H_6n	Yes		C21	DQ65	DQ32	DQSn16/CQn16	DQ8								
3H	36	VREFB3HN0	IO			LVDS3H_6p	Yes		B21	DQ65	DQ32	DQS16/CQ16	DQ8								
3H	35	VREFB3HN0	IO			LVDS3H_7n	No		B23	DQ66	DQ33	DQ16	DQ8								
3H	34	VREFB3HN0	IO			LVDS3H_7p	No		A23	DQ66	DQ33	DQ16	DQ8								
3H	33	VREFB3HN0	IO			LVDS3H_8n	Yes		A24	DQSn66	DQ33	DQ16	DQ8								
3H	32	VREFB3HN0	IO			LVDS3H_8p	Yes		A25	DQS66	DQ33	DQ16	DQ8								
3H	31	VREFB3HN0	IO			LVDS3H_9n	No		D22	DQ66	DQ33	DQ16	DQ8								
3H	30	VREFB3HN0	IO			LVDS3H_9p	No		D21	DQ66	DQ33	DQ16	DQ8								
3H	29	VREFB3HN0	IO	PLL_3H_CLKOUT1n		LVDS3H_10n	Yes		B25	DQSn67	DQSn33/CQn33	DQ16	DQ8								
3H	28	VREFB3HN0	IO	"PLL_3H_CLKOUT1p,PLL_3H_CLKOUT1,PLL_3H_FB1"		LVDS3H_10p	Yes		C25	DQS67	DQS33/CQ33	DQ16	DQ8								
3H	27	VREFB3HN0	IO			LVDS3H_11n	No		C24	DQ67	DQ33	DQ16	DQ8								
3H	26	VREFB3HN0	IO	RZQ_3H		LVDS3H_11p	No		D24	DQ67	DQ33	DQ16	DQ8								
3H	25	VREFB3HN0	IO	CLK_3H_1n		LVDS3H_12n	Yes		D23	DQ67	DQ33	DQ16	DQ8								
3H	24	VREFB3HN0	IO	CLK_3H_1p		LVDS3H_12p	Yes		C23	DQ67	DQ33	DQ16	DQ8								
3H	23	VREFB3HN0	IO	CLK_3H_0n		LVDS3H_13n	No		G23	DQ68	DQ34	DQ17	DQ8								
3H	22	VREFB3HN0	IO	CLK_3H_0p		LVDS3H_13p	No		F23	DQ68	DQ34	DQ17	DQ8								
3H	21	VREFB3HN0	IO			LVDS3H_14n	Yes		E21	DQSn68	DQ34	DQ17	DQSn8/CQn8								
3H	20	VREFB3HN0	IO			LVDS3H_14p	Yes		E22	DQS68	DQ34	DQ17	DQS8/CQ8								
3H	19	VREFB3HN0	IO	PLL_3H_CLKOUT0n		LVDS3H_15n	No		F24	DQ68	DQ34	DQ17	DQ8								
3H	18	VREFB3HN0	IO	"PLL_3H_CLKOUT0p,PLL_3H_CLKOUT0,PLL_3H_FB0"		LVDS3H_15p	No		E24	DQ68	DQ34	DQ17	DQ8								
3H	17	VREFB3HN0	IO			LVDS3H_16n	Yes		E25	DQSn69	DQSn34/CQn34	DQ17	DQ8								
3H	16	VREFB3HN0	IO			LVDS3H_16p	Yes		F25	DQS69	DQS34/CQ34	DQ17	DQ8								
3H	15	VREFB3HN0	IO			LVDS3H_17n	No		G22	DQ69	DQ34	DQ17	DQ8								
3H	14	VREFB3HN0	IO			LVDS3H_17p	No		F22	DQ69	DQ34	DQ17	DQ8								
3H	13	VREFB3HN0	IO			LVDS3H_18n	Yes		H24	DQ69	DQ34	DQSn17/CQn17	DQ8								
3H	12	VREFB3HN0	IO			LVDS3H_18p	Yes		H23	DQ69	DQ34	DQS17/CQ17	DQ8								
3H	11	VREFB3HN0	IO			LVDS3H_19n	No		J23	DQ70	DQ35	DQ17	DQ8								
3H	10	VREFB3HN0	IO			LVDS3H_19p	No		J24	DQ70	DQ35	DQ17	DQ8								
3H	9	VREFB3HN0	IO			LVDS3H_20n	Yes		K25	DQSn70	DQ35	DQ17	DQ8								
3H	8	VREFB3HN0	IO			LVDS3H_20p	Yes		L25	DQS70	DQ35	DQ17	DQ8								
3H	7	VREFB3HN0	IO			LVDS3H_21n	No		J26	DQ70	DQ35	DQ17	DQ8								
3H	6	VREFB3HN0	IO			LVDS3H_21p	No		K26	DQ70	DQ35	DQ17	DQ8								
3H	5	VREFB3HN0	IO			LVDS3H_22n	Yes		K24	DQSn71	DQSn35/CQn35	DQ17	DQ8								
3H	4	VREFB3HN0	IO			LVDS3H_22p	Yes		L24	DQS71	DQS35/CQ35	DQ17	DQ8								
3H	3	VREFB3HN0	IO			LVDS3H_23n	No		M23	DQ71	DQ35	DQ17	DQ8								
3H	2	VREFB3HN0	IO			LVDS3H_23p	No		L23	DQ71	DQ35	DQ17	DQ8								
3H	1	VREFB3HN0	IO			LVDS3H_24n	Yes		L28	DQ71	DQ35	DQ17	DQ8								
3H	0	VREFB3HN0	IO			LVDS3H_24p	Yes		L27	DQ71	DQ35	DQ17	DQ8								
3G	47	VREFB3GN0	IO			LVDS3G_1n	No		L22	DQ72	DQ36	DQ18	DQ9								
3G	46	VREFB3GN0	IO			LVDS3G_1p	No		K22	DQ72	DQ36	DQ18	DQ9								
3G	45	VREFB3GN0	IO			LVDS3G_2n	Yes		L19	DQSn72	DQ36	DQ18	DQ9								
3G	44	VREFB3GN0	IO			LVDS3G_2p	Yes		K20	DQS72	DQ36	DQ18	DQ9								
3G	43	VREFB3GN0	IO			LVDS3G_3n	No		K19	DQ72	DQ36	DQ18	DQ9								
3G	42	VREFB3GN0	IO			LVDS3G_3p	No		J19	DQ72	DQ36	DQ18	DQ9								
3G	41	VREFB3GN0	IO			LVDS3G_4n	Yes		J21	DQSn73	DQSn36/CQn36	DQ18	DQ9								
3G	40	VREFB3GN0	IO			LVDS3G_4p	Yes		J22	DQS73	DQS36/CQ36	DQ18	DQ9								
3G	39	VREFB3GN0	IO			LVDS3G_5n	No		K21	DQ73	DQ36	DQ18	DQ9								
3G	38	VREFB3GN0	IO			LVDS3G_5p	No		L20	DQ73	DQ36	DQ18	DQ9								
3G	37	VREFB3GN0	IO			LVDS3G_6n	Yes		M20	DQ73	DQ36	DQSn18/CQn18	DQ9								
3G	36	VREFB3GN0	IO			LVDS3G_6p	Yes		M21	DQ73	DQ36	DQS18/CQ18	DQ9								
3G	35	VREFB3GN0	IO			LVDS3G_7n	No		G20	DQ74	DQ37	DQ18	DQ9								
3G	34	VREFB3GN0	IO			LVDS3G_7p	No		H20	DQ74	DQ37	DQ18	DQ9								
3G	33	VREFB3GN0	IO			LVDS3G_8n	Yes		H21	DQSn74	DQ37	DQ18	DQ9								
3G	32	VREFB3GN0	IO			LVDS3G_8p	Yes		G21	DQS74	DQ37	DQ18	DQ9								
3G	31	VREFB3GN0	IO			LVDS3G_9n	No		H18	DQ74	DQ37	DQ18	DQ9								
3G	30	VREFB3GN0	IO			LVDS3G_9p	No		H19	DQ74	DQ37	DQ18	DQ9								
3G	29	VREFB3GN0	IO	PLL_3G_CLKOUT1n		LVDS3G_10n	Yes		F20	DQSn75	DQSn37/CQn37	DQ18	DQ9								
3G	28	VREFB3GN0	IO	"PLL_3G_CLKOUT1p,PLL_3G_CLKOUT1,PLL_3G_FB1"		LVDS3G_10p	Yes		E20	DQS75	DQS37/CQ37	DQ18	DQ9								
3G	27	VREFB3GN0	IO			LVDS3G_11n	No		E19	DQ75	DQ37	DQ18	DQ9								
3G	26	VREFB3GN0	IO	RZQ_3G		LVDS3G_11p	No		F19	DQ75	DQ37	DQ18	DQ9								
3G	25	VREFB3GN0	IO	CLK_3G_1n		LVDS3G_12n	Yes		F18	DQ75	DQ37	DQ18	DQ9								
3G	24	VREFB3GN0	IO	CLK_3G_1p		LVDS3G_12p	Yes		G18	DQ75	DQ37	DQ18	DQ9								
3G	23	VREFB3GN0	IO	CLK_3G_0n		LVDS3G_13n	No		G17	DQ76	DQ38	DQ19	DQ9								
3G	22	VREFB3GN0	IO	CLK_3G_0p		LVDS3G_13p	No		F17	DQ76	DQ38	DQ19	DQ9								
3G	21	VREFB3GN0	IO			LVDS3G_14n	Yes		H15	DQSn76	DQ38	DQ19	DQSn9/CQn9								
3G	20	VREFB3GN0	IO			LVDS3G_14p	Yes		H14	DQS76	DQ38	DQ19	DQS9/CQ9								
3G	19	VREFB3GN0	IO	PLL_3G_CLKOUT0n		LVDS3G_15n	No		E17	DQ76	DQ38	DQ19	DQ9								
3G	18	VREFB3GN0	IO	"PLL_3G_CLKOUT0p,PLL_3G_CLKOUT0,PLL_3G_FB0"		LVDS3G_15p	No		E16	DQ76	DQ38	DQ19	DQ9								
3G	17	VREFB3GN0	IO			LVDS3G_16n	Yes		E15	DQSn77	DQSn38/CQn38	DQ19	DQ9								
3G	16	VREFB3GN0	IO			LVDS3G_16p	Yes		F15	DQS77	DQS38/CQ38	DQ19	DQ9								
3G	15	VREFB3GN0	IO			LVDS3G_17n	No		F14	DQ77	DQ38	DQ19	DQ9								
3G	14	VREFB3GN0	IO			LVDS3G_17p	No		E14	DQ77	DQ38	DQ19	DQ9								
3G	13	VREFB3GN0	IO			LVDS3G_18n	Yes		G15	DQ77	DQ38	DQSn19/CQn19	DQ9								
3G	12	VREFB3GN0	IO			LVDS3G_18p	Yes		G16	DQ77	DQ38	DQS19/CQ19	DQ9								
3G	11	VREFB3GN0	IO			LVDS3G_19n	No		J18	DQ78	DQ39	DQ19	DQ9								
3G	10	VREFB3GN0	IO			LVDS3G_19p	No		J17	DQ78	DQ39	DQ19	DQ9								
3G	9	VREFB3GN0	IO			LVDS3G_20n	Yes		J16	DQSn78	DQ39	DQ19	DQ9								
3G	8	VREFB3GN0	IO			LVDS3G_20p	Yes		H16	DQS78	DQ39	DQ19	DQ9								
3G	7	VREFB3GN0	IO			LVDS3G_21n	No		M18	DQ78	DQ39	DQ19	DQ9								
3G	6	VREFB3GN0	IO			LVDS3G_21p	No		L18	DQ78	DQ39	DQ19	DQ9								
3G	5	VREFB3GN0	IO			LVDS3G_22n	Yes		K17	DQSn79	DQSn39/CQn39	DQ19	DQ9								
3G	4	VREFB3GN0	IO			LVDS3G_22p	Yes		K16	DQS79	DQS39/CQ39	DQ19	DQ9								
3G	3	VREFB3GN0	IO			LVDS3G_23n	No		M17	DQ79	DQ39	DQ19	DQ9								
3G	2	VREFB3GN0	IO			LVDS3G_23p	No		M16	DQ79	DQ39	DQ19	DQ9								
3G	1	VREFB3GN0	IO			LVDS3G_24n	Yes		L15	DQ79	DQ39	DQ19	DQ9								
3G	0	VREFB3GN0	IO			LVDS3G_24p	Yes		M15	DQ79	DQ39	DQ19	DQ9								
3F	47	VREFB3FN0	IO			LVDS3F_1n	No		D16	DQ80	DQ40	DQ20	DQ10								
3F	46	VREFB3FN0	IO			LVDS3F_1p	No		D17	DQ80	DQ40	DQ20	DQ10								
3F	45	VREFB3FN0	IO			LVDS3F_2n	Yes		C16	DQSn80	DQ40	DQ20	DQ10								
3F	44	VREFB3FN0	IO			LVDS3F_2p	Yes		B16	DQS80	DQ40	DQ20	DQ10								
3F	43	VREFB3FN0	IO			LVDS3F_3n	No		B15	DQ80	DQ40	DQ20	DQ10								
3F	42	VREFB3FN0	IO			LVDS3F_3p	No		C15	DQ80	DQ40	DQ20	DQ10								
3F	41	VREFB3FN0	IO			LVDS3F_4n	Yes		B18	DQSn81	DQSn40/CQn40	DQ20	DQ10								
3F	40	VREFB3FN0	IO			LVDS3F_4p	Yes		A18	DQS81	DQS40/CQ40	DQ20	DQ10								
3F	39	VREFB3FN0	IO			LVDS3F_5n	No		B17	DQ81	DQ40	DQ20	DQ10								
3F	38	VREFB3FN0	IO			LVDS3F_5p	No		A17	DQ81	DQ40	DQ20	DQ10								
3F	37	VREFB3FN0	IO			LVDS3F_6n	Yes		A14	DQ81	DQ40	DQSn20/CQn20	DQ10								
3F	36	VREFB3FN0	IO			LVDS3F_6p	Yes		A15	DQ81	DQ40	DQS20/CQ20	DQ10								
3F	35	VREFB3FN0	IO			LVDS3F_7n	No		B13	DQ82	DQ41	DQ20	DQ10								
3F	34	VREFB3FN0	IO			LVDS3F_7p	No		A13	DQ82	DQ41	DQ20	DQ10								
3F	33	VREFB3FN0	IO			LVDS3F_8n	Yes		A12	DQSn82	DQ41	DQ20	DQ10								
3F	32	VREFB3FN0	IO			LVDS3F_8p	Yes		B12	DQS82	DQ41	DQ20	DQ10								
3F	31	VREFB3FN0	IO			LVDS3F_9n	No		D11	DQ82	DQ41	DQ20	DQ10								
3F	30	VREFB3FN0	IO			LVDS3F_9p	No		D12	DQ82	DQ41	DQ20	DQ10								
3F	29	VREFB3FN0	IO	PLL_3F_CLKOUT1n		LVDS3F_10n	Yes		D14	DQSn83	DQSn41/CQn41	DQ20	DQ10								
3F	28	VREFB3FN0	IO	"PLL_3F_CLKOUT1p,PLL_3F_CLKOUT1,PLL_3F_FB1"		LVDS3F_10p	Yes		C14	DQS83	DQS41/CQ41	DQ20	DQ10								
3F	27	VREFB3FN0	IO			LVDS3F_11n	No		C13	DQ83	DQ41	DQ20	DQ10								
3F	26	VREFB3FN0	IO	RZQ_3F		LVDS3F_11p	No		D13	DQ83	DQ41	DQ20	DQ10								
3F	25	VREFB3FN0	IO	CLK_3F_1n		LVDS3F_12n	Yes		C10	DQ83	DQ41	DQ20	DQ10								
3F	24	VREFB3FN0	IO	CLK_3F_1p		LVDS3F_12p	Yes		C11	DQ83	DQ41	DQ20	DQ10								
3F	23	VREFB3FN0	IO	CLK_3F_0n		LVDS3F_13n	No		K12	DQ84	DQ42	DQ21	DQ10								
3F	22	VREFB3FN0	IO	CLK_3F_0p		LVDS3F_13p	No		J12	DQ84	DQ42	DQ21	DQ10								
3F	21	VREFB3FN0	IO			LVDS3F_14n	Yes		J14	DQSn84	DQ42	DQ21	DQSn10/CQn10								
3F	20	VREFB3FN0	IO			LVDS3F_14p	Yes		K14	DQS84	DQ42	DQ21	DQS10/CQ10								
3F	19	VREFB3FN0	IO	PLL_3F_CLKOUT0n		LVDS3F_15n	No		J11	DQ84	DQ42	DQ21	DQ10								
3F	18	VREFB3FN0	IO	"PLL_3F_CLKOUT0p,PLL_3F_CLKOUT0,PLL_3F_FB0"		LVDS3F_15p	No		K11	DQ84	DQ42	DQ21	DQ10								
3F	17	VREFB3FN0	IO			LVDS3F_16n	Yes		L14	DQSn85	DQSn42/CQn42	DQ21	DQ10								
3F	16	VREFB3FN0	IO			LVDS3F_16p	Yes		M13	DQS85	DQS42/CQ42	DQ21	DQ10								
3F	15	VREFB3FN0	IO			LVDS3F_17n	No		J13	DQ85	DQ42	DQ21	DQ10								
3F	14	VREFB3FN0	IO			LVDS3F_17p	No		H13	DQ85	DQ42	DQ21	DQ10								
