Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	KF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
2I	44	VREFB2IN0	IO				LVDS2I_2p	Yes	AB27	DQS24	DQ12	DQ6	DQ3
2I	43	VREFB2IN0	IO				LVDS2I_3n	No	AC28	DQ24	DQ12	DQ6	DQ3
2I	42	VREFB2IN0	IO				LVDS2I_3p	No	AD28	DQ24	DQ12	DQ6	DQ3
2I	41	VREFB2IN0	IO				LVDS2I_4n	Yes	AG26	DQSn25	DQSn12/CQn12	DQ6	DQ3
2I	40	VREFB2IN0	IO				LVDS2I_4p	Yes	AH26	DQS25	DQS12/CQ12	DQ6	DQ3
2I	39	VREFB2IN0	IO				LVDS2I_5n	No	AB25	DQ25	DQ12	DQ6	DQ3
2I	38	VREFB2IN0	IO				LVDS2I_5p	No	AB26	DQ25	DQ12	DQ6	DQ3
2I	37	VREFB2IN0	IO				LVDS2I_6n	Yes	AD25	DQ25	DQ12	DQSn6/CQn6	DQ3
2I	36	VREFB2IN0	IO				LVDS2I_6p	Yes	AE25	DQ25	DQ12	DQS6/CQ6	DQ3
2I	35	VREFB2IN0	IO				LVDS2I_7n	No	AC26	DQ26	DQ13	DQ6	DQ3
2I	34	VREFB2IN0	IO				LVDS2I_7p	No	AC27	DQ26	DQ13	DQ6	DQ3
2I	33	VREFB2IN0	IO				LVDS2I_8n	Yes	AE27	DQSn26	DQ13	DQ6	DQ3
2I	32	VREFB2IN0	IO				LVDS2I_8p	Yes	AF27	DQS26	DQ13	DQ6	DQ3
2I	31	VREFB2IN0	IO				LVDS2I_9n	No	AF25	DQ26	DQ13	DQ6	DQ3
2I	30	VREFB2IN0	IO				LVDS2I_9p	No	AG25	DQ26	DQ13	DQ6	DQ3
2I	29	VREFB2IN0	IO	PLL_2I_CLKOUT1n			LVDS2I_10n	Yes	AF28	DQSn27	DQSn13/CQn13	DQ6	DQ3
2I	28	VREFB2IN0	IO	"PLL_2I_CLKOUT1p,PLL_2I_CLKOUT1,PLL_2I_FB1"			LVDS2I_10p	Yes	AG27	DQS27	DQS13/CQ13	DQ6	DQ3
2I	27	VREFB2IN0	IO				LVDS2I_11n	No	AH27	DQ27	DQ13	DQ6	DQ3
2I	26	VREFB2IN0	IO	RZQ_2I			LVDS2I_11p	No	AH28	DQ27	DQ13	DQ6	DQ3
2I	25	VREFB2IN0	IO	CLK_2I_1n			LVDS2I_12n	Yes	AJ26	DQ27	DQ13	DQ6	DQ3
2I	24	VREFB2IN0	IO	CLK_2I_1p			LVDS2I_12p	Yes	AK26	DQ27	DQ13	DQ6	DQ3
2I	23	VREFB2IN0	IO	CLK_2I_0n			LVDS2I_13n	No	AN27	DQ28	DQ14	DQ7	DQ3
2I	22	VREFB2IN0	IO	CLK_2I_0p			LVDS2I_13p	No	AN28	DQ28	DQ14	DQ7	DQ3
2I	21	VREFB2IN0	IO				LVDS2I_14n	Yes	AK28	DQSn28	DQ14	DQ7	DQSn3/CQn3
2I	20	VREFB2IN0	IO				LVDS2I_14p	Yes	AL28	DQS28	DQ14	DQ7	DQS3/CQ3
2I	19	VREFB2IN0	IO	PLL_2I_CLKOUT0n			LVDS2I_15n	No	AP29	DQ28	DQ14	DQ7	DQ3
2I	18	VREFB2IN0	IO	"PLL_2I_CLKOUT0p,PLL_2I_CLKOUT0,PLL_2I_FB0"			LVDS2I_15p	No	AP30	DQ28	DQ14	DQ7	DQ3
2I	17	VREFB2IN0	IO				LVDS2I_16n	Yes	AP28	DQSn29	DQSn14/CQn14	DQ7	DQ3
2I	16	VREFB2IN0	IO				LVDS2I_16p	Yes	AR28	DQS29	DQS14/CQ14	DQ7	DQ3
2I	15	VREFB2IN0	IO				LVDS2I_17n	No	AK27	DQ29	DQ14	DQ7	DQ3
2I	14	VREFB2IN0	IO				LVDS2I_17p	No	AL27	DQ29	DQ14	DQ7	DQ3
2I	13	VREFB2IN0	IO				LVDS2I_18n	Yes	AT30	DQ29	DQ14	DQSn7/CQn7	DQ3
2I	12	VREFB2IN0	IO				LVDS2I_18p	Yes	AU30	DQ29	DQ14	DQS7/CQ7	DQ3
2I	11	VREFB2IN0	IO				LVDS2I_19n	No	AM26	DQ30	DQ15	DQ7	DQ3
2I	10	VREFB2IN0	IO				LVDS2I_19p	No	AM27	DQ30	DQ15	DQ7	DQ3
2I	9	VREFB2IN0	IO				LVDS2I_20n	Yes	AR30	DQSn30	DQ15	DQ7	DQ3
2I	8	VREFB2IN0	IO				LVDS2I_20p	Yes	AR31	DQS30	DQ15	DQ7	DQ3
2I	7	VREFB2IN0	IO				LVDS2I_21n	No	AU31	DQ30	DQ15	DQ7	DQ3
2I	6	VREFB2IN0	IO				LVDS2I_21p	No	AU32	DQ30	DQ15	DQ7	DQ3
2I	5	VREFB2IN0	IO				LVDS2I_22n	Yes	AU29	DQSn31	DQSn15/CQn15	DQ7	DQ3
2I	4	VREFB2IN0	IO				LVDS2I_22p	Yes	AV29	DQS31	DQS15/CQ15	DQ7	DQ3
2I	3	VREFB2IN0	IO				LVDS2I_23n	No	AR32	DQ31	DQ15	DQ7	DQ3
2I	2	VREFB2IN0	IO				LVDS2I_23p	No	AT32	DQ31	DQ15	DQ7	DQ3
2I	1	VREFB2IN0	IO				LVDS2I_24n	Yes	AT28	DQ31	DQ15	DQ7	DQ3
2I	0	VREFB2IN0	IO				LVDS2I_24p	Yes	AT29	DQ31	DQ15	DQ7	DQ3
2H	47	VREFB2HN0	IO			DIFFIO2H_1n		No	AJ24	DQ32	DQ16	DQ8	DQ4
2H	46	VREFB2HN0	IO			DIFFIO2H_1p		No	AJ25	DQ32	DQ16	DQ8	DQ4
2H	45	VREFB2HN0	IO			DIFFIO2H_2n		No	AK25	DQSn32	DQ16	DQ8	DQ4
2H	44	VREFB2HN0	IO			DIFFIO2H_2p		No	AL25	DQS32	DQ16	DQ8	DQ4
2H	43	VREFB2HN0	IO			DIFFIO2H_3n		No	AM25	DQ32	DQ16	DQ8	DQ4
2H	42	VREFB2HN0	IO			DIFFIO2H_3p		No	AN26	DQ32	DQ16	DQ8	DQ4
2H	41	VREFB2HN0	IO			DIFFIO2H_4n		No	AH23	DQSn33	DQSn16/CQn16	DQ8	DQ4
2H	40	VREFB2HN0	IO			DIFFIO2H_4p		No	AJ23	DQS33	DQS16/CQ16	DQ8	DQ4
2H	39	VREFB2HN0	IO			DIFFIO2H_5n		No	AK23	DQ33	DQ16	DQ8	DQ4
2H	38	VREFB2HN0	IO			DIFFIO2H_5p		No	AL23	DQ33	DQ16	DQ8	DQ4
2H	37	VREFB2HN0	IO			DIFFIO2H_6n		No	AP24	DQ33	DQ16	DQSn8/CQn8	DQ4
2H	36	VREFB2HN0	IO			DIFFIO2H_6p		No	AP25	DQ33	DQ16	DQS8/CQ8	DQ4
2H	35	VREFB2HN0	IO			DIFFIO2H_7n		No	AL24	DQ34	DQ17	DQ8	DQ4
2H	34	VREFB2HN0	IO			DIFFIO2H_7p		No	AM24	DQ34	DQ17	DQ8	DQ4
2H	33	VREFB2HN0	IO			DIFFIO2H_8n		No	AP26	DQSn34	DQ17	DQ8	DQ4
2H	32	VREFB2HN0	IO			DIFFIO2H_8p		No	AR26	DQS34	DQ17	DQ8	DQ4
2H	31	VREFB2HN0	IO			DIFFIO2H_9n		No	AN23	DQ34	DQ17	DQ8	DQ4
2H	30	VREFB2HN0	IO			DIFFIO2H_9p		No	AN24	DQ34	DQ17	DQ8	DQ4
2H	29	VREFB2HN0	IO	PLL_2H_CLKOUT1n		DIFFIO2H_10n		No	AR27	DQSn35	DQSn17/CQn17	DQ8	DQ4
2H	28	VREFB2HN0	IO	"PLL_2H_CLKOUT1p,PLL_2H_CLKOUT1,PLL_2H_FB1"		DIFFIO2H_10p		No	AT27	DQS35	DQS17/CQ17	DQ8	DQ4
2H	27	VREFB2HN0	IO			DIFFIO2H_11n		No	AR25	DQ35	DQ17	DQ8	DQ4
2H	26	VREFB2HN0	IO	RZQ_2H		DIFFIO2H_11p		No	AT25	DQ35	DQ17	DQ8	DQ4
2H	25	VREFB2HN0	IO	CLK_2H_1n		DIFFIO2H_12n		No	AP23	DQ35	DQ17	DQ8	DQ4
2H	24	VREFB2HN0	IO	CLK_2H_1p		DIFFIO2H_12p		No	AR23	DQ35	DQ17	DQ8	DQ4
2H	23	VREFB2HN0	IO	CLK_2H_0n		DIFFIO2H_13n		No	AW29	DQ36	DQ18	DQ9	DQ4
2H	22	VREFB2HN0	IO	CLK_2H_0p		DIFFIO2H_13p		No	AW30	DQ36	DQ18	DQ9	DQ4
2H	21	VREFB2HN0	IO			DIFFIO2H_14n		No	AU26	DQSn36	DQ18	DQ9	DQSn4/CQn4
2H	20	VREFB2HN0	IO			DIFFIO2H_14p		No	AU27	DQS36	DQ18	DQ9	DQS4/CQ4
2H	19	VREFB2HN0	IO	PLL_2H_CLKOUT0n		DIFFIO2H_15n		No	AV26	DQ36	DQ18	DQ9	DQ4
2H	18	VREFB2HN0	IO	"PLL_2H_CLKOUT0p,PLL_2H_CLKOUT0,PLL_2H_FB0"		DIFFIO2H_15p		No	AV27	DQ36	DQ18	DQ9	DQ4
2H	17	VREFB2HN0	IO			DIFFIO2H_16n		No	AV28	DQSn37	DQSn18/CQn18	DQ9	DQ4
2H	16	VREFB2HN0	IO			DIFFIO2H_16p		No	AW28	DQS37	DQS18/CQ18	DQ9	DQ4
2H	15	VREFB2HN0	IO			DIFFIO2H_17n		No	AT23	DQ37	DQ18	DQ9	DQ4
2H	14	VREFB2HN0	IO			DIFFIO2H_17p		No	AT24	DQ37	DQ18	DQ9	DQ4
2H	13	VREFB2HN0	IO			DIFFIO2H_18n		No	AW25	DQ37	DQ18	DQSn9/CQn9	DQ4
2H	12	VREFB2HN0	IO			DIFFIO2H_18p		No	AW26	DQ37	DQ18	DQS9/CQ9	DQ4
2H	11	VREFB2HN0	IO			DIFFIO2H_19n		No	AU24	DQ38	DQ19	DQ9	DQ4
2H	10	VREFB2HN0	IO			DIFFIO2H_19p		No	AU25	DQ38	DQ19	DQ9	DQ4
2H	9	VREFB2HN0	IO			DIFFIO2H_20n		No	AV22	DQSn38	DQ19	DQ9	DQ4
2H	8	VREFB2HN0	IO			DIFFIO2H_20p		No	AW21	DQS38	DQ19	DQ9	DQ4
2H	7	VREFB2HN0	IO			DIFFIO2H_21n		No	AV24	DQ38	DQ19	DQ9	DQ4
2H	6	VREFB2HN0	IO			DIFFIO2H_21p		No	AW24	DQ38	DQ19	DQ9	DQ4
2H	5	VREFB2HN0	IO			DIFFIO2H_22n		No	AV23	DQSn39	DQSn19/CQn19	DQ9	DQ4
2H	4	VREFB2HN0	IO			DIFFIO2H_22p		No	AW23	DQS39	DQS19/CQ19	DQ9	DQ4
2H	3	VREFB2HN0	IO			DIFFIO2H_23n		No	AT22	DQ39	DQ19	DQ9	DQ4
2H	2	VREFB2HN0	IO			DIFFIO2H_23p		No	AU22	DQ39	DQ19	DQ9	DQ4
2H	1	VREFB2HN0	IO			DIFFIO2H_24n		No	AU21	DQ39	DQ19	DQ9	DQ4
2H	0	VREFB2HN0	IO			DIFFIO2H_24p		No	AV21	DQ39	DQ19	DQ9	DQ4
2G	35	VREFB2GN0	IO				LVDS2G_7n	No	AL22	DQ42	DQ21	DQ10	DQ5
2G	34	VREFB2GN0	IO				LVDS2G_7p	No	AM22	DQ42	DQ21	DQ10	DQ5
2G	33	VREFB2GN0	IO				LVDS2G_8n	Yes	AN22	DQSn42	DQ21	DQ10	DQ5
2G	32	VREFB2GN0	IO				LVDS2G_8p	Yes	AP21	DQS42	DQ21	DQ10	DQ5
2G	31	VREFB2GN0	IO				LVDS2G_9n	No	AK21	DQ42	DQ21	DQ10	DQ5
2G	30	VREFB2GN0	IO				LVDS2G_9p	No	AK22	DQ42	DQ21	DQ10	DQ5
2G	29	VREFB2GN0	IO	PLL_2G_CLKOUT1n			LVDS2G_10n	Yes	AM21	DQSn43	DQSn21/CQn21	DQ10	DQ5
2G	28	VREFB2GN0	IO	"PLL_2G_CLKOUT1p,PLL_2G_CLKOUT1,PLL_2G_FB1"			LVDS2G_10p	Yes	AN21	DQS43	DQS21/CQ21	DQ10	DQ5
2G	27	VREFB2GN0	IO				LVDS2G_11n	No	AR21	DQ43	DQ21	DQ10	DQ5
2G	26	VREFB2GN0	IO	RZQ_2G			LVDS2G_11p	No	AR22	DQ43	DQ21	DQ10	DQ5
2G	25	VREFB2GN0	IO	CLK_2G_1n			LVDS2G_12n	Yes	AH21	DQ43	DQ21	DQ10	DQ5
2G	24	VREFB2GN0	IO	CLK_2G_1p			LVDS2G_12p	Yes	AJ21	DQ43	DQ21	DQ10	DQ5
2G	23	VREFB2GN0	IO	CLK_2G_0n			LVDS2G_13n	No	AP20	DQ44	DQ22	DQ11	DQ5
2G	22	VREFB2GN0	IO	CLK_2G_0p			LVDS2G_13p	No	AR20	DQ44	DQ22	DQ11	DQ5
2G	21	VREFB2GN0	IO				LVDS2G_14n	Yes	AL20	DQSn44	DQ22	DQ11	DQSn5/CQn5
2G	20	VREFB2GN0	IO				LVDS2G_14p	Yes	AM20	DQS44	DQ22	DQ11	DQS5/CQ5
2G	19	VREFB2GN0	IO	PLL_2G_CLKOUT0n			LVDS2G_15n	No	AT20	DQ44	DQ22	DQ11	DQ5
2G	18	VREFB2GN0	IO	"PLL_2G_CLKOUT0p,PLL_2G_CLKOUT0,PLL_2G_FB0"			LVDS2G_15p	No	AU20	DQ44	DQ22	DQ11	DQ5
2G	17	VREFB2GN0	IO				LVDS2G_16n	Yes	AT19	DQSn45	DQSn22/CQn22	DQ11	DQ5
2G	16	VREFB2GN0	IO				LVDS2G_16p	Yes	AU19	DQS45	DQS22/CQ22	DQ11	DQ5
2G	15	VREFB2GN0	IO				LVDS2G_17n	No	AJ20	DQ45	DQ22	DQ11	DQ5
2G	14	VREFB2GN0	IO				LVDS2G_17p	No	AK20	DQ45	DQ22	DQ11	DQ5
2G	13	VREFB2GN0	IO				LVDS2G_18n	Yes	AN19	DQ45	DQ22	DQSn11/CQn11	DQ5
2G	12	VREFB2GN0	IO				LVDS2G_18p	Yes	AP19	DQ45	DQ22	DQS11/CQ11	DQ5
2A	47	VREFB2AN0	IO		DATA0		LVDS2A_1n	No	AP15	DQ56	DQ28	DQ14	DQ7
2A	46	VREFB2AN0	IO		DATA1		LVDS2A_1p	No	AP14	DQ56	DQ28	DQ14	DQ7
2A	45	VREFB2AN0	IO		DATA2		LVDS2A_2n	Yes	AH16	DQSn56	DQ28	DQ14	DQ7
2A	44	VREFB2AN0	IO		DATA3		LVDS2A_2p	Yes	AJ16	DQS56	DQ28	DQ14	DQ7
2A	43	VREFB2AN0	IO		DATA4		LVDS2A_3n	No	AK17	DQ56	DQ28	DQ14	DQ7
2A	42	VREFB2AN0	IO		DATA5		LVDS2A_3p	No	AK16	DQ56	DQ28	DQ14	DQ7
2A	41	VREFB2AN0	IO		DATA6		LVDS2A_4n	Yes	AN16	DQSn57	DQSn28/CQn28	DQ14	DQ7
2A	40	VREFB2AN0	IO		DATA7		LVDS2A_4p	Yes	AP16	DQS57	DQS28/CQ28	DQ14	DQ7
2A	39	VREFB2AN0	IO		DATA8		LVDS2A_5n	No	AL17	DQ57	DQ28	DQ14	DQ7
2A	38	VREFB2AN0	IO		DATA9		LVDS2A_5p	No	AM17	DQ57	DQ28	DQ14	DQ7
2A	37	VREFB2AN0	IO		DATA10		LVDS2A_6n	Yes	AU14	DQ57	DQ28	DQSn14/CQn14	DQ7
2A	36	VREFB2AN0	IO		DATA11		LVDS2A_6p	Yes	AV14	DQ57	DQ28	DQS14/CQ14	DQ7
2A	35	VREFB2AN0	IO		DATA12		LVDS2A_7n	No	AM16	DQ58	DQ29	DQ14	DQ7
2A	34	VREFB2AN0	IO		DATA13		LVDS2A_7p	No	AM15	DQ58	DQ29	DQ14	DQ7
2A	33	VREFB2AN0	IO		DATA14		LVDS2A_8n	Yes	AT14	DQSn58	DQ29	DQ14	DQ7
2A	32	VREFB2AN0	IO		DATA15		LVDS2A_8p	Yes	AT13	DQS58	DQ29	DQ14	DQ7
2A	31	VREFB2AN0	IO		DATA16		LVDS2A_9n	No	AV13	DQ58	DQ29	DQ14	DQ7
2A	30	VREFB2AN0	IO		DATA17		LVDS2A_9p	No	AW13	DQ58	DQ29	DQ14	DQ7
2A	29	VREFB2AN0	IO	PLL_2A_CLKOUT1n	DATA18		LVDS2A_10n	Yes	AR16	DQSn59	DQSn29/CQn29	DQ14	DQ7
2A	28	VREFB2AN0	IO	"PLL_2A_CLKOUT1p,PLL_2A_CLKOUT1,PLL_2A_FB1"	DATA19		LVDS2A_10p	Yes	AR15	DQS59	DQS29/CQ29	DQ14	DQ7
2A	27	VREFB2AN0	IO		nCEO		LVDS2A_11n	No	AT15	DQ59	DQ29	DQ14	DQ7
2A	26	VREFB2AN0	IO	RZQ_2A			LVDS2A_11p	No	AU15	DQ59	DQ29	DQ14	DQ7
2A	25	VREFB2AN0	IO	CLK_2A_1n	DATA20		LVDS2A_12n	Yes	AW15	DQ59	DQ29	DQ14	DQ7
2A	24	VREFB2AN0	IO	CLK_2A_1p	DATA21		LVDS2A_12p	Yes	AW14	DQ59	DQ29	DQ14	DQ7
2A	23	VREFB2AN0	IO	CLK_2A_0n	DATA22		LVDS2A_13n	No	AV16	DQ60	DQ30	DQ15	DQ7
2A	22	VREFB2AN0	IO	CLK_2A_0p	DATA23		LVDS2A_13p	No	AW16	DQ60	DQ30	DQ15	DQ7
2A	21	VREFB2AN0	IO		DATA24		LVDS2A_14n	Yes	AV17	DQSn60	DQ30	DQ15	DQSn7/CQn7
2A	20	VREFB2AN0	IO		DATA25		LVDS2A_14p	Yes	AW18	DQS60	DQ30	DQ15	DQS7/CQ7
2A	19	VREFB2AN0	IO	PLL_2A_CLKOUT0n	DATA26		LVDS2A_15n	No	AU17	DQ60	DQ30	DQ15	DQ7
2A	18	VREFB2AN0	IO	"PLL_2A_CLKOUT0p,PLL_2A_CLKOUT0,PLL_2A_FB0"	DATA27		LVDS2A_15p	No	AU16	DQ60	DQ30	DQ15	DQ7
2A	17	VREFB2AN0	IO		DATA28		LVDS2A_16n	Yes	AT18	DQSn61	DQSn30/CQn30	DQ15	DQ7
2A	16	VREFB2AN0	IO		DATA29		LVDS2A_16p	Yes	AT17	DQS61	DQS30/CQ30	DQ15	DQ7
2A	15	VREFB2AN0	IO		DATA30		LVDS2A_17n	No	AV19	DQ61	DQ30	DQ15	DQ7
2A	14	VREFB2AN0	IO		DATA31		LVDS2A_17p	No	AV18	DQ61	DQ30	DQ15	DQ7
2A	13	VREFB2AN0	IO		CLKUSR		LVDS2A_18n	Yes	AJ18	DQ61	DQ30	DQSn15/CQn15	DQ7
2A	12	VREFB2AN0	IO		PR_REQUEST		LVDS2A_18p	Yes	AK18	DQ61	DQ30	DQS15/CQ15	DQ7
2A	11	VREFB2AN0	IO		PR_READY		LVDS2A_19n	No	AW19	DQ62	DQ31	DQ15	DQ7
2A	10	VREFB2AN0	IO		nPERSTL0		LVDS2A_19p	No	AW20	DQ62	DQ31	DQ15	DQ7
2A	9	VREFB2AN0	IO		PR_DONE		LVDS2A_20n	Yes	AN17	DQSn62	DQ31	DQ15	DQ7
2A	8	VREFB2AN0	IO		nPERSTL1		LVDS2A_20p	Yes	AP18	DQS62	DQ31	DQ15	DQ7
2A	7	VREFB2AN0	IO		PR_ERROR		LVDS2A_21n	No	AL19	DQ62	DQ31	DQ15	DQ7
2A	6	VREFB2AN0	IO				LVDS2A_21p	No	AL18	DQ62	DQ31	DQ15	DQ7
2A	5	VREFB2AN0	IO		CvP_CONFDONE		LVDS2A_22n	Yes	AH18	DQSn63	DQSn31/CQn31	DQ15	DQ7
2A	4	VREFB2AN0	IO				LVDS2A_22p	Yes	AJ19	DQS63	DQS31/CQ31	DQ15	DQ7
2A	3	VREFB2AN0	IO		INIT_DONE		LVDS2A_23n	No	AR18	DQ63	DQ31	DQ15	DQ7
2A	2	VREFB2AN0	IO		DEV_OE		LVDS2A_23p	No	AR17	DQ63	DQ31	DQ15	DQ7
2A	1	VREFB2AN0	IO		CRC_ERROR		LVDS2A_24n	Yes	AM19	DQ63	DQ31	DQ15	DQ7
2A	0	VREFB2AN0	IO		DEV_CLRn		LVDS2A_24p	Yes	AN18	DQ63	DQ31	DQ15	DQ7
3H	47	VREFB3HN0	IO				LVDS3H_1n	No	H14	DQ64	DQ32	DQ16	DQ8
3H	46	VREFB3HN0	IO				LVDS3H_1p	No	G14	DQ64	DQ32	DQ16	DQ8
3H	45	VREFB3HN0	IO				LVDS3H_2n	Yes	L14	DQSn64	DQ32	DQ16	DQ8
3H	44	VREFB3HN0	IO				LVDS3H_2p	Yes	L13	DQS64	DQ32	DQ16	DQ8
3H	43	VREFB3HN0	IO				LVDS3H_3n	No	K13	DQ64	DQ32	DQ16	DQ8
3H	42	VREFB3HN0	IO				LVDS3H_3p	No	J14	DQ64	DQ32	DQ16	DQ8
3H	41	VREFB3HN0	IO				LVDS3H_4n	Yes	J13	DQSn65	DQSn32/CQn32	DQ16	DQ8
3H	40	VREFB3HN0	IO				LVDS3H_4p	Yes	H13	DQS65	DQS32/CQ32	DQ16	DQ8
3H	39	VREFB3HN0	IO				LVDS3H_5n	No	F14	DQ65	DQ32	DQ16	DQ8
3H	38	VREFB3HN0	IO				LVDS3H_5p	No	F13	DQ65	DQ32	DQ16	DQ8
3H	37	VREFB3HN0	IO				LVDS3H_6n	Yes	P13	DQ65	DQ32	DQSn16/CQn16	DQ8
3H	36	VREFB3HN0	IO				LVDS3H_6p	Yes	N13	DQ65	DQ32	DQS16/CQ16	DQ8
3H	35	VREFB3HN0	IO				LVDS3H_7n	No	B12	DQ66	DQ33	DQ16	DQ8
3H	34	VREFB3HN0	IO				LVDS3H_7p	No	A12	DQ66	DQ33	DQ16	DQ8
3H	33	VREFB3HN0	IO				LVDS3H_8n	Yes	E13	DQSn66	DQ33	DQ16	DQ8
3H	32	VREFB3HN0	IO				LVDS3H_8p	Yes	D13	DQS66	DQ33	DQ16	DQ8
3H	31	VREFB3HN0	IO				LVDS3H_9n	No	C11	DQ66	DQ33	DQ16	DQ8
3H	30	VREFB3HN0	IO				LVDS3H_9p	No	B11	DQ66	DQ33	DQ16	DQ8
3H	29	VREFB3HN0	IO	PLL_3H_CLKOUT1n			LVDS3H_10n	Yes	C13	DQSn67	DQSn33/CQn33	DQ16	DQ8
3H	28	VREFB3HN0	IO	"PLL_3H_CLKOUT1p,PLL_3H_CLKOUT1,PLL_3H_FB1"			LVDS3H_10p	Yes	C12	DQS67	DQS33/CQ33	DQ16	DQ8
3H	27	VREFB3HN0	IO				LVDS3H_11n	No	F12	DQ67	DQ33	DQ16	DQ8
3H	26	VREFB3HN0	IO	RZQ_3H			LVDS3H_11p	No	E12	DQ67	DQ33	DQ16	DQ8
3H	25	VREFB3HN0	IO	CLK_3H_1n			LVDS3H_12n	Yes	E11	DQ67	DQ33	DQ16	DQ8
3H	24	VREFB3HN0	IO	CLK_3H_1p			LVDS3H_12p	Yes	D11	DQ67	DQ33	DQ16	DQ8
3H	23	VREFB3HN0	IO	CLK_3H_0n			LVDS3H_13n	No	N12	DQ68	DQ34	DQ17	DQ8
3H	22	VREFB3HN0	IO	CLK_3H_0p			LVDS3H_13p	No	M12	DQ68	DQ34	DQ17	DQ8
3H	21	VREFB3HN0	IO				LVDS3H_14n	Yes	H12	DQSn68	DQ34	DQ17	DQSn8/CQn8
3H	20	VREFB3HN0	IO				LVDS3H_14p	Yes	G12	DQS68	DQ34	DQ17	DQS8/CQ8
3H	19	VREFB3HN0	IO	PLL_3H_CLKOUT0n			LVDS3H_15n	No	L12	DQ68	DQ34	DQ17	DQ8
3H	18	VREFB3HN0	IO	"PLL_3H_CLKOUT0p,PLL_3H_CLKOUT0,PLL_3H_FB0"			LVDS3H_15p	No	K12	DQ68	DQ34	DQ17	DQ8
3H	17	VREFB3HN0	IO				LVDS3H_16n	Yes	K11	DQSn69	DQSn34/CQn34	DQ17	DQ8
3H	16	VREFB3HN0	IO				LVDS3H_16p	Yes	J11	DQS69	DQS34/CQ34	DQ17	DQ8
3H	15	VREFB3HN0	IO				LVDS3H_17n	No	H11	DQ69	DQ34	DQ17	DQ8
3H	14	VREFB3HN0	IO				LVDS3H_17p	No	G11	DQ69	DQ34	DQ17	DQ8
3H	13	VREFB3HN0	IO				LVDS3H_18n	Yes	E10	DQ69	DQ34	DQSn17/CQn17	DQ8
3H	12	VREFB3HN0	IO				LVDS3H_18p	Yes	D10	DQ69	DQ34	DQS17/CQ17	DQ8
3H	11	VREFB3HN0	IO				LVDS3H_19n	No	G10	DQ70	DQ35	DQ17	DQ8
3H	10	VREFB3HN0	IO				LVDS3H_19p	No	F10	DQ70	DQ35	DQ17	DQ8
3H	9	VREFB3HN0	IO				LVDS3H_20n	Yes	B10	DQSn70	DQ35	DQ17	DQ8
3H	8	VREFB3HN0	IO				LVDS3H_20p	Yes	A10	DQS70	DQ35	DQ17	DQ8
3H	7	VREFB3HN0	IO				LVDS3H_21n	No	D9	DQ70	DQ35	DQ17	DQ8
3H	6	VREFB3HN0	IO				LVDS3H_21p	No	C9	DQ70	DQ35	DQ17	DQ8
3H	5	VREFB3HN0	IO				LVDS3H_22n	Yes	D8	DQSn71	DQSn35/CQn35	DQ17	DQ8
3H	4	VREFB3HN0	IO				LVDS3H_22p	Yes	C8	DQS71	DQS35/CQ35	DQ17	DQ8
3H	3	VREFB3HN0	IO				LVDS3H_23n	No	B9	DQ71	DQ35	DQ17	DQ8
3H	2	VREFB3HN0	IO				LVDS3H_23p	No	A9	DQ71	DQ35	DQ17	DQ8
3H	1	VREFB3HN0	IO				LVDS3H_24n	Yes	A8	DQ71	DQ35	DQ17	DQ8
3H	0	VREFB3HN0	IO				LVDS3H_24p	Yes	A7	DQ71	DQ35	DQ17	DQ8
3G	47	VREFB3GN0	IO				LVDS3G_1n	No	P11	DQ72	DQ36	DQ18	DQ9
3G	46	VREFB3GN0	IO				LVDS3G_1p	No	N11	DQ72	DQ36	DQ18	DQ9
3G	45	VREFB3GN0	IO				LVDS3G_2n	Yes	M11	DQSn72	DQ36	DQ18	DQ9
3G	44	VREFB3GN0	IO				LVDS3G_2p	Yes	M10	DQS72	DQ36	DQ18	DQ9
3G	43	VREFB3GN0	IO				LVDS3G_3n	No	N9	DQ72	DQ36	DQ18	DQ9
3G	42	VREFB3GN0	IO				LVDS3G_3p	No	M9	DQ72	DQ36	DQ18	DQ9
3G	41	VREFB3GN0	IO				LVDS3G_4n	Yes	R12	DQSn73	DQSn36/CQn36	DQ18	DQ9
3G	40	VREFB3GN0	IO				LVDS3G_4p	Yes	R11	DQS73	DQS36/CQ36	DQ18	DQ9
3G	39	VREFB3GN0	IO				LVDS3G_5n	No	T13	DQ73	DQ36	DQ18	DQ9
3G	38	VREFB3GN0	IO				LVDS3G_5p	No	T12	DQ73	DQ36	DQ18	DQ9
3G	37	VREFB3GN0	IO				LVDS3G_6n	Yes	R10	DQ73	DQ36	DQSn18/CQn18	DQ9
3G	36	VREFB3GN0	IO				LVDS3G_6p	Yes	P10	DQ73	DQ36	DQS18/CQ18	DQ9
3G	35	VREFB3GN0	IO				LVDS3G_7n	No	L10	DQ74	DQ37	DQ18	DQ9
3G	34	VREFB3GN0	IO				LVDS3G_7p	No	L9	DQ74	DQ37	DQ18	DQ9
3G	33	VREFB3GN0	IO				LVDS3G_8n	Yes	K10	DQSn74	DQ37	DQ18	DQ9
