Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	HPS Function (3)	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F27	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
2J	21	VREFB2JN0	IO			HPS_DDR		LVDS2J_14n	Yes	AB15	DQSn20	DQ10	DQ5	DQSn2/CQn2
2J	20	VREFB2JN0	IO			HPS_DDR		LVDS2J_14p	Yes	AC15	DQS20	DQ10	DQ5	DQS2/CQ2
2J	19	VREFB2JN0	IO	PLL_2J_CLKOUT0n		HPS_DDR		LVDS2J_15n	No	AF17	DQ20	DQ10	DQ5	DQ2
2J	18	VREFB2JN0	IO	"PLL_2J_CLKOUT0p,PLL_2J_CLKOUT0,PLL_2J_FB0"		HPS_DDR		LVDS2J_15p	No	AF18	DQ20	DQ10	DQ5	DQ2
2J	17	VREFB2JN0	IO			HPS_DDR		LVDS2J_16n	Yes	AD17	DQSn21	DQSn10/CQn10	DQ5	DQ2
2J	16	VREFB2JN0	IO			HPS_DDR		LVDS2J_16p	Yes	AE17	DQS21	DQS10/CQ10	DQ5	DQ2
2J	15	VREFB2JN0	IO			HPS_DDR		LVDS2J_17n	No	AC16	DQ21	DQ10	DQ5	DQ2
2J	14	VREFB2JN0	IO			HPS_DDR		LVDS2J_17p	No	AC17	DQ21	DQ10	DQ5	DQ2
2J	13	VREFB2JN0	IO			HPS_DDR		LVDS2J_18n	Yes	AE16	DQ21	DQ10	DQSn5/CQn5	DQ2
2J	12	VREFB2JN0	IO			HPS_DDR		LVDS2J_18p	Yes	AF16	DQ21	DQ10	DQS5/CQ5	DQ2
2J	11	VREFB2JN0	IO			HPS_DDR		LVDS2J_19n	No	AE10	DQ22	DQ11	DQ5	DQ2
2J	10	VREFB2JN0	IO			HPS_DDR		LVDS2J_19p	No	AF9	DQ22	DQ11	DQ5	DQ2
2J	9	VREFB2JN0	IO			HPS_DDR		LVDS2J_20n	Yes	AF12	DQSn22	DQ11	DQ5	DQ2
2J	8	VREFB2JN0	IO			HPS_DDR		LVDS2J_20p	Yes	AF11	DQS22	DQ11	DQ5	DQ2
2J	7	VREFB2JN0	IO			HPS_DDR		LVDS2J_21n	No	AE15	DQ22	DQ11	DQ5	DQ2
2J	6	VREFB2JN0	IO			HPS_DDR		LVDS2J_21p	No	AE14	DQ22	DQ11	DQ5	DQ2
2J	5	VREFB2JN0	IO			HPS_DDR		LVDS2J_22n	Yes	AD15	DQSn23	DQSn11/CQn11	DQ5	DQ2
2J	4	VREFB2JN0	IO			HPS_DDR		LVDS2J_22p	Yes	AD14	DQS23	DQS11/CQ11	DQ5	DQ2
2J	3	VREFB2JN0	IO			HPS_DDR		LVDS2J_23n	No	AE12	DQ23	DQ11	DQ5	DQ2
2J	2	VREFB2JN0	IO			HPS_DDR		LVDS2J_23p	No	AE11	DQ23	DQ11	DQ5	DQ2
2J	1	VREFB2JN0	IO			HPS_DDR		LVDS2J_24n	Yes	AF13	DQ23	DQ11	DQ5	DQ2
2J	0	VREFB2JN0	IO			HPS_DDR		LVDS2J_24p	Yes	AF14	DQ23	DQ11	DQ5	DQ2
2A	47	VREFB2AN0	IO		DATA0			LVDS2A_1n	No	AE5	DQ24	DQ12	DQ6	DQ3
2A	46	VREFB2AN0	IO		DATA1			LVDS2A_1p	No	AE4	DQ24	DQ12	DQ6	DQ3
2A	45	VREFB2AN0	IO		DATA2			LVDS2A_2n	Yes	AD9	DQSn24	DQ12	DQ6	DQ3
2A	44	VREFB2AN0	IO		DATA3			LVDS2A_2p	Yes	AE9	DQS24	DQ12	DQ6	DQ3
2A	43	VREFB2AN0	IO		DATA4			LVDS2A_3n	No	AD7	DQ24	DQ12	DQ6	DQ3
2A	42	VREFB2AN0	IO		DATA5			LVDS2A_3p	No	AE7	DQ24	DQ12	DQ6	DQ3
2A	41	VREFB2AN0	IO		DATA6			LVDS2A_4n	Yes	AF4	DQSn25	DQSn12/CQn12	DQ6	DQ3
2A	40	VREFB2AN0	IO		DATA7			LVDS2A_4p	Yes	AF3	DQS25	DQS12/CQ12	DQ6	DQ3
2A	39	VREFB2AN0	IO		DATA8			LVDS2A_5n	No	AE6	DQ25	DQ12	DQ6	DQ3
2A	38	VREFB2AN0	IO		DATA9			LVDS2A_5p	No	AF6	DQ25	DQ12	DQ6	DQ3
2A	37	VREFB2AN0	IO		DATA10			LVDS2A_6n	Yes	AF8	DQ25	DQ12	DQSn6/CQn6	DQ3
2A	36	VREFB2AN0	IO		DATA11			LVDS2A_6p	Yes	AF7	DQ25	DQ12	DQS6/CQ6	DQ3
2A	35	VREFB2AN0	IO		DATA12			LVDS2A_7n	No	AC8	DQ26	DQ13	DQ6	DQ3
2A	34	VREFB2AN0	IO		DATA13			LVDS2A_7p	No	AD8	DQ26	DQ13	DQ6	DQ3
2A	33	VREFB2AN0	IO		DATA14			LVDS2A_8n	Yes	AC10	DQSn26	DQ13	DQ6	DQ3
2A	32	VREFB2AN0	IO		DATA15			LVDS2A_8p	Yes	AD10	DQS26	DQ13	DQ6	DQ3
2A	31	VREFB2AN0	IO		DATA16			LVDS2A_9n	No	AB6	DQ26	DQ13	DQ6	DQ3
2A	30	VREFB2AN0	IO		DATA17			LVDS2A_9p	No	AB5	DQ26	DQ13	DQ6	DQ3
2A	29	VREFB2AN0	IO	PLL_2A_CLKOUT1n	DATA18			LVDS2A_10n	Yes	AC7	DQSn27	DQSn13/CQn13	DQ6	DQ3
2A	28	VREFB2AN0	IO	"PLL_2A_CLKOUT1p,PLL_2A_CLKOUT1,PLL_2A_FB1"	DATA19			LVDS2A_10p	Yes	AC6	DQS27	DQS13/CQ13	DQ6	DQ3
2A	27	VREFB2AN0	IO		nCEO			LVDS2A_11n	No	AB10	DQ27	DQ13	DQ6	DQ3
2A	26	VREFB2AN0	IO	RZQ_2A				LVDS2A_11p	No	AB9	DQ27	DQ13	DQ6	DQ3
2A	25	VREFB2AN0	IO	CLK_2A_1n	DATA20			LVDS2A_12n	Yes	AC5	DQ27	DQ13	DQ6	DQ3
2A	24	VREFB2AN0	IO	CLK_2A_1p	DATA21			LVDS2A_12p	Yes	AD5	DQ27	DQ13	DQ6	DQ3
2A	23	VREFB2AN0	IO	CLK_2A_0n	DATA22			LVDS2A_13n	No	Y14	DQ28	DQ14	DQ7	DQ3
2A	22	VREFB2AN0	IO	CLK_2A_0p	DATA23			LVDS2A_13p	No	AA14	DQ28	DQ14	DQ7	DQ3
2A	21	VREFB2AN0	IO		DATA24			LVDS2A_14n	Yes	AD13	DQSn28	DQ14	DQ7	DQSn3/CQn3
2A	20	VREFB2AN0	IO		DATA25			LVDS2A_14p	Yes	AD12	DQS28	DQ14	DQ7	DQS3/CQ3
2A	19	VREFB2AN0	IO	PLL_2A_CLKOUT0n	DATA26			LVDS2A_15n	No	W15	DQ28	DQ14	DQ7	DQ3
2A	18	VREFB2AN0	IO	"PLL_2A_CLKOUT0p,PLL_2A_CLKOUT0,PLL_2A_FB0"	DATA27			LVDS2A_15p	No	Y15	DQ28	DQ14	DQ7	DQ3
2A	17	VREFB2AN0	IO		DATA28			LVDS2A_16n	Yes	AB14	DQSn29	DQSn14/CQn14	DQ7	DQ3
2A	16	VREFB2AN0	IO		DATA29			LVDS2A_16p	Yes	AB13	DQS29	DQS14/CQ14	DQ7	DQ3
2A	15	VREFB2AN0	IO		DATA30			LVDS2A_17n	No	AB11	DQ29	DQ14	DQ7	DQ3
2A	14	VREFB2AN0	IO		DATA31			LVDS2A_17p	No	AC11	DQ29	DQ14	DQ7	DQ3
2A	13	VREFB2AN0	IO		CLKUSR			LVDS2A_18n	Yes	AC13	DQ29	DQ14	DQSn7/CQn7	DQ3
2A	12	VREFB2AN0	IO		PR_REQUEST			LVDS2A_18p	Yes	AC12	DQ29	DQ14	DQS7/CQ7	DQ3
2A	11	VREFB2AN0	IO		PR_READY			LVDS2A_19n	No	AA9	DQ30	DQ15	DQ7	DQ3
2A	10	VREFB2AN0	IO		nPERSTL0			LVDS2A_19p	No	AB8	DQ30	DQ15	DQ7	DQ3
2A	9	VREFB2AN0	IO		PR_DONE			LVDS2A_20n	Yes	W9	DQSn30	DQ15	DQ7	DQ3
2A	8	VREFB2AN0	IO					LVDS2A_20p	Yes	W8	DQS30	DQ15	DQ7	DQ3
2A	7	VREFB2AN0	IO		PR_ERROR			LVDS2A_21n	No	AA13	DQ30	DQ15	DQ7	DQ3
2A	6	VREFB2AN0	IO					LVDS2A_21p	No	AA12	DQ30	DQ15	DQ7	DQ3
2A	5	VREFB2AN0	IO		CvP_CONFDONE			LVDS2A_22n	Yes	AA8	DQSn31	DQSn15/CQn15	DQ7	DQ3
2A	4	VREFB2AN0	IO					LVDS2A_22p	Yes	AA7	DQS31	DQS15/CQ15	DQ7	DQ3
2A	3	VREFB2AN0	IO		INIT_DONE			LVDS2A_23n	No	W10	DQ31	DQ15	DQ7	DQ3
2A	2	VREFB2AN0	IO		DEV_OE			LVDS2A_23p	No	Y9	DQ31	DQ15	DQ7	DQ3
2A	1	VREFB2AN0	IO		CRC_ERROR			LVDS2A_24n	Yes	AA11	DQ31	DQ15	DQ7	DQ3
2A	0	VREFB2AN0	IO		DEV_CLRn			LVDS2A_24p	Yes	Y10	DQ31	DQ15	DQ7	DQ3
3A	47	VREFB3AN0	IO					LVDS3A_1n	No	K4	DQ56	DQ28	DQ14	DQ7
3A	46	VREFB3AN0	IO					LVDS3A_1p	No	J4	DQ56	DQ28	DQ14	DQ7
3A	45	VREFB3AN0	IO					LVDS3A_2n	Yes	H6	DQSn56	DQ28	DQ14	DQ7
3A	44	VREFB3AN0	IO					LVDS3A_2p	Yes	H5	DQS56	DQ28	DQ14	DQ7
3A	43	VREFB3AN0	IO					LVDS3A_3n	No	K5	DQ56	DQ28	DQ14	DQ7
3A	42	VREFB3AN0	IO					LVDS3A_3p	No	J5	DQ56	DQ28	DQ14	DQ7
3A	41	VREFB3AN0	IO					LVDS3A_4n	Yes	M4	DQSn57	DQSn28/CQn28	DQ14	DQ7
3A	40	VREFB3AN0	IO					LVDS3A_4p	Yes	L4	DQS57	DQS28/CQ28	DQ14	DQ7
3A	39	VREFB3AN0	IO					LVDS3A_5n	No	H3	DQ57	DQ28	DQ14	DQ7
3A	38	VREFB3AN0	IO					LVDS3A_5p	No	G3	DQ57	DQ28	DQ14	DQ7
3A	37	VREFB3AN0	IO					LVDS3A_6n	Yes	N5	DQ57	DQ28	DQSn14/CQn14	DQ7
3A	36	VREFB3AN0	IO					LVDS3A_6p	Yes	M5	DQ57	DQ28	DQS14/CQ14	DQ7
3A	35	VREFB3AN0	IO					LVDS3A_7n	No	J3	DQ58	DQ29	DQ14	DQ7
3A	34	VREFB3AN0	IO					LVDS3A_7p	No	H2	DQ58	DQ29	DQ14	DQ7
3A	33	VREFB3AN0	IO					LVDS3A_8n	Yes	K2	DQSn58	DQ29	DQ14	DQ7
3A	32	VREFB3AN0	IO					LVDS3A_8p	Yes	J2	DQS58	DQ29	DQ14	DQ7
3A	31	VREFB3AN0	IO					LVDS3A_9n	No	H1	DQ58	DQ29	DQ14	DQ7
3A	30	VREFB3AN0	IO					LVDS3A_9p	No	G1	DQ58	DQ29	DQ14	DQ7
3A	29	VREFB3AN0	IO	PLL_3A_CLKOUT1n				LVDS3A_10n	Yes	L2	DQSn59	DQSn29/CQn29	DQ14	DQ7
3A	28	VREFB3AN0	IO	"PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1"				LVDS3A_10p	Yes	K1	DQS59	DQS29/CQ29	DQ14	DQ7
3A	27	VREFB3AN0	IO					LVDS3A_11n	No	M1	DQ59	DQ29	DQ14	DQ7
3A	26	VREFB3AN0	IO	RZQ_3A				LVDS3A_11p	No	L1	DQ59	DQ29	DQ14	DQ7
3A	25	VREFB3AN0	IO	CLK_3A_1n				LVDS3A_12n	Yes	M3	DQ59	DQ29	DQ14	DQ7
3A	24	VREFB3AN0	IO	CLK_3A_1p				LVDS3A_12p	Yes	L3	DQ59	DQ29	DQ14	DQ7
3A	23	VREFB3AN0	IO	CLK_3A_0n				LVDS3A_13n	No	P5	DQ60	DQ30	DQ15	DQ7
3A	22	VREFB3AN0	IO	CLK_3A_0p				LVDS3A_13p	No	R5	DQ60	DQ30	DQ15	DQ7
3A	21	VREFB3AN0	IO					LVDS3A_14n	Yes	T3	DQSn60	DQ30	DQ15	DQSn7/CQn7
3A	20	VREFB3AN0	IO					LVDS3A_14p	Yes	U3	DQS60	DQ30	DQ15	DQS7/CQ7
3A	19	VREFB3AN0	IO	PLL_3A_CLKOUT0n				LVDS3A_15n	No	P4	DQ60	DQ30	DQ15	DQ7
3A	18	VREFB3AN0	IO	"PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0"				LVDS3A_15p	No	P3	DQ60	DQ30	DQ15	DQ7
3A	17	VREFB3AN0	IO					LVDS3A_16n	Yes	N3	DQSn61	DQSn30/CQn30	DQ15	DQ7
3A	16	VREFB3AN0	IO					LVDS3A_16p	Yes	N2	DQS61	DQS30/CQ30	DQ15	DQ7
3A	15	VREFB3AN0	IO					LVDS3A_17n	No	U5	DQ61	DQ30	DQ15	DQ7
3A	14	VREFB3AN0	IO					LVDS3A_17p	No	U4	DQ61	DQ30	DQ15	DQ7
3A	13	VREFB3AN0	IO					LVDS3A_18n	Yes	R4	DQ61	DQ30	DQSn15/CQn15	DQ7
3A	12	VREFB3AN0	IO					LVDS3A_18p	Yes	T4	DQ61	DQ30	DQS15/CQ15	DQ7
3A	11	VREFB3AN0	IO					LVDS3A_19n	No	T2	DQ62	DQ31	DQ15	DQ7
3A	10	VREFB3AN0	IO					LVDS3A_19p	No	T1	DQ62	DQ31	DQ15	DQ7
3A	9	VREFB3AN0	IO					LVDS3A_20n	Yes	U1	DQSn62	DQ31	DQ15	DQ7
3A	8	VREFB3AN0	IO					LVDS3A_20p	Yes	V1	DQS62	DQ31	DQ15	DQ7
3A	7	VREFB3AN0	IO					LVDS3A_21n	No	P2	DQ62	DQ31	DQ15	DQ7
3A	6	VREFB3AN0	IO					LVDS3A_21p	No	N1	DQ62	DQ31	DQ15	DQ7
3A	5	VREFB3AN0	IO					LVDS3A_22n	Yes	R2	DQSn63	DQSn31/CQn31	DQ15	DQ7
3A	4	VREFB3AN0	IO					LVDS3A_22p	Yes	R1	DQS63	DQS31/CQ31	DQ15	DQ7
3A	3	VREFB3AN0	IO					LVDS3A_23n	No	V3	DQ63	DQ31	DQ15	DQ7
3A	2	VREFB3AN0	IO					LVDS3A_23p	No	V2	DQ63	DQ31	DQ15	DQ7
3A	1	VREFB3AN0	IO					LVDS3A_24n	Yes	W3	DQ63	DQ31	DQ15	DQ7
3A	0	VREFB3AN0	IO					LVDS3A_24p	Yes	W2	DQ63	DQ31	DQ15	DQ7
			GND							AD4				
CSS			TDO		TDO					AA1				
CSS			TMS		TMS					AC1				
CSS			TRST		TRST					AA6				
CSS			TCK		TCK					Y1				
CSS			TDI		TDI					AE1				
CSS			MSEL0		MSEL0					Y2				
CSS			MSEL1		MSEL1					AA3				
CSS			MSEL2		MSEL2					AA2				
CSS			nIO_PULLUP		nIO_PULLUP					W5				
CSS			nSTATUS		nSTATUS					AD3				
CSS			CONF_DONE		CONF_DONE					AB1				
			GND							W4				
CSS			nCONFIG		nCONFIG					Y5				
CSS			nCE		nCE					AA4				
CSS			nCSO0		nCSO0					AE2				
CSS			nCSO1		nCSO1					AC3				
CSS			nCSO2		nCSO2					AB4				
CSS			"AS_DATA0,ASDO"		"AS_DATA0,ASDO"					Y4				
CSS			AS_DATA1		AS_DATA1					AD2				
CSS			AS_DATA2		AS_DATA2					AC2				
CSS			AS_DATA3		AS_DATA3					AB3				
CSS			DCLK		DCLK					AF2				
HPS			HPS_CLK1			HPS_CLK1				G13				
HPS			HPS_nPOR			HPS_nPOR				G11				
HPS			HPS_nRST			HPS_nRST				H10				
HPS			"GPIO2_IO0,NAND_ADQ0,SDMMC_DATA0,QSPI_CLK"			HPS_DEDICATED_4				F12				
HPS			"GPIO2_IO1,NAND_ADQ1,SDMMC_CMD,QSPI_IO0"			HPS_DEDICATED_5				G16				
HPS			"GPIO2_IO2,NAND_WE_N,SDMMC_CCLK,QSPI_SS0,BOOTSEL2"			BOOTSEL2/HPS_DEDICATED_6				F14				
HPS			"GPIO2_IO3,NAND_RE_N,SDMMC_DATA1,QSPI_IO1"			HPS_DEDICATED_7				G15				
HPS			"GPIO2_IO4,NAND_ADQ2,SDMMC_DATA2,QSPI_IO2_WPN"			HPS_DEDICATED_8				G14				
HPS			"GPIO2_IO5,NAND_ADQ3,SDMMC_DATA3,QSPI_IO3_HOLD"			HPS_DEDICATED_9				G10				
HPS			"GPIO2_IO6,NAND_CLE,SDMMC_PWR_ENA,SPIM0_SS1_N,SPIS0_MISO,BOOTSEL1"			BOOTSEL1/HPS_DEDICATED_10				H13				
HPS			"GPIO2_IO7,NAND_ALE,QSPI_SS1,SPIM0_CLK,BOOTSEL0"			BOOTSEL0/HPS_DEDICATED_11				J15				
HPS			"GPIO2_IO8,NAND_RB,UART1_TX,SDMMC_DATA4,SPIM0_MOSI,EMAC1_MDIO,I2C_EMAC1_SDA"			HPS_DEDICATED_12				J13				
HPS			"GPIO2_IO9,NAND_CE_N,UART1_RTS_N,SDMMC_DATA5,SPIM0_MISO,EMAC1_MDC,I2C_EMAC1_SCL"			HPS_DEDICATED_13				F13				
HPS			"GPIO2_IO10,NAND_ADQ4,UART1_CTS_N,SDMMC_DATA6,SPIM0_SS0_N,EMAC2_MDIO,I2C_EMAC2_SDA"			HPS_DEDICATED_14				F11				
HPS			"GPIO2_IO11,NAND_ADQ5,UART1_RX,SDMMC_DATA7,SPIS0_CLK,EMAC2_MDC,I2C_EMAC2_SCL"			HPS_DEDICATED_15				J14				
HPS			"GPIO2_IO12,NAND_ADQ6,UART1_TX,QSPI_SS2,SPIS0_MOSI,EMAC0_MDIO,I2C_EMAC0_SDA"			HPS_DEDICATED_16				H15				
HPS			"GPIO2_IO13,NAND_ADQ7,UART1_RX,QSPI_SS3,SPIS0_SS0_N,EMAC0_MDC,I2C_EMAC0_SCL"			HPS_DEDICATED_17				H16				
			ADCGND							J7				
			GND							A10				
			GND							A15				
			GND							A20				
			GND							A22				
			GND							A23				
			GND							A24				
			GND							A25				
			GND							A5				
			GND							AA10				
			GND							AA20				
			GND							AA22				
			GND							AA23				
			GND							AA24				
			GND							AA5				
			GND							AB2				
			GND							AB22				
			GND							AB25				
			GND							AB26				
			GND							AB7				
			GND							AC14				
			GND							AC19				
			GND							AC22				
			GND							AC23				
			GND							AC24				
			GND							AC4				
			GND							AC9				
			GND							AD1				
			GND							AD11				
			GND							AD16				
			GND							AD21				
			GND							AD22				
			GND							AD25				
			GND							AD26				
			GND							AD6				
			GND							AE13				
			GND							AE18				
			GND							AE20				
			GND							AE21				
			GND							AE22				
			GND							AE23				
			GND							AE24				
			GND							AE3				
			GND							AE8				
			GND							AF10				
			GND							AF15				
			GND							AF20				
			GND							AF24				
			GND							AF25				
			GND							AF5				
			GND							B12				
			GND							B17				
			GND							B2				
			GND							B20				
			GND							B21				
			GND							B22				
			GND							B25				
			GND							B26				
			GND							B7				
			GND							C14				
			GND							C19				
			GND							C22				
			GND							C23				
			GND							C24				
			GND							C4				
			GND							D1				
			GND							D21				
			GND							D22				
			GND							D25				
			GND							D26				
			GND							D6				
			GND							E13				
			GND							E22				
			GND							E23				
			GND							E24				
			GND							E3				
			GND							F10				
			GND							F20				
			GND							F22				
			GND							F25				
			GND							F26				
			GND							F5				
			GND							G12				
			GND							G17				
			GND							G2				
			GND							G21				
			GND							G22				
			GND							G23				
			GND							G24				
			GND							G7				
			GND							H14				
			GND							H19				
			GND							H22				
			GND							H25				
			GND							H26				
			GND							H4				
			GND							H9				
			GND							J1				
			GND							J11				
			GND							J16				
			GND							J20				
			GND							J21				
			GND							J22				
			GND							J23				
			GND							J24				
			GND							J6				
			GND							K13				
			GND							K18				
			GND							K25				
			GND							K26				
			GND							K3				
			GND							K8				
			GND							L10				
			GND							L15				
			GND							L20				
			GND							L23				
			GND							L24				
			GND							L5				
			GND							M12				
			GND							M17				
			GND							M2				
			GND							M20				
			GND							M25				
			GND							M26				
			GND							M7				
			GND							N14				
			GND							N19				
			GND							N20				
			GND							N23				
			GND							N24				
			GND							N4				
			GND							N9				
			GND							P1				
			GND							P11				
			GND							P16				
			GND							P25				
			GND							P26				
			GND							P6				
			GND							R13				
			GND							R18				
			GND							R20				
			GND							R23				
			GND							R24				
			GND							R8				
			GND							T10				
			GND							T15				
			GND							T20				
			GND							T25				
			GND							T26				
			GND							U12				
			GND							U17				
			GND							U20				
			GND							U23				
			GND							U24				
			GND							U7				
			GND							V14				
			GND							V19				
			GND							V20				
			GND							V21				
			GND							V22				
			GND							V25				
			GND							V26				
			GND							V4				
			GND							V9				
			GND							W1				
			GND							W11				
			GND							W21				
			GND							W22				
			GND							W23				
			GND							W24				
			GND							W6				
			GND							Y22				
			GND							Y25				
			GND							Y26				
			GND							Y3				
			GND							Y8				
			GNDSENSE							R10				
			VCC							K10				
			VCC							K15				
			VCC							K16				
			VCC							K17				
			VCC							K9				
			VCC							L13				
			VCC							L14				
			VCC							L17				
			VCC							L18				
			VCC							L8				
			VCC							L9				
			VCC							M10				
			VCC							M13				
			VCC							M14				
			VCC							M16				
			VCC							M8				
			VCC							N10				
			VCC							N12				
			VCC							N15				
			VCC							N16				
			VCC							N17				
			VCC							N18				
			VCC							N8				
			VCC							P12				
			VCC							P13				
			VCC							P14				
			VCC							P17				
			VCC							P18				
			VCC							P8				
			VCC							P9				
			VCC							R14				
			VCC							R15				
			VCC							R17				
			VCC							T12				
			VCC							T13				
			VCC							T14				
			VCC							T17				
			VCC							T18				
			VCC							T8				
			VCC							T9				
			VCC							U10				
			VCC							U11				
			VCC							U13				
			VCC							U14				
			VCC							U15				
			VCC							U16				
			VCC							U18				
			VCC							U8				
			VCC							U9				
			VCCPT							L11				
			VCCPT							L16				
			VCCPT							T11				
			VCCPT							T16				
			DNU							AF21				
			DNU							AF22				
			DNU							W7				
			DNU							Y7				
			DNU							Y6				
			VCCPGM							V11				
			VCCPGM							V12				
			TEMPDIODEn							J8				
			TEMPDIODEp							J9				
			VCCBAT							V10				
			VCCA_PLL							N11				
			VCCA_PLL							N13				
			VCCIO2A							AA15				
			VCCIO2A							AB12				
			VCCIO2A							Y13				
			VCCIO2J							AB17				
			VCCIO2J							W16				
			VCCIO2J							Y18				
			VCCIO2K							D16				
			VCCIO2K							E18				
			VCCIO2K							F15				
			VCCIO2L							C9				
			VCCIO2L							D11				
			VCCIO2L							E8				
			VCCIO3A							R3				
			VCCIO3A							T5				
			VCCIO3A							U2				
			VCCIOREF_HPS							H11				
			VCCIO_HPS							J10				
2A		VREFB2AN0	VREFB2AN0							V15				
2J		VREFB2JN0	VREFB2JN0							V17				
2K		VREFB2KN0	VREFB2KN0							H17				
2L		VREFB2LN0	VREFB2LN0							E12				
3A		VREFB3AN0	VREFB3AN0							R6				
			VREFN_ADC							G6				
			VREFP_ADC							F6				
			NC							H12				
			NC							H20				
			NC							H21				
			NC							H7				
			NC							J17				
			NC							J18				
			NC							J19				
			NC							K14				
			NC							K19				
			NC							K6				
			NC							K7				
			NC							L19				
			NC							L6				
			NC							L7				
			NC							M18				
			NC							M19				
			NC							M6				
			NC							N6				
			NC							N7				
			NC							P19				
			NC							P7				
			NC							R19				
			NC							R7				
			NC							T19				
			NC							T6				
			NC							T7				
			NC							U19				
			NC							U6				
			NC							V13				
			NC							V16				
			NC							V18				
			NC							V5				
			NC							V6				
			NC							V7				
			NC							V8				
			NC							W12				
			NC							W13				
			NC							W14				
			NC							W20				
			NC							Y11				
			NC							Y12				
			VCCH_GXBL							K20				
			VCCH_GXBL							P20				
			VCCR_GXBL1C							T21				
			VCCR_GXBL1C							T22				
			VCCR_GXBL1D							M21				
			VCCR_GXBL1D							M22				
			VCCT_GXBL1C							P21				
			VCCT_GXBL1C							P22				
			VCCT_GXBL1D							K21				
			VCCT_GXBL1D							K22				
			RREF_BL							AF23				
			RREF_TL							A21				
			VCCERAM							P10				
			VCCERAM							P15				
			VCCLSENSE							R11				
			VCCL_HPS							K11				
			VCCL_HPS							K12				
			VCCL_HPS							L12				
			VCCL_HPS							M11				
			VCCP							M15				
			VCCP							M9				
			VCCP							R12				
			VCCP							R16				
			VCCP							R9				
			VCCPLL_HPS							J12				
			VSIGN_0							H8				
			VSIGN_1							G9				
			VSIGP_0							G8				
			VSIGP_1							F9				
Notes:														
"(1) For more information about pin definition and pin connection guidelines, refer to the"														
"Arria 10 GT, GX, and SX Device Family Pin Connection Guidelines."														
"(2) For more information about the external memory interface schemes of the pins with indices, refer to the"														
Arria10EMIF.xls														
"(3) For more information about the Hard Processor System functions of the corresponding pins, refer to the"														
Arria10HPS.xls														
											

"Pin Information for the Arria®10 10AS022 Device
 Version 2016.12.09 
Note (1)"														
										
