Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	NF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
2I	15	VREFB2IN0	IO			LVDS2I_17n	No	A30	DQ29	DQ14	DQ7	DQ3
2I	14	VREFB2IN0	IO			LVDS2I_17p	No	A29	DQ29	DQ14	DQ7	DQ3
2I	13	VREFB2IN0	IO			LVDS2I_18n	Yes	A27	DQ29	DQ14	DQSn7/CQn7	DQ3
2I	12	VREFB2IN0	IO			LVDS2I_18p	Yes	A26	DQ29	DQ14	DQS7/CQ7	DQ3
2I	11	VREFB2IN0	IO			LVDS2I_19n	No	D26	DQ30	DQ15	DQ7	DQ3
2I	10	VREFB2IN0	IO			LVDS2I_19p	No	D25	DQ30	DQ15	DQ7	DQ3
2I	9	VREFB2IN0	IO			LVDS2I_20n	Yes	C26	DQSn30	DQ15	DQ7	DQ3
2I	8	VREFB2IN0	IO			LVDS2I_20p	Yes	C25	DQS30	DQ15	DQ7	DQ3
2I	7	VREFB2IN0	IO			LVDS2I_21n	No	E26	DQ30	DQ15	DQ7	DQ3
2I	6	VREFB2IN0	IO			LVDS2I_21p	No	F26	DQ30	DQ15	DQ7	DQ3
2I	5	VREFB2IN0	IO			LVDS2I_22n	Yes	D24	DQSn31	DQSn15/CQn15	DQ7	DQ3
2I	4	VREFB2IN0	IO			LVDS2I_22p	Yes	E24	DQS31	DQS15/CQ15	DQ7	DQ3
2I	3	VREFB2IN0	IO			LVDS2I_23n	No	A25	DQ31	DQ15	DQ7	DQ3
2I	2	VREFB2IN0	IO			LVDS2I_23p	No	A24	DQ31	DQ15	DQ7	DQ3
2I	1	VREFB2IN0	IO			LVDS2I_24n	Yes	B25	DQ31	DQ15	DQ7	DQ3
2I	0	VREFB2IN0	IO			LVDS2I_24p	Yes	B24	DQ31	DQ15	DQ7	DQ3
2H	47	VREFB2HN0	IO			LVDS2H_1n	No	AH35	DQ32	DQ16	DQ8	DQ4
2H	46	VREFB2HN0	IO			LVDS2H_1p	No	AH36	DQ32	DQ16	DQ8	DQ4
2H	45	VREFB2HN0	IO			LVDS2H_2n	Yes	AJ36	DQSn32	DQ16	DQ8	DQ4
2H	44	VREFB2HN0	IO			LVDS2H_2p	Yes	AJ35	DQS32	DQ16	DQ8	DQ4
2H	43	VREFB2HN0	IO			LVDS2H_3n	No	AK34	DQ32	DQ16	DQ8	DQ4
2H	42	VREFB2HN0	IO			LVDS2H_3p	No	AJ34	DQ32	DQ16	DQ8	DQ4
2H	41	VREFB2HN0	IO			LVDS2H_4n	Yes	AL37	DQSn33	DQSn16/CQn16	DQ8	DQ4
2H	40	VREFB2HN0	IO			LVDS2H_4p	Yes	AK37	DQS33	DQS16/CQ16	DQ8	DQ4
2H	39	VREFB2HN0	IO			LVDS2H_5n	No	AH33	DQ33	DQ16	DQ8	DQ4
2H	38	VREFB2HN0	IO			LVDS2H_5p	No	AH32	DQ33	DQ16	DQ8	DQ4
2H	37	VREFB2HN0	IO			LVDS2H_6n	Yes	AG35	DQ33	DQ16	DQSn8/CQn8	DQ4
2H	36	VREFB2HN0	IO			LVDS2H_6p	Yes	AG34	DQ33	DQ16	DQS8/CQ8	DQ4
2H	35	VREFB2HN0	IO			LVDS2H_7n	No	AN38	DQ34	DQ17	DQ8	DQ4
2H	34	VREFB2HN0	IO			LVDS2H_7p	No	AN37	DQ34	DQ17	DQ8	DQ4
2H	33	VREFB2HN0	IO			LVDS2H_8n	Yes	AM38	DQSn34	DQ17	DQ8	DQ4
2H	32	VREFB2HN0	IO			LVDS2H_8p	Yes	AM39	DQS34	DQ17	DQ8	DQ4
2H	31	VREFB2HN0	IO			LVDS2H_9n	No	AP36	DQ34	DQ17	DQ8	DQ4
2H	30	VREFB2HN0	IO			LVDS2H_9p	No	AN36	DQ34	DQ17	DQ8	DQ4
2H	29	VREFB2HN0	IO	PLL_2H_CLKOUT1n		LVDS2H_10n	Yes	AR38	DQSn35	DQSn17/CQn17	DQ8	DQ4
2H	28	VREFB2HN0	IO	"PLL_2H_CLKOUT1p,PLL_2H_CLKOUT1,PLL_2H_FB1"		LVDS2H_10p	Yes	AP38	DQS35	DQS17/CQ17	DQ8	DQ4
2H	27	VREFB2HN0	IO			LVDS2H_11n	No	AR39	DQ35	DQ17	DQ8	DQ4
2H	26	VREFB2HN0	IO	RZQ_2H		LVDS2H_11p	No	AP39	DQ35	DQ17	DQ8	DQ4
2H	25	VREFB2HN0	IO	CLK_2H_1n		LVDS2H_12n	Yes	AR36	DQ35	DQ17	DQ8	DQ4
2H	24	VREFB2HN0	IO	CLK_2H_1p		LVDS2H_12p	Yes	AR37	DQ35	DQ17	DQ8	DQ4
2H	23	VREFB2HN0	IO	CLK_2H_0n		LVDS2H_13n	No	AP35	DQ36	DQ18	DQ9	DQ4
2H	22	VREFB2HN0	IO	CLK_2H_0p		LVDS2H_13p	No	AP34	DQ36	DQ18	DQ9	DQ4
2H	21	VREFB2HN0	IO			LVDS2H_14n	Yes	AM37	DQSn36	DQ18	DQ9	DQSn4/CQn4
2H	20	VREFB2HN0	IO			LVDS2H_14p	Yes	AL36	DQS36	DQ18	DQ9	DQS4/CQ4
2H	19	VREFB2HN0	IO	PLL_2H_CLKOUT0n		LVDS2H_15n	No	AN35	DQ36	DQ18	DQ9	DQ4
2H	18	VREFB2HN0	IO	"PLL_2H_CLKOUT0p,PLL_2H_CLKOUT0,PLL_2H_FB0"		LVDS2H_15p	No	AM35	DQ36	DQ18	DQ9	DQ4
2H	17	VREFB2HN0	IO			LVDS2H_16n	Yes	AM34	DQSn37	DQSn18/CQn18	DQ9	DQ4
2H	16	VREFB2HN0	IO			LVDS2H_16p	Yes	AL34	DQS37	DQS18/CQ18	DQ9	DQ4
2H	15	VREFB2HN0	IO			LVDS2H_17n	No	AL35	DQ37	DQ18	DQ9	DQ4
2H	14	VREFB2HN0	IO			LVDS2H_17p	No	AK36	DQ37	DQ18	DQ9	DQ4
2H	13	VREFB2HN0	IO			LVDS2H_18n	Yes	AT34	DQ37	DQ18	DQSn9/CQn9	DQ4
2H	12	VREFB2HN0	IO			LVDS2H_18p	Yes	AR34	DQ37	DQ18	DQS9/CQ9	DQ4
2H	11	VREFB2HN0	IO			LVDS2H_19n	No	AT37	DQ38	DQ19	DQ9	DQ4
2H	10	VREFB2HN0	IO			LVDS2H_19p	No	AT36	DQ38	DQ19	DQ9	DQ4
2H	9	VREFB2HN0	IO			LVDS2H_20n	Yes	AV37	DQSn38	DQ19	DQ9	DQ4
2H	8	VREFB2HN0	IO			LVDS2H_20p	Yes	AU37	DQS38	DQ19	DQ9	DQ4
2H	7	VREFB2HN0	IO			LVDS2H_21n	No	AU39	DQ38	DQ19	DQ9	DQ4
2H	6	VREFB2HN0	IO			LVDS2H_21p	No	AT39	DQ38	DQ19	DQ9	DQ4
2H	5	VREFB2HN0	IO			LVDS2H_22n	Yes	AV38	DQSn39	DQSn19/CQn19	DQ9	DQ4
2H	4	VREFB2HN0	IO			LVDS2H_22p	Yes	AU38	DQS39	DQS19/CQ19	DQ9	DQ4
2H	3	VREFB2HN0	IO			LVDS2H_23n	No	AV36	DQ39	DQ19	DQ9	DQ4
2H	2	VREFB2HN0	IO			LVDS2H_23p	No	AV35	DQ39	DQ19	DQ9	DQ4
2H	1	VREFB2HN0	IO			LVDS2H_24n	Yes	AU35	DQ39	DQ19	DQ9	DQ4
2H	0	VREFB2HN0	IO			LVDS2H_24p	Yes	AT35	DQ39	DQ19	DQ9	DQ4
2G	47	VREFB2GN0	IO			LVDS2G_1n	No	AN33	DQ40	DQ20	DQ10	DQ5
2G	46	VREFB2GN0	IO			LVDS2G_1p	No	AM33	DQ40	DQ20	DQ10	DQ5
2G	45	VREFB2GN0	IO			LVDS2G_2n	Yes	AN32	DQSn40	DQ20	DQ10	DQ5
2G	44	VREFB2GN0	IO			LVDS2G_2p	Yes	AM32	DQS40	DQ20	DQ10	DQ5
2G	43	VREFB2GN0	IO			LVDS2G_3n	No	AP31	DQ40	DQ20	DQ10	DQ5
2G	42	VREFB2GN0	IO			LVDS2G_3p	No	AN31	DQ40	DQ20	DQ10	DQ5
2G	41	VREFB2GN0	IO			LVDS2G_4n	Yes	AK31	DQSn41	DQSn20/CQn20	DQ10	DQ5
2G	40	VREFB2GN0	IO			LVDS2G_4p	Yes	AK32	DQS41	DQS20/CQ20	DQ10	DQ5
2G	39	VREFB2GN0	IO			LVDS2G_5n	No	AK33	DQ41	DQ20	DQ10	DQ5
2G	38	VREFB2GN0	IO			LVDS2G_5p	No	AJ33	DQ41	DQ20	DQ10	DQ5
2G	37	VREFB2GN0	IO			LVDS2G_6n	Yes	AL31	DQ41	DQ20	DQSn10/CQn10	DQ5
2G	36	VREFB2GN0	IO			LVDS2G_6p	Yes	AL32	DQ41	DQ20	DQS10/CQ10	DQ5
2G	35	VREFB2GN0	IO			LVDS2G_7n	No	AR33	DQ42	DQ21	DQ10	DQ5
2G	34	VREFB2GN0	IO			LVDS2G_7p	No	AP33	DQ42	DQ21	DQ10	DQ5
2G	33	VREFB2GN0	IO			LVDS2G_8n	Yes	AR32	DQSn42	DQ21	DQ10	DQ5
2G	32	VREFB2GN0	IO			LVDS2G_8p	Yes	AR31	DQS42	DQ21	DQ10	DQ5
2G	31	VREFB2GN0	IO			LVDS2G_9n	No	AV32	DQ42	DQ21	DQ10	DQ5
2G	30	VREFB2GN0	IO			LVDS2G_9p	No	AU32	DQ42	DQ21	DQ10	DQ5
2G	29	VREFB2GN0	IO	PLL_2G_CLKOUT1n		LVDS2G_10n	Yes	AT32	DQSn43	DQSn21/CQn21	DQ10	DQ5
2G	28	VREFB2GN0	IO	"PLL_2G_CLKOUT1p,PLL_2G_CLKOUT1,PLL_2G_FB1"		LVDS2G_10p	Yes	AT31	DQS43	DQS21/CQ21	DQ10	DQ5
2G	27	VREFB2GN0	IO			LVDS2G_11n	No	AU34	DQ43	DQ21	DQ10	DQ5
2G	26	VREFB2GN0	IO	RZQ_2G		LVDS2G_11p	No	AU33	DQ43	DQ21	DQ10	DQ5
2G	25	VREFB2GN0	IO	CLK_2G_1n		LVDS2G_12n	Yes	AW33	DQ43	DQ21	DQ10	DQ5
2G	24	VREFB2GN0	IO	CLK_2G_1p		LVDS2G_12p	Yes	AV33	DQ43	DQ21	DQ10	DQ5
2G	23	VREFB2GN0	IO	CLK_2G_0n		LVDS2G_13n	No	AW36	DQ44	DQ22	DQ11	DQ5
2G	22	VREFB2GN0	IO	CLK_2G_0p		LVDS2G_13p	No	AW35	DQ44	DQ22	DQ11	DQ5
2G	21	VREFB2GN0	IO			LVDS2G_14n	Yes	AY33	DQSn44	DQ22	DQ11	DQSn5/CQn5
2G	20	VREFB2GN0	IO			LVDS2G_14p	Yes	AY32	DQS44	DQ22	DQ11	DQS5/CQ5
2G	19	VREFB2GN0	IO	PLL_2G_CLKOUT0n		LVDS2G_15n	No	AY37	DQ44	DQ22	DQ11	DQ5
2G	18	VREFB2GN0	IO	"PLL_2G_CLKOUT0p,PLL_2G_CLKOUT0,PLL_2G_FB0"		LVDS2G_15p	No	AY36	DQ44	DQ22	DQ11	DQ5
2G	17	VREFB2GN0	IO			LVDS2G_16n	Yes	BB37	DQSn45	DQSn22/CQn22	DQ11	DQ5
2G	16	VREFB2GN0	IO			LVDS2G_16p	Yes	BA37	DQS45	DQS22/CQ22	DQ11	DQ5
2G	15	VREFB2GN0	IO			LVDS2G_17n	No	AW31	DQ45	DQ22	DQ11	DQ5
2G	14	VREFB2GN0	IO			LVDS2G_17p	No	AV31	DQ45	DQ22	DQ11	DQ5
2G	13	VREFB2GN0	IO			LVDS2G_18n	Yes	AY34	DQ45	DQ22	DQSn11/CQn11	DQ5
2G	12	VREFB2GN0	IO			LVDS2G_18p	Yes	AW34	DQ45	DQ22	DQS11/CQ11	DQ5
2G	11	VREFB2GN0	IO			LVDS2G_19n	No	BA36	DQ46	DQ23	DQ11	DQ5
2G	10	VREFB2GN0	IO			LVDS2G_19p	No	BA35	DQ46	DQ23	DQ11	DQ5
2G	9	VREFB2GN0	IO			LVDS2G_20n	Yes	BB35	DQSn46	DQ23	DQ11	DQ5
2G	8	VREFB2GN0	IO			LVDS2G_20p	Yes	BA34	DQS46	DQ23	DQ11	DQ5
2G	7	VREFB2GN0	IO			LVDS2G_21n	No	BD34	DQ46	DQ23	DQ11	DQ5
2G	6	VREFB2GN0	IO			LVDS2G_21p	No	BD33	DQ46	DQ23	DQ11	DQ5
2G	5	VREFB2GN0	IO			LVDS2G_22n	Yes	BC33	DQSn47	DQSn23/CQn23	DQ11	DQ5
2G	4	VREFB2GN0	IO			LVDS2G_22p	Yes	BC32	DQS47	DQS23/CQ23	DQ11	DQ5
2G	3	VREFB2GN0	IO			LVDS2G_23n	No	BB34	DQ47	DQ23	DQ11	DQ5
2G	2	VREFB2GN0	IO			LVDS2G_23p	No	BB33	DQ47	DQ23	DQ11	DQ5
2G	1	VREFB2GN0	IO			LVDS2G_24n	Yes	BD35	DQ47	DQ23	DQ11	DQ5
2G	0	VREFB2GN0	IO			LVDS2G_24p	Yes	BC35	DQ47	DQ23	DQ11	DQ5
2F	47	VREFB2FN0	IO			LVDS2F_1n	No	AP30	DQ48	DQ24	DQ12	DQ6
2F	46	VREFB2FN0	IO			LVDS2F_1p	No	AN30	DQ48	DQ24	DQ12	DQ6
2F	45	VREFB2FN0	IO			LVDS2F_2n	Yes	AP28	DQSn48	DQ24	DQ12	DQ6
2F	44	VREFB2FN0	IO			LVDS2F_2p	Yes	AN28	DQS48	DQ24	DQ12	DQ6
2F	43	VREFB2FN0	IO			LVDS2F_3n	No	AM29	DQ48	DQ24	DQ12	DQ6
2F	42	VREFB2FN0	IO			LVDS2F_3p	No	AM28	DQ48	DQ24	DQ12	DQ6
2F	41	VREFB2FN0	IO			LVDS2F_4n	Yes	AR29	DQSn49	DQSn24/CQn24	DQ12	DQ6
2F	40	VREFB2FN0	IO			LVDS2F_4p	Yes	AP29	DQS49	DQS24/CQ24	DQ12	DQ6
2F	39	VREFB2FN0	IO			LVDS2F_5n	No	AM30	DQ49	DQ24	DQ12	DQ6
2F	38	VREFB2FN0	IO			LVDS2F_5p	No	AL30	DQ49	DQ24	DQ12	DQ6
2F	37	VREFB2FN0	IO			LVDS2F_6n	Yes	AN27	DQ49	DQ24	DQSn12/CQn12	DQ6
2F	36	VREFB2FN0	IO			LVDS2F_6p	Yes	AM27	DQ49	DQ24	DQS12/CQ12	DQ6
2F	35	VREFB2FN0	IO			LVDS2F_7n	No	AU30	DQ50	DQ25	DQ12	DQ6
2F	34	VREFB2FN0	IO			LVDS2F_7p	No	AT30	DQ50	DQ25	DQ12	DQ6
2F	33	VREFB2FN0	IO			LVDS2F_8n	Yes	AU29	DQSn50	DQ25	DQ12	DQ6
2F	32	VREFB2FN0	IO			LVDS2F_8p	Yes	AT29	DQS50	DQ25	DQ12	DQ6
2F	31	VREFB2FN0	IO			LVDS2F_9n	No	AR27	DQ50	DQ25	DQ12	DQ6
2F	30	VREFB2FN0	IO			LVDS2F_9p	No	AR28	DQ50	DQ25	DQ12	DQ6
2F	29	VREFB2FN0	IO	PLL_2F_CLKOUT1n		LVDS2F_10n	Yes	AW30	DQSn51	DQSn25/CQn25	DQ12	DQ6
2F	28	VREFB2FN0	IO	"PLL_2F_CLKOUT1p,PLL_2F_CLKOUT1,PLL_2F_FB1"		LVDS2F_10p	Yes	AV30	DQS51	DQS25/CQ25	DQ12	DQ6
2F	27	VREFB2FN0	IO			LVDS2F_11n	No	AV28	DQ51	DQ25	DQ12	DQ6
2F	26	VREFB2FN0	IO	RZQ_2F		LVDS2F_11p	No	AU28	DQ51	DQ25	DQ12	DQ6
2F	25	VREFB2FN0	IO	CLK_2F_1n		LVDS2F_12n	Yes	AU27	DQ51	DQ25	DQ12	DQ6
2F	24	VREFB2FN0	IO	CLK_2F_1p		LVDS2F_12p	Yes	AT27	DQ51	DQ25	DQ12	DQ6
2F	23	VREFB2FN0	IO	CLK_2F_0n		LVDS2F_13n	No	BA31	DQ52	DQ26	DQ13	DQ6
2F	22	VREFB2FN0	IO	CLK_2F_0p		LVDS2F_13p	No	AY31	DQ52	DQ26	DQ13	DQ6
2F	21	VREFB2FN0	IO			LVDS2F_14n	Yes	BB32	DQSn52	DQ26	DQ13	DQSn6/CQn6
2F	20	VREFB2FN0	IO			LVDS2F_14p	Yes	BA32	DQS52	DQ26	DQ13	DQS6/CQ6
2F	19	VREFB2FN0	IO	PLL_2F_CLKOUT0n		LVDS2F_15n	No	AW29	DQ52	DQ26	DQ13	DQ6
2F	18	VREFB2FN0	IO	"PLL_2F_CLKOUT0p,PLL_2F_CLKOUT0,PLL_2F_FB0"		LVDS2F_15p	No	AW28	DQ52	DQ26	DQ13	DQ6
2F	17	VREFB2FN0	IO			LVDS2F_16n	Yes	BA30	DQSn53	DQSn26/CQn26	DQ13	DQ6
2F	16	VREFB2FN0	IO			LVDS2F_16p	Yes	BA29	DQS53	DQS26/CQ26	DQ13	DQ6
2F	15	VREFB2FN0	IO			LVDS2F_17n	No	BC31	DQ53	DQ26	DQ13	DQ6
2F	14	VREFB2FN0	IO			LVDS2F_17p	No	BB30	DQ53	DQ26	DQ13	DQ6
2F	13	VREFB2FN0	IO			LVDS2F_18n	Yes	AY29	DQ53	DQ26	DQSn13/CQn13	DQ6
2F	12	VREFB2FN0	IO			LVDS2F_18p	Yes	AY28	DQ53	DQ26	DQS13/CQ13	DQ6
2F	11	VREFB2FN0	IO			LVDS2F_19n	No	BD31	DQ54	DQ27	DQ13	DQ6
2F	10	VREFB2FN0	IO			LVDS2F_19p	No	BD30	DQ54	DQ27	DQ13	DQ6
2F	9	VREFB2FN0	IO			LVDS2F_20n	Yes	BB29	DQSn54	DQ27	DQ13	DQ6
2F	8	VREFB2FN0	IO			LVDS2F_20p	Yes	BB28	DQS54	DQ27	DQ13	DQ6
2F	7	VREFB2FN0	IO			LVDS2F_21n	No	BC27	DQ54	DQ27	DQ13	DQ6
2F	6	VREFB2FN0	IO			LVDS2F_21p	No	BB27	DQ54	DQ27	DQ13	DQ6
2F	5	VREFB2FN0	IO			LVDS2F_22n	Yes	BA27	DQSn55	DQSn27/CQn27	DQ13	DQ6
2F	4	VREFB2FN0	IO			LVDS2F_22p	Yes	BA26	DQS55	DQS27/CQ27	DQ13	DQ6
2F	3	VREFB2FN0	IO			LVDS2F_23n	No	BD29	DQ55	DQ27	DQ13	DQ6
2F	2	VREFB2FN0	IO			LVDS2F_23p	No	BC30	DQ55	DQ27	DQ13	DQ6
2F	1	VREFB2FN0	IO			LVDS2F_24n	Yes	BD28	DQ55	DQ27	DQ13	DQ6
2F	0	VREFB2FN0	IO			LVDS2F_24p	Yes	BC28	DQ55	DQ27	DQ13	DQ6
2A	47	VREFB2AN0	IO		DATA0	LVDS2A_1n	No	BD19	DQ56	DQ28	DQ14	DQ7
2A	46	VREFB2AN0	IO		DATA1	LVDS2A_1p	No	BD20	DQ56	DQ28	DQ14	DQ7
2A	45	VREFB2AN0	IO		DATA2	LVDS2A_2n	Yes	BB19	DQSn56	DQ28	DQ14	DQ7
2A	44	VREFB2AN0	IO		DATA3	LVDS2A_2p	Yes	BA19	DQS56	DQ28	DQ14	DQ7
2A	43	VREFB2AN0	IO		DATA4	LVDS2A_3n	No	BA20	DQ56	DQ28	DQ14	DQ7
2A	42	VREFB2AN0	IO		DATA5	LVDS2A_3p	No	BA21	DQ56	DQ28	DQ14	DQ7
2A	41	VREFB2AN0	IO		DATA6	LVDS2A_4n	Yes	BC20	DQSn57	DQSn28/CQn28	DQ14	DQ7
2A	40	VREFB2AN0	IO		DATA7	LVDS2A_4p	Yes	BB20	DQS57	DQS28/CQ28	DQ14	DQ7
2A	39	VREFB2AN0	IO		DATA8	LVDS2A_5n	No	BB22	DQ57	DQ28	DQ14	DQ7
2A	38	VREFB2AN0	IO		DATA9	LVDS2A_5p	No	BA22	DQ57	DQ28	DQ14	DQ7
2A	37	VREFB2AN0	IO		DATA10	LVDS2A_6n	Yes	BD21	DQ57	DQ28	DQSn14/CQn14	DQ7
2A	36	VREFB2AN0	IO		DATA11	LVDS2A_6p	Yes	BC21	DQ57	DQ28	DQS14/CQ14	DQ7
2A	35	VREFB2AN0	IO		DATA12	LVDS2A_7n	No	BC22	DQ58	DQ29	DQ14	DQ7
2A	34	VREFB2AN0	IO		DATA13	LVDS2A_7p	No	BC23	DQ58	DQ29	DQ14	DQ7
2A	33	VREFB2AN0	IO		DATA14	LVDS2A_8n	Yes	BA24	DQSn58	DQ29	DQ14	DQ7
2A	32	VREFB2AN0	IO		DATA15	LVDS2A_8p	Yes	AY23	DQS58	DQ29	DQ14	DQ7
2A	31	VREFB2AN0	IO		DATA16	LVDS2A_9n	No	BD25	DQ58	DQ29	DQ14	DQ7
2A	30	VREFB2AN0	IO		DATA17	LVDS2A_9p	No	BC25	DQ58	DQ29	DQ14	DQ7
2A	29	VREFB2AN0	IO	PLL_2A_CLKOUT1n	DATA18	LVDS2A_10n	Yes	BB23	DQSn59	DQSn29/CQn29	DQ14	DQ7
2A	28	VREFB2AN0	IO	"PLL_2A_CLKOUT1p,PLL_2A_CLKOUT1,PLL_2A_FB1"	DATA19	LVDS2A_10p	Yes	BB24	DQS59	DQS29/CQ29	DQ14	DQ7
2A	27	VREFB2AN0	IO		nCEO	LVDS2A_11n	No	BD23	DQ59	DQ29	DQ14	DQ7
2A	26	VREFB2AN0	IO	RZQ_2A		LVDS2A_11p	No	BD24	DQ59	DQ29	DQ14	DQ7
2A	25	VREFB2AN0	IO	CLK_2A_1n	DATA20	LVDS2A_12n	Yes	BD26	DQ59	DQ29	DQ14	DQ7
2A	24	VREFB2AN0	IO	CLK_2A_1p	DATA21	LVDS2A_12p	Yes	BC26	DQ59	DQ29	DQ14	DQ7
2A	23	VREFB2AN0	IO	CLK_2A_0n	DATA22	LVDS2A_13n	No	AV25	DQ60	DQ30	DQ15	DQ7
2A	22	VREFB2AN0	IO	CLK_2A_0p	DATA23	LVDS2A_13p	No	AU25	DQ60	DQ30	DQ15	DQ7
2A	21	VREFB2AN0	IO		DATA24	LVDS2A_14n	Yes	BB25	DQSn60	DQ30	DQ15	DQSn7/CQn7
2A	20	VREFB2AN0	IO		DATA25	LVDS2A_14p	Yes	BA25	DQS60	DQ30	DQ15	DQS7/CQ7
2A	19	VREFB2AN0	IO	PLL_2A_CLKOUT0n	DATA26	LVDS2A_15n	No	AW25	DQ60	DQ30	DQ15	DQ7
2A	18	VREFB2AN0	IO	"PLL_2A_CLKOUT0p,PLL_2A_CLKOUT0,PLL_2A_FB0"	DATA27	LVDS2A_15p	No	AW26	DQ60	DQ30	DQ15	DQ7
2A	17	VREFB2AN0	IO		DATA28	LVDS2A_16n	Yes	AY26	DQSn61	DQSn30/CQn30	DQ15	DQ7
2A	16	VREFB2AN0	IO		DATA29	LVDS2A_16p	Yes	AY27	DQS61	DQS30/CQ30	DQ15	DQ7
2A	15	VREFB2AN0	IO		DATA30	LVDS2A_17n	No	AY24	DQ61	DQ30	DQ15	DQ7
2A	14	VREFB2AN0	IO		DATA31	LVDS2A_17p	No	AW24	DQ61	DQ30	DQ15	DQ7
2A	13	VREFB2AN0	IO		CLKUSR	LVDS2A_18n	Yes	AV26	DQ61	DQ30	DQSn15/CQn15	DQ7
2A	12	VREFB2AN0	IO		PR_REQUEST	LVDS2A_18p	Yes	AV27	DQ61	DQ30	DQS15/CQ15	DQ7
2A	11	VREFB2AN0	IO		PR_READY	LVDS2A_19n	No	AU24	DQ62	DQ31	DQ15	DQ7
2A	10	VREFB2AN0	IO		nPERSTL0	LVDS2A_19p	No	AT25	DQ62	DQ31	DQ15	DQ7
2A	9	VREFB2AN0	IO		PR_DONE	LVDS2A_20n	Yes	AT24	DQSn62	DQ31	DQ15	DQ7
2A	8	VREFB2AN0	IO		nPERSTL1	LVDS2A_20p	Yes	AR24	DQS62	DQ31	DQ15	DQ7
2A	7	VREFB2AN0	IO		PR_ERROR	LVDS2A_21n	No	AP26	DQ62	DQ31	DQ15	DQ7
2A	6	VREFB2AN0	IO		nPERSTR1	LVDS2A_21p	No	AN26	DQ62	DQ31	DQ15	DQ7
2A	5	VREFB2AN0	IO		CvP_CONFDONE	LVDS2A_22n	Yes	AN25	DQSn63	DQSn31/CQn31	DQ15	DQ7
2A	4	VREFB2AN0	IO		nPERSTR0	LVDS2A_22p	Yes	AM25	DQS63	DQS31/CQ31	DQ15	DQ7
2A	3	VREFB2AN0	IO		INIT_DONE	LVDS2A_23n	No	AT26	DQ63	DQ31	DQ15	DQ7
2A	2	VREFB2AN0	IO		DEV_OE	LVDS2A_23p	No	AR26	DQ63	DQ31	DQ15	DQ7
2A	1	VREFB2AN0	IO		CRC_ERROR	LVDS2A_24n	Yes	AP25	DQ63	DQ31	DQ15	DQ7
2A	0	VREFB2AN0	IO		DEV_CLRn	LVDS2A_24p	Yes	AP24	DQ63	DQ31	DQ15	DQ7
3H	47	VREFB3HN0	IO			LVDS3H_1n	No	J19	DQ64	DQ32	DQ16	DQ8
3H	46	VREFB3HN0	IO			LVDS3H_1p	No	K19	DQ64	DQ32	DQ16	DQ8
3H	45	VREFB3HN0	IO			LVDS3H_2n	Yes	L19	DQSn64	DQ32	DQ16	DQ8
3H	44	VREFB3HN0	IO			LVDS3H_2p	Yes	M19	DQS64	DQ32	DQ16	DQ8
3H	43	VREFB3HN0	IO			LVDS3H_3n	No	M20	DQ64	DQ32	DQ16	DQ8
3H	42	VREFB3HN0	IO			LVDS3H_3p	No	N20	DQ64	DQ32	DQ16	DQ8
3H	41	VREFB3HN0	IO			LVDS3H_4n	Yes	L20	DQSn65	DQSn32/CQn32	DQ16	DQ8
3H	40	VREFB3HN0	IO			LVDS3H_4p	Yes	L21	DQS65	DQS32/CQ32	DQ16	DQ8
3H	39	VREFB3HN0	IO			LVDS3H_5n	No	H20	DQ65	DQ32	DQ16	DQ8
3H	38	VREFB3HN0	IO			LVDS3H_5p	No	J20	DQ65	DQ32	DQ16	DQ8
3H	37	VREFB3HN0	IO			LVDS3H_6n	Yes	J21	DQ65	DQ32	DQSn16/CQn16	DQ8
3H	36	VREFB3HN0	IO			LVDS3H_6p	Yes	K21	DQ65	DQ32	DQS16/CQ16	DQ8
3H	35	VREFB3HN0	IO			LVDS3H_7n	No	G19	DQ66	DQ33	DQ16	DQ8
3H	34	VREFB3HN0	IO			LVDS3H_7p	No	G20	DQ66	DQ33	DQ16	DQ8
3H	33	VREFB3HN0	IO			LVDS3H_8n	Yes	F19	DQSn66	DQ33	DQ16	DQ8
3H	32	VREFB3HN0	IO			LVDS3H_8p	Yes	F20	DQS66	DQ33	DQ16	DQ8
3H	31	VREFB3HN0	IO			LVDS3H_9n	No	B19	DQ66	DQ33	DQ16	DQ8
3H	30	VREFB3HN0	IO			LVDS3H_9p	No	C18	DQ66	DQ33	DQ16	DQ8
3H	29	VREFB3HN0	IO	PLL_3H_CLKOUT1n		LVDS3H_10n	Yes	D19	DQSn67	DQSn33/CQn33	DQ16	DQ8
3H	28	VREFB3HN0	IO	"PLL_3H_CLKOUT1p,PLL_3H_CLKOUT1,PLL_3H_FB1"		LVDS3H_10p	Yes	E19	DQS67	DQS33/CQ33	DQ16	DQ8
3H	27	VREFB3HN0	IO			LVDS3H_11n	No	B20	DQ67	DQ33	DQ16	DQ8
3H	26	VREFB3HN0	IO	RZQ_3H		LVDS3H_11p	No	C20	DQ67	DQ33	DQ16	DQ8
3H	25	VREFB3HN0	IO	CLK_3H_1n		LVDS3H_12n	Yes	A20	DQ67	DQ33	DQ16	DQ8
