Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F35	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
2I	32	VREFB2IN0	IO				LVDS2I_8p	Yes	AJ16	DQS26	DQ13	DQ6	DQ3
2I	31	VREFB2IN0	IO				LVDS2I_9n	No	AF15	DQ26	DQ13	DQ6	DQ3
2I	30	VREFB2IN0	IO				LVDS2I_9p	No	AF16	DQ26	DQ13	DQ6	DQ3
2I	29	VREFB2IN0	IO	PLL_2I_CLKOUT1n			LVDS2I_10n	Yes	AG17	DQSn27	DQSn13/CQn13	DQ6	DQ3
2I	28	VREFB2IN0	IO	"PLL_2I_CLKOUT1p,PLL_2I_CLKOUT1,PLL_2I_FB1"			LVDS2I_10p	Yes	AH17	DQS27	DQS13/CQ13	DQ6	DQ3
2I	27	VREFB2IN0	IO				LVDS2I_11n	No	AJ15	DQ27	DQ13	DQ6	DQ3
2I	26	VREFB2IN0	IO	RZQ_2I			LVDS2I_11p	No	AH14	DQ27	DQ13	DQ6	DQ3
2I	25	VREFB2IN0	IO	CLK_2I_1n			LVDS2I_12n	Yes	AF14	DQ27	DQ13	DQ6	DQ3
2I	24	VREFB2IN0	IO	CLK_2I_1p			LVDS2I_12p	Yes	AG15	DQ27	DQ13	DQ6	DQ3
2A	47	VREFB2AN0	IO		DATA0		LVDS2A_1n	No	AE14	DQ40	DQ20	DQ10	DQ5
2A	46	VREFB2AN0	IO		DATA1		LVDS2A_1p	No	AF13	DQ40	DQ20	DQ10	DQ5
2A	45	VREFB2AN0	IO		DATA2		LVDS2A_2n	Yes	AN14	DQSn40	DQ20	DQ10	DQ5
2A	44	VREFB2AN0	IO		DATA3		LVDS2A_2p	Yes	AP14	DQS40	DQ20	DQ10	DQ5
2A	43	VREFB2AN0	IO		DATA4		LVDS2A_3n	No	AM13	DQ40	DQ20	DQ10	DQ5
2A	42	VREFB2AN0	IO		DATA5		LVDS2A_3p	No	AN13	DQ40	DQ20	DQ10	DQ5
2A	41	VREFB2AN0	IO		DATA6		LVDS2A_4n	Yes	AG12	DQSn41	DQSn20/CQn20	DQ10	DQ5
2A	40	VREFB2AN0	IO		DATA7		LVDS2A_4p	Yes	AH12	DQS41	DQS20/CQ20	DQ10	DQ5
2A	39	VREFB2AN0	IO		DATA8		LVDS2A_5n	No	AG11	DQ41	DQ20	DQ10	DQ5
2A	38	VREFB2AN0	IO		DATA9		LVDS2A_5p	No	AF11	DQ41	DQ20	DQ10	DQ5
2A	37	VREFB2AN0	IO		DATA10		LVDS2A_6n	Yes	AG10	DQ41	DQ20	DQSn10/CQn10	DQ5
2A	36	VREFB2AN0	IO		DATA11		LVDS2A_6p	Yes	AF10	DQ41	DQ20	DQS10/CQ10	DQ5
2A	35	VREFB2AN0	IO		DATA12		LVDS2A_7n	No	AP12	DQ42	DQ21	DQ10	DQ5
2A	34	VREFB2AN0	IO		DATA13		LVDS2A_7p	No	AP11	DQ42	DQ21	DQ10	DQ5
2A	33	VREFB2AN0	IO		DATA14		LVDS2A_8n	Yes	AN12	DQSn42	DQ21	DQ10	DQ5
2A	32	VREFB2AN0	IO		DATA15		LVDS2A_8p	Yes	AM12	DQS42	DQ21	DQ10	DQ5
2A	31	VREFB2AN0	IO		DATA16		LVDS2A_9n	No	AK9	DQ42	DQ21	DQ10	DQ5
2A	30	VREFB2AN0	IO		DATA17		LVDS2A_9p	No	AL9	DQ42	DQ21	DQ10	DQ5
2A	29	VREFB2AN0	IO	PLL_2A_CLKOUT1n	DATA18		LVDS2A_10n	Yes	AP10	DQSn43	DQSn21/CQn21	DQ10	DQ5
2A	28	VREFB2AN0	IO	"PLL_2A_CLKOUT1p,PLL_2A_CLKOUT1,PLL_2A_FB1"	DATA19		LVDS2A_10p	Yes	AN10	DQS43	DQS21/CQ21	DQ10	DQ5
2A	27	VREFB2AN0	IO		nCEO		LVDS2A_11n	No	AM11	DQ43	DQ21	DQ10	DQ5
2A	26	VREFB2AN0	IO	RZQ_2A			LVDS2A_11p	No	AL11	DQ43	DQ21	DQ10	DQ5
2A	25	VREFB2AN0	IO	CLK_2A_1n	DATA20		LVDS2A_12n	Yes	AL10	DQ43	DQ21	DQ10	DQ5
2A	24	VREFB2AN0	IO	CLK_2A_1p	DATA21		LVDS2A_12p	Yes	AM10	DQ43	DQ21	DQ10	DQ5
2A	23	VREFB2AN0	IO	CLK_2A_0n	DATA22		LVDS2A_13n	No	AL16	DQ44	DQ22	DQ11	DQ5
2A	22	VREFB2AN0	IO	CLK_2A_0p	DATA23		LVDS2A_13p	No	AM16	DQ44	DQ22	DQ11	DQ5
2A	21	VREFB2AN0	IO		DATA24		LVDS2A_14n	Yes	AD10	DQSn44	DQ22	DQ11	DQSn5/CQn5
2A	20	VREFB2AN0	IO		DATA25		LVDS2A_14p	Yes	AE11	DQS44	DQ22	DQ11	DQS5/CQ5
2A	19	VREFB2AN0	IO	PLL_2A_CLKOUT0n	DATA26		LVDS2A_15n	No	AN15	DQ44	DQ22	DQ11	DQ5
2A	18	VREFB2AN0	IO	"PLL_2A_CLKOUT0p,PLL_2A_CLKOUT0,PLL_2A_FB0"	DATA27		LVDS2A_15p	No	AP15	DQ44	DQ22	DQ11	DQ5
2A	17	VREFB2AN0	IO		DATA28		LVDS2A_16n	Yes	AL15	DQSn45	DQSn22/CQn22	DQ11	DQ5
2A	16	VREFB2AN0	IO		DATA29		LVDS2A_16p	Yes	AM15	DQS45	DQS22/CQ22	DQ11	DQ5
2A	15	VREFB2AN0	IO		DATA30		LVDS2A_17n	No	AE12	DQ45	DQ22	DQ11	DQ5
2A	14	VREFB2AN0	IO		DATA31		LVDS2A_17p	No	AE13	DQ45	DQ22	DQ11	DQ5
2A	13	VREFB2AN0	IO		CLKUSR		LVDS2A_18n	Yes	AL14	DQ45	DQ22	DQSn11/CQn11	DQ5
2A	12	VREFB2AN0	IO		PR_REQUEST		LVDS2A_18p	Yes	AL13	DQ45	DQ22	DQS11/CQ11	DQ5
2A	11	VREFB2AN0	IO		PR_READY		LVDS2A_19n	No	AG13	DQ46	DQ23	DQ11	DQ5
2A	10	VREFB2AN0	IO		nPERSTL0		LVDS2A_19p	No	AH13	DQ46	DQ23	DQ11	DQ5
2A	9	VREFB2AN0	IO		PR_DONE		LVDS2A_20n	Yes	AJ11	DQSn46	DQ23	DQ11	DQ5
2A	8	VREFB2AN0	IO		nPERSTL1		LVDS2A_20p	Yes	AJ10	DQS46	DQ23	DQ11	DQ5
2A	7	VREFB2AN0	IO		PR_ERROR		LVDS2A_21n	No	AK14	DQ46	DQ23	DQ11	DQ5
2A	6	VREFB2AN0	IO				LVDS2A_21p	No	AJ14	DQ46	DQ23	DQ11	DQ5
2A	5	VREFB2AN0	IO		CvP_CONFDONE		LVDS2A_22n	Yes	AK13	DQSn47	DQSn23/CQn23	DQ11	DQ5
2A	4	VREFB2AN0	IO				LVDS2A_22p	Yes	AK12	DQS47	DQS23/CQ23	DQ11	DQ5
2A	3	VREFB2AN0	IO		INIT_DONE		LVDS2A_23n	No	AJ12	DQ47	DQ23	DQ11	DQ5
2A	2	VREFB2AN0	IO		DEV_OE		LVDS2A_23p	No	AK11	DQ47	DQ23	DQ11	DQ5
2A	1	VREFB2AN0	IO		CRC_ERROR		LVDS2A_24n	Yes	AH10	DQ47	DQ23	DQ11	DQ5
2A	0	VREFB2AN0	IO		DEV_CLRn		LVDS2A_24p	Yes	AJ9	DQ47	DQ23	DQ11	DQ5
3D	47	VREFB3DN0	IO				LVDS3D_1n	No	K8	DQ64	DQ32	DQ16	DQ8
3D	46	VREFB3DN0	IO				LVDS3D_1p	No	L8	DQ64	DQ32	DQ16	DQ8
3D	45	VREFB3DN0	IO				LVDS3D_2n	Yes	K9	DQSn64	DQ32	DQ16	DQ8
3D	44	VREFB3DN0	IO				LVDS3D_2p	Yes	J9	DQS64	DQ32	DQ16	DQ8
3D	43	VREFB3DN0	IO				LVDS3D_3n	No	L10	DQ64	DQ32	DQ16	DQ8
3D	42	VREFB3DN0	IO				LVDS3D_3p	No	L9	DQ64	DQ32	DQ16	DQ8
3D	41	VREFB3DN0	IO				LVDS3D_4n	Yes	H8	DQSn65	DQSn32/CQn32	DQ16	DQ8
3D	40	VREFB3DN0	IO				LVDS3D_4p	Yes	H9	DQS65	DQS32/CQ32	DQ16	DQ8
3D	39	VREFB3DN0	IO				LVDS3D_5n	No	K7	DQ65	DQ32	DQ16	DQ8
3D	38	VREFB3DN0	IO				LVDS3D_5p	No	K6	DQ65	DQ32	DQ16	DQ8
3D	37	VREFB3DN0	IO				LVDS3D_6n	Yes	L6	DQ65	DQ32	DQSn16/CQn16	DQ8
3D	36	VREFB3DN0	IO				LVDS3D_6p	Yes	L5	DQ65	DQ32	DQS16/CQ16	DQ8
3D	35	VREFB3DN0	IO				LVDS3D_7n	No	J7	DQ66	DQ33	DQ16	DQ8
3D	34	VREFB3DN0	IO				LVDS3D_7p	No	J6	DQ66	DQ33	DQ16	DQ8
3D	33	VREFB3DN0	IO				LVDS3D_8n	Yes	H7	DQSn66	DQ33	DQ16	DQ8
3D	32	VREFB3DN0	IO				LVDS3D_8p	Yes	G7	DQS66	DQ33	DQ16	DQ8
3D	31	VREFB3DN0	IO				LVDS3D_9n	No	G8	DQ66	DQ33	DQ16	DQ8
3D	30	VREFB3DN0	IO				LVDS3D_9p	No	F8	DQ66	DQ33	DQ16	DQ8
3D	29	VREFB3DN0	IO	PLL_3D_CLKOUT1n			LVDS3D_10n	Yes	D7	DQSn67	DQSn33/CQn33	DQ16	DQ8
3D	28	VREFB3DN0	IO	"PLL_3D_CLKOUT1p,PLL_3D_CLKOUT1,PLL_3D_FB1"			LVDS3D_10p	Yes	D6	DQS67	DQS33/CQ33	DQ16	DQ8
3D	27	VREFB3DN0	IO				LVDS3D_11n	No	G6	DQ67	DQ33	DQ16	DQ8
3D	26	VREFB3DN0	IO	RZQ_3D			LVDS3D_11p	No	G5	DQ67	DQ33	DQ16	DQ8
3D	25	VREFB3DN0	IO	CLK_3D_1n			LVDS3D_12n	Yes	E6	DQ67	DQ33	DQ16	DQ8
3D	24	VREFB3DN0	IO	CLK_3D_1p			LVDS3D_12p	Yes	E7	DQ67	DQ33	DQ16	DQ8
3D	23	VREFB3DN0	IO	CLK_3D_0n			LVDS3D_13n	No	F6	DQ68	DQ34	DQ17	DQ8
3D	22	VREFB3DN0	IO	CLK_3D_0p			LVDS3D_13p	No	F5	DQ68	DQ34	DQ17	DQ8
3D	21	VREFB3DN0	IO				LVDS3D_14n	Yes	J5	DQSn68	DQ34	DQ17	DQSn8/CQn8
3D	20	VREFB3DN0	IO				LVDS3D_14p	Yes	J4	DQS68	DQ34	DQ17	DQS8/CQ8
3D	19	VREFB3DN0	IO	PLL_3D_CLKOUT0n			LVDS3D_15n	No	H5	DQ68	DQ34	DQ17	DQ8
3D	18	VREFB3DN0	IO	"PLL_3D_CLKOUT0p,PLL_3D_CLKOUT0,PLL_3D_FB0"			LVDS3D_15p	No	H4	DQ68	DQ34	DQ17	DQ8
3D	17	VREFB3DN0	IO				LVDS3D_16n	Yes	E4	DQSn69	DQSn34/CQn34	DQ17	DQ8
3D	16	VREFB3DN0	IO				LVDS3D_16p	Yes	E3	DQS69	DQS34/CQ34	DQ17	DQ8
3D	15	VREFB3DN0	IO				LVDS3D_17n	No	F4	DQ69	DQ34	DQ17	DQ8
3D	14	VREFB3DN0	IO				LVDS3D_17p	No	F3	DQ69	DQ34	DQ17	DQ8
3D	13	VREFB3DN0	IO				LVDS3D_18n	Yes	G3	DQ69	DQ34	DQSn17/CQn17	DQ8
3D	12	VREFB3DN0	IO				LVDS3D_18p	Yes	G2	DQ69	DQ34	DQS17/CQ17	DQ8
3D	11	VREFB3DN0	IO				LVDS3D_19n	No	E2	DQ70	DQ35	DQ17	DQ8
3D	10	VREFB3DN0	IO				LVDS3D_19p	No	E1	DQ70	DQ35	DQ17	DQ8
3D	9	VREFB3DN0	IO				LVDS3D_20n	Yes	H3	DQSn70	DQ35	DQ17	DQ8
3D	8	VREFB3DN0	IO				LVDS3D_20p	Yes	H2	DQS70	DQ35	DQ17	DQ8
3D	7	VREFB3DN0	IO				LVDS3D_21n	No	J1	DQ70	DQ35	DQ17	DQ8
3D	6	VREFB3DN0	IO				LVDS3D_21p	No	J2	DQ70	DQ35	DQ17	DQ8
3D	5	VREFB3DN0	IO				LVDS3D_22n	Yes	K4	DQSn71	DQSn35/CQn35	DQ17	DQ8
3D	4	VREFB3DN0	IO				LVDS3D_22p	Yes	K3	DQS71	DQS35/CQ35	DQ17	DQ8
3D	3	VREFB3DN0	IO				LVDS3D_23n	No	F1	DQ71	DQ35	DQ17	DQ8
3D	2	VREFB3DN0	IO				LVDS3D_23p	No	G1	DQ71	DQ35	DQ17	DQ8
3D	1	VREFB3DN0	IO				LVDS3D_24n	Yes	K2	DQ71	DQ35	DQ17	DQ8
3D	0	VREFB3DN0	IO				LVDS3D_24p	Yes	K1	DQ71	DQ35	DQ17	DQ8
3C	47	VREFB3CN0	IO				LVDS3C_1n	No	L3	DQ72	DQ36	DQ18	DQ9
3C	46	VREFB3CN0	IO				LVDS3C_1p	No	L4	DQ72	DQ36	DQ18	DQ9
3C	45	VREFB3CN0	IO				LVDS3C_2n	Yes	N8	DQSn72	DQ36	DQ18	DQ9
3C	44	VREFB3CN0	IO				LVDS3C_2p	Yes	M8	DQS72	DQ36	DQ18	DQ9
3C	43	VREFB3CN0	IO				LVDS3C_3n	No	M6	DQ72	DQ36	DQ18	DQ9
3C	42	VREFB3CN0	IO				LVDS3C_3p	No	M5	DQ72	DQ36	DQ18	DQ9
3C	41	VREFB3CN0	IO				LVDS3C_4n	Yes	M1	DQSn73	DQSn36/CQn36	DQ18	DQ9
3C	40	VREFB3CN0	IO				LVDS3C_4p	Yes	L1	DQS73	DQS36/CQ36	DQ18	DQ9
3C	39	VREFB3CN0	IO				LVDS3C_5n	No	M3	DQ73	DQ36	DQ18	DQ9
3C	38	VREFB3CN0	IO				LVDS3C_5p	No	M2	DQ73	DQ36	DQ18	DQ9
3C	37	VREFB3CN0	IO				LVDS3C_6n	Yes	M7	DQ73	DQ36	DQSn18/CQn18	DQ9
3C	36	VREFB3CN0	IO				LVDS3C_6p	Yes	N7	DQ73	DQ36	DQS18/CQ18	DQ9
3C	35	VREFB3CN0	IO				LVDS3C_7n	No	P7	DQ74	DQ37	DQ18	DQ9
3C	34	VREFB3CN0	IO				LVDS3C_7p	No	P6	DQ74	DQ37	DQ18	DQ9
3C	33	VREFB3CN0	IO				LVDS3C_8n	Yes	T6	DQSn74	DQ37	DQ18	DQ9
3C	32	VREFB3CN0	IO				LVDS3C_8p	Yes	R6	DQS74	DQ37	DQ18	DQ9
3C	31	VREFB3CN0	IO				LVDS3C_9n	No	T5	DQ74	DQ37	DQ18	DQ9
3C	30	VREFB3CN0	IO				LVDS3C_9p	No	U5	DQ74	DQ37	DQ18	DQ9
3C	29	VREFB3CN0	IO	PLL_3C_CLKOUT1n			LVDS3C_10n	Yes	U1	DQSn75	DQSn37/CQn37	DQ18	DQ9
3C	28	VREFB3CN0	IO	"PLL_3C_CLKOUT1p,PLL_3C_CLKOUT1,PLL_3C_FB1"			LVDS3C_10p	Yes	T1	DQS75	DQS37/CQ37	DQ18	DQ9
3C	27	VREFB3CN0	IO				LVDS3C_11n	No	U3	DQ75	DQ37	DQ18	DQ9
3C	26	VREFB3CN0	IO	RZQ_3C			LVDS3C_11p	No	U2	DQ75	DQ37	DQ18	DQ9
3C	25	VREFB3CN0	IO	CLK_3C_1n			LVDS3C_12n	Yes	T4	DQ75	DQ37	DQ18	DQ9
3C	24	VREFB3CN0	IO	CLK_3C_1p			LVDS3C_12p	Yes	T3	DQ75	DQ37	DQ18	DQ9
3C	23	VREFB3CN0	IO	CLK_3C_0n			LVDS3C_13n	No	R4	DQ76	DQ38	DQ19	DQ9
3C	22	VREFB3CN0	IO	CLK_3C_0p			LVDS3C_13p	No	P4	DQ76	DQ38	DQ19	DQ9
3C	21	VREFB3CN0	IO				LVDS3C_14n	Yes	P5	DQSn76	DQ38	DQ19	DQSn9/CQn9
3C	20	VREFB3CN0	IO				LVDS3C_14p	Yes	N5	DQS76	DQ38	DQ19	DQS9/CQ9
3C	19	VREFB3CN0	IO	PLL_3C_CLKOUT0n			LVDS3C_15n	No	N4	DQ76	DQ38	DQ19	DQ9
3C	18	VREFB3CN0	IO	"PLL_3C_CLKOUT0p,PLL_3C_CLKOUT0,PLL_3C_FB0"			LVDS3C_15p	No	N3	DQ76	DQ38	DQ19	DQ9
3C	17	VREFB3CN0	IO				LVDS3C_16n	Yes	N2	DQSn77	DQSn38/CQn38	DQ19	DQ9
3C	16	VREFB3CN0	IO				LVDS3C_16p	Yes	P2	DQS77	DQS38/CQ38	DQ19	DQ9
3C	15	VREFB3CN0	IO				LVDS3C_17n	No	P1	DQ77	DQ38	DQ19	DQ9
3C	14	VREFB3CN0	IO				LVDS3C_17p	No	R1	DQ77	DQ38	DQ19	DQ9
3C	13	VREFB3CN0	IO				LVDS3C_18n	Yes	R3	DQ77	DQ38	DQSn19/CQn19	DQ9
3C	12	VREFB3CN0	IO				LVDS3C_18p	Yes	R2	DQ77	DQ38	DQS19/CQ19	DQ9
3C	11	VREFB3CN0	IO				LVDS3C_19n	No	U8	DQ78	DQ39	DQ19	DQ9
3C	10	VREFB3CN0	IO				LVDS3C_19p	No	U7	DQ78	DQ39	DQ19	DQ9
3C	9	VREFB3CN0	IO				LVDS3C_20n	Yes	R8	DQSn78	DQ39	DQ19	DQ9
3C	8	VREFB3CN0	IO				LVDS3C_20p	Yes	R7	DQS78	DQ39	DQ19	DQ9
3C	7	VREFB3CN0	IO				LVDS3C_21n	No	T10	DQ78	DQ39	DQ19	DQ9
3C	6	VREFB3CN0	IO				LVDS3C_21p	No	T9	DQ78	DQ39	DQ19	DQ9
3C	5	VREFB3CN0	IO				LVDS3C_22n	Yes	R9	DQSn79	DQSn39/CQn39	DQ19	DQ9
3C	4	VREFB3CN0	IO				LVDS3C_22p	Yes	T8	DQS79	DQS39/CQ39	DQ19	DQ9
3C	3	VREFB3CN0	IO				LVDS3C_23n	No	P10	DQ79	DQ39	DQ19	DQ9
3C	2	VREFB3CN0	IO				LVDS3C_23p	No	P9	DQ79	DQ39	DQ19	DQ9
3C	1	VREFB3CN0	IO				LVDS3C_24n	Yes	N10	DQ79	DQ39	DQ19	DQ9
3C	0	VREFB3CN0	IO				LVDS3C_24p	Yes	N9	DQ79	DQ39	DQ19	DQ9
3B	47	VREFB3BN0	IO				LVDS3B_1n	No	W6	DQ80	DQ40	DQ20	DQ10
3B	46	VREFB3BN0	IO				LVDS3B_1p	No	W5	DQ80	DQ40	DQ20	DQ10
3B	45	VREFB3BN0	IO				LVDS3B_2n	Yes	V3	DQSn80	DQ40	DQ20	DQ10
3B	44	VREFB3BN0	IO				LVDS3B_2p	Yes	V4	DQS80	DQ40	DQ20	DQ10
3B	43	VREFB3BN0	IO				LVDS3B_3n	No	V2	DQ80	DQ40	DQ20	DQ10
3B	42	VREFB3BN0	IO				LVDS3B_3p	No	W2	DQ80	DQ40	DQ20	DQ10
3B	41	VREFB3BN0	IO				LVDS3B_4n	Yes	Y4	DQSn81	DQSn40/CQn40	DQ20	DQ10
3B	40	VREFB3BN0	IO				LVDS3B_4p	Yes	W4	DQS81	DQS40/CQ40	DQ20	DQ10
3B	39	VREFB3BN0	IO				LVDS3B_5n	No	U6	DQ81	DQ40	DQ20	DQ10
3B	38	VREFB3BN0	IO				LVDS3B_5p	No	V5	DQ81	DQ40	DQ20	DQ10
3B	37	VREFB3BN0	IO				LVDS3B_6n	Yes	W1	DQ81	DQ40	DQSn20/CQn20	DQ10
3B	36	VREFB3BN0	IO				LVDS3B_6p	Yes	Y1	DQ81	DQ40	DQS20/CQ20	DQ10
3B	35	VREFB3BN0	IO				LVDS3B_7n	No	V9	DQ82	DQ41	DQ20	DQ10
3B	34	VREFB3BN0	IO				LVDS3B_7p	No	V8	DQ82	DQ41	DQ20	DQ10
3B	33	VREFB3BN0	IO				LVDS3B_8n	Yes	W7	DQSn82	DQ41	DQ20	DQ10
3B	32	VREFB3BN0	IO				LVDS3B_8p	Yes	V7	DQS82	DQ41	DQ20	DQ10
3B	31	VREFB3BN0	IO				LVDS3B_9n	No	Y9	DQ82	DQ41	DQ20	DQ10
3B	30	VREFB3BN0	IO				LVDS3B_9p	No	W9	DQ82	DQ41	DQ20	DQ10
3B	29	VREFB3BN0	IO	PLL_3B_CLKOUT1n			LVDS3B_10n	Yes	Y8	DQSn83	DQSn41/CQn41	DQ20	DQ10
3B	28	VREFB3BN0	IO	"PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1"			LVDS3B_10p	Yes	AA8	DQS83	DQS41/CQ41	DQ20	DQ10
3B	27	VREFB3BN0	IO				LVDS3B_11n	No	V10	DQ83	DQ41	DQ20	DQ10
3B	26	VREFB3BN0	IO	RZQ_3B			LVDS3B_11p	No	W10	DQ83	DQ41	DQ20	DQ10
3B	25	VREFB3BN0	IO	CLK_3B_1n			LVDS3B_12n	Yes	Y7	DQ83	DQ41	DQ20	DQ10
3B	24	VREFB3BN0	IO	CLK_3B_1p			LVDS3B_12p	Yes	Y6	DQ83	DQ41	DQ20	DQ10
3B	23	VREFB3BN0	IO	CLK_3B_0n			LVDS3B_13n	No	AA6	DQ84	DQ42	DQ21	DQ10
3B	22	VREFB3BN0	IO	CLK_3B_0p			LVDS3B_13p	No	AA5	DQ84	DQ42	DQ21	DQ10
3B	21	VREFB3BN0	IO				LVDS3B_14n	Yes	AB6	DQSn84	DQ42	DQ21	DQSn10/CQn10
3B	20	VREFB3BN0	IO				LVDS3B_14p	Yes	AB5	DQS84	DQ42	DQ21	DQS10/CQ10
3B	19	VREFB3BN0	IO	PLL_3B_CLKOUT0n			LVDS3B_15n	No	Y3	DQ84	DQ42	DQ21	DQ10
3B	18	VREFB3BN0	IO	"PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0"			LVDS3B_15p	No	Y2	DQ84	DQ42	DQ21	DQ10
3B	17	VREFB3BN0	IO				LVDS3B_16n	Yes	AA4	DQSn85	DQSn42/CQn42	DQ21	DQ10
3B	16	VREFB3BN0	IO				LVDS3B_16p	Yes	AA3	DQS85	DQS42/CQ42	DQ21	DQ10
3B	15	VREFB3BN0	IO				LVDS3B_17n	No	AB3	DQ85	DQ42	DQ21	DQ10
3B	14	VREFB3BN0	IO				LVDS3B_17p	No	AB2	DQ85	DQ42	DQ21	DQ10
3B	13	VREFB3BN0	IO				LVDS3B_18n	Yes	AA1	DQ85	DQ42	DQSn21/CQn21	DQ10
3B	12	VREFB3BN0	IO				LVDS3B_18p	Yes	AB1	DQ85	DQ42	DQS21/CQ21	DQ10
3B	11	VREFB3BN0	IO				LVDS3B_19n	No	AA10	DQ86	DQ43	DQ21	DQ10
3B	10	VREFB3BN0	IO				LVDS3B_19p	No	AA9	DQ86	DQ43	DQ21	DQ10
3B	9	VREFB3BN0	IO				LVDS3B_20n	Yes	AC8	DQSn86	DQ43	DQ21	DQ10
3B	8	VREFB3BN0	IO				LVDS3B_20p	Yes	AC7	DQS86	DQ43	DQ21	DQ10
3B	7	VREFB3BN0	IO				LVDS3B_21n	No	AB8	DQ86	DQ43	DQ21	DQ10
3B	6	VREFB3BN0	IO				LVDS3B_21p	No	AB7	DQ86	DQ43	DQ21	DQ10
3B	5	VREFB3BN0	IO				LVDS3B_22n	Yes	AC9	DQSn87	DQSn43/CQn43	DQ21	DQ10
3B	4	VREFB3BN0	IO				LVDS3B_22p	Yes	AB10	DQS87	DQS43/CQ43	DQ21	DQ10
3B	3	VREFB3BN0	IO				LVDS3B_23n	No	AC5	DQ87	DQ43	DQ21	DQ10
3B	2	VREFB3BN0	IO				LVDS3B_23p	No	AC4	DQ87	DQ43	DQ21	DQ10
3B	1	VREFB3BN0	IO				LVDS3B_24n	Yes	AC3	DQ87	DQ43	DQ21	DQ10
3B	0	VREFB3BN0	IO				LVDS3B_24p	Yes	AC2	DQ87	DQ43	DQ21	DQ10
3A	47	VREFB3AN0	IO				LVDS3A_1n	No	AD6	DQ88	DQ44	DQ22	DQ11
3A	46	VREFB3AN0	IO				LVDS3A_1p	No	AD7	DQ88	DQ44	DQ22	DQ11
3A	45	VREFB3AN0	IO				LVDS3A_2n	Yes	AE1	DQSn88	DQ44	DQ22	DQ11
3A	44	VREFB3AN0	IO				LVDS3A_2p	Yes	AE2	DQS88	DQ44	DQ22	DQ11
3A	43	VREFB3AN0	IO				LVDS3A_3n	No	AE3	DQ88	DQ44	DQ22	DQ11
3A	42	VREFB3AN0	IO				LVDS3A_3p	No	AE4	DQ88	DQ44	DQ22	DQ11
3A	41	VREFB3AN0	IO				LVDS3A_4n	Yes	AD4	DQSn89	DQSn44/CQn44	DQ22	DQ11
3A	40	VREFB3AN0	IO				LVDS3A_4p	Yes	AD5	DQS89	DQS44/CQ44	DQ22	DQ11
3A	39	VREFB3AN0	IO				LVDS3A_5n	No	AD1	DQ89	DQ44	DQ22	DQ11
3A	38	VREFB3AN0	IO				LVDS3A_5p	No	AD2	DQ89	DQ44	DQ22	DQ11
3A	37	VREFB3AN0	IO				LVDS3A_6n	Yes	AF1	DQ89	DQ44	DQSn22/CQn22	DQ11
3A	36	VREFB3AN0	IO				LVDS3A_6p	Yes	AG1	DQ89	DQ44	DQS22/CQ22	DQ11
3A	35	VREFB3AN0	IO				LVDS3A_7n	No	AG2	DQ90	DQ45	DQ22	DQ11
3A	34	VREFB3AN0	IO				LVDS3A_7p	No	AH2	DQ90	DQ45	DQ22	DQ11
3A	33	VREFB3AN0	IO				LVDS3A_8n	Yes	AE6	DQSn90	DQ45	DQ22	DQ11
3A	32	VREFB3AN0	IO				LVDS3A_8p	Yes	AF6	DQS90	DQ45	DQ22	DQ11
3A	31	VREFB3AN0	IO				LVDS3A_9n	No	AF4	DQ90	DQ45	DQ22	DQ11
3A	30	VREFB3AN0	IO				LVDS3A_9p	No	AF5	DQ90	DQ45	DQ22	DQ11
3A	29	VREFB3AN0	IO	PLL_3A_CLKOUT1n			LVDS3A_10n	Yes	AF3	DQSn91	DQSn45/CQn45	DQ22	DQ11
3A	28	VREFB3AN0	IO	"PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1"			LVDS3A_10p	Yes	AG3	DQS91	DQS45/CQ45	DQ22	DQ11
3A	27	VREFB3AN0	IO				LVDS3A_11n	No	AJ1	DQ91	DQ45	DQ22	DQ11
3A	26	VREFB3AN0	IO	RZQ_3A			LVDS3A_11p	No	AJ2	DQ91	DQ45	DQ22	DQ11
3A	25	VREFB3AN0	IO	CLK_3A_1n			LVDS3A_12n	Yes	AE8	DQ91	DQ45	DQ22	DQ11
3A	24	VREFB3AN0	IO	CLK_3A_1p			LVDS3A_12p	Yes	AE7	DQ91	DQ45	DQ22	DQ11
3A	23	VREFB3AN0	IO	CLK_3A_0n			LVDS3A_13n	No	AG5	DQ92	DQ46	DQ23	DQ11
3A	22	VREFB3AN0	IO	CLK_3A_0p			LVDS3A_13p	No	AG6	DQ92	DQ46	DQ23	DQ11
3A	21	VREFB3AN0	IO				LVDS3A_14n	Yes	AK1	DQSn92	DQ46	DQ23	DQSn11/CQn11
3A	20	VREFB3AN0	IO				LVDS3A_14p	Yes	AK2	DQS92	DQ46	DQ23	DQS11/CQ11
3A	19	VREFB3AN0	IO	PLL_3A_CLKOUT0n			LVDS3A_15n	No	AH3	DQ92	DQ46	DQ23	DQ11
