Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	HPS Function (3)	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F34	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
2J	46	VREFB2JN0	IO			HPS_DDR		LVDS2J_1p	No	AE24	DQ16	DQ8	DQ4	DQ2
2J	45	VREFB2JN0	IO			HPS_DDR		LVDS2J_2n	Yes	AH27	DQSn16	DQ8	DQ4	DQ2
2J	44	VREFB2JN0	IO			HPS_DDR		LVDS2J_2p	Yes	AJ27	DQS16	DQ8	DQ4	DQ2
2J	43	VREFB2JN0	IO			HPS_DDR		LVDS2J_3n	No	AH26	DQ16	DQ8	DQ4	DQ2
2J	42	VREFB2JN0	IO			HPS_DDR		LVDS2J_3p	No	AJ26	DQ16	DQ8	DQ4	DQ2
2J	41	VREFB2JN0	IO			HPS_DDR		LVDS2J_4n	Yes	AF25	DQSn17	DQSn8/CQn8	DQ4	DQ2
2J	40	VREFB2JN0	IO			HPS_DDR		LVDS2J_4p	Yes	AG25	DQS17	DQS8/CQ8	DQ4	DQ2
2J	39	VREFB2JN0	IO			HPS_DDR		LVDS2J_5n	No	AH25	DQ17	DQ8	DQ4	DQ2
2J	38	VREFB2JN0	IO			HPS_DDR		LVDS2J_5p	No	AJ25	DQ17	DQ8	DQ4	DQ2
2J	37	VREFB2JN0	IO			HPS_DDR		LVDS2J_6n	Yes	AD24	DQ17	DQ8	DQSn4/CQn4	DQ2
2J	36	VREFB2JN0	IO			HPS_DDR		LVDS2J_6p	Yes	AC24	DQ17	DQ8	DQS4/CQ4	DQ2
2J	35	VREFB2JN0	IO			HPS_DDR		LVDS2J_7n	No	AM27	DQ18	DQ9	DQ4	DQ2
2J	34	VREFB2JN0	IO			HPS_DDR		LVDS2J_7p	No	AN27	DQ18	DQ9	DQ4	DQ2
2J	33	VREFB2JN0	IO			HPS_DDR		LVDS2J_8n	Yes	AP27	DQSn18	DQ9	DQ4	DQ2
2J	32	VREFB2JN0	IO			HPS_DDR		LVDS2J_8p	Yes	AP26	DQS18	DQ9	DQ4	DQ2
2J	31	VREFB2JN0	IO			HPS_DDR		LVDS2J_9n	No	AK26	DQ18	DQ9	DQ4	DQ2
2J	30	VREFB2JN0	IO			HPS_DDR		LVDS2J_9p	No	AK27	DQ18	DQ9	DQ4	DQ2
2J	29	VREFB2JN0	IO	PLL_2J_CLKOUT1n		HPS_DDR		LVDS2J_10n	Yes	AM26	DQSn19	DQSn9/CQn9	DQ4	DQ2
2J	28	VREFB2JN0	IO	"PLL_2J_CLKOUT1p,PLL_2J_CLKOUT1,PLL_2J_FB1"		HPS_DDR		LVDS2J_10p	Yes	AM25	DQS19	DQS9/CQ9	DQ4	DQ2
2J	27	VREFB2JN0	IO			HPS_DDR		LVDS2J_11n	No	AN25	DQ19	DQ9	DQ4	DQ2
2J	26	VREFB2JN0	IO	RZQ_2J		HPS_DDR		LVDS2J_11p	No	AP25	DQ19	DQ9	DQ4	DQ2
2J	25	VREFB2JN0	IO	CLK_2J_1n		HPS_DDR		LVDS2J_12n	Yes	AL26	DQ19	DQ9	DQ4	DQ2
2J	24	VREFB2JN0	IO	CLK_2J_1p		HPS_DDR		LVDS2J_12p	Yes	AL27	DQ19	DQ9	DQ4	DQ2
2J	23	VREFB2JN0	IO	CLK_2J_0n		HPS_DDR		LVDS2J_13n	No	AP24	DQ20	DQ10	DQ5	DQ2
2J	22	VREFB2JN0	IO	CLK_2J_0p		HPS_DDR		LVDS2J_13p	No	AN24	DQ20	DQ10	DQ5	DQ2
2J	21	VREFB2JN0	IO			HPS_DDR		LVDS2J_14n	Yes	AL25	DQSn20	DQ10	DQ5	DQSn2/CQn2
2J	20	VREFB2JN0	IO			HPS_DDR		LVDS2J_14p	Yes	AL24	DQS20	DQ10	DQ5	DQS2/CQ2
2J	19	VREFB2JN0	IO	PLL_2J_CLKOUT0n		HPS_DDR		LVDS2J_15n	No	AP22	DQ20	DQ10	DQ5	DQ2
2J	18	VREFB2JN0	IO	"PLL_2J_CLKOUT0p,PLL_2J_CLKOUT0,PLL_2J_FB0"		HPS_DDR		LVDS2J_15p	No	AP21	DQ20	DQ10	DQ5	DQ2
2J	17	VREFB2JN0	IO			HPS_DDR		LVDS2J_16n	Yes	AN22	DQSn21	DQSn10/CQn10	DQ5	DQ2
2J	16	VREFB2JN0	IO			HPS_DDR		LVDS2J_16p	Yes	AM22	DQS21	DQS10/CQ10	DQ5	DQ2
2J	15	VREFB2JN0	IO			HPS_DDR		LVDS2J_17n	No	AN23	DQ21	DQ10	DQ5	DQ2
2J	14	VREFB2JN0	IO			HPS_DDR		LVDS2J_17p	No	AM23	DQ21	DQ10	DQ5	DQ2
2J	13	VREFB2JN0	IO			HPS_DDR		LVDS2J_18n	Yes	AP20	DQ21	DQ10	DQSn5/CQn5	DQ2
2J	12	VREFB2JN0	IO			HPS_DDR		LVDS2J_18p	Yes	AN20	DQ21	DQ10	DQS5/CQ5	DQ2
2J	11	VREFB2JN0	IO			HPS_DDR		LVDS2J_19n	No	AE23	DQ22	DQ11	DQ5	DQ2
2J	10	VREFB2JN0	IO			HPS_DDR		LVDS2J_19p	No	AF24	DQ22	DQ11	DQ5	DQ2
2J	9	VREFB2JN0	IO			HPS_DDR		LVDS2J_20n	Yes	AG23	DQSn22	DQ11	DQ5	DQ2
2J	8	VREFB2JN0	IO			HPS_DDR		LVDS2J_20p	Yes	AF23	DQS22	DQ11	DQ5	DQ2
2J	7	VREFB2JN0	IO			HPS_DDR		LVDS2J_21n	No	AK24	DQ22	DQ11	DQ5	DQ2
2J	6	VREFB2JN0	IO			HPS_DDR		LVDS2J_21p	No	AJ24	DQ22	DQ11	DQ5	DQ2
2J	5	VREFB2JN0	IO			HPS_DDR		LVDS2J_22n	Yes	AH24	DQSn23	DQSn11/CQn11	DQ5	DQ2
2J	4	VREFB2JN0	IO			HPS_DDR		LVDS2J_22p	Yes	AH23	DQS23	DQS11/CQ11	DQ5	DQ2
2J	3	VREFB2JN0	IO			HPS_DDR		LVDS2J_23n	No	AK23	DQ23	DQ11	DQ5	DQ2
2J	2	VREFB2JN0	IO			HPS_DDR		LVDS2J_23p	No	AL23	DQ23	DQ11	DQ5	DQ2
2J	1	VREFB2JN0	IO			HPS_DDR		LVDS2J_24n	Yes	AK22	DQ23	DQ11	DQ5	DQ2
2J	0	VREFB2JN0	IO			HPS_DDR		LVDS2J_24p	Yes	AJ22	DQ23	DQ11	DQ5	DQ2
2A	47	VREFB2AN0	IO		DATA0			LVDS2A_1n	No	AK13	DQ24	DQ12	DQ6	DQ3
2A	46	VREFB2AN0	IO		DATA1			LVDS2A_1p	No	AL13	DQ24	DQ12	DQ6	DQ3
2A	45	VREFB2AN0	IO		DATA2			LVDS2A_2n	Yes	AP17	DQSn24	DQ12	DQ6	DQ3
2A	44	VREFB2AN0	IO		DATA3			LVDS2A_2p	Yes	AP16	DQS24	DQ12	DQ6	DQ3
2A	43	VREFB2AN0	IO		DATA4			LVDS2A_3n	No	AP15	DQ24	DQ12	DQ6	DQ3
2A	42	VREFB2AN0	IO		DATA5			LVDS2A_3p	No	AN15	DQ24	DQ12	DQ6	DQ3
2A	41	VREFB2AN0	IO		DATA6			LVDS2A_4n	Yes	AM13	DQSn25	DQSn12/CQn12	DQ6	DQ3
2A	40	VREFB2AN0	IO		DATA7			LVDS2A_4p	Yes	AN13	DQS25	DQS12/CQ12	DQ6	DQ3
2A	39	VREFB2AN0	IO		DATA8			LVDS2A_5n	No	AP12	DQ25	DQ12	DQ6	DQ3
2A	38	VREFB2AN0	IO		DATA9			LVDS2A_5p	No	AN12	DQ25	DQ12	DQ6	DQ3
2A	37	VREFB2AN0	IO		DATA10			LVDS2A_6n	Yes	AP14	DQ25	DQ12	DQSn6/CQn6	DQ3
2A	36	VREFB2AN0	IO		DATA11			LVDS2A_6p	Yes	AN14	DQ25	DQ12	DQS6/CQ6	DQ3
2A	35	VREFB2AN0	IO		DATA12			LVDS2A_7n	No	AN18	DQ26	DQ13	DQ6	DQ3
2A	34	VREFB2AN0	IO		DATA13			LVDS2A_7p	No	AM18	DQ26	DQ13	DQ6	DQ3
2A	33	VREFB2AN0	IO		DATA14			LVDS2A_8n	Yes	AN17	DQSn26	DQ13	DQ6	DQ3
2A	32	VREFB2AN0	IO		DATA15			LVDS2A_8p	Yes	AM17	DQS26	DQ13	DQ6	DQ3
2A	31	VREFB2AN0	IO		DATA16			LVDS2A_9n	No	AK14	DQ26	DQ13	DQ6	DQ3
2A	30	VREFB2AN0	IO		DATA17			LVDS2A_9p	No	AL14	DQ26	DQ13	DQ6	DQ3
2A	29	VREFB2AN0	IO	PLL_2A_CLKOUT1n	DATA18			LVDS2A_10n	Yes	AM16	DQSn27	DQSn13/CQn13	DQ6	DQ3
2A	28	VREFB2AN0	IO	"PLL_2A_CLKOUT1p,PLL_2A_CLKOUT1,PLL_2A_FB1"	DATA19			LVDS2A_10p	Yes	AL16	DQS27	DQS13/CQ13	DQ6	DQ3
2A	27	VREFB2AN0	IO		nCEO			LVDS2A_11n	No	AL18	DQ27	DQ13	DQ6	DQ3
2A	26	VREFB2AN0	IO	RZQ_2A				LVDS2A_11p	No	AK18	DQ27	DQ13	DQ6	DQ3
2A	25	VREFB2AN0	IO	CLK_2A_1n	DATA20			LVDS2A_12n	Yes	AL15	DQ27	DQ13	DQ6	DQ3
2A	24	VREFB2AN0	IO	CLK_2A_1p	DATA21			LVDS2A_12p	Yes	AM15	DQ27	DQ13	DQ6	DQ3
2A	23	VREFB2AN0	IO	CLK_2A_0n	DATA22			LVDS2A_13n	No	AH19	DQ28	DQ14	DQ7	DQ3
2A	22	VREFB2AN0	IO	CLK_2A_0p	DATA23			LVDS2A_13p	No	AH18	DQ28	DQ14	DQ7	DQ3
2A	21	VREFB2AN0	IO		DATA24			LVDS2A_14n	Yes	AH14	DQSn28	DQ14	DQ7	DQSn3/CQn3
2A	20	VREFB2AN0	IO		DATA25			LVDS2A_14p	Yes	AJ14	DQS28	DQ14	DQ7	DQS3/CQ3
2A	19	VREFB2AN0	IO	PLL_2A_CLKOUT0n	DATA26			LVDS2A_15n	No	AH17	DQ28	DQ14	DQ7	DQ3
2A	18	VREFB2AN0	IO	"PLL_2A_CLKOUT0p,PLL_2A_CLKOUT0,PLL_2A_FB0"	DATA27			LVDS2A_15p	No	AG17	DQ28	DQ14	DQ7	DQ3
2A	17	VREFB2AN0	IO		DATA28			LVDS2A_16n	Yes	AK17	DQSn29	DQSn14/CQn14	DQ7	DQ3
2A	16	VREFB2AN0	IO		DATA29			LVDS2A_16p	Yes	AJ17	DQS29	DQS14/CQ14	DQ7	DQ3
2A	15	VREFB2AN0	IO		DATA30			LVDS2A_17n	No	AH15	DQ29	DQ14	DQ7	DQ3
2A	14	VREFB2AN0	IO		DATA31			LVDS2A_17p	No	AJ15	DQ29	DQ14	DQ7	DQ3
2A	13	VREFB2AN0	IO		CLKUSR			LVDS2A_18n	Yes	AK16	DQ29	DQ14	DQSn7/CQn7	DQ3
2A	12	VREFB2AN0	IO		PR_REQUEST			LVDS2A_18p	Yes	AJ16	DQ29	DQ14	DQS7/CQ7	DQ3
2A	11	VREFB2AN0	IO		PR_READY			LVDS2A_19n	No	AE17	DQ30	DQ15	DQ7	DQ3
2A	10	VREFB2AN0	IO		nPERSTL0			LVDS2A_19p	No	AE16	DQ30	DQ15	DQ7	DQ3
2A	9	VREFB2AN0	IO		PR_DONE			LVDS2A_20n	Yes	AF16	DQSn30	DQ15	DQ7	DQ3
2A	8	VREFB2AN0	IO		nPERSTL1			LVDS2A_20p	Yes	AG16	DQS30	DQ15	DQ7	DQ3
2A	7	VREFB2AN0	IO		PR_ERROR			LVDS2A_21n	No	AE18	DQ30	DQ15	DQ7	DQ3
2A	6	VREFB2AN0	IO					LVDS2A_21p	No	AD19	DQ30	DQ15	DQ7	DQ3
2A	5	VREFB2AN0	IO		CvP_CONFDONE			LVDS2A_22n	Yes	AE19	DQSn31	DQSn15/CQn15	DQ7	DQ3
2A	4	VREFB2AN0	IO					LVDS2A_22p	Yes	AF19	DQS31	DQS15/CQ15	DQ7	DQ3
2A	3	VREFB2AN0	IO		INIT_DONE			LVDS2A_23n	No	AG18	DQ31	DQ15	DQ7	DQ3
2A	2	VREFB2AN0	IO		DEV_OE			LVDS2A_23p	No	AF18	DQ31	DQ15	DQ7	DQ3
2A	1	VREFB2AN0	IO		CRC_ERROR			LVDS2A_24n	Yes	AD17	DQ31	DQ15	DQ7	DQ3
2A	0	VREFB2AN0	IO		DEV_CLRn			LVDS2A_24p	Yes	AC17	DQ31	DQ15	DQ7	DQ3
3D	47	VREFB3DN0	IO					LVDS3D_1n	No	R9	DQ32	DQ16	DQ8	DQ4
3D	46	VREFB3DN0	IO					LVDS3D_1p	No	T9	DQ32	DQ16	DQ8	DQ4
3D	45	VREFB3DN0	IO					LVDS3D_2n	Yes	T8	DQSn32	DQ16	DQ8	DQ4
3D	44	VREFB3DN0	IO					LVDS3D_2p	Yes	U8	DQS32	DQ16	DQ8	DQ4
3D	43	VREFB3DN0	IO					LVDS3D_3n	No	U7	DQ32	DQ16	DQ8	DQ4
3D	42	VREFB3DN0	IO					LVDS3D_3p	No	V7	DQ32	DQ16	DQ8	DQ4
3D	41	VREFB3DN0	IO					LVDS3D_4n	Yes	T10	DQSn33	DQSn16/CQn16	DQ8	DQ4
3D	40	VREFB3DN0	IO					LVDS3D_4p	Yes	U10	DQS33	DQS16/CQ16	DQ8	DQ4
3D	39	VREFB3DN0	IO					LVDS3D_5n	No	V8	DQ33	DQ16	DQ8	DQ4
3D	38	VREFB3DN0	IO					LVDS3D_5p	No	V9	DQ33	DQ16	DQ8	DQ4
3D	37	VREFB3DN0	IO					LVDS3D_6n	Yes	W9	DQ33	DQ16	DQSn8/CQn8	DQ4
3D	36	VREFB3DN0	IO					LVDS3D_6p	Yes	W10	DQ33	DQ16	DQS8/CQ8	DQ4
3D	35	VREFB3DN0	IO					LVDS3D_7n	No	P9	DQ34	DQ17	DQ8	DQ4
3D	34	VREFB3DN0	IO					LVDS3D_7p	No	N9	DQ34	DQ17	DQ8	DQ4
3D	33	VREFB3DN0	IO					LVDS3D_8n	Yes	P7	DQSn34	DQ17	DQ8	DQ4
3D	32	VREFB3DN0	IO					LVDS3D_8p	Yes	N7	DQS34	DQ17	DQ8	DQ4
3D	31	VREFB3DN0	IO					LVDS3D_9n	No	R7	DQ34	DQ17	DQ8	DQ4
3D	30	VREFB3DN0	IO					LVDS3D_9p	No	R8	DQ34	DQ17	DQ8	DQ4
3D	29	VREFB3DN0	IO	PLL_3D_CLKOUT1n				LVDS3D_10n	Yes	M8	DQSn35	DQSn17/CQn17	DQ8	DQ4
3D	28	VREFB3DN0	IO	"PLL_3D_CLKOUT1p,PLL_3D_CLKOUT1,PLL_3D_FB1"				LVDS3D_10p	Yes	N8	DQS35	DQS17/CQ17	DQ8	DQ4
3D	27	VREFB3DN0	IO					LVDS3D_11n	No	L8	DQ35	DQ17	DQ8	DQ4
3D	26	VREFB3DN0	IO	RZQ_3D				LVDS3D_11p	No	K7	DQ35	DQ17	DQ8	DQ4
3D	25	VREFB3DN0	IO	CLK_3D_1n				LVDS3D_12n	Yes	P6	DQ35	DQ17	DQ8	DQ4
3D	24	VREFB3DN0	IO	CLK_3D_1p				LVDS3D_12p	Yes	R6	DQ35	DQ17	DQ8	DQ4
3D	23	VREFB3DN0	IO	CLK_3D_0n				LVDS3D_13n	No	L6	DQ36	DQ18	DQ9	DQ4
3D	22	VREFB3DN0	IO	CLK_3D_0p				LVDS3D_13p	No	K6	DQ36	DQ18	DQ9	DQ4
3D	21	VREFB3DN0	IO					LVDS3D_14n	Yes	M7	DQSn36	DQ18	DQ9	DQSn4/CQn4
3D	20	VREFB3DN0	IO					LVDS3D_14p	Yes	M6	DQS36	DQ18	DQ9	DQS4/CQ4
3D	19	VREFB3DN0	IO	PLL_3D_CLKOUT0n				LVDS3D_15n	No	L5	DQ36	DQ18	DQ9	DQ4
3D	18	VREFB3DN0	IO	"PLL_3D_CLKOUT0p,PLL_3D_CLKOUT0,PLL_3D_FB0"				LVDS3D_15p	No	M5	DQ36	DQ18	DQ9	DQ4
3D	17	VREFB3DN0	IO					LVDS3D_16n	Yes	J5	DQSn37	DQSn18/CQn18	DQ9	DQ4
3D	16	VREFB3DN0	IO					LVDS3D_16p	Yes	J4	DQS37	DQS18/CQ18	DQ9	DQ4
3D	15	VREFB3DN0	IO					LVDS3D_17n	No	N5	DQ37	DQ18	DQ9	DQ4
3D	14	VREFB3DN0	IO					LVDS3D_17p	No	N4	DQ37	DQ18	DQ9	DQ4
3D	13	VREFB3DN0	IO					LVDS3D_18n	Yes	K4	DQ37	DQ18	DQSn9/CQn9	DQ4
3D	12	VREFB3DN0	IO					LVDS3D_18p	Yes	L4	DQ37	DQ18	DQS9/CQ9	DQ4
3D	11	VREFB3DN0	IO					LVDS3D_19n	No	M3	DQ38	DQ19	DQ9	DQ4
3D	10	VREFB3DN0	IO					LVDS3D_19p	No	M2	DQ38	DQ19	DQ9	DQ4
3D	9	VREFB3DN0	IO					LVDS3D_20n	Yes	N3	DQSn38	DQ19	DQ9	DQ4
3D	8	VREFB3DN0	IO					LVDS3D_20p	Yes	N2	DQS38	DQ19	DQ9	DQ4
3D	7	VREFB3DN0	IO					LVDS3D_21n	No	K3	DQ38	DQ19	DQ9	DQ4
3D	6	VREFB3DN0	IO					LVDS3D_21p	No	L3	DQ38	DQ19	DQ9	DQ4
3D	5	VREFB3DN0	IO					LVDS3D_22n	Yes	J2	DQSn39	DQSn19/CQn19	DQ9	DQ4
3D	4	VREFB3DN0	IO					LVDS3D_22p	Yes	J1	DQS39	DQS19/CQ19	DQ9	DQ4
3D	3	VREFB3DN0	IO					LVDS3D_23n	No	K2	DQ39	DQ19	DQ9	DQ4
3D	2	VREFB3DN0	IO					LVDS3D_23p	No	K1	DQ39	DQ19	DQ9	DQ4
3D	1	VREFB3DN0	IO					LVDS3D_24n	Yes	L1	DQ39	DQ19	DQ9	DQ4
3D	0	VREFB3DN0	IO					LVDS3D_24p	Yes	M1	DQ39	DQ19	DQ9	DQ4
3C	47	VREFB3CN0	IO					LVDS3C_1n	No	R4	DQ40	DQ20	DQ10	DQ5
3C	46	VREFB3CN0	IO					LVDS3C_1p	No	T4	DQ40	DQ20	DQ10	DQ5
3C	45	VREFB3CN0	IO					LVDS3C_2n	Yes	P5	DQSn40	DQ20	DQ10	DQ5
3C	44	VREFB3CN0	IO					LVDS3C_2p	Yes	P4	DQS40	DQ20	DQ10	DQ5
3C	43	VREFB3CN0	IO					LVDS3C_3n	No	R3	DQ40	DQ20	DQ10	DQ5
3C	42	VREFB3CN0	IO					LVDS3C_3p	No	T3	DQ40	DQ20	DQ10	DQ5
3C	41	VREFB3CN0	IO					LVDS3C_4n	Yes	T6	DQSn41	DQSn20/CQn20	DQ10	DQ5
3C	40	VREFB3CN0	IO					LVDS3C_4p	Yes	T5	DQS41	DQS20/CQ20	DQ10	DQ5
3C	39	VREFB3CN0	IO					LVDS3C_5n	No	U5	DQ41	DQ20	DQ10	DQ5
3C	38	VREFB3CN0	IO					LVDS3C_5p	No	U6	DQ41	DQ20	DQ10	DQ5
3C	37	VREFB3CN0	IO					LVDS3C_6n	Yes	V4	DQ41	DQ20	DQSn10/CQn10	DQ5
3C	36	VREFB3CN0	IO					LVDS3C_6p	Yes	V5	DQ41	DQ20	DQS10/CQ10	DQ5
3C	35	VREFB3CN0	IO					LVDS3C_7n	No	R2	DQ42	DQ21	DQ10	DQ5
3C	34	VREFB3CN0	IO					LVDS3C_7p	No	P2	DQ42	DQ21	DQ10	DQ5
3C	33	VREFB3CN0	IO					LVDS3C_8n	Yes	P1	DQSn42	DQ21	DQ10	DQ5
3C	32	VREFB3CN0	IO					LVDS3C_8p	Yes	R1	DQS42	DQ21	DQ10	DQ5
3C	31	VREFB3CN0	IO					LVDS3C_9n	No	V3	DQ42	DQ21	DQ10	DQ5
3C	30	VREFB3CN0	IO					LVDS3C_9p	No	U3	DQ42	DQ21	DQ10	DQ5
3C	29	VREFB3CN0	IO	PLL_3C_CLKOUT1n				LVDS3C_10n	Yes	T1	DQSn43	DQSn21/CQn21	DQ10	DQ5
3C	28	VREFB3CN0	IO	"PLL_3C_CLKOUT1p,PLL_3C_CLKOUT1,PLL_3C_FB1"				LVDS3C_10p	Yes	U1	DQS43	DQS21/CQ21	DQ10	DQ5
3C	27	VREFB3CN0	IO					LVDS3C_11n	No	U2	DQ43	DQ21	DQ10	DQ5
3C	26	VREFB3CN0	IO	RZQ_3C				LVDS3C_11p	No	V2	DQ43	DQ21	DQ10	DQ5
3C	25	VREFB3CN0	IO	CLK_3C_1n				LVDS3C_12n	Yes	W2	DQ43	DQ21	DQ10	DQ5
3C	24	VREFB3CN0	IO	CLK_3C_1p				LVDS3C_12p	Yes	W1	DQ43	DQ21	DQ10	DQ5
3C	23	VREFB3CN0	IO	CLK_3C_0n				LVDS3C_13n	No	Y7	DQ44	DQ22	DQ11	DQ5
3C	22	VREFB3CN0	IO	CLK_3C_0p				LVDS3C_13p	No	Y6	DQ44	DQ22	DQ11	DQ5
3C	21	VREFB3CN0	IO					LVDS3C_14n	Yes	Y9	DQSn44	DQ22	DQ11	DQSn5/CQn5
3C	20	VREFB3CN0	IO					LVDS3C_14p	Yes	Y8	DQS44	DQ22	DQ11	DQS5/CQ5
3C	19	VREFB3CN0	IO	PLL_3C_CLKOUT0n				LVDS3C_15n	No	W5	DQ44	DQ22	DQ11	DQ5
3C	18	VREFB3CN0	IO	"PLL_3C_CLKOUT0p,PLL_3C_CLKOUT0,PLL_3C_FB0"				LVDS3C_15p	No	W4	DQ44	DQ22	DQ11	DQ5
3C	17	VREFB3CN0	IO					LVDS3C_16n	Yes	W7	DQSn45	DQSn22/CQn22	DQ11	DQ5
3C	16	VREFB3CN0	IO					LVDS3C_16p	Yes	W6	DQS45	DQS22/CQ22	DQ11	DQ5
3C	15	VREFB3CN0	IO					LVDS3C_17n	No	AA9	DQ45	DQ22	DQ11	DQ5
3C	14	VREFB3CN0	IO					LVDS3C_17p	No	AA8	DQ45	DQ22	DQ11	DQ5
3C	13	VREFB3CN0	IO					LVDS3C_18n	Yes	AA6	DQ45	DQ22	DQSn11/CQn11	DQ5
3C	12	VREFB3CN0	IO					LVDS3C_18p	Yes	AA5	DQ45	DQ22	DQS11/CQ11	DQ5
3C	11	VREFB3CN0	IO					LVDS3C_19n	No	Y4	DQ46	DQ23	DQ11	DQ5
3C	10	VREFB3CN0	IO					LVDS3C_19p	No	Y3	DQ46	DQ23	DQ11	DQ5
3C	9	VREFB3CN0	IO					LVDS3C_20n	Yes	AA4	DQSn46	DQ23	DQ11	DQ5
3C	8	VREFB3CN0	IO					LVDS3C_20p	Yes	AA3	DQS46	DQ23	DQ11	DQ5
3C	7	VREFB3CN0	IO					LVDS3C_21n	No	AB3	DQ46	DQ23	DQ11	DQ5
3C	6	VREFB3CN0	IO					LVDS3C_21p	No	AB2	DQ46	DQ23	DQ11	DQ5
3C	5	VREFB3CN0	IO					LVDS3C_22n	Yes	AC2	DQSn47	DQSn23/CQn23	DQ11	DQ5
3C	4	VREFB3CN0	IO					LVDS3C_22p	Yes	AC3	DQS47	DQS23/CQ23	DQ11	DQ5
3C	3	VREFB3CN0	IO					LVDS3C_23n	No	Y2	DQ47	DQ23	DQ11	DQ5
3C	2	VREFB3CN0	IO					LVDS3C_23p	No	Y1	DQ47	DQ23	DQ11	DQ5
3C	1	VREFB3CN0	IO					LVDS3C_24n	Yes	AA1	DQ47	DQ23	DQ11	DQ5
3C	0	VREFB3CN0	IO					LVDS3C_24p	Yes	AB1	DQ47	DQ23	DQ11	DQ5
3B	47	VREFB3BN0	IO					LVDS3B_1n	No	AB11	DQ48	DQ24	DQ12	DQ6
3B	46	VREFB3BN0	IO					LVDS3B_1p	No	AB10	DQ48	DQ24	DQ12	DQ6
3B	45	VREFB3BN0	IO					LVDS3B_2n	Yes	AD1	DQSn48	DQ24	DQ12	DQ6
3B	44	VREFB3BN0	IO					LVDS3B_2p	Yes	AD2	DQS48	DQ24	DQ12	DQ6
3B	43	VREFB3BN0	IO					LVDS3B_3n	No	AD4	DQ48	DQ24	DQ12	DQ6
3B	42	VREFB3BN0	IO					LVDS3B_3p	No	AE4	DQ48	DQ24	DQ12	DQ6
3B	41	VREFB3BN0	IO					LVDS3B_4n	Yes	AB7	DQSn49	DQSn24/CQn24	DQ12	DQ6
3B	40	VREFB3BN0	IO					LVDS3B_4p	Yes	AB8	DQS49	DQS24/CQ24	DQ12	DQ6
3B	39	VREFB3BN0	IO					LVDS3B_5n	No	AB5	DQ49	DQ24	DQ12	DQ6
3B	38	VREFB3BN0	IO					LVDS3B_5p	No	AB6	DQ49	DQ24	DQ12	DQ6
3B	37	VREFB3BN0	IO					LVDS3B_6n	Yes	AC5	DQ49	DQ24	DQSn12/CQn12	DQ6
3B	36	VREFB3BN0	IO					LVDS3B_6p	Yes	AC4	DQ49	DQ24	DQS12/CQ12	DQ6
3B	35	VREFB3BN0	IO					LVDS3B_7n	No	AC7	DQ50	DQ25	DQ12	DQ6
3B	34	VREFB3BN0	IO					LVDS3B_7p	No	AD7	DQ50	DQ25	DQ12	DQ6
3B	33	VREFB3BN0	IO					LVDS3B_8n	Yes	AD6	DQSn50	DQ25	DQ12	DQ6
3B	32	VREFB3BN0	IO					LVDS3B_8p	Yes	AD5	DQS50	DQ25	DQ12	DQ6
3B	31	VREFB3BN0	IO					LVDS3B_9n	No	AC10	DQ50	DQ25	DQ12	DQ6
3B	30	VREFB3BN0	IO					LVDS3B_9p	No	AC9	DQ50	DQ25	DQ12	DQ6
3B	29	VREFB3BN0	IO	PLL_3B_CLKOUT1n				LVDS3B_10n	Yes	AD9	DQSn51	DQSn25/CQn25	DQ12	DQ6
3B	28	VREFB3BN0	IO	"PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1"				LVDS3B_10p	Yes	AC8	DQS51	DQS25/CQ25	DQ12	DQ6
3B	27	VREFB3BN0	IO					LVDS3B_11n	No	AE7	DQ51	DQ25	DQ12	DQ6
3B	26	VREFB3BN0	IO	RZQ_3B				LVDS3B_11p	No	AE6	DQ51	DQ25	DQ12	DQ6
3B	25	VREFB3BN0	IO	CLK_3B_1n				LVDS3B_12n	Yes	AD11	DQ51	DQ25	DQ12	DQ6
3B	24	VREFB3BN0	IO	CLK_3B_1p				LVDS3B_12p	Yes	AD10	DQ51	DQ25	DQ12	DQ6
3B	23	VREFB3BN0	IO	CLK_3B_0n				LVDS3B_13n	No	AE3	DQ52	DQ26	DQ13	DQ6
3B	22	VREFB3BN0	IO	CLK_3B_0p				LVDS3B_13p	No	AE2	DQ52	DQ26	DQ13	DQ6
3B	21	VREFB3BN0	IO					LVDS3B_14n	Yes	AF5	DQSn52	DQ26	DQ13	DQSn6/CQn6
3B	20	VREFB3BN0	IO					LVDS3B_14p	Yes	AG5	DQS52	DQ26	DQ13	DQS6/CQ6
3B	19	VREFB3BN0	IO	PLL_3B_CLKOUT0n				LVDS3B_15n	No	AF3	DQ52	DQ26	DQ13	DQ6
3B	18	VREFB3BN0	IO	"PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0"				LVDS3B_15p	No	AF4	DQ52	DQ26	DQ13	DQ6
3B	17	VREFB3BN0	IO					LVDS3B_16n	Yes	AE1	DQSn53	DQSn26/CQn26	DQ13	DQ6
3B	16	VREFB3BN0	IO					LVDS3B_16p	Yes	AF1	DQS53	DQS26/CQ26	DQ13	DQ6
