"Pin Information for HardCopy® IV HC4GX25LF1152 Version 1.0"										
										
										
Bank Number	VREF Group	"Pin Name
/Function"	"Optional  Function(s)"	Configuration Function for Stratix IV Only (1)	"Dedicated Tx_Rx Channel (2)"	"Emulated LVDS  Output Channel (2)"	F1152	"DQ Group for  DQS X4 Mode (2)"	"DQ Group for  DQS X8/X9 Mode (2)"	"DQ Group for  DQS X16/X18 Mode (2)"
7C	VREFB7CN0	IO				DIFFOUT_T37p	A14	DQ12T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T19n	DIFFOUT_T38n	A15	DQ12T	DQ11T	
7C	VREFB7CN0	IO			DIFFIO_RX_T19p	DIFFOUT_T38p	B15	DQ12T	DQ11T	
7C	VREFB7CN0	IO				DIFFOUT_T39n	C16	DQ13T		
7C	VREFB7CN0	IO				DIFFOUT_T39p	D15	DQ13T		
7C	VREFB7CN0	IO			DIFFIO_RX_T20n	DIFFOUT_T40n	E15	DQSn13T		
7C	VREFB7CN0	IO			DIFFIO_RX_T20p	DIFFOUT_T40p	F15	DQS13T		
7C	VREFB7CN0	IO				DIFFOUT_T41n	F16	DQ13T		
7C	VREFB7CN0	IO				DIFFOUT_T41p	E16	DQ13T		
7C	VREFB7CN0	IO			DIFFIO_RX_T21n	DIFFOUT_T42n	G16			
7C	VREFB7CN0	IO			DIFFIO_RX_T21p	DIFFOUT_T42p	H15			
7C	VREFB7CN0	IO(7)	PLL_T2_CLKOUT4			DIFFOUT_T43n	M17			
7C	VREFB7CN0	IO(7)	PLL_T2_CLKOUT3			DIFFOUT_T43p	L16			
7C	VREFB7CN0	IO(7)			DIFFIO_RX_T22n	DIFFOUT_T44n	H16			
7C	VREFB7CN0	IO(7)			DIFFIO_RX_T22p	DIFFOUT_T44p	J16			
7C	VREFB7CN0	IO(7)	PLL_T2_CLKOUT0n			DIFFOUT_T45n	K16			
7C	VREFB7CN0	IO(7)	PLL_T2_CLKOUT0p			DIFFOUT_T45p	K17			
7C	VREFB7CN0	IO(7)	PLL_T2_FBn/CLKOUT2		DIFFIO_RX_T23n	DIFFOUT_T46n	C17			
7C	VREFB7CN0	IO(7)	PLL_T2_FBp/CLKOUT1		DIFFIO_RX_T23p	DIFFOUT_T46p	D17			
7C	VREFB7CN0	IO	CLK13n			DIFFOUT_T47n	A16			
7C	VREFB7CN0	IO	CLK13p			DIFFOUT_T47p	B16			
7C	VREFB7CN0	IO	CLK12n		DIFFIO_RX_T24n	DIFFOUT_T48n	A17			
7C	VREFB7CN0	IO	CLK12p		DIFFIO_RX_T24p	DIFFOUT_T48p	A18			
8C	VREFB8CN0	IO	CLK14p		DIFFIO_RX_T25p	DIFFOUT_T49p	C18			
8C	VREFB8CN0	IO	CLK14n		DIFFIO_RX_T25n	DIFFOUT_T49n	B18			
8C	VREFB8CN0	IO	CLK15p			DIFFOUT_T50p	A20			
8C	VREFB8CN0	IO	CLK15n			DIFFOUT_T50n	A19			
8C	VREFB8CN0	IO	PLL_T1_FBp/CLKOUT1		DIFFIO_RX_T26p	DIFFOUT_T51p	E18			
8C	VREFB8CN0	IO	PLL_T1_FBn/CLKOUT2		DIFFIO_RX_T26n	DIFFOUT_T51n	D18			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT0p			DIFFOUT_T52p	M19			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT0n			DIFFOUT_T52n	L18			
8C	VREFB8CN0	IO			DIFFIO_RX_T27p	DIFFOUT_T53p	H19			
8C	VREFB8CN0	IO			DIFFIO_RX_T27n	DIFFOUT_T53n	G19			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT3			DIFFOUT_T54p	L19			
8C	VREFB8CN0	IO	PLL_T1_CLKOUT4			DIFFOUT_T54n	K20			
8C	VREFB8CN0	IO(7)			DIFFIO_RX_T28p	DIFFOUT_T55p	K19			
8C	VREFB8CN0	IO(7)			DIFFIO_RX_T28n	DIFFOUT_T55n	J19			
8C	VREFB8CN0	IO(7)				DIFFOUT_T56p	F20	DQ14T		
8C	VREFB8CN0	IO(7)				DIFFOUT_T56n	G20	DQ14T		
8C	VREFB8CN0	IO(7)			DIFFIO_RX_T29p	DIFFOUT_T57p	E19	DQS14T		
8C	VREFB8CN0	IO(7)			DIFFIO_RX_T29n	DIFFOUT_T57n	D19	DQSn14T		
8C	VREFB8CN0	IO(7)				DIFFOUT_T58p	F19	DQ14T		
8C	VREFB8CN0	IO(7)				DIFFOUT_T58n	C19	DQ14T		
8C	VREFB8CN0	IO			DIFFIO_RX_T30p	DIFFOUT_T59p	A23	DQ15T	DQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T30n	DIFFOUT_T59n	A22	DQ15T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T60p	B21	DQ15T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T60n	A21	DQ15T	DQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T31p	DIFFOUT_T61p	C22	DQS15T	DQS16T/CQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T31n	DIFFOUT_T61n	B22	DQSn15T	DQSn16T/DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T62p	F21	DQ16T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T62n	C20	DQ16T	DQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T32p	DIFFOUT_T63p	E21	DQS16T	DQ16T/CQn16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T32n	DIFFOUT_T63n	D21	DQSn16T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T64p	D20	DQ16T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T64n	C21	DQ16T	DQ16T	
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T33p	DIFFOUT_T65p	A26	DQ17T	DQ19T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T33n	DIFFOUT_T65n	A25	DQ17T	DQ19T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T66p	A24	DQ17T	DQ19T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T66n	B24	DQ17T	DQ19T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T34p	DIFFOUT_T67p	C26	DQS17T	DQS19T/CQ19T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T34n	DIFFOUT_T67n	B25	DQSn17T	DQSn19T/DQ19T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T68p	E24	DQ18T	DQ19T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T68n	C25	DQ18T	DQ19T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T35p	DIFFOUT_T69p	D24	DQS18T	DQ19T/CQn19T	DQS20T/CQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T35n	DIFFOUT_T69n	C24	DQSn18T	DQ19T	DQSn20T/DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T70p	D23	DQ18T	DQ19T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T70n	C23	DQ18T	DQ19T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T36p	DIFFOUT_T71p	J21	DQ19T	DQ20T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T36n	DIFFOUT_T71n	H21	DQ19T	DQ20T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T72p	L21	DQ19T	DQ20T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T72n	M21	DQ19T	DQ20T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T37p	DIFFOUT_T73p	K22	DQS19T	DQS20T/CQ20T	DQ20T/CQn20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T37n	DIFFOUT_T73n	K21	DQSn19T	DQSn20T/DQ20T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T74p	E22	DQ20T	DQ20T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T74n	F22	DQ20T	DQ20T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T38p	DIFFOUT_T75p	H22	DQS20T	DQ20T/CQn20T	DQ20T
8B	VREFB8BN0	IO(7)			DIFFIO_RX_T38n	DIFFOUT_T75n	G22	DQSn20T	DQ20T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T76p	F23	DQ20T	DQ20T	DQ20T
8B	VREFB8BN0	IO(7)				DIFFOUT_T76n	G23	DQ20T	DQ20T	DQ20T
8A	VREFB8AN0	IO			DIFFIO_RX_T39p	DIFFOUT_T77p	M23			
8A	VREFB8AN0	IO			DIFFIO_RX_T39n	DIFFOUT_T77n	L22			
8A	VREFB8AN0	IO				DIFFOUT_T78p	L24			
8A	VREFB8AN0	IO				DIFFOUT_T78n	K25			
8A	VREFB8AN0	IO			DIFFIO_RX_T40p	DIFFOUT_T79p	B28	DQ21T	DQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T40n	DIFFOUT_T79n	A29	DQ21T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T80p	A27	DQ21T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T80n	A28	DQ21T	DQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T41p	DIFFOUT_T81p	C27	DQS21T	DQS24T/CQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T41n	DIFFOUT_T81n	B27	DQSn21T	DQSn24T/DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T82p	E25	DQ22T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T82n	F24	DQ22T	DQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T42p	DIFFOUT_T83p	D26	DQS22T	DQ24T/CQn24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T42n	DIFFOUT_T83n	D27	DQSn22T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T84p	F25	DQ22T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T84n	E27	DQ22T	DQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T43p	DIFFOUT_T85p	A31	DQ23T	DQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T43n	DIFFOUT_T85n	A32	DQ23T	DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T86p	A30	DQ23T	DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T86n	B30	DQ23T	DQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T44p	DIFFOUT_T87p	C31	DQS23T	DQS25T/CQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T44n	DIFFOUT_T87n	B31	DQSn23T	DQSn25T/DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T88p	E28	DQ24T	DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T88n	D28	DQ24T	DQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T45p	DIFFOUT_T89p	D29	DQS24T	DQ25T/CQn25T	DQS26T/CQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T45n	DIFFOUT_T89n	C29	DQSn24T	DQ25T	DQSn26T/DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T90p	D30	DQ24T	DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T90n	C30	DQ24T	DQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T46p	DIFFOUT_T91p	G26	DQ25T	DQ26T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T46n	DIFFOUT_T91n	F26	DQ25T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T92p	G25	DQ25T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T92n	H25	DQ25T	DQ26T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T47p	DIFFOUT_T93p	G27	DQS25T	DQS26T/CQ26T	DQ26T/CQn26T
8A	VREFB8AN0	IO			DIFFIO_RX_T47n	DIFFOUT_T93n	F27	DQSn25T	DQSn26T/DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T94p	J23	DQ26T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T94n	K23	DQ26T	DQ26T	DQ26T
8A	VREFB8AN0	IO	RUP8A		DIFFIO_RX_T48p	DIFFOUT_T95p	J24	DQS26T	DQ26T/CQn26T	DQ26T
8A	VREFB8AN0	IO	RDN8A		DIFFIO_RX_T48n	DIFFOUT_T95n	H24	DQSn26T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T96p	J25	DQ26T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T96n	K24	DQ26T	DQ26T	DQ26T
QL1		GXB_TX_L7p					V31			
QL1		GXB_TX_L7n					V32			
QL1		GXB_RX_L7p					U33			
QL1		GXB_RX_L7n					U34			
QL1		GXB_TX_L6p					Y31			
QL1		GXB_TX_L6n					Y32			
QL1		GXB_RX_L6p					W33			
QL1		GXB_RX_L6n					W34			
QL1		"REFCLK_L3p, GXB_CMURX_L3p"					AC29			
QL1		"REFCLK_L3n, GXB_CMURX_L3n"					AC30			
QL1		"REFCLK_L2p, GXB_CMURX_L2p"					AE29			
QL1		"REFCLK_L2n, GXB_CMURX_L2n"					AE30			
QL1		GXB_TX_L5p					AB31			
QL1		GXB_TX_L5n					AB32			
QL1		GXB_RX_L5p					AA33			
QL1		GXB_RX_L5n					AA34			
QL1		GXB_TX_L4p					AD31			
QL1		GXB_TX_L4n					AD32			
QL1		GXB_RX_L4p					AC33			
QL1		GXB_RX_L4n					AC34			
QL0		GXB_TX_L3p					AF31			
QL0		GXB_TX_L3n					AF32			
QL0		GXB_RX_L3p					AE33			
QL0		GXB_RX_L3n					AE34			
QL0		GXB_TX_L2p					AH31			
QL0		GXB_TX_L2n					AH32			
QL0		GXB_RX_L2p					AG33			
QL0		GXB_RX_L2n					AG34			
QL0		"REFCLK_L1p, GXB_CMURX_L1p"					AG29			
QL0		"REFCLK_L1n, GXB_CMURX_L1n"					AG30			
QL0		"REFCLK_L0p, GXB_CMURX_L0p"					AJ29			
QL0		"REFCLK_L0n, GXB_CMURX_L0n"					AJ30			
QL0		GXB_TX_L1p					AK31			
QL0		GXB_TX_L1n					AK32			
QL0		GXB_RX_L1p					AJ33			
QL0		GXB_RX_L1n					AJ34			
QL0		GXB_TX_L0p					AM31			
QL0		GXB_TX_L0n					AM32			
QL0		GXB_RX_L0p					AL33			
QL0		GXB_RX_L0n					AL34			
QR0		GXB_RX_R0n					AL1			
QR0		GXB_RX_R0p					AL2			
QR0		GXB_TX_R0n					AM3			
QR0		GXB_TX_R0p					AM4			
QR0		GXB_RX_R1n					AJ1			
QR0		GXB_RX_R1p					AJ2			
QR0		GXB_TX_R1n					AK3			
QR0		GXB_TX_R1p					AK4			
QR0		"REFCLK_R0n, GXB_CMURX_R0n"					AJ5			
QR0		"REFCLK_R0p, GXB_CMURX_R0p"					AJ6			
QR0		"REFCLK_R1n, GXB_CMURX_R1n"					AG5			
QR0		"REFCLK_R1p, GXB_CMURX_R1p"					AG6			
QR0		GXB_RX_R2n					AG1			
QR0		GXB_RX_R2p					AG2			
QR0		GXB_TX_R2n					AH3			
QR0		GXB_TX_R2p					AH4			
QR0		GXB_RX_R3n					AE1			
QR0		GXB_RX_R3p					AE2			
QR0		GXB_TX_R3n					AF3			
QR0		GXB_TX_R3p					AF4			
QR1		GXB_RX_R4n					AC1			
QR1		GXB_RX_R4p					AC2			
QR1		GXB_TX_R4n					AD3			
QR1		GXB_TX_R4p					AD4			
QR1		GXB_RX_R5n					AA1			
QR1		GXB_RX_R5p					AA2			
QR1		GXB_TX_R5n					AB3			
QR1		GXB_TX_R5p					AB4			
QR1		"REFCLK_R2n, GXB_CMURX_R2n"					AE5			
QR1		"REFCLK_R2p, GXB_CMURX_R2p"					AE6			
QR1		"REFCLK_R3n, GXB_CMURX_R3n"					AC5			
QR1		"REFCLK_R3p, GXB_CMURX_R3p"					AC6			
QR1		GXB_RX_R6n					W1			
QR1		GXB_RX_R6p					W2			
QR1		GXB_TX_R6n					Y3			
QR1		GXB_TX_R6p					Y4			
QR1		GXB_RX_R7n					U1			
QR1		GXB_RX_R7p					U2			
QR1		GXB_TX_R7n					V3			
QR1		GXB_TX_R7p					V4			
		GND					P21			
		GND					AC8			
		GND					U18			
		GND					B32			
		GND					AN6			
		GND					AN9			
		GND					AN12			
		GND					AN15			
		GND					AN18			
		GND					AN21			
		GND					AN24			
		GND					AN27			
		GND					AN29			
		GND					AK9			
		GND					AK12			
		GND					AK15			
		GND					AK18			
		GND					AK21			
		GND					AK24			
		GND					AK27			
		GND					AG9			
		GND					AG12			
		GND					AG15			
		GND					AG18			
		GND					AG21			
		GND					AG24			
		GND					AG27			
		GND					AF8			
		GND					AD12			
		GND					AD15			
		GND					AD18			
		GND					AD21			
		GND					AD24			
		GND					AD27			
		GND					AC9			
		GND					AC11			
		GND					AB13			
		GND					AB15			
		GND					AB17			
		GND					AB19			
		GND					AB21			
		GND					AA14			
		GND					AA16			
		GND					AA18			
		GND					AA20			
		GND					AA22			
		GND					AA24			
		GND					Y11			
		GND					Y13			
		GND					Y15			
		GND					Y17			
		GND					Y19			
		GND					Y21			
		GND					W14			
		GND					W16			
		GND					W18			
		GND					W20			
		GND					W22			
		GND					V13			
		GND					V15			
		GND					V19			
		GND					V21			
		GND					V24			
		GND					U11			
		GND					U14			
		GND					U16			
		GND					U20			
		GND					U22			
		GND					T13			
		GND					T15			
		GND					T17			
		GND					T19			
		GND					T21			
		GND					R14			
		GND					R16			
		GND					R18			
		GND					R20			
		GND					R22			
		GND					R24			
		GND					R27			
		GND					R30			
		GND					R33			
		GND					P2			
		GND					P5			
		GND					P8			
		GND					P11			
		GND					P13			
		GND					P15			
		GND					P17			
		GND					P19			
		GND					N14			
		GND					N16			
		GND					N18			
		GND					N20			
		GND					N22			
		GND					M24			
		GND					M27			
		GND					M30			
		GND					M33			
		GND					L2			
		GND					L5			
		GND					L8			
		GND					L11			
		GND					L14			
		GND					L17			
		GND					L20			
		GND					L23			
		GND					J27			
		GND					J30			
		GND					J33			
		GND					H2			
		GND					H5			
		GND					H8			
		GND					H11			
		GND					H14			
		GND					H17			
		GND					H20			
		GND					H23			
		GND					H26			
		GND					F30			
		GND					F33			
		GND					E2			
		GND					E5			
		GND					E8			
		GND					E11			
		GND					E14			
		GND					E17			
		GND					E20			
		GND					E23			
		GND					E26			
		GND					E29			
		GND					C33			
		GND					B2			
		GND					B5			
		GND					B8			
		GND					B11			
		GND					B14			
		GND					B17			
		GND					B20			
		GND					B23			
		GND					B26			
		GND					B29			
		GND					T34			
		GND					T33			
		GND					T32			
		GND					U32			
		GND					U31			
		GND					U29			
		GND					U27			
		GND					V34			
		GND					V33			
		GND					V30			
		GND					V28			
		GND					W32			
		GND					W31			
		GND					W29			
		GND					W27			
		GND					Y34			
		GND					Y33			
		GND					Y30			
		GND					Y28			
		GND					AA32			
		GND					AA31			
		GND					AA29			
		GND					AA27			
		GND					AB34			
		GND					AB33			
		GND					AB30			
		GND					AB28			
		GND					AC32			
		GND					AC31			
		GND					AD34			
		GND					AD33			
		GND					AD30			
		GND					AD29			
		GND					AE32			
		GND					AE31			
		GND					AF34			
		GND					AF33			
		GND					AF30			
		GND					AF29			
		GND					AG32			
		GND					AG31			
		GND					AP33			
		GND					AN31			
		GND					AN32			
		GND					AN33			
		GND					AM33			
		GND					AM34			
		GND					AL31			
		GND					AL32			
		GND					AK29			
		GND					AK30			
		GND					AK33			
		GND					AK34			
		GND					AJ31			
		GND					AJ32			
		GND					AH29			
		GND					AH30			
		GND					AH33			
		GND					AH34			
		GND					T3			
		GND					T2			
		GND					T1			
		GND					U8			
		GND					U6			
		GND					U4			
		GND					U3			
		GND					V7			
		GND					V5			
		GND					V2			
		GND					V1			
		GND					W8			
		GND					W6			
		GND					W4			
		GND					W3			
		GND					Y7			
		GND					Y5			
		GND					Y2			
		GND					Y1			
		GND					AA8			
		GND					AA6			
		GND					AA4			
		GND					AA3			
		GND					AB7			
		GND					AB5			
		GND					AB2			
		GND					AB1			
		GND					AC4			
		GND					AC3			
		GND					AD6			
		GND					AD5			
		GND					AD2			
		GND					AD1			
		GND					AE4			
		GND					AE3			
		GND					AF6			
		GND					AF5			
		GND					AF2			
		GND					AF1			
		GND					AG4			
		GND					AG3			
		GND					AH6			
		GND					AH5			
		GND					AH2			
		GND					AH1			
		GND					AJ4			
		GND					AJ3			
		GND					AK6			
		GND					AK5			
		GND					AK2			
		GND					AK1			
		GND					AL4			
		GND					AL3			
		GND					AM2			
		GND					AM1			
		GND					AN4			
		GND					AN3			
		GND					AN2			
		GND					AP2			
		VCC					U17			
		VCC					N19			
		VCC					AB14			
		VCC					AB16			
		VCC					AB18			
		VCC					AB20			
		VCC					AB22			
		VCC					AA13			
		VCC					AA15			
		VCC					AA17			
		VCC					AA19			
		VCC					AA21			
		VCC					Y14			
		VCC					Y16			
		VCC					Y18			
		VCC					Y20			
		VCC					Y22			
		VCC					W13			
		VCC					W15			
		VCC					W17			
		VCC					W19			
		VCC					W21			
		VCC					V14			
		VCC					V16			
		VCC					V18			
		VCC					V20			
		VCC					V22			
		VCC					U13			
		VCC					U15			
		VCC					U19			
		VCC					U21			
		VCC					T14			
		VCC					T16			
		VCC					T18			
		VCC					T20			
		VCC					T22			
		VCC					R13			
		VCC					R15			
		VCC					R17			
		VCC					R19			
		VCC					R21			
		VCC					P14			
		VCC					P16			
		VCC					P18			
		VCC					P20			
		VCC					P22			
		VCC					N13			
		VCC					N15			
		VCC					N17			
		VCC					N21			
		VCC					AB26			
		VCC					AB27			
		VCC					V26			
		VCC					U26			
		VCC					AB8			
		VCC					AB9			
		VCC					V9			
		VCC					U9			
		VCCPGM					AD25			
		VCCPGM					AD10			
		TEMPDIODEn					C3			
		TEMPDIODEp					D5			
		VCC_CLKIN3C					AF18			
		VCC_CLKIN4C					AE17			
		VCC_CLKIN7C					J17			
		VCC_CLKIN8C					K18			
		VCCA_PLL_B1					AJ18			
		VCCA_PLL_B2(7)					AH17			
		VCCA_PLL_L2					W25			
		VCCA_PLL_R2					W10			
		VCCA_PLL_T1					G18			
		VCCA_PLL_T2(7)					F17			
		VCCD_PLL_B1					AH18			
		VCCD_PLL_B2(7)					AG17			
		VCCD_PLL_L2					W24			
		VCCD_PLL_R2					V10			
		VCCD_PLL_T1					H18			
		VCCD_PLL_T2(7)					G17			
		VCCIO1A					P25			
		VCCIO1A					M28			
		VCCIO1A					K27			
		VCCIO1A(7)					H32			
		VCCIO1A(7)					E32			
		VCCIO1C					L32			
		VCCIO1C					U25			
		VCCIO1C(7)					R28			
		VCCIO1C(7)					P30			
		VCCIO3A					AF25			
		VCCIO3A					AM28			
		VCCIO3A					AJ26			
		VCCIO3A					AE23			
		VCCIO3B(7)					AJ23			
		VCCIO3B(7)					AL25			
		VCCIO3C					AH20			
		VCCIO3C					AN19			
		VCCIO3C(7)					AL22			
		VCCIO4A					AF9			
		VCCIO4A					AM7			
		VCCIO4A					AH10			
		VCCIO4A					AF11			
		VCCIO4B(7)					AL13			
		VCCIO4B(7)					AL10			
		VCCIO4C					AJ17			
		VCCIO4C					AN16			
		VCCIO4C(7)					AH14			
		VCCIO6A					F3			
		VCCIO6A					L9			
		VCCIO6A					K4			
		VCCIO6A(7)					J7			
		VCCIO6A(7)					G5			
		VCCIO6C					N7			
		VCCIO6C					R4			
		VCCIO6C(7)					R9			
		VCCIO6C(7)					M3			
		VCCIO7A					C7			
		VCCIO7A					K10			
		VCCIO7A					F9			
		VCCIO7A					C4			
		VCCIO7B(7)					F12			
		VCCIO7B(7)					D10			
		VCCIO7C					D16			
		VCCIO7C					G15			
		VCCIO7C(7)					D13			
		VCCIO8A					C28			
		VCCIO8A					L25			
		VCCIO8A					G24			
		VCCIO8A					F28			
		VCCIO8B(7)					D25			
		VCCIO8B(7)					D22			
		VCCIO8C					B19			
		VCCIO8C					G21			
		VCCIO8C(7)					F18			
		VCCPD1A					N23			
		VCCPD1C					R23			
		VCCPD3A					AC23			
		VCCPD3B(7)					AC21			
		VCCPD3C					AC19			
		VCCPD4A					AC13			
		VCCPD4B(7)					AC15			
		VCCPD4C					AC17			
		VCCPD6A					P12			
		VCCPD6C					T12			
		VCCPD7A					M12			
		VCCPD7B(7)					M14			
		VCCPD7C					M16			
		VCCPD8A					M22			
		VCCPD8B(7)					M20			
		VCCPD8C					M18			
1A	VREFB1AN0	VREFB1AN0	VREFB1AN0				M26			
1C	VREFB1CN0	VREFB1CN0	VREFB1CN0				R26			
3A	VREFB3AN0	VREFB3AN0	VREFB3AN0				AF26			
3B	VREFB3BN0	VREFB3BN0(7)	VREFB3BN0				AF22			
3C	VREFB3CN0	VREFB3CN0	VREFB3CN0				AF20			
4A	VREFB4AN0	VREFB4AN0	VREFB4AN0				AF10			
4B	VREFB4BN0	VREFB4BN0(7)	VREFB4BN0				AF13			
4C	VREFB4CN0	VREFB4CN0	VREFB4CN0				AF15			
6A	VREFB6AN0	VREFB6AN0	VREFB6AN0				M10			
6C	VREFB6CN0	VREFB6CN0	VREFB6CN0				R10			
7A	VREFB7AN0	VREFB7AN0	VREFB7AN0				J10			
7B	VREFB7BN0	VREFB7BN0(7)	VREFB7BN0				J13			
7C	VREFB7CN0	VREFB7CN0	VREFB7CN0				J15			
8A	VREFB8AN0	VREFB8AN0	VREFB8AN0				J26			
8B	VREFB8BN0	VREFB8BN0(7)	VREFB8BN0				J22			
8C	VREFB8CN0	VREFB8CN0	VREFB8CN0				J20			
		NC					D31			
		NC					AK28			
		NC					AK7			
		NC					G7			
		NC					AL29			
		NC					AL30			
		NC					AL5			
		NC					AL6			
		NC					AJ7			
		NC					AJ28			
		NC					AH7			
		NC					AH28			
		NC					AG7			
		NC					AG28			
		NC					AF7			
		NC					AF28			
		NC					AE7			
		NC					AE28			
		NC					AD7			
		NC					AD28			
		NC					AC7			
		NC					AC28			
		NC(6)					V17			
		NC(4)					G6			
		NC(3)		MSEL2			K9			
		NC(3)		MSEL1			L10			
		NC(3)		MSEL0			J9			
		NC(5)					Y23			
		NC(5)					Y24			
		NC(5)					AF17			
		NC(5)					W11			
		NC(5)					W12			
		NC(5)					J18			
		VCCAUX					H27			
		VCCAUX					AF27			
		VCCAUX					AG8			
		VCCAUX					J8			
		VCCA_L					Y29			
		VCCA_L					V29			
		VCCA_R					Y6			
		VCCA_R					V6			
		VCCH_GXBL0					AA28			
		VCCH_GXBL1					U28			
		VCCH_GXBR0					AA7			
		VCCH_GXBR1					U7			
		VCCL_GXBL0					AA26			
		VCCL_GXBL0					Y27			
		VCCL_GXBL1					W28			
		VCCL_GXBL1					V27			
		VCCL_GXBR0					Y8			
		VCCL_GXBR0					AA9			
		VCCL_GXBR1					W7			
		VCCL_GXBR1					V8			
		VCCR_R					U5			
		VCCR_R					AA5			
		VCCR_L					U30			
		VCCR_L					AA30			
		VCCT_R					AB6			
		VCCT_R					W5			
		VCCT_L					AB29			
		VCCT_L					W30			
		VCCHIP_R					W9			
		VCCHIP_R					Y10			
		VCCHIP_R					Y9			
		VCCHIP_L					W26			
		VCCHIP_L					Y26			
		VCCHIP_L					Y25			
		RREF_L0					AN34			
		RREF_R0					AN1			


Notes on Pin Table:										
(1)  These pins should be connected on the board to properly configure the FPGA prototype.  See Stratix IV device pin table for details.										
"(2)  The individual index number of the pin in this column may not be the same as its companion Stratix IV device, but the functionality of the pin is fully migratable."										
