Bank Number	Index within I/O Bank 	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F780	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
3B	38	VREFB3BN0	IO				LVDS3B_5p	No	T4	DQ49	DQ24	DQ12	DQ6
3B	37	VREFB3BN0	IO				LVDS3B_6n	Yes	V8	DQ49	DQ24	DQSn12/CQn12	DQ6
3B	36	VREFB3BN0	IO				LVDS3B_6p	Yes	U8	DQ49	DQ24	DQS12/CQ12	DQ6
3B	35	VREFB3BN0	IO				LVDS3B_7n	No	M4	DQ50	DQ25	DQ12	DQ6
3B	34	VREFB3BN0	IO				LVDS3B_7p	No	M3	DQ50	DQ25	DQ12	DQ6
3B	33	VREFB3BN0	IO				LVDS3B_8n	Yes	L4	DQSn50	DQ25	DQ12	DQ6
3B	32	VREFB3BN0	IO				LVDS3B_8p	Yes	K4	DQS50	DQ25	DQ12	DQ6
3B	31	VREFB3BN0	IO				LVDS3B_9n	No	N3	DQ50	DQ25	DQ12	DQ6
3B	30	VREFB3BN0	IO				LVDS3B_9p	No	N2	DQ50	DQ25	DQ12	DQ6
3B	29	VREFB3BN0	IO	PLL_3B_CLKOUT1n			LVDS3B_10n	Yes	J3	DQSn51	DQSn25/CQn25	DQ12	DQ6
3B	28	VREFB3BN0	IO	"PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1"			LVDS3B_10p	Yes	H2	DQS51	DQS25/CQ25	DQ12	DQ6
3B	27	VREFB3BN0	IO				LVDS3B_11n	No	J2	DQ51	DQ25	DQ12	DQ6
3B	26	VREFB3BN0	IO	RZQ_3B			LVDS3B_11p	No	K2	DQ51	DQ25	DQ12	DQ6
3B	25	VREFB3BN0	IO	CLK_3B_1n			LVDS3B_12n	Yes	L3	DQ51	DQ25	DQ12	DQ6
3B	24	VREFB3BN0	IO	CLK_3B_1p			LVDS3B_12p	Yes	L2	DQ51	DQ25	DQ12	DQ6
3B	23	VREFB3BN0	IO	CLK_3B_0n			LVDS3B_13n	No	M1	DQ52	DQ26	DQ13	DQ6
3B	22	VREFB3BN0	IO	CLK_3B_0p			LVDS3B_13p	No	N1	DQ52	DQ26	DQ13	DQ6
3B	21	VREFB3BN0	IO				LVDS3B_14n	Yes	G1	DQSn52	DQ26	DQ13	DQSn6/CQn6
3B	20	VREFB3BN0	IO				LVDS3B_14p	Yes	H1	DQS52	DQ26	DQ13	DQS6/CQ6
3B	19	VREFB3BN0	IO	PLL_3B_CLKOUT0n			LVDS3B_15n	No	P2	DQ52	DQ26	DQ13	DQ6
3B	18	VREFB3BN0	IO	"PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0"			LVDS3B_15p	No	R2	DQ52	DQ26	DQ13	DQ6
3B	17	VREFB3BN0	IO				LVDS3B_16n	Yes	T3	DQSn53	DQSn26/CQn26	DQ13	DQ6
3B	16	VREFB3BN0	IO				LVDS3B_16p	Yes	T2	DQS53	DQS26/CQ26	DQ13	DQ6
3B	15	VREFB3BN0	IO				LVDS3B_17n	No	K1	DQ53	DQ26	DQ13	DQ6
3B	14	VREFB3BN0	IO				LVDS3B_17p	No	L1	DQ53	DQ26	DQ13	DQ6
3B	13	VREFB3BN0	IO				LVDS3B_18n	Yes	R1	DQ53	DQ26	DQSn13/CQn13	DQ6
3B	12	VREFB3BN0	IO				LVDS3B_18p	Yes	T1	DQ53	DQ26	DQS13/CQ13	DQ6
3B	11	VREFB3BN0	IO				LVDS3B_19n	No	U4	DQ54	DQ27	DQ13	DQ6
3B	10	VREFB3BN0	IO				LVDS3B_19p	No	U3	DQ54	DQ27	DQ13	DQ6
3B	9	VREFB3BN0	IO				LVDS3B_20n	Yes	U1	DQSn54	DQ27	DQ13	DQ6
3B	8	VREFB3BN0	IO				LVDS3B_20p	Yes	V1	DQS54	DQ27	DQ13	DQ6
3B	7	VREFB3BN0	IO				LVDS3B_21n	No	V7	DQ54	DQ27	DQ13	DQ6
3B	6	VREFB3BN0	IO				LVDS3B_21p	No	U6	DQ54	DQ27	DQ13	DQ6
3B	5	VREFB3BN0	IO				LVDS3B_22n	Yes	V6	DQSn55	DQSn27/CQn27	DQ13	DQ6
3B	4	VREFB3BN0	IO				LVDS3B_22p	Yes	V5	DQS55	DQS27/CQ27	DQ13	DQ6
3B	3	VREFB3BN0	IO				LVDS3B_23n	No	V2	DQ55	DQ27	DQ13	DQ6
3B	2	VREFB3BN0	IO				LVDS3B_23p	No	W2	DQ55	DQ27	DQ13	DQ6
3B	1	VREFB3BN0	IO				LVDS3B_24n	Yes	V3	DQ55	DQ27	DQ13	DQ6
3B	0	VREFB3BN0	IO				LVDS3B_24p	Yes	W3	DQ55	DQ27	DQ13	DQ6
3A	47	VREFB3AN0	IO				LVDS3A_1n	No	Y4	DQ56	DQ28	DQ14	DQ7
3A	46	VREFB3AN0	IO				LVDS3A_1p	No	W4	DQ56	DQ28	DQ14	DQ7
3A	45	VREFB3AN0	IO				LVDS3A_2n	Yes	W7	DQSn56	DQ28	DQ14	DQ7
3A	44	VREFB3AN0	IO				LVDS3A_2p	Yes	W8	DQS56	DQ28	DQ14	DQ7
3A	43	VREFB3AN0	IO				LVDS3A_3n	No	Y6	DQ56	DQ28	DQ14	DQ7
3A	42	VREFB3AN0	IO				LVDS3A_3p	No	Y7	DQ56	DQ28	DQ14	DQ7
3A	41	VREFB3AN0	IO				LVDS3A_4n	Yes	Y5	DQSn57	DQSn28/CQn28	DQ14	DQ7
3A	40	VREFB3AN0	IO				LVDS3A_4p	Yes	W5	DQS57	DQS28/CQ28	DQ14	DQ7
3A	39	VREFB3AN0	IO				LVDS3A_5n	No	Y2	DQ57	DQ28	DQ14	DQ7
3A	38	VREFB3AN0	IO				LVDS3A_5p	No	Y1	DQ57	DQ28	DQ14	DQ7
3A	37	VREFB3AN0	IO				LVDS3A_6n	Yes	AA8	DQ57	DQ28	DQSn14/CQn14	DQ7
3A	36	VREFB3AN0	IO				LVDS3A_6p	Yes	AA9	DQ57	DQ28	DQS14/CQ14	DQ7
3A	35	VREFB3AN0	IO				LVDS3A_7n	No	AB4	DQ58	DQ29	DQ14	DQ7
3A	34	VREFB3AN0	IO				LVDS3A_7p	No	AC5	DQ58	DQ29	DQ14	DQ7
3A	33	VREFB3AN0	IO				LVDS3A_8n	Yes	AA1	DQSn58	DQ29	DQ14	DQ7
3A	32	VREFB3AN0	IO				LVDS3A_8p	Yes	AB1	DQS58	DQ29	DQ14	DQ7
3A	31	VREFB3AN0	IO				LVDS3A_9n	No	AB5	DQ58	DQ29	DQ14	DQ7
3A	30	VREFB3AN0	IO				LVDS3A_9p	No	AB6	DQ58	DQ29	DQ14	DQ7
3A	29	VREFB3AN0	IO	PLL_3A_CLKOUT1n			LVDS3A_10n	Yes	AB3	DQSn59	DQSn29/CQn29	DQ14	DQ7
3A	28	VREFB3AN0	IO	"PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1"			LVDS3A_10p	Yes	AA2	DQS59	DQS29/CQ29	DQ14	DQ7
3A	27	VREFB3AN0	IO				LVDS3A_11n	No	AA4	DQ59	DQ29	DQ14	DQ7
3A	26	VREFB3AN0	IO	RZQ_3A			LVDS3A_11p	No	AA3	DQ59	DQ29	DQ14	DQ7
3A	25	VREFB3AN0	IO	CLK_3A_1n			LVDS3A_12n	Yes	AA7	DQ59	DQ29	DQ14	DQ7
3A	24	VREFB3AN0	IO	CLK_3A_1p			LVDS3A_12p	Yes	AA6	DQ59	DQ29	DQ14	DQ7
3A	23	VREFB3AN0	IO	CLK_3A_0n			LVDS3A_13n	No	AC3	DQ60	DQ30	DQ15	DQ7
3A	22	VREFB3AN0	IO	CLK_3A_0p			LVDS3A_13p	No	AD3	DQ60	DQ30	DQ15	DQ7
3A	21	VREFB3AN0	IO				LVDS3A_14n	Yes	AF2	DQSn60	DQ30	DQ15	DQSn7/CQn7
3A	20	VREFB3AN0	IO				LVDS3A_14p	Yes	AE1	DQS60	DQ30	DQ15	DQS7/CQ7
3A	19	VREFB3AN0	IO	PLL_3A_CLKOUT0n			LVDS3A_15n	No	AC2	DQ60	DQ30	DQ15	DQ7
3A	18	VREFB3AN0	IO	"PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0"			LVDS3A_15p	No	AC1	DQ60	DQ30	DQ15	DQ7
3A	17	VREFB3AN0	IO				LVDS3A_16n	Yes	AD2	DQSn61	DQSn30/CQn30	DQ15	DQ7
3A	16	VREFB3AN0	IO				LVDS3A_16p	Yes	AE2	DQS61	DQS30/CQ30	DQ15	DQ7
3A	15	VREFB3AN0	IO				LVDS3A_17n	No	AF1	DQ61	DQ30	DQ15	DQ7
3A	14	VREFB3AN0	IO				LVDS3A_17p	No	AG1	DQ61	DQ30	DQ15	DQ7
3A	13	VREFB3AN0	IO				LVDS3A_18n	Yes	AF3	DQ61	DQ30	DQSn15/CQn15	DQ7
3A	12	VREFB3AN0	IO				LVDS3A_18p	Yes	AG3	DQ61	DQ30	DQS15/CQ15	DQ7
3A	11	VREFB3AN0	IO				LVDS3A_19n	No	AH3	DQ62	DQ31	DQ15	DQ7
3A	10	VREFB3AN0	IO				LVDS3A_19p	No	AH2	DQ62	DQ31	DQ15	DQ7
3A	9	VREFB3AN0	IO				LVDS3A_20n	Yes	AD4	DQSn62	DQ31	DQ15	DQ7
3A	8	VREFB3AN0	IO				LVDS3A_20p	Yes	AE4	DQS62	DQ31	DQ15	DQ7
3A	7	VREFB3AN0	IO				LVDS3A_21n	No	AC7	DQ62	DQ31	DQ15	DQ7
3A	6	VREFB3AN0	IO				LVDS3A_21p	No	AC6	DQ62	DQ31	DQ15	DQ7
3A	5	VREFB3AN0	IO				LVDS3A_22n	Yes	AE6	DQSn63	DQSn31/CQn31	DQ15	DQ7
3A	4	VREFB3AN0	IO				LVDS3A_22p	Yes	AF6	DQS63	DQS31/CQ31	DQ15	DQ7
			GND						AB10				
CSS			TDO		TDO				W10				
CSS			TMS		TMS				AH6				
CSS			TRST		TRST				AF8				
CSS			TCK		TCK				Y9				
CSS			TDI		TDI				AC10				
CSS			MSEL0		MSEL0				AE7				
CSS			MSEL1		MSEL1				AD7				
CSS			MSEL2		MSEL2				AB8				
CSS			nIO_PULLUP		nIO_PULLUP				AD8				
CSS			nSTATUS		nSTATUS				AF7				
CSS			CONF_DONE		CONF_DONE				AG8				
			GND						AD10				
CSS			nCONFIG		nCONFIG				AC8				
CSS			nCE		nCE				AB9				
CSS			nCSO0		nCSO0				AH8				
CSS			nCSO1		nCSO1				AH7				
CSS			nCSO2		nCSO2				AF9				
CSS			"AS_DATA0,ASDO"		"AS_DATA0,ASDO"				AE9				
CSS			AS_DATA1		AS_DATA1				AG6				
CSS			AS_DATA2		AS_DATA2				AG5				
CSS			AS_DATA3		AS_DATA3				AH5				
CSS			DCLK		DCLK				AD9				
			ADCGND						G10				
			GND						J13				
			GND						H13				
			GND						K14				
			GND						L13				
			GND						L14				
			GND						M13				
			GND						J14				
			GND						A10				
			GND						A15				
			GND						A20				
			GND						A25				
			GND						A5				
			GND						AA10				
			GND						AA24				
			GND						AA25				
			GND						AA26				
			GND						AB17				
			GND						AB2				
			GND						AB22				
			GND						AB24				
			GND						AB27				
			GND						AB28				
			GND						AB7				
			GND						AC24				
			GND						AC25				
			GND						AC26				
			GND						AC4				
			GND						AC9				
			GND						AD1				
			GND						AD11				
			GND						AD16				
			GND						AD21				
			GND						AD24				
			GND						AD27				
			GND						AD28				
			GND						AD6				
			GND						AE13				
			GND						AE18				
			GND						AE24				
			GND						AE25				
			GND						AE26				
			GND						AE3				
			GND						AE8				
			GND						AF10				
			GND						AF15				
			GND						AF20				
			GND						AF24				
			GND						AF27				
			GND						AF28				
			GND						AF5				
			GND						AG12				
			GND						AG17				
			GND						AG2				
			GND						AG22				
			GND						AG24				
			GND						AG25				
			GND						AG26				
			GND						AG7				
			GND						AH14				
			GND						AH19				
			GND						AH26				
			GND						AH27				
			GND						AH4				
			GND						AH9				
			GND						B17				
			GND						B2				
			GND						B22				
			GND						B27				
			GND						B28				
			GND						B7				
			GND						C19				
			GND						C24				
			GND						C25				
			GND						C26				
			GND						C27				
			GND						C4				
			GND						C9				
			GND						D1				
			GND						D11				
			GND						D16				
			GND						D21				
			GND						D24				
			GND						D27				
			GND						D28				
			GND						D6				
			GND						E13				
			GND						E24				
			GND						E25				
			GND						E26				
			GND						E3				
			GND						E8				
			GND						F10				
			GND						F20				
			GND						F24				
			GND						F27				
			GND						F28				
			GND						F5				
			GND						G12				
			GND						G17				
			GND						G2				
			GND						G22				
			GND						G24				
			GND						G25				
			GND						G26				
			GND						H14				
			GND						H24				
			GND						H27				
			GND						H28				
			GND						H4				
			GND						J1				
			GND						J11				
			GND						J16				
			GND						J21				
			GND						J24				
			GND						J25				
			GND						J26				
			GND						J6				
			GND						K13				
			GND						K24				
			GND						K27				
			GND						K28				
			GND						K3				
			GND						L10				
			GND						L15				
			GND						L20				
			GND						L21				
			GND						L22				
			GND						L23				
			GND						L24				
			GND						L25				
			GND						L26				
			GND						M12				
			GND						M17				
			GND						M2				
			GND						M21				
			GND						M27				
			GND						M28				
			GND						N14				
			GND						N19				
			GND						N21				
			GND						N22				
			GND						N25				
			GND						N26				
			GND						N4				
			GND						N9				
			GND						P1				
			GND						P11				
			GND						P16				
			GND						P21				
			GND						P22				
			GND						P27				
			GND						P28				
			GND						R13				
			GND						R18				
			GND						R21				
			GND						R22				
			GND						R25				
			GND						R26				
			GND						R3				
			GND						R8				
			GND						T10				
			GND						T15				
			GND						T20				
			GND						T21				
			GND						T27				
			GND						T28				
			GND						U12				
			GND						U17				
			GND						U2				
			GND						U21				
			GND						U22				
			GND						U25				
			GND						U26				
			GND						V14				
			GND						V19				
			GND						V21				
			GND						V22				
			GND						V27				
			GND						V28				
			GND						V9				
			GND						W1				
			GND						W11				
			GND						W16				
			GND						W22				
			GND						W25				
			GND						W26				
			GND						Y13				
			GND						Y22				
			GND						Y23				
			GND						Y24				
			GND						Y27				
			GND						Y28				
			GND						Y3				
			GNDSENSE						T12				
			VCC						L11				
			VCC						L12				
			VCC						L16				
			VCC						L17				
			VCC						L18				
			VCC						L19				
			VCC						M10				
			VCC						M11				
			VCC						M15				
			VCC						M16				
			VCC						M19				
			VCC						M20				
			VCC						N10				
			VCC						N12				
			VCC						N13				
			VCC						N15				
			VCC						N16				
			VCC						N18				
			VCC						N20				
			VCC						P10				
			VCC						P12				
			VCC						P14				
			VCC						P17				
			VCC						P18				
			VCC						P19				
			VCC						P20				
			VCC						R10				
			VCC						R11				
			VCC						R14				
			VCC						R15				
			VCC						R16				
			VCC						R19				
			VCC						R20				
			VCC						T11				
			VCC						T14				
			VCC						T16				
			VCC						T17				
			VCC						T18				
			VCC						T19				
			VCC						U10				
			VCC						U14				
			VCC						U15				
			VCC						U18				
			VCC						U19				
			VCC						U20				
			VCC						V10				
			VCC						V11				
			VCC						V13				
			VCC						V15				
			VCC						V16				
			VCC						V17				
			VCC						V20				
			VCC						W12				
			VCC						W18				
			VCC						W19				
			VCCPT						M14				
			VCCPT						M18				
			VCCPT						V12				
			VCCPT						V18				
			DNU						AH23				
			DNU						AH24				
			DNU						Y11				
			DNU						Y12				
			DNU						Y10				
			VCCPGM						W14				
			VCCPGM						Y14				
			TEMPDIODEn						H10				
			TEMPDIODEp						H11				
			VCCBAT						W13				
			VCCA_PLL						P13				
			VCCA_PLL						P15				
			VCCIO2A						AA15				
			VCCIO2A						AB12				
			VCCIO2A						AC14				
			VCCIO2J						AA20				
			VCCIO2J						AC19				
			VCCIO2J						Y18				
			VCCIO2K						B12				
			VCCIO2K						C14				
			VCCIO2K						F15				
			VCCIO2L						E18				
			VCCIO2L						H19				
			VCCIO2L						K18				
			VCCIO3A						AA5				
			VCCIO3A						W6				
			VCCIO3A						Y8				
			VCCIO3B						T5				
			VCCIO3B						U7				
			VCCIO3B						V4				
2A		VREFB2AN0	VREFB2AN0						W15				
2J		VREFB2JN0	VREFB2JN0						W17				
2K		VREFB2KN0	VREFB2KN0						E9				
2L		VREFB2LN0	VREFB2LN0						K16				
3A		VREFB3AN0	VREFB3AN0						W9				
3B		VREFB3BN0	VREFB3BN0						U9				
			VREFN_ADC						J10				
			VREFP_ADC						K10				
			NC						G14				
			NC						K11				
			NC						K12				
			NC						F12				
			NC						G16				
			NC						D12				
			NC						J12				
			NC						H12				
			NC						F14				
			NC						G13				
			NC						J15				
			NC						H15				
			NC						F16				
			NC						E12				
			NC						G15				
			NC						K15				
			NC						F13				
			NC						J9				
			NC						K9				
			NC						G9				
			NC						F9				
			NC						L8				
			NC						L9				
			NC						J8				
			NC						H8				
			NC						F7				
			NC						F6				
			NC						F8				
			NC						G8				
			NC						D7				
			NC						C7				
			NC						A7				
			NC						A6				
			NC						E7				
			NC						E6				
			NC						C6				
			NC						C5				
			NC						B6				
			NC						B5				
			NC						E5				
			NC						F1				
			NC						D5				
			NC						E1				
			NC						M9				
			NC						C1				
			NC						R9				
			NC						B1				
			NC						K8				
			NC						H3				
			NC						H9				
			NC						J4				
			NC						G7				
			NC						G3				
			NC						P6				
			NC						F3				
			NC						M7				
			NC						F2				
			NC						L5				
			NC						E2				
			NC						D2				
			NC						C2				
			NC						D3				
			NC						D4				
			NC						A2				
			NC						A3				
			NC						F4				
			NC						E4				
			NC						A4				
			NC						B4				
			NC						B3				
			NC						C3				
			NC						G5				
			NC						G6				
			NC						N5				
			NC						P5				
			NC						M5				
			NC						M6				
			NC						K5				
			NC						J5				
			NC						R6				
			NC						R7				
			NC						N6				
			NC						P7				
			NC						P9				
			NC						P8				
			NC						L7				
			NC						M8				
			NC						K7				
			NC						J7				
			NC						G4				
			NC						H5				
			NC						L6				
			NC						K6				
			NC						N7				
			NC						N8				
			NC						H6				
			NC						H7				
			NC						AF4				
			NC						AG4				
			NC						AD5				
			NC						AE5				
			VCCH_GXBL						M22				
			VCCH_GXBL						T22				
			VCCR_GXBL1C						V23				
			VCCR_GXBL1C						V24				
			VCCR_GXBL1D						P23				
			VCCR_GXBL1D						P24				
			VCCT_GXBL1C						T23				
			VCCT_GXBL1C						T24				
			VCCT_GXBL1D						M23				
			VCCT_GXBL1D						M24				
			RREF_BL						AH25				
			RREF_TL						C28				
			VCCERAM						R12				
			VCCERAM						R17				
			VCCLSENSE						T13				
			VCCP						N11				
			VCCP						N17				
			VCCP						U11				
			VCCP						U13				
			VCCP						U16				
			VSIGN_0						E11				
			VSIGN_1						G11				
			VSIGP_0						E10				
			VSIGP_1						F11				
Note:													
"(1) For more information about pin definition and pin connection guidelines, refer to the"													
Cyclone 10 GX Device Family Pin Connection Guidelines.													
													
